"ID","prompt","response","set","lab","rater1","rater2","rater3","rater4"
"1","Geige","Solo spielen",14,8,1,2,2,NA
"1","Geige","stimmen",14,8,1,1,1,NA
"1","Geige","streichen",14,8,1,1,2,NA
"1","Geige","transportieren",14,8,1,1,1,NA
"1","Geige","zupfen",14,8,1,2,2,NA
"1","Gurke","als Angelköder",14,8,4,3,4,NA
"1","Gurke","als Drumsticks",14,8,4,3,3,NA
"1","Gurke","als Football werfen",14,8,4,3,2,NA
"1","Gurke","als Keule benutzen",14,8,3,3,2,NA
"1","Gurke","als Staffelholz verwenden",14,8,5,3,3,NA
"1","Gurke","als Torpfosten für Fußball",14,8,4,4,3,NA
"1","Gurke","als Zeigestock",14,8,3,4,3,NA
"1","haarfoehn","abkühlen",12,7,1,1,1,1
"1","haarfoehn","auftauen",12,7,1,2,1,1
"1","haarfoehn","erwärmen",12,7,1,1,1,1
"1","haarfoehn","farbe trocknen",12,7,1,1,1,1
"1","haarfoehn","haare trocknen",12,7,0,0,0,0
"1","haarfoehn","heißluftballon",12,7,1,2,1,1
"1","haarfoehn","mini windmaschine",12,7,2,2,1,1
"1","haarfoehn","nägel trocknen",12,7,1,1,1,1
"1","haarfoehn","wäsche trocknen",12,7,1,0,1,1
"1","konservendose","alarmanlage",12,7,2,2,2,1
"1","konservendose","dekoration",12,7,1,1,1,0
"1","konservendose","essen drinn",12,7,0,1,0,0
"1","konservendose","instrument",12,7,2,1,1,2
"1","konservendose","moderne kunst",12,7,1,1,1,1
"1","konservendose","schnurtelefon",12,7,1,1,1,1
"1","konservendose","seifenkiste",12,7,1,2,0,1
"1","konservendose","stiftehalter",12,7,1,1,1,1
"1","messer","ausnehmen",12,7,0,1,1,0
"1","messer","erstechen",12,7,0,0,1,0
"1","messer","filetieren",12,7,0,0,1,0
"1","messer","haare schneiden",12,7,1,1,1,1
"1","messer","öffenen",12,7,1,1,1,0
"1","messer","rasieren",12,7,2,1,1,2
"1","messer","schneiden",12,7,0,0,1,0
"1","messer","schnitzen",12,7,1,2,1,1
"1","messer","töten",12,7,0,0,1,0
"1","messer","trennen",12,7,0,0,1,0
"1","messer","werfen",12,7,1,1,1,0
"1","Paprika","als Angelköder benutzen",14,8,5,2,2,NA
"1","Paprika","als Basketball",14,8,3,3,2,NA
"1","Paprika","als Handball",14,8,2,2,2,NA
"1","Paprika","püriert als Farbe zum malen",14,8,3,2,3,NA
"1","Paprika","wie einen Kürbis schnitzen",14,8,3,3,3,NA
"1","Säge","als Handspiegel (wenn sie aus Metall ist)",14,8,4,3,4,NA
"1","Säge","als Helikopterrotorblatt",14,8,5,4,3,NA
"1","Säge","als Tennisschläger",14,8,4,3,2,NA
"1","Säge","beim Malen als Darstellung eines Krokodilskopf",14,8,5,3,4,NA
"1","Säge","ein Bild in Holz ritzen",14,8,2,3,4,NA
"1","Säge","zum Brot schmieren",14,8,3,3,3,NA
"1","Säge","zum Brot schneiden",14,8,2,2,3,NA
"1","Säge","zum Spielen von Streichinstrumenten",14,8,5,1,3,NA
"1","Schaufel","als Waffe benutzen",14,8,1,2,2,NA
"1","Schaufel","ausprobieren",14,8,2,1,1,NA
"1","Schaufel","beschichten lassen",14,8,2,2,3,NA
"1","Schaufel","buddeln",14,8,1,1,1,NA
"1","Schaufel","einen Graben ziehen",14,8,1,1,2,NA
"1","Schaufel","Gartenarbeit betreiben",14,8,1,2,2,NA
"1","Schaufel","graben",14,8,1,1,1,NA
"1","Schaufel","im Baumarkt kaufen",14,8,1,1,2,NA
"1","Schaufel","jemanden schlagen",14,8,1,2,2,NA
"1","Schaufel","klopfen",14,8,2,2,2,NA
"1","Schaufel","säubern",14,8,1,1,1,NA
"1","Schaufel","schaufeln",14,8,1,1,1,NA
"1","Schaufel","schlagen",14,8,1,1,1,NA
"1","Schaufel","trommeln",14,8,3,2,2,NA
"1","Schaufel","umtopfen",14,8,2,2,3,NA
"1","Schrank","abbauen",14,8,1,1,1,NA
"1","Schrank","aufbauen",14,8,1,1,1,NA
"1","Schrank","aufbewahren",14,8,1,1,1,NA
"1","Schrank","aufräumen",14,8,1,1,1,NA
"1","Schrank","befüllen",14,8,1,1,1,NA
"1","Schrank","bei Ikea kaufen",14,8,1,2,2,NA
"1","Schrank","bekleben",14,8,2,1,1,NA
"1","Schrank","Kleidung aufhängen",14,8,1,1,1,NA
"1","Schrank","lackieren",14,8,2,1,1,NA
"1","Schrank","öffnen",14,8,1,1,1,NA
"1","Schrank","sortieren",14,8,1,1,2,NA
"1","Schrank","transportieren",14,8,1,1,1,NA
"1","Schrank","verrücken",14,8,1,1,2,NA
"1","Schrank","verschließen",14,8,1,1,1,NA
"1","Stuhl","als ein Pfosten eines Fußballtores",14,8,4,3,4,NA
"1","Stuhl","als Parkplatz-Freihalter",14,8,3,4,3,NA
"1","Stuhl","als Podest benutzen",14,8,2,3,3,NA
"1","Stuhl","als Rednerpult",14,8,2,3,3,NA
"1","Stuhl","als Tennisschläger",14,8,4,3,3,NA
"1","Stuhl","als Waffe zum schlagen",14,8,2,2,2,NA
"1","Stuhl","auf dem Stuhl trommeln",14,8,3,2,2,NA
"1","Stuhl","zum Blockieren der Tür",14,8,2,2,3,NA
"1","Tisch","abputzen",14,8,1,1,1,NA
"1","Tisch","als Podium benutzen",14,8,2,3,2,NA
"1","Tisch","als Versteck nutzen",14,8,2,2,2,NA
"1","Tisch","an ihm schreiben",14,8,1,1,1,NA
"1","Tisch","anstreichen",14,8,2,1,1,NA
"1","Tisch","aufbauen",14,8,1,1,1,NA
"1","Tisch","darauf essen",14,8,1,1,1,NA
"1","Tisch","darauf tanzen",14,8,2,2,3,NA
"1","Tisch","die Tür verbarrikadieren",14,8,2,3,3,NA
"1","Tisch","Essen darauf zubereiten",14,8,1,1,1,NA
"1","Tisch","stapeln",14,8,1,1,2,NA
"1","Tisch","tragen",14,8,1,1,1,NA
"1","Tisch","verkaufen",14,8,1,1,1,NA
"1","Tisch","verrücken",14,8,1,1,1,NA
"1","Tomate","achteln",14,8,1,1,1,NA
"1","Tomate","als Ball benutzen",14,8,2,2,2,NA
"1","Tomate","einkochen",14,8,1,1,1,NA
"1","Tomate","halbieren",14,8,1,1,1,NA
"1","Tomate","jemanden abwerfen",14,8,2,2,2,NA
"1","Tomate","kochen",14,8,1,1,1,NA
"1","Tomate","schälen",14,8,1,1,1,NA
"1","Tomate","schneiden",14,8,1,1,1,NA
"1","Tomate","schnibbeln",14,8,1,1,1,NA
"1","Tomate","Suppe kochen",14,8,1,1,1,NA
"1","Tomate","vierteln",14,8,2,2,2,NA
"1","Tomate","werfen",14,8,2,2,2,NA
"1","Tomate","zerdrücken",14,8,1,1,2,NA
"1","Tomate","zerkochen",14,8,1,1,1,NA
"1","Tomate","zerquetschen",14,8,1,1,1,NA
"1","Tomate","zu Ketchup verarbeiten",14,8,2,2,1,NA
"1","Trommel","als Dartscheibe",14,8,4,3,3,NA
"1","Trommel","als Leinwand zum malen",14,8,4,3,3,NA
"1","Trommel","als Projektionsfläche für einen Beamer",14,8,5,3,3,NA
"1","Trommel","als Rad benutzen",14,8,5,4,4,NA
"1","Trommel","als Stuhl / Sitzkissen verwenden",14,8,2,2,2,NA
"1","Trommel","als überdimensionaler Eishockeypuk",14,8,5,5,4,NA
"1","Trompete","als Filmrequisit verwenden",14,8,3,4,4,NA
"1","Trompete","die Tonleiter rauf und runter spielen",14,8,1,2,3,NA
"1","Trompete","einen Marsch blasen",14,8,1,3,3,NA
"1","Trompete","einpacken",14,8,1,1,1,NA
"1","Trompete","im Duett spielen",14,8,1,2,2,NA
"1","Trompete","in einem Museum ausstellen",14,8,3,2,2,NA
"1","Trompete","in einer Musikgruppe spielen",14,8,1,1,1,NA
"1","Trompete","jonglieren",14,8,4,2,2,NA
"1","Trompete","lackieren",14,8,2,1,2,NA
"1","Trompete","Mundstück anschrauben",14,8,2,2,3,NA
"1","Trompete","musizieren",14,8,1,1,1,NA
"1","Trompete","polieren",14,8,1,1,2,NA
"1","Trompete","tröten",14,8,1,1,1,NA
"1","Trompete","verkaufen",14,8,1,1,1,NA
"1","Zange","als Aquariumsdekoration",14,8,3,3,3,NA
"1","Zange","als Essensbesteck",14,8,3,2,3,NA
"1","Zange","als Mikrofon beim Playback singen",14,8,4,3,3,NA
"1","Zange","als Mordwaffe",14,8,2,2,2,NA
"1","Zange","als Nagelklipser benutzen",14,8,4,4,3,NA
"1","Zange","zum Wimpern kürzen",14,8,3,3,3,NA
"10","Axt","als Requisit in einem Horrorfilm",14,8,3,3,3,NA
"10","Axt","an Halloween als Dekoration in die Wand hauen",14,8,3,3,3,NA
"10","Axt","Baum fällen",14,8,1,1,1,NA
"10","Axt","daran Messer schärfen",14,8,2,1,3,NA
"10","Axt","einen Baum der auf der Straße liegt durchtrennen",14,8,1,2,3,NA
"10","Axt","holz hacken",14,8,1,1,1,NA
"10","Axt","Menschen töten",14,8,2,1,2,NA
"10","Axt","unters Bett legen, als Waffe gegen Angreifer in der Nacht",14,8,2,2,3,NA
"10","Axt","Wilhelm Tell im Theater nachspielen",14,8,5,5,4,NA
"10","Bett","als Ablagefläche verwenden",14,8,2,2,1,NA
"10","Bett","als Sofa nutzen",14,8,2,1,1,NA
"10","Bett","darunter sachen verstauen",14,8,1,2,2,NA
"10","Bett","Dehnübungen drin machen",14,8,2,2,3,NA
"10","Bett","den Weg versperren",14,8,2,2,2,NA
"10","Bett","draufliegen",14,8,1,1,1,NA
"10","Bett","drin schlafen",14,8,1,1,1,NA
"10","Bett","drinliegen",14,8,1,1,1,NA
"10","Bett","einkuscheln",14,8,1,1,2,NA
"10","Bett","neu beziehen",14,8,1,1,1,NA
"10","Bett","Sex drauf haben",14,8,1,2,2,NA
"10","Erbse","als dekoration verwenden",14,8,3,1,1,NA
"10","Erbse","als Kühlakku verwenden",14,8,4,4,4,NA
"10","Erbse","anpflanzen",14,8,1,1,3,NA
"10","Erbse","auffädeln",14,8,2,2,3,NA
"10","Erbse","einfrieren",14,8,2,1,2,NA
"10","Erbse","einpflanzen",14,8,1,1,3,NA
"10","Erbse","essen",14,8,1,1,1,NA
"10","Erbse","kochen",14,8,1,1,1,NA
"10","Erbse","Leute damit abwerfen",14,8,2,2,2,NA
"10","Erbse","unter matrazen legen",14,8,3,2,3,NA
"10","Erbse","zermanschen",14,8,1,1,1,NA
"10","Flöte","auseinanderbauen",14,8,1,1,1,NA
"10","Flöte","bauen",14,8,1,1,2,NA
"10","Flöte","in einem Orchester spielen",14,8,1,2,1,NA
"10","Flöte","Leute nerven",14,8,2,3,3,NA
"10","Flöte","lieder spielen",14,8,1,1,1,NA
"10","Flöte","musizieren",14,8,1,1,1,NA
"10","Flöte","noten erzeugen",14,8,1,1,2,NA
"10","Flöte","noten spielen",14,8,1,1,1,NA
"10","Flöte","reinpusten",14,8,1,1,1,NA
"10","Flöte","schief spielen",14,8,2,1,3,NA
"10","Flöte","spielen",14,8,1,1,1,NA
"10","Flöte","töne erzeugen",14,8,1,1,1,NA
"10","Flöte","üben",14,8,1,1,1,NA
"10","Flöte","unterrichten",14,8,2,1,1,NA
"10","Geige","dekorativ an die Wand hängen",14,8,3,2,2,NA
"10","Geige","Lieder spielen",14,8,1,1,1,NA
"10","Geige","Musizieren",14,8,1,1,1,NA
"10","Geige","Noten ablesen und darauf spielen",14,8,1,2,3,NA
"10","Geige","Noten erzeugen",14,8,1,1,1,NA
"10","Geige","Seiten neu beziehen",14,8,1,1,3,NA
"10","Geige","spielen",14,8,1,1,1,NA
"10","Geige","stimmen",14,8,1,2,1,NA
"10","Geige","streichen",14,8,1,1,1,NA
"10","Geige","Stücke einüben",14,8,1,2,1,NA
"10","Geige","üben",14,8,1,1,1,NA
"10","Geige","zupfen",14,8,1,2,1,NA
"10","Gurke","abwaschen",14,8,1,1,1,NA
"10","Gurke","anpflanzen",14,8,1,1,3,NA
"10","Gurke","dünsten",14,8,1,1,2,NA
"10","Gurke","eindippen",14,8,1,1,3,NA
"10","Gurke","einkaufen",14,8,1,1,1,NA
"10","Gurke","essen",14,8,1,1,1,NA
"10","Gurke","garen",14,8,1,1,2,NA
"10","Gurke","Gurkensalat machen",14,8,1,2,1,NA
"10","Gurke","im Sexualunterricht als Testobjekt für Kondome verwenden",14,8,3,4,4,NA
"10","Gurke","kleinschneiden",14,8,1,1,1,NA
"10","Gurke","kochen",14,8,1,1,1,NA
"10","Gurke","nach Menschen werfen",14,8,2,2,2,NA
"10","Gurke","schälen",14,8,1,1,1,NA
"10","haarfoehn","Heizungsersatz",12,7,2,1,1,1
"10","haarfoehn","Luftballonaufbalsen",12,7,0,3,1,2
"10","haarfoehn","Ventilator",12,7,3,2,2,1
"10","haarfoehn","Wärmflaschenersatz",12,7,1,1,2,2
"10","konservendose","Blumentopf",12,7,1,1,1,1
"10","konservendose","Blumenvase",12,7,1,1,1,1
"10","konservendose","Mäusehöhle",12,7,1,2,1,2
"10","konservendose","Schnurtelefon",12,7,1,1,1,1
"10","konservendose","Stelzen",12,7,1,2,1,1
"10","konservendose","Trommel",12,7,1,1,1,1
"10","messer","Dekoration",12,7,0,1,2,1
"10","messer","Flaschenöffner",12,7,1,1,1,1
"10","messer","Geschenkpapier schneiden",12,7,0,1,1,1
"10","messer","Nagelschneider",12,7,1,1,1,2
"10","messer","Schere",12,7,1,1,1,1
"10","messer","Waffe",12,7,0,0,1,0
"10","messer","Werkzeug",12,7,1,1,1,1
"10","messer","Zahnstocher",12,7,2,2,1,1
"10","messer","zum Aufspießen von Essen",12,7,1,2,1,1
"10","Paprika","als Dekoration benutzen",14,8,3,1,1,NA
"10","Paprika","als Medikament mit Kräutern verkochen",14,8,3,3,3,NA
"10","Paprika","als Trainingsobjekt für OP-Nähte verwenden",14,8,4,4,5,NA
"10","Paprika","an Halloween als Kürbis benutzen",14,8,3,3,3,NA
"10","Paprika","die kleinen Paprikasamen einpflanzen",14,8,1,2,3,NA
"10","Paprika","essen",14,8,1,1,1,NA
"10","Paprika","Gemüseschlacht machen",14,8,2,2,2,NA
"10","Paprika","saubere Schnitte üben",14,8,3,2,3,NA
"10","Paprika","trocknen lassen und dann verkochen",14,8,2,1,2,NA
"10","Paprika","zermanschen und als Farbe an Halloween verwenden",14,8,3,2,2,NA
"10","Säge","als regal verwenden",14,8,4,2,3,NA
"10","Säge","an die Wand hängen",14,8,2,1,1,NA
"10","Säge","draufstellen",14,8,2,1,2,NA
"10","Säge","ein baumhaus bauen",14,8,3,4,4,NA
"10","Säge","gartenzaun trennen",14,8,2,2,3,NA
"10","Säge","gehweg versperren",14,8,2,2,2,NA
"10","Säge","gips durchschneiden",14,8,1,2,3,NA
"10","Säge","parkett zurechsägen",14,8,1,2,3,NA
"10","Säge","sachen reparieren",14,8,1,1,2,NA
"10","Schaufel","Absperrung aus Sand bauen",14,8,1,2,4,NA
"10","Schaufel","an die Wand hängen",14,8,1,1,1,NA
"10","Schaufel","Anhänger beladen",14,8,1,2,3,NA
"10","Schaufel","Grenzen abstekcne",14,8,2,2,3,NA
"10","Schaufel","Loch buddeln",14,8,1,1,1,NA
"10","Schaufel","reinigen",14,8,1,1,1,NA
"10","Schaufel","Sachen freilegen",14,8,1,1,2,NA
"10","Schaufel","Sachen vor sich herschieben",14,8,1,1,1,NA
"10","Schaufel","Sand von A nach B werfen",14,8,1,2,3,NA
"10","Schaufel","Sandburg bauen",14,8,1,3,1,NA
"10","Schaufel","verstopfte Rohre säubern",14,8,3,2,3,NA
"10","Schaufel","Viechzeug töten",14,8,2,2,3,NA
"10","Schaufel","Wege versperren",14,8,2,2,3,NA
"10","Schrank","aufteilen",14,8,2,1,3,NA
"10","Schrank","bemalen",14,8,2,1,2,NA
"10","Schrank","Büchern einräumen",14,8,1,1,1,NA
"10","Schrank","dekorieren",14,8,2,1,1,NA
"10","Schrank","drunterhersaugen",14,8,1,2,2,NA
"10","Schrank","einräumen",14,8,1,1,1,NA
"10","Schrank","klamotten auffhängen",14,8,1,1,1,NA
"10","Schrank","sachen drauflegen",14,8,1,1,1,NA
"10","Schrank","sachen lagern",14,8,1,1,1,NA
"10","Schrank","saubermachen",14,8,1,1,1,NA
"10","Schrank","umräumen",14,8,1,1,1,NA
"10","Schrank","verschieben",14,8,1,1,1,NA
"10","Schrank","vollhängen",14,8,1,1,1,NA
"10","Schrank","wege versperren",14,8,2,2,3,NA
"10","Schrank","zusammenbauen",14,8,1,1,1,NA
"10","Stuhl","als Klamottenablage nutzen",14,8,2,2,1,NA
"10","Stuhl","als Leiter nutzen",14,8,1,2,2,NA
"10","Stuhl","als tisch benutzen",14,8,1,1,2,NA
"10","Stuhl","dekorieren",14,8,2,1,1,NA
"10","Stuhl","füße drauflegen",14,8,2,2,3,NA
"10","Stuhl","kippeln",14,8,1,2,1,NA
"10","Stuhl","schaukeln",14,8,1,2,2,NA
"10","Stuhl","sitzen",14,8,1,1,1,NA
"10","Stuhl","tür versperren",14,8,2,2,2,NA
"10","Stuhl","von A nach B tragen",14,8,1,2,2,NA
"10","Tisch","als Büffettisch irgendwo in den Raum stellen",14,8,1,2,4,NA
"10","Tisch","als Kind an einem Tisch Büro spielen",14,8,2,3,2,NA
"10","Tisch","auf die Seite legen und als Deckung gegen andere verwenden",14,8,3,2,3,NA
"10","Tisch","bei einem Erdbeben drunterkrichen",14,8,2,3,4,NA
"10","Tisch","bemalen",14,8,2,1,1,NA
"10","Tisch","darauf menschen operieren",14,8,2,3,3,NA
"10","Tisch","darauf Sex haben",14,8,2,3,3,NA
"10","Tisch","dekorieren",14,8,2,1,1,NA
"10","Tisch","durch Fenster werfen, um sich einen Fluchtweg zu schaffen",14,8,2,3,4,NA
"10","Tisch","Kamera draufstellen, um Youtube-Videos zu drehen",14,8,2,4,3,NA
"10","Tisch","lackieren",14,8,2,1,1,NA
"10","Tomate","anpflanzen",14,8,1,1,3,NA
"10","Tomate","dünsten",14,8,1,1,1,NA
"10","Tomate","essen",14,8,1,1,1,NA
"10","Tomate","fallen lassen",14,8,1,1,2,NA
"10","Tomate","grillen",14,8,1,1,1,NA
"10","Tomate","kochen",14,8,1,1,1,NA
"10","Tomate","lagern",14,8,1,1,1,NA
"10","Tomate","schälen",14,8,1,1,1,NA
"10","Tomate","schneiden",14,8,1,1,1,NA
"10","Tomate","servieren",14,8,2,1,1,NA
"10","Tomate","zerhäkseln",14,8,1,1,1,NA
"10","Tomate","zerkleinern",14,8,1,1,1,NA
"10","Tomate","zubereiten",14,8,1,1,1,NA
"10","Tomate","züchten",14,8,2,1,3,NA
"10","Trommel","als Agressionsabbau verwenden",14,8,3,3,3,NA
"10","Trommel","als Geheimversteck nutzen",14,8,3,3,4,NA
"10","Trommel","als Startsignal für einen Wettbewerb benutzen",14,8,3,3,4,NA
"10","Trommel","als Türklingel benutzen",14,8,3,2,3,NA
"10","Trommel","aus alten Farbeimern bauen",14,8,4,3,4,NA
"10","Trommel","bemalen",14,8,2,1,1,NA
"10","Trommel","dekorativ an die Wand hängen",14,8,3,2,1,NA
"10","Trommel","Donner in einem Theaterstück erzeugen",14,8,4,4,4,NA
"10","Trommel","obere Trommeldecke abnehmen und als Behälter verwenden",14,8,3,3,3,NA
"10","Trompete","als Blumenvase nutzen",14,8,3,3,3,NA
"10","Trompete","an die wand als deko hängen",14,8,3,2,2,NA
"10","Trompete","an karneval mitlaufen",14,8,1,2,3,NA
"10","Trompete","Märsche spielen",14,8,1,2,2,NA
"10","Trompete","nachbarn nerven",14,8,2,3,3,NA
"10","Trompete","noten erzeugen",14,8,1,1,1,NA
"10","Trompete","reinigen",14,8,1,1,2,NA
"10","Trompete","spielen",14,8,1,1,1,NA
"10","Trompete","verschenken",14,8,1,1,1,NA
"10","Zange","dinge abmessen",14,8,2,2,3,NA
"10","Zange","Dinge festklemmen",14,8,1,1,2,NA
"10","Zange","dinge kaputtmachen",14,8,2,1,2,NA
"10","Zange","dinge rausziehen",14,8,1,1,1,NA
"10","Zange","einklemmen",14,8,1,1,2,NA
"10","Zange","greifen",14,8,1,1,1,NA
"10","Zange","kraft verstärken",14,8,2,2,3,NA
"10","Zange","ölen",14,8,2,1,3,NA
"10","Zange","rohre reparieren",14,8,1,1,2,NA
"10","Zange","sachen aufdrehen",14,8,1,1,2,NA
"10","Zange","sachen öffnen",14,8,2,1,2,NA
"10","Zange","sachen reparieren",14,8,1,1,1,NA
"10","Zange","stundenlang im Werkzeugkasten suchen",14,8,2,2,3,NA
"10","Zange","zugreifen",14,8,1,1,2,NA
"100","haarfoehn","Abwehrmittel statt Pfefferspray",12,7,1,2,1,0
"100","haarfoehn","Garten heizen",12,7,0,0,1,1
"100","haarfoehn","Geldscheine trocknen nach dem Geldwaschen",12,7,2,1,1,1
"100","haarfoehn","Keks trocknen",12,7,1,1,0,0
"100","haarfoehn","Laub zusammenblasen",12,7,2,2,1,1
"100","haarfoehn","Mäuse bearbeiten",12,7,0,2,1,0
"100","haarfoehn","Zum Fliegen",12,7,0,1,1,0
"100","konservendose","Auspuff reparieren",12,7,2,2,2,1
"100","konservendose","kegeln",12,7,1,1,1,1
"100","konservendose","Kochtopf",12,7,1,1,1,1
"100","konservendose","Lärm machen",12,7,2,1,0,0
"100","konservendose","Linse zum Feuermachen",12,7,3,2,0,2
"100","konservendose","musizieren",12,7,1,1,1,1
"100","konservendose","rollen",12,7,1,1,1,0
"100","konservendose","schmuggeln",12,7,1,2,2,1
"100","konservendose","Sieb",12,7,3,2,2,1
"100","konservendose","Spiegel",12,7,3,2,2,1
"100","konservendose","Sprachrohr",12,7,1,1,1,1
"100","messer","Brot streichen",12,7,0,0,0,0
"100","messer","rasieren",12,7,2,1,1,2
"100","messer","raspeln",12,7,0,1,1,1
"100","messer","schmuggeln",12,7,2,1,1,0
"100","messer","schneiden",12,7,0,0,1,0
"100","messer","schnitzen",12,7,1,2,1,1
"100","messer","Spiegel",12,7,3,1,1,2
"100","messer","Trinkflasche",12,7,0,0,1,0
"100","messer","weitwerfen",12,7,1,1,1,0
"100","messer","Zehennägel schneiden",12,7,1,1,1,2
"100","messer","zum messen",12,7,3,1,1,2
"101","haarfoehn","auftauen",12,7,1,2,1,1
"101","haarfoehn","einheizen",12,7,2,1,1,1
"101","haarfoehn","föhnen",12,7,0,0,0,0
"101","haarfoehn","frischluft machen",12,7,1,1,1,1
"101","haarfoehn","kochen",12,7,2,1,2,0
"101","haarfoehn","lasieren",12,7,1,1,1,0
"101","haarfoehn","löten",12,7,1,0,3,0
"101","haarfoehn","staub verbassen",12,7,2,1,1,2
"101","haarfoehn","trocknen",12,7,1,1,0,0
"101","konservendose","aufbwahrungsgefäß",12,7,0,1,0,0
"101","konservendose","farbe einfüllen",12,7,0,1,1,1
"101","konservendose","für Auto bei hochzeiten",12,7,1,1,2,1
"101","konservendose","klangkörper",12,7,2,1,1,1
"101","konservendose","lärm machen",12,7,2,1,0,0
"101","konservendose","musikinstrument",12,7,1,1,1,1
"101","konservendose","schrauben reingeben",12,7,1,1,1,1
"101","konservendose","zum erhitzen",12,7,1,1,1,2
"101","konservendose","zum kreis zeichnen",12,7,1,1,1,1
"101","messer","einritzen",12,7,1,1,1,1
"101","messer","fleisch schndiden",12,7,0,0,1,0
"101","messer","initialien eingravieren",12,7,1,1,1,1
"101","messer","kabel abisolieren",12,7,0,1,1,1
"101","messer","Kastanien schälen",12,7,0,1,0,0
"101","messer","salat ernten",12,7,0,1,1,1
"101","messer","schnizen",12,7,1,2,1,1
"101","messer","zwiebel schneiden",12,7,0,0,1,0
"102","haarfoehn","""Waffe""",12,7,1,1,1,0
"102","haarfoehn","als mikrophon",12,7,1,1,2,1
"102","haarfoehn","hörspiele (geräusch ähnlich wind/meerbrausen)",12,7,1,2,3,1
"102","haarfoehn","windeffekt für fotos",12,7,1,1,1,1
"102","haarfoehn","zum anheizen vom Holzgriller",12,7,1,1,1,2
"102","haarfoehn","zum wärmen kalter füße",12,7,2,2,1,2
"102","konservendose","aschenbecher",12,7,2,1,1,0
"102","konservendose","blumenvasen",12,7,1,1,1,1
"102","konservendose","dosenkette",12,7,2,2,1,1
"102","konservendose","kerzenhalter",12,7,1,1,1,1
"102","konservendose","recycelter schmuck",12,7,1,1,1,1
"102","konservendose","stelzen basteln",12,7,1,2,1,1
"102","konservendose","telefon basteln",12,7,1,1,1,1
"102","messer","haare ausfransen",12,7,1,1,1,1
"102","messer","Messerwurf (Artisten)",12,7,1,1,1,1
"102","messer","öffnen von Einmachgläsern",12,7,1,1,1,1
"102","messer","ritzen von liebesbotschaften",12,7,1,2,1,1
"102","messer","trommeln",12,7,2,2,1,1
"102","messer","zerstückeln in einzelteile",12,7,0,0,1,0
"103","haarfoehn","Einbrecher abwehren",12,7,1,1,1,0
"103","haarfoehn","Fusselweitblasen",12,7,1,1,1,2
"103","haarfoehn","Kleidung trocknen",12,7,1,1,1,1
"103","haarfoehn","Strom verbrauchen",12,7,1,1,0,0
"103","haarfoehn","Wohnung heizen",12,7,1,1,1,1
"103","konservendose","Basteln",12,7,1,1,1,1
