"ID","prompt","response","set","lab","rater1","rater2","rater3","Fluency_Ceinture","Fluency_Brouette","Fluency_avrg","Orig_Ceinture","Orig_Brouette","Orig_avrg","CSE","CPI","Openness","Gender","Nationality","Age"
4,"brouette","Décoratif pour y ranger par exemple des bûches près d'une cheminée ou des livres ou des peluches",10,6,3,1,3,5,1,3,1.4666666666,2.333333333,1.8999999998,4.5,4,3.9,"F","Française",46
4,"ceinture","Remplacer une courroie",10,6,3,1,3,5,1,3,1.4666666666,2.333333333,1.8999999998,4.5,4,3.9,"F","Française",46
4,"ceinture","En bracelet autour du poignet",10,6,3,1,1,5,1,3,1.4666666666,2.333333333,1.8999999998,4.5,4,3.9,"F","Française",46
4,"ceinture","remplacer la sangle d'un sac",10,6,1,1,1,5,1,3,1.4666666666,2.333333333,1.8999999998,4.5,4,3.9,"F","Française",46
4,"ceinture","Soulever un objet lourd",10,6,2,1,1,5,1,3,1.4666666666,2.333333333,1.8999999998,4.5,4,3.9,"F","Française",46
4,"ceinture","attacher",10,6,1,1,1,5,1,3,1.4666666666,2.333333333,1.8999999998,4.5,4,3.9,"F","Française",46
5,"brouette","Emmener les enfants",10,6,3,2,3,2,2,2,3.3333333335,2.3333333335,2.8333333335,4,3.4,2.8,"F","Française",33
5,"brouette","Faire une maison pour animaux l'hiver",10,6,2,1,3,2,2,2,3.3333333335,2.3333333335,2.8333333335,4,3.4,2.8,"F","Française",33
5,"ceinture","Attacher mes ruches lors du transport en voiture",10,6,2,5,4,2,2,2,3.3333333335,2.3333333335,2.8333333335,4,3.4,2.8,"F","Française",33
5,"ceinture","poignée à rallonger Quand un sac est petit mais très lourd et que l'on souhaite le mettre en bandoulière pour",10,6,2,3,4,2,2,2,3.3333333335,2.3333333335,2.8333333335,4,3.4,2.8,"F","Française",33
6,"brouette","Jeu enfants",10,6,1,1,1,3,4,3.5,1.77777777766667,1.08333333325,1.430555555458335,3.1666666666666665,3.4,3.5,"F","Française",52
6,"brouette","Déménagement",10,6,1,1,1,3,4,3.5,1.77777777766667,1.08333333325,1.430555555458335,3.1666666666666665,3.4,3.5,"F","Française",52
6,"brouette","Transport",10,6,1,1,1,3,4,3.5,1.77777777766667,1.08333333325,1.430555555458335,3.1666666666666665,3.4,3.5,"F","Française",52
6,"brouette","Décoration",10,6,2,1,1,3,4,3.5,1.77777777766667,1.08333333325,1.430555555458335,3.1666666666666665,3.4,3.5,"F","Française",52
6,"ceinture","Pantalon",10,6,1,1,1,3,4,3.5,1.77777777766667,1.08333333325,1.430555555458335,3.1666666666666665,3.4,3.5,"F","Française",52
6,"ceinture","Musculation",10,6,3,3,3,3,4,3.5,1.77777777766667,1.08333333325,1.430555555458335,3.1666666666666665,3.4,3.5,"F","Française",52
6,"ceinture","Punition",10,6,1,1,2,3,4,3.5,1.77777777766667,1.08333333325,1.430555555458335,3.1666666666666665,3.4,3.5,"F","Française",52
7,"brouette","Déplacements",10,6,1,1,1,0,2,1,NA,1.1666666665,1.1666666665,3.5,3.6,3.8,"F","-oth-",22
7,"brouette","Décoration",10,6,2,1,1,0,2,1,NA,1.1666666665,1.1666666665,3.5,3.6,3.8,"F","-oth-",22
7,"ceinture",NA,10,6,NA,NA,NA,0,2,1,NA,1.1666666665,1.1666666665,3.5,3.6,3.8,"F","-oth-",22
8,"brouette","chaise",10,6,2,1,1,4,4,4,1.66666666675,1.33333333325,1.5,3.6666666666666665,4.4,3.6,"F","-oth-",20
8,"brouette","voiture",10,6,2,1,1,4,4,4,1.66666666675,1.33333333325,1.5,3.6666666666666665,4.4,3.6,"F","-oth-",20
8,"brouette","Caddie",10,6,1,1,1,4,4,4,1.66666666675,1.33333333325,1.5,3.6666666666666665,4.4,3.6,"F","-oth-",20
8,"ceinture","Fouet",10,6,1,1,1,4,4,4,1.66666666675,1.33333333325,1.5,3.6666666666666665,4.4,3.6,"F","-oth-",20
8,"ceinture","Collier",10,6,2,1,1,4,4,4,1.66666666675,1.33333333325,1.5,3.6666666666666665,4.4,3.6,"F","-oth-",20
8,"brouette","Pot de fleur",10,6,3,1,1,4,4,4,1.66666666675,1.33333333325,1.5,3.6666666666666665,4.4,3.6,"F","-oth-",20
8,"ceinture","Laisse",10,6,3,1,1,4,4,4,1.66666666675,1.33333333325,1.5,3.6666666666666665,4.4,3.6,"F","-oth-",20
8,"ceinture","Corde de pendaison",10,6,1,4,3,4,4,4,1.66666666675,1.33333333325,1.5,3.6666666666666665,4.4,3.6,"F","-oth-",20
9,"brouette","Linge",10,6,3,1,1,0,1,0.5,NA,1.666666667,1.666666667,3.1666666666666665,3,3.4,"F","Française",69
9,"ceinture",NA,10,6,NA,NA,NA,0,1,0.5,NA,1.666666667,1.666666667,3.1666666666666665,3,3.4,"F","Française",69
10,"brouette","Enfermer quelque chose en dessous pour qu’il ne puisse pas fuir",10,6,2,4,4,5,4,4.5,2.1333333332,2.333333333,2.2333333331,3.8333333333333335,3.2,3.7,"F","Française",21
10,"brouette","Transporter des éléments sur un chemin",10,6,1,1,2,5,4,4.5,2.1333333332,2.333333333,2.2333333331,3.8333333333333335,3.2,3.7,"F","Française",21
10,"ceinture","Faire un garrot",10,6,2,1,1,5,4,4.5,2.1333333332,2.333333333,2.2333333331,3.8333333333333335,3.2,3.7,"F","Française",21
10,"brouette","S’en servir comme table",10,6,3,2,2,5,4,4.5,2.1333333332,2.333333333,2.2333333331,3.8333333333333335,3.2,3.7,"F","Française",21
10,"brouette","Dormir dedans",10,6,2,3,2,5,4,4.5,2.1333333332,2.333333333,2.2333333331,3.8333333333333335,3.2,3.7,"F","Française",21
10,"ceinture","Suspendre des affaires",10,6,2,1,1,5,4,4.5,2.1333333332,2.333333333,2.2333333331,3.8333333333333335,3.2,3.7,"F","Française",21
10,"ceinture","Tuer quelqu’un",10,6,2,5,3,5,4,4.5,2.1333333332,2.333333333,2.2333333331,3.8333333333333335,3.2,3.7,"F","Française",21
10,"ceinture","Rassembler des objets",10,6,2,1,2,5,4,4.5,2.1333333332,2.333333333,2.2333333331,3.8333333333333335,3.2,3.7,"F","Française",21
10,"ceinture","Créer un espace fermé",10,6,2,4,3,5,4,4.5,2.1333333332,2.333333333,2.2333333331,3.8333333333333335,3.2,3.7,"F","Française",21
11,"brouette","Un pot de fleur",10,6,3,1,1,5,4,4.5,1.8666666666,2.3333333335,2.10000000005,4,4,3.8,"F","Française",43
11,"brouette","un jardin mobile",10,6,3,3,3,5,4,4.5,1.8666666666,2.3333333335,2.10000000005,4,4,3.8,"F","Française",43
11,"brouette","une remorque",10,6,2,1,2,5,4,4.5,1.8666666666,2.3333333335,2.10000000005,4,4,3.8,"F","Française",43
11,"brouette","une bibliothèque",10,6,3,4,2,5,4,4.5,1.8666666666,2.3333333335,2.10000000005,4,4,3.8,"F","Française",43
11,"ceinture","Une laisse",10,6,2,1,1,5,4,4.5,1.8666666666,2.3333333335,2.10000000005,4,4,3.8,"F","Française",43
11,"ceinture","une attelle",10,6,2,1,2,5,4,4.5,1.8666666666,2.3333333335,2.10000000005,4,4,3.8,"F","Française",43
11,"ceinture","un serre-livre",10,6,2,1,2,5,4,4.5,1.8666666666,2.3333333335,2.10000000005,4,4,3.8,"F","Française",43
11,"ceinture","Un porte cintres",10,6,3,1,3,5,4,4.5,1.8666666666,2.3333333335,2.10000000005,4,4,3.8,"F","Française",43
11,"ceinture","porte cadre",10,6,3,1,3,5,4,4.5,1.8666666666,2.3333333335,2.10000000005,4,4,3.8,"F","Française",43
12,"brouette","Transport d'enfants",10,6,1,1,1,2,6,4,1.8333333335,1.55555555566667,1.6944444445833349,3.3333333333333335,4.6,3.9,"F","Française",31
12,"brouette","Décoration",10,6,2,1,1,2,6,4,1.8333333335,1.55555555566667,1.6944444445833349,3.3333333333333335,4.6,3.9,"F","Française",31
12,"brouette","Pot de fleurs",10,6,3,1,1,2,6,4,1.8333333335,1.55555555566667,1.6944444445833349,3.3333333333333335,4.6,3.9,"F","Française",31
12,"brouette","Mare",10,6,3,1,2,2,6,4,1.8333333335,1.55555555566667,1.6944444445833349,3.3333333333333335,4.6,3.9,"F","Française",31
12,"ceinture","Anse de sac",10,6,1,1,1,2,6,4,1.8333333335,1.55555555566667,1.6944444445833349,3.3333333333333335,4.6,3.9,"F","Française",31
12,"brouette","Poussette",10,6,2,1,2,2,6,4,1.8333333335,1.55555555566667,1.6944444445833349,3.3333333333333335,4.6,3.9,"F","Française",31
12,"ceinture","Tendeurs",10,6,4,1,3,2,6,4,1.8333333335,1.55555555566667,1.6944444445833349,3.3333333333333335,4.6,3.9,"F","Française",31
12,"brouette","Transport écologique si tracté par quelqu'un",10,6,1,1,3,2,6,4,1.8333333335,1.55555555566667,1.6944444445833349,3.3333333333333335,4.6,3.9,"F","Française",31
13,"brouette","Objet de décoration",10,6,2,1,1,2,4,3,1.1666666665,1.08333333325,1.124999999875,3.1666666666666665,2.2,2.8,"F","Française",32
13,"ceinture","Tenir un pantalon/ jupe",10,6,1,1,1,2,4,3,1.1666666665,1.08333333325,1.124999999875,3.1666666666666665,2.2,2.8,"F","Française",32
13,"brouette","Bac à fleur",10,6,1,1,1,2,4,3,1.1666666665,1.08333333325,1.124999999875,3.1666666666666665,2.2,2.8,"F","Française",32
13,"ceinture","Faire un garrot",10,6,2,1,1,2,4,3,1.1666666665,1.08333333325,1.124999999875,3.1666666666666665,2.2,2.8,"F","Française",32
13,"brouette","Transports de personnes",10,6,1,1,1,2,4,3,1.1666666665,1.08333333325,1.124999999875,3.1666666666666665,2.2,2.8,"F","Française",32
13,"brouette","Transports de matériaux",10,6,1,1,1,2,4,3,1.1666666665,1.08333333325,1.124999999875,3.1666666666666665,2.2,2.8,"F","Française",32
14,"ceinture",NA,10,6,NA,NA,NA,0,1,0.5,NA,1,1,2.1666666666666665,2,4.2,"M","Française",58
14,"brouette","outil de jardinier",10,6,1,1,1,0,1,0.5,NA,1,1,2.1666666666666665,2,4.2,"M","Française",58
15,"ceinture","Serrer une valise",10,6,1,1,1,4,4,4,1.5,1.16666666675,1.3333333333750002,4.333333333333333,4.2,3.3,"F","Française",45
15,"ceinture","Accrocher un transat",10,6,2,3,2,4,4,4,1.5,1.16666666675,1.3333333333750002,4.333333333333333,4.2,3.3,"F","Française",45
15,"ceinture","Maintenir des choses sur son vélo",10,6,2,1,2,4,4,4,1.5,1.16666666675,1.3333333333750002,4.333333333333333,4.2,3.3,"F","Française",45
15,"brouette","Porter des courses",10,6,1,1,1,4,4,4,1.5,1.16666666675,1.3333333333750002,4.333333333333333,4.2,3.3,"F","Française",45
15,"brouette","En faire un pot de fleurs en décoration",10,6,2,1,2,4,4,4,1.5,1.16666666675,1.3333333333750002,4.333333333333333,4.2,3.3,"F","Française",45
15,"ceinture","Fouetter quelqu'un",10,6,1,1,1,4,4,4,1.5,1.16666666675,1.3333333333750002,4.333333333333333,4.2,3.3,"F","Française",45
15,"brouette","Porter des personnes",10,6,1,1,1,4,4,4,1.5,1.16666666675,1.3333333333750002,4.333333333333333,4.2,3.3,"F","Française",45
15,"brouette","Faire des courses de personnes",10,6,1,1,1,4,4,4,1.5,1.16666666675,1.3333333333750002,4.333333333333333,4.2,3.3,"F","Française",45
16,"ceinture","Attache rideau",10,6,4,1,3,6,4,5,2.0555555555,1.83333333325,1.9444444443749997,2.6666666666666665,2.4,2.2,"F","Française",25
16,"ceinture","Collier pour chien",10,6,2,1,1,6,4,5,2.0555555555,1.83333333325,1.9444444443749997,2.6666666666666665,2.4,2.2,"F","Française",25
16,"ceinture","Attache gilet ou manteau",10,6,2,1,1,6,4,5,2.0555555555,1.83333333325,1.9444444443749997,2.6666666666666665,2.4,2.2,"F","Française",25
16,"brouette","Ramener du bois",10,6,1,1,1,6,4,5,2.0555555555,1.83333333325,1.9444444443749997,2.6666666666666665,2.4,2.2,"F","Française",25
16,"brouette","Ramasser feuille",10,6,1,1,2,6,4,5,2.0555555555,1.83333333325,1.9444444443749997,2.6666666666666665,2.4,2.2,"F","Française",25
16,"ceinture","Support écharpe",10,6,2,1,2,6,4,5,2.0555555555,1.83333333325,1.9444444443749997,2.6666666666666665,2.4,2.2,"F","Française",25
16,"ceinture","Circlips",10,6,3,4,5,6,4,5,2.0555555555,1.83333333325,1.9444444443749997,2.6666666666666665,2.4,2.2,"F","Française",25
16,"brouette","Transport pour les ordures exemple le verre",10,6,1,1,2,6,4,5,2.0555555555,1.83333333325,1.9444444443749997,2.6666666666666665,2.4,2.2,"F","Française",25
16,"ceinture","Maintient enfant sur chaise",10,6,1,1,2,6,4,5,2.0555555555,1.83333333325,1.9444444443749997,2.6666666666666665,2.4,2.2,"F","Française",25
16,"brouette","Ramener de chez les voisins des personnes alcoolisé",10,6,3,4,4,6,4,5,2.0555555555,1.83333333325,1.9444444443749997,2.6666666666666665,2.4,2.2,"F","Française",25
17,"brouette","Déplacer de la terre",10,6,1,1,1,5,4,4.5,1.2666666666,1.16666666675,1.2166666666750001,4.333333333333333,4.8,3.8,"F","Française",40
17,"ceinture","Tenir un pantalon",10,6,1,1,1,5,4,4.5,1.2666666666,1.16666666675,1.2166666666750001,4.333333333333333,4.8,3.8,"F","Française",40
17,"ceinture","Fermer un kimono",10,6,1,2,2,5,4,4.5,1.2666666666,1.16666666675,1.2166666666750001,4.333333333333333,4.8,3.8,"F","Française",40
17,"brouette","Promener des enfants",10,6,1,1,1,5,4,4.5,1.2666666666,1.16666666675,1.2166666666750001,4.333333333333333,4.8,3.8,"F","Française",40
17,"brouette","Bac à plantes",10,6,1,1,1,5,4,4.5,1.2666666666,1.16666666675,1.2166666666750001,4.333333333333333,4.8,3.8,"F","Française",40
17,"ceinture","Différencier l'apprentissage",10,6,NA,NA,NA,5,4,4.5,1.2666666666,1.16666666675,1.2166666666750001,4.333333333333333,4.8,3.8,"F","Française",40
17,"brouette","Déplacer des valises ou autres objets d'un point à un autre",10,6,2,1,2,5,4,4.5,1.2666666666,1.16666666675,1.2166666666750001,4.333333333333333,4.8,3.8,"F","Française",40
17,"ceinture","Fermer une valise",10,6,1,1,1,5,4,4.5,1.2666666666,1.16666666675,1.2166666666750001,4.333333333333333,4.8,3.8,"F","Française",40
17,"ceinture","Faire un garrot",10,6,2,1,1,5,4,4.5,1.2666666666,1.16666666675,1.2166666666750001,4.333333333333333,4.8,3.8,"F","Française",40
17,"ceinture","Accrocher",10,6,2,1,1,5,4,4.5,1.2666666666,1.16666666675,1.2166666666750001,4.333333333333333,4.8,3.8,"F","Française",40
18,"brouette","Transporter des choses voir des êtres humains",10,6,1,1,2,2,2,2,2.333333333,1.5,1.9166666665,3.5,3,3.3,"F","Française",55
18,"brouette","Peux aussi servir de décoration avec des plantes dedans dans un jardin",10,6,2,1,2,2,2,2,2.333333333,1.5,1.9166666665,3.5,3,3.3,"F","Française",55
18,"ceinture","Limites sur un jeu",10,6,2,2,3,2,2,2,2.333333333,1.5,1.9166666665,3.5,3,3.3,"F","Française",55
18,"ceinture","Découpage Pour en faire deux",10,6,3,1,3,2,2,2,2.333333333,1.5,1.9166666665,3.5,3,3.3,"F","Française",55
19,"brouette","Jardinage",10,6,1,1,1,4,4,4,1.16666666675,1.08333333325,1.125,3.1666666666666665,3.4,3.3,"F","Française",39
19,"brouette","Travaux",10,6,1,1,1,4,4,4,1.16666666675,1.08333333325,1.125,3.1666666666666665,3.4,3.3,"F","Française",39
19,"ceinture","Attacher un pantalon",10,6,1,1,1,4,4,4,1.16666666675,1.08333333325,1.125,3.1666666666666665,3.4,3.3,"F","Française",39
19,"brouette","Course de brouette",10,6,1,1,1,4,4,4,1.16666666675,1.08333333325,1.125,3.1666666666666665,3.4,3.3,"F","Française",39
19,"brouette","Décoration de jardin",10,6,2,1,1,4,4,4,1.16666666675,1.08333333325,1.125,3.1666666666666665,3.4,3.3,"F","Française",39
19,"ceinture","Faire tenir des livres ensemble",10,6,1,1,1,4,4,4,1.16666666675,1.08333333325,1.125,3.1666666666666665,3.4,3.3,"F","Française",39
19,"ceinture","Jeu érotique",10,6,1,1,3,4,4,4,1.16666666675,1.08333333325,1.125,3.1666666666666665,3.4,3.3,"F","Française",39
19,"ceinture","Garrot",10,6,1,1,1,4,4,4,1.16666666675,1.08333333325,1.125,3.1666666666666665,3.4,3.3,"F","Française",39
20,"brouette","Transport",10,6,1,1,1,2,8,5,1,2.333333333375,1.6666666666875,4.833333333333333,5,4.1,"F","Française",52
20,"brouette","seau à glace",10,6,3,4,3,2,8,5,1,2.333333333375,1.6666666666875,4.833333333333333,5,4.1,"F","Française",52
20,"ceinture","Pantalon",10,6,1,1,1,2,8,5,1,2.333333333375,1.6666666666875,4.833333333333333,5,4.1,"F","Française",52
20,"brouette","pot de fleur",10,6,3,1,1,2,8,5,1,2.333333333375,1.6666666666875,4.833333333333333,5,4.1,"F","Française",52
20,"brouette","la d'eau",10,6,3,2,3,2,8,5,1,2.333333333375,1.6666666666875,4.833333333333333,5,4.1,"F","Française",52
20,"ceinture","robe",10,6,1,1,1,2,8,5,1,2.333333333375,1.6666666666875,4.833333333333333,5,4.1,"F","Française",52
20,"brouette","berceau",10,6,3,3,2,2,8,5,1,2.333333333375,1.6666666666875,4.833333333333333,5,4.1,"F","Française",52
20,"brouette","balançoire",10,6,3,5,4,2,8,5,1,2.333333333375,1.6666666666875,4.833333333333333,5,4.1,"F","Française",52
20,"brouette","porte manteau",10,6,3,1,2,2,8,5,1,2.333333333375,1.6666666666875,4.833333333333333,5,4.1,"F","Française",52
20,"brouette","fauteuil",10,6,2,1,1,2,8,5,1,2.333333333375,1.6666666666875,4.833333333333333,5,4.1,"F","Française",52
21,"ceinture","Courroie",10,6,4,3,3,5,4,4.5,2.6666666668,1.33333333325,2.000000000025,3.6666666666666665,3.8,3.6,"F","Française",44
21,"ceinture","Luge",10,6,3,5,3,5,4,4.5,2.6666666668,1.33333333325,2.000000000025,3.6666666666666665,3.8,3.6,"F","Française",44
21,"ceinture","Balançoire",10,6,3,3,2,5,4,4.5,2.6666666668,1.33333333325,2.000000000025,3.6666666666666665,3.8,3.6,"F","Française",44
21,"ceinture","Engrenage",10,6,3,3,2,5,4,4.5,2.6666666668,1.33333333325,2.000000000025,3.6666666666666665,3.8,3.6,"F","Française",44
21,"ceinture","Garrot",10,6,1,1,1,5,4,4.5,2.6666666668,1.33333333325,2.000000000025,3.6666666666666665,3.8,3.6,"F","Française",44
21,"brouette","Véhicule",10,6,2,1,1,5,4,4.5,2.6666666668,1.33333333325,2.000000000025,3.6666666666666665,3.8,3.6,"F","Française",44
21,"brouette","Décoration",10,6,2,1,1,5,4,4.5,2.6666666668,1.33333333325,2.000000000025,3.6666666666666665,3.8,3.6,"F","Française",44
21,"brouette","Table",10,6,3,1,1,5,4,4.5,2.6666666668,1.33333333325,2.000000000025,3.6666666666666665,3.8,3.6,"F","Française",44
21,"brouette","Jouet",10,6,1,1,1,5,4,4.5,2.6666666668,1.33333333325,2.000000000025,3.6666666666666665,3.8,3.6,"F","Française",44
22,"ceinture","Jouer au cheval",10,6,2,1,2,8,9,8.5,2.583333333375,3,2.7916666666875,2.3333333333333335,2.2,3.7,"F","Française",37
22,"ceinture","Tracer un mur",10,6,4,4,3,8,9,8.5,2.583333333375,3,2.7916666666875,2.3333333333333335,2.2,3.7,"F","Française",37
22,"ceinture","Une ligne de course",10,6,3,1,3,8,9,8.5,2.583333333375,3,2.7916666666875,2.3333333333333335,2.2,3.7,"F","Française",37
22,"brouette","Une cabane",10,6,3,1,3,8,9,8.5,2.583333333375,3,2.7916666666875,2.3333333333333335,2.2,3.7,"F","Française",37
22,"ceinture","Une couronne",10,6,3,1,4,8,9,8.5,2.583333333375,3,2.7916666666875,2.3333333333333335,2.2,3.7,"F","Française",37
22,"brouette","Un bateau",10,6,2,1,3,8,9,8.5,2.583333333375,3,2.7916666666875,2.3333333333333335,2.2,3.7,"F","Française",37
22,"ceinture","Un collier",10,6,2,1,1,8,9,8.5,2.583333333375,3,2.7916666666875,2.3333333333333335,2.2,3.7,"F","Française",37
22,"ceinture","Un enclos",10,6,3,3,3,8,9,8.5,2.583333333375,3,2.7916666666875,2.3333333333333335,2.2,3.7,"F","Française",37
22,"brouette","Un toboggan",10,6,3,3,4,8,9,8.5,2.583333333375,3,2.7916666666875,2.3333333333333335,2.2,3.7,"F","Française",37
22,"ceinture","Une cravate",10,6,3,1,4,8,9,8.5,2.583333333375,3,2.7916666666875,2.3333333333333335,2.2,3.7,"F","Française",37
22,"brouette","Une piscine",10,6,3,2,1,8,9,8.5,2.583333333375,3,2.7916666666875,2.3333333333333335,2.2,3.7,"F","Française",37
22,"ceinture","Un arc",10,6,3,3,4,8,9,8.5,2.583333333375,3,2.7916666666875,2.3333333333333335,2.2,3.7,"F","Française",37
22,"brouette","Un miroir",10,6,3,4,4,8,9,8.5,2.583333333375,3,2.7916666666875,2.3333333333333335,2.2,3.7,"F","Française",37
22,"brouette","Une piste d'envol",10,6,3,3,4,8,9,8.5,2.583333333375,3,2.7916666666875,2.3333333333333335,2.2,3.7,"F","Française",37
22,"brouette","Un robot Transformers",10,6,4,5,5,8,9,8.5,2.583333333375,3,2.7916666666875,2.3333333333333335,2.2,3.7,"F","Française",37
22,"brouette","Un lit",10,6,3,2,1,8,9,8.5,2.583333333375,3,2.7916666666875,2.3333333333333335,2.2,3.7,"F","Française",37
22,"brouette","Une catapulte",10,6,3,4,4,8,9,8.5,2.583333333375,3,2.7916666666875,2.3333333333333335,2.2,3.7,"F","Française",37
23,"ceinture","trainer son chien",10,6,2,1,2,6,2,4,2.77777777783333,3,2.8888888889166653,3.6666666666666665,3.8,4.7,"F","Française",70
23,"ceinture","faire un collier (sautoir)",10,6,2,1,2,6,2,4,2.77777777783333,3,2.8888888889166653,3.6666666666666665,3.8,4.7,"F","Française",70
23,"ceinture","remplacer la courroie de distribution sur le moteur d'un véhicule",10,6,3,2,4,6,2,4,2.77777777783333,3,2.8888888889166653,3.6666666666666665,3.8,4.7,"F","Française",70
23,"ceinture","faire un cadre pour la photo de sa grand-mère",10,6,3,5,4,6,2,4,2.77777777783333,3,2.8888888889166653,3.6666666666666665,3.8,4.7,"F","Française",70
23,"brouette","faire un siège en la remplissant de coussins",10,6,3,3,3,6,2,4,2.77777777783333,3,2.8888888889166653,3.6666666666666665,3.8,4.7,"F","Française",70
23,"ceinture","la couper en petits morceaux pour faire des porte-couteaux",10,6,3,5,5,6,2,4,2.77777777783333,3,2.8888888889166653,3.6666666666666665,3.8,4.7,"F","Française",70
23,"brouette","emmener les enfants à l'école",10,6,3,3,3,6,2,4,2.77777777783333,3,2.8888888889166653,3.6666666666666665,3.8,4.7,"F","Française",70
23,"ceinture","en la tortillant faire un bracelet de force",10,6,3,1,2,6,2,4,2.77777777783333,3,2.8888888889166653,3.6666666666666665,3.8,4.7,"F","Française",70
24,"brouette","Pour récupérer de l eau",10,6,2,1,3,0,4,2,NA,2.33333333325,2.33333333325,3.8333333333333335,4,4.3,"F","Française",69
24,"ceinture",NA,10,6,NA,NA,NA,0,4,2,NA,2.33333333325,2.33333333325,3.8333333333333335,4,4.3,"F","Française",69
24,"brouette","Naviguer sur une rivière",10,6,3,2,3,0,4,2,NA,2.33333333325,2.33333333325,3.8333333333333335,4,4.3,"F","Française",69
24,"brouette","Lit d un bébé",10,6,3,2,2,0,4,2,NA,2.33333333325,2.33333333325,3.8333333333333335,4,4.3,"F","Française",69
24,"brouette","Niche",10,6,3,1,3,0,4,2,NA,2.33333333325,2.33333333325,3.8333333333333335,4,4.3,"F","Française",69
25,"ceinture","Lasso",10,6,2,1,2,4,5,4.5,1.41666666675,2.0666666666,1.741666666675,2.6666666666666665,1.2,3.1,"F","Française",28
25,"ceinture","fouetter",10,6,1,1,1,4,5,4.5,1.41666666675,2.0666666666,1.741666666675,2.6666666666666665,1.2,3.1,"F","Française",28
25,"ceinture","bijou",10,6,3,1,1,4,5,4.5,1.41666666675,2.0666666666,1.741666666675,2.6666666666666665,1.2,3.1,"F","Française",28
25,"brouette","Jouet",10,6,1,1,1,4,5,4.5,1.41666666675,2.0666666666,1.741666666675,2.6666666666666665,1.2,3.1,"F","Française",28
25,"ceinture","objet SM",10,6,1,1,2,4,5,4.5,1.41666666675,2.0666666666,1.741666666675,2.6666666666666665,1.2,3.1,"F","Française",28
