"ID","prompt","response","set","lab","rater1","rater2","rater3","Fluency_Ceinture","Fluency_Brouette","Fluency_avrg","Orig_Ceinture","Orig_brouette","Orig_avrg","CSE","CPI","Openness","Age","Gender","native_french"
4,"brouette","Chaise de jardin",11,6,2,2,2,6,7,6.5,1.83333333333333,1.61904761904762,1.726190476190475,4.5,6.6,5.9,18,"F","Oui"
4,"brouette","Bac à fleurs",11,6,1,2,1,6,7,6.5,1.83333333333333,1.61904761904762,1.726190476190475,4.5,6.6,5.9,18,"F","Oui"
4,"brouette","marche-pied pour être plus grand",11,6,2,1,3,6,7,6.5,1.83333333333333,1.61904761904762,1.726190476190475,4.5,6.6,5.9,18,"F","Oui"
4,"brouette","Bac à linge",11,6,1,2,2,6,7,6.5,1.83333333333333,1.61904761904762,1.726190476190475,4.5,6.6,5.9,18,"F","Oui"
4,"ceinture","Jouet pour chat",11,6,4,2,2,6,7,6.5,1.83333333333333,1.61904761904762,1.726190476190475,4.5,6.6,5.9,18,"F","Oui"
4,"ceinture","Lasso",11,6,1,1,2,6,7,6.5,1.83333333333333,1.61904761904762,1.726190476190475,4.5,6.6,5.9,18,"F","Oui"
4,"brouette","Poubelle",11,6,3,1,1,6,7,6.5,1.83333333333333,1.61904761904762,1.726190476190475,4.5,6.6,5.9,18,"F","Oui"
4,"ceinture","Indice de mesure (comme un mètre)",11,6,3,2,2,6,7,6.5,1.83333333333333,1.61904761904762,1.726190476190475,4.5,6.6,5.9,18,"F","Oui"
4,"ceinture","Décoration d'intérieur",11,6,2,3,1,6,7,6.5,1.83333333333333,1.61904761904762,1.726190476190475,4.5,6.6,5.9,18,"F","Oui"
4,"ceinture","Serre-tête",11,6,2,1,2,6,7,6.5,1.83333333333333,1.61904761904762,1.726190476190475,4.5,6.6,5.9,18,"F","Oui"
4,"ceinture","Fouet",11,6,1,1,1,6,7,6.5,1.83333333333333,1.61904761904762,1.726190476190475,4.5,6.6,5.9,18,"F","Oui"
5,"brouette","Moyen de transport",11,6,1,1,1,8,6,7,2.29166666675,1.44444444444444,1.8680555555972198,4.5,4.4,5,17,"F","Oui"
5,"brouette","Lit",11,6,1,1,1,8,6,7,2.29166666675,1.44444444444444,1.8680555555972198,4.5,4.4,5,17,"F","Oui"
5,"brouette","Cabane",11,6,2,1,2,8,6,7,2.29166666675,1.44444444444444,1.8680555555972198,4.5,4.4,5,17,"F","Oui"
5,"brouette","Baignoire",11,6,2,1,1,8,6,7,2.29166666675,1.44444444444444,1.8680555555972198,4.5,4.4,5,17,"F","Oui"
5,"brouette","Remorque",11,6,3,2,2,8,6,7,2.29166666675,1.44444444444444,1.8680555555972198,4.5,4.4,5,17,"F","Oui"
5,"ceinture","Sangle",11,6,2,2,2,8,6,7,2.29166666675,1.44444444444444,1.8680555555972198,4.5,4.4,5,17,"F","Oui"
5,"ceinture","Collier pour chat",11,6,1,2,2,8,6,7,2.29166666675,1.44444444444444,1.8680555555972198,4.5,4.4,5,17,"F","Oui"
5,"brouette","Siège",11,6,2,1,1,8,6,7,2.29166666675,1.44444444444444,1.8680555555972198,4.5,4.4,5,17,"F","Oui"
5,"ceinture","Brassard",11,6,5,2,2,8,6,7,2.29166666675,1.44444444444444,1.8680555555972198,4.5,4.4,5,17,"F","Oui"
5,"ceinture","Cale-porte",11,6,5,3,3,8,6,7,2.29166666675,1.44444444444444,1.8680555555972198,4.5,4.4,5,17,"F","Oui"
5,"ceinture","Garrot",11,6,2,1,1,8,6,7,2.29166666675,1.44444444444444,1.8680555555972198,4.5,4.4,5,17,"F","Oui"
5,"ceinture","Skis",11,6,5,5,4,8,6,7,2.29166666675,1.44444444444444,1.8680555555972198,4.5,4.4,5,17,"F","Oui"
5,"ceinture","Fouet",11,6,1,1,1,8,6,7,2.29166666675,1.44444444444444,1.8680555555972198,4.5,4.4,5,17,"F","Oui"
5,"ceinture","Laisse",11,6,1,1,1,8,6,7,2.29166666675,1.44444444444444,1.8680555555972198,4.5,4.4,5,17,"F","Oui"
6,"brouette","Transporter des enfants",11,6,1,1,1,1,2,1.5,1.666666667,1.66666666666666,1.66666666683333,1.8333333333333333,1.8,3.6,21,"F","Oui"
6,"brouette","La remplir d'eau et en faire une pataugeoire",11,6,3,1,3,1,2,1.5,1.666666667,1.66666666666666,1.66666666683333,1.8333333333333333,1.8,3.6,21,"F","Oui"
6,"ceinture","S'en servir de laisse pour promener un chien",11,6,1,2,2,1,2,1.5,1.666666667,1.66666666666666,1.66666666683333,1.8333333333333333,1.8,3.6,21,"F","Oui"
7,"brouette","Moyen de transport",11,6,1,1,1,2,3,2.5,3,1.33333333333333,2.166666666666665,2.3333333333333335,2.6,5.3,21,"F","Oui"
7,"brouette","Cabane",11,6,2,1,2,2,3,2.5,3,1.33333333333333,2.166666666666665,2.3333333333333335,2.6,5.3,21,"F","Oui"
7,"brouette","Décoration d'intérieur",11,6,1,2,1,2,3,2.5,3,1.33333333333333,2.166666666666665,2.3333333333333335,2.6,5.3,21,"F","Oui"
7,"ceinture","Attacher des objets ensemble",11,6,2,2,1,2,3,2.5,3,1.33333333333333,2.166666666666665,2.3333333333333335,2.6,5.3,21,"F","Oui"
7,"ceinture","L'utiliser pour des jeux (puits pour jouer aux billes en l'enroulant)",11,6,5,4,4,2,3,2.5,3,1.33333333333333,2.166666666666665,2.3333333333333335,2.6,5.3,21,"F","Oui"
8,"brouette","Véhicule pour transporter les enfants quand ils sont fatigués de marcher",11,6,1,1,2,3,3,3,2.777777778,2.22222222222222,2.5000000001111102,2.5,2.8,5.3,20,"F","Oui"
8,"brouette","Ramasse-ordure",11,6,3,3,2,3,3,3,2.777777778,2.22222222222222,2.5000000001111102,2.5,2.8,5.3,20,"F","Oui"
8,"brouette","Retourner contre un arbre pour abriter le chat/chien quand il pleut",11,6,3,2,3,3,3,3,2.777777778,2.22222222222222,2.5000000001111102,2.5,2.8,5.3,20,"F","Oui"
8,"ceinture","L'utiliser comme attaches",11,6,2,2,1,3,3,3,2.777777778,2.22222222222222,2.5000000001111102,2.5,2.8,5.3,20,"F","Oui"
8,"ceinture","L'attacher autour d'une branche en hauteur et se balancer (comme la corde de Tarzan)",11,6,2,5,4,3,3,3,2.777777778,2.22222222222222,2.5000000001111102,2.5,2.8,5.3,20,"F","Oui"
8,"ceinture","L'utiliser comme licol pour ramener un cheval",11,6,4,1,4,3,3,3,2.777777778,2.22222222222222,2.5000000001111102,2.5,2.8,5.3,20,"F","Oui"
9,"brouette","Mini-piscine portative",11,6,2,1,3,3,6,4.5,3.111111111,3.22222222222222,3.16666666661111,6,5.2,4.8,19,"F","Oui"
9,"brouette","Piscine à boule",11,6,2,3,4,3,6,4.5,3.111111111,3.22222222222222,3.16666666661111,6,5.2,4.8,19,"F","Oui"
9,"brouette","Toit pour une cabane dans les arbres",11,6,5,3,4,3,6,4.5,3.111111111,3.22222222222222,3.16666666661111,6,5.2,4.8,19,"F","Oui"
9,"brouette","Bouclier sur roulette",11,6,5,4,4,3,6,4.5,3.111111111,3.22222222222222,3.16666666661111,6,5.2,4.8,19,"F","Oui"
9,"brouette","Bateau facilement mettable dans l'eau avec ses roues",11,6,3,4,3,3,6,4.5,3.111111111,3.22222222222222,3.16666666661111,6,5.2,4.8,19,"F","Oui"
9,"ceinture","Porte-cintres pour gagner de la place (dans les crans de la ceinture)",11,6,2,3,4,3,6,4.5,3.111111111,3.22222222222222,3.16666666661111,6,5.2,4.8,19,"F","Oui"
9,"brouette","Escabeau portatif (différentes hauteurs en fonction du côté sur lequel on s'appuie)",11,6,3,2,3,3,6,4.5,3.111111111,3.22222222222222,3.16666666661111,6,5.2,4.8,19,"F","Oui"
9,"ceinture","Fermeture de anses de sac à main",11,6,2,2,2,3,6,4.5,3.111111111,3.22222222222222,3.16666666661111,6,5.2,4.8,19,"F","Oui"
9,"ceinture","Compas pour tracer des cercles ou ellipses en fixant un stylo à un endroit au centre de la ceinture et l'autre stylo tourne le long de la ceinture",11,6,5,3,5,3,6,4.5,3.111111111,3.22222222222222,3.16666666661111,6,5.2,4.8,19,"F","Oui"
10,"brouette","Une brouette volante qui n'aurait plus besoin d'être pousser ou porter",11,6,1,4,4,2,1,1.5,4.5,3,3.75,2,1.8,4.6,18,"F","Oui"
10,"ceinture","Une ceinture qui nous permet d'être invisible dés qu'on la porte",11,6,4,5,5,2,1,1.5,4.5,3,3.75,2,1.8,4.6,18,"F","Oui"
10,"ceinture","Une ceinture ayant des options comme le GPS par exemple. Elle enverrait des informations à notre cerveau qui nous permettrait de trouver notre chemin seul sans avoir besoin de téléphone",11,6,4,4,5,2,1,1.5,4.5,3,3.75,2,1.8,4.6,18,"F","Oui"
11,"brouette","Utiliser plusieurs brouettes pour faire un parcours (escalader, etc.)",11,6,5,3,3,5,3,4,4.0666666666,3.11111111111111,3.588888888855555,5,5,5.9,18,"F","Oui"
11,"brouette","Empiler des brouettes à la verticale, les unes à côté des autres, pour servir d'étagère dans le jardin",11,6,4,3,4,5,3,4,4.0666666666,3.11111111111111,3.588888888855555,5,5,5.9,18,"F","Oui"
11,"ceinture","Ceinture qui nous permet de voler",11,6,3,5,4,5,3,4,4.0666666666,3.11111111111111,3.588888888855555,5,5,5.9,18,"F","Oui"
11,"brouette","Dévaler des pentes pour faire une course entre amis, chacun dans une brouette",11,6,1,2,3,5,3,4,4.0666666666,3.11111111111111,3.588888888855555,5,5,5.9,18,"F","Oui"
11,"ceinture","Ceinture qui s'anime et se promène dans la salle comme un animal de compagnie",11,6,3,5,5,5,3,4,4.0666666666,3.11111111111111,3.588888888855555,5,5,5.9,18,"F","Oui"
11,"ceinture","Peut s'étirer à l'infini pour faire des grandes cordes. Pratique pour les enfants qui veulent faire de la corde à sauter",11,6,1,5,5,5,3,4,4.0666666666,3.11111111111111,3.588888888855555,5,5,5.9,18,"F","Oui"
11,"ceinture","Rend invisible",11,6,4,5,4,5,3,4,4.0666666666,3.11111111111111,3.588888888855555,5,5,5.9,18,"F","Oui"
11,"ceinture","On la secoue vers un objet (en la tenant par un bout) et celui-ci devient comestible",11,6,3,5,4,5,3,4,4.0666666666,3.11111111111111,3.588888888855555,5,5,5.9,18,"F","Oui"
12,"brouette","Planter des fleurs dedans",11,6,1,2,2,7,7,7,2.66666666671429,1.61904761904762,2.1428571428809553,4.833333333333333,5.4,5.4,44,"F","Oui"
12,"brouette","Aller faire ses courses",11,6,1,2,1,7,7,7,2.66666666671429,1.61904761904762,2.1428571428809553,4.833333333333333,5.4,5.4,44,"F","Oui"
12,"brouette","Porter ses enfants",11,6,1,1,1,7,7,7,2.66666666671429,1.61904761904762,2.1428571428809553,4.833333333333333,5.4,5.4,44,"F","Oui"
12,"brouette","Monter dessus à l'envers comme un escabeau",11,6,3,1,2,7,7,7,2.66666666671429,1.61904761904762,2.1428571428809553,4.833333333333333,5.4,5.4,44,"F","Oui"
12,"ceinture","Accrocher un hamac à un arbre",11,6,3,3,4,7,7,7,2.66666666671429,1.61904761904762,2.1428571428809553,4.833333333333333,5.4,5.4,44,"F","Oui"
12,"brouette","Faire une petite piscine",11,6,2,1,2,7,7,7,2.66666666671429,1.61904761904762,2.1428571428809553,4.833333333333333,5.4,5.4,44,"F","Oui"
12,"brouette","Faire une course de brouette",11,6,3,1,2,7,7,7,2.66666666671429,1.61904761904762,2.1428571428809553,4.833333333333333,5.4,5.4,44,"F","Oui"
12,"ceinture","Serrer des paquets",11,6,3,2,2,7,7,7,2.66666666671429,1.61904761904762,2.1428571428809553,4.833333333333333,5.4,5.4,44,"F","Oui"
12,"ceinture","Faire un lien avec une autre pour s'évader",11,6,3,3,2,7,7,7,2.66666666671429,1.61904761904762,2.1428571428809553,4.833333333333333,5.4,5.4,44,"F","Oui"
12,"brouette","Faire un lit pour animal",11,6,1,2,2,7,7,7,2.66666666671429,1.61904761904762,2.1428571428809553,4.833333333333333,5.4,5.4,44,"F","Oui"
12,"ceinture","Faire un garrot",11,6,2,1,1,7,7,7,2.66666666671429,1.61904761904762,2.1428571428809553,4.833333333333333,5.4,5.4,44,"F","Oui"
12,"ceinture","Faire un treuil",11,6,5,3,3,7,7,7,2.66666666671429,1.61904761904762,2.1428571428809553,4.833333333333333,5.4,5.4,44,"F","Oui"
12,"ceinture","Faire un lasso",11,6,1,2,2,7,7,7,2.66666666671429,1.61904761904762,2.1428571428809553,4.833333333333333,5.4,5.4,44,"F","Oui"
12,"ceinture","Bloquer ses jambes pour sauter (jeu)",11,6,5,3,3,7,7,7,2.66666666671429,1.61904761904762,2.1428571428809553,4.833333333333333,5.4,5.4,44,"F","Oui"
13,"brouette","Remorque derrière une voiture",11,6,3,2,3,3,3,3,2.222222222,3,2.611111111,4.5,5.6,5.4,23,"M","Oui"
13,"brouette","Ascenseur avec une poulie (brouette attachée)",11,6,4,4,5,3,3,3,2.222222222,3,2.611111111,4.5,5.6,5.4,23,"M","Oui"
13,"brouette","Comme luge",11,6,2,1,3,3,3,3,2.222222222,3,2.611111111,4.5,5.6,5.4,23,"M","Oui"
13,"ceinture","Lien entre voiture et remorque",11,6,3,2,4,3,3,3,2.222222222,3,2.611111111,4.5,5.6,5.4,23,"M","Oui"
13,"ceinture","Comme instrument de mesure",11,6,3,2,2,3,3,3,2.222222222,3,2.611111111,4.5,5.6,5.4,23,"M","Oui"
13,"ceinture","Comme garrot",11,6,2,1,1,3,3,3,2.222222222,3,2.611111111,4.5,5.6,5.4,23,"M","Oui"
14,"brouette","Pour transporter son bébé",11,6,1,1,1,9,6,7.5,2.81481481477778,2.05555555555555,2.435185185166665,4.166666666666667,4.2,6.1,36,"F","Oui"
14,"brouette","Pour transporter ses bagages au lieu d'une valise à roulette",11,6,1,1,3,9,6,7.5,2.81481481477778,2.05555555555555,2.435185185166665,4.166666666666667,4.2,6.1,36,"F","Oui"
14,"brouette","Comme une luge, sur la route",11,6,2,1,3,9,6,7.5,2.81481481477778,2.05555555555555,2.435185185166665,4.166666666666667,4.2,6.1,36,"F","Oui"
14,"brouette","Pour faire ses courses",11,6,1,2,1,9,6,7.5,2.81481481477778,2.05555555555555,2.435185185166665,4.166666666666667,4.2,6.1,36,"F","Oui"
14,"ceinture","Comme un lasso",11,6,1,4,2,9,6,7.5,2.81481481477778,2.05555555555555,2.435185185166665,4.166666666666667,4.2,6.1,36,"F","Oui"
14,"brouette","Pour ranger plus rapidement les jouets d'enfants éparpillés dans la chambre",11,6,3,2,4,9,6,7.5,2.81481481477778,2.05555555555555,2.435185185166665,4.166666666666667,4.2,6.1,36,"F","Oui"
14,"ceinture","Pour porter des livres ensemble",11,6,3,3,3,9,6,7.5,2.81481481477778,2.05555555555555,2.435185185166665,4.166666666666667,4.2,6.1,36,"F","Oui"
14,"brouette","Pour transporter des nuages d'un endroit à un autre",11,6,1,4,5,9,6,7.5,2.81481481477778,2.05555555555555,2.435185185166665,4.166666666666667,4.2,6.1,36,"F","Oui"
14,"ceinture","Pour sauter à la corde",11,6,1,1,2,9,6,7.5,2.81481481477778,2.05555555555555,2.435185185166665,4.166666666666667,4.2,6.1,36,"F","Oui"
14,"ceinture","Comme un fouet pour dompter les liens",11,6,1,3,2,9,6,7.5,2.81481481477778,2.05555555555555,2.435185185166665,4.166666666666667,4.2,6.1,36,"F","Oui"
14,"ceinture","Pour jouer à l'élastique comme les enfants",11,6,2,2,3,9,6,7.5,2.81481481477778,2.05555555555555,2.435185185166665,4.166666666666667,4.2,6.1,36,"F","Oui"
14,"ceinture","Comme une écharpe",11,6,4,2,2,9,6,7.5,2.81481481477778,2.05555555555555,2.435185185166665,4.166666666666667,4.2,6.1,36,"F","Oui"
14,"ceinture","Pour tenir le pantalon autour de la cheville pour faire du vélo",11,6,5,3,4,9,6,7.5,2.81481481477778,2.05555555555555,2.435185185166665,4.166666666666667,4.2,6.1,36,"F","Oui"
14,"ceinture","Pour faire un paquet cadeau",11,6,5,3,3,9,6,7.5,2.81481481477778,2.05555555555555,2.435185185166665,4.166666666666667,4.2,6.1,36,"F","Oui"
14,"ceinture","Pour attacher un ballon gonflé à l'hélium",11,6,4,4,4,9,6,7.5,2.81481481477778,2.05555555555555,2.435185185166665,4.166666666666667,4.2,6.1,36,"F","Oui"
15,"brouette","Transporter quelqu'un",11,6,1,1,1,3,4,3.5,1.44444444433333,2.08333333333333,1.76388888883333,3,2.8,3.9,19,"F","Oui"
15,"brouette","Sert pour tenir une porte ouverte",11,6,4,3,3,3,4,3.5,1.44444444433333,2.08333333333333,1.76388888883333,3,2.8,3.9,19,"F","Oui"
15,"brouette","Pour s'asseoir si retournée",11,6,2,1,1,3,4,3.5,1.44444444433333,2.08333333333333,1.76388888883333,3,2.8,3.9,19,"F","Oui"
15,"brouette","Boîte à rangement",11,6,3,3,2,3,4,3.5,1.44444444433333,2.08333333333333,1.76388888883333,3,2.8,3.9,19,"F","Oui"
15,"ceinture","Faire un garrot",11,6,2,1,1,3,4,3.5,1.44444444433333,2.08333333333333,1.76388888883333,3,2.8,3.9,19,"F","Oui"
15,"ceinture","Faire tenir un objet",11,6,2,2,1,3,4,3.5,1.44444444433333,2.08333333333333,1.76388888883333,3,2.8,3.9,19,"F","Oui"
15,"ceinture","Attacher quelqu'un",11,6,2,1,1,3,4,3.5,1.44444444433333,2.08333333333333,1.76388888883333,3,2.8,3.9,19,"F","Oui"
16,"brouette","Décoration dans une maison comme meuble",11,6,1,2,2,4,5,4.5,1.24999999975,1.4,1.324999999875,4,3.8,4.5,21,"F","Oui"
16,"brouette","Chaise de jardin",11,6,2,2,2,4,5,4.5,1.24999999975,1.4,1.324999999875,4,3.8,4.5,21,"F","Oui"
16,"brouette","Pot de fleur sympa",11,6,1,1,1,4,5,4.5,1.24999999975,1.4,1.324999999875,4,3.8,4.5,21,"F","Oui"
16,"brouette","Poussette",11,6,1,1,1,4,5,4.5,1.24999999975,1.4,1.324999999875,4,3.8,4.5,21,"F","Oui"
16,"brouette","Caddie pour les courses",11,6,1,2,1,4,5,4.5,1.24999999975,1.4,1.324999999875,4,3.8,4.5,21,"F","Oui"
16,"ceinture","Lanière de sac",11,6,2,1,1,4,5,4.5,1.24999999975,1.4,1.324999999875,4,3.8,4.5,21,"F","Oui"
16,"ceinture","Laisse pour les chiens",11,6,1,2,1,4,5,4.5,1.24999999975,1.4,1.324999999875,4,3.8,4.5,21,"F","Oui"
16,"ceinture","Bijou",11,6,1,2,1,4,5,4.5,1.24999999975,1.4,1.324999999875,4,3.8,4.5,21,"F","Oui"
16,"ceinture","Ceinture de voiture",11,6,1,1,1,4,5,4.5,1.24999999975,1.4,1.324999999875,4,3.8,4.5,21,"F","Oui"
17,"brouette","Une brouette qui permettrait de s'envoler, elle permettrait de voler au dessus des maisons pour voir le ciel",11,6,3,5,5,2,3,2.5,4.5,3.77777777777778,4.13888888888889,4,3.4,4.2,19,"F","Oui"
17,"brouette","Une brouette qui apparaîtrait comme par magie, quand on aura fait trop de courses dans le supermarché, et nous permettrait de se soulager et elle se conduirait toute seule",11,6,1,5,5,2,3,2.5,4.5,3.77777777777778,4.13888888888889,4,3.4,4.2,19,"F","Oui"
17,"brouette","Une brouette qui avec un volant servirait de première voiture pour les enfants",11,6,2,4,4,2,3,2.5,4.5,3.77777777777778,4.13888888888889,4,3.4,4.2,19,"F","Oui"
17,"ceinture","Une ceinture qui peut attraper les objets lointains pour les personne avec des difficultés motrices",11,6,3,4,5,2,3,2.5,4.5,3.77777777777778,4.13888888888889,4,3.4,4.2,19,"F","Oui"
17,"ceinture","Une ceinture qui pourrait s'adapter à la couleur que l'on souhaite dans une tenue. Avec des récepteurs, de capter la couleur qui va le mieux avec notre tenue",11,6,5,5,5,2,3,2.5,4.5,3.77777777777778,4.13888888888889,4,3.4,4.2,19,"F","Oui"
18,"brouette","Transporter un enfant dans une brouette pour l'amuser",11,6,1,2,2,4,3,3.5,4,2,3,4.166666666666667,3.2,3.6,19,"F","Oui"
18,"brouette","Mettre les détritus à l'intérieur puis la laisser aux éboueurs pour faciliter la tâche",11,6,1,3,4,4,3,3.5,4,2,3,4.166666666666667,3.2,3.6,19,"F","Oui"
18,"brouette","Faire pousser une fleur (avec graines et terre)",11,6,1,2,2,4,3,3.5,4,2,3,4.166666666666667,3.2,3.6,19,"F","Oui"
18,"ceinture","Fermer la bouche des enfants avec une mini-ceinture",11,6,4,4,3,4,3,3.5,4,2,3,4.166666666666667,3.2,3.6,19,"F","Oui"
18,"ceinture","Fermer le frigo quand celui-ci a une porte cassée à l'aide d'une ceinture géante et solide",11,6,5,4,4,4,3,3.5,4,2,3,4.166666666666667,3.2,3.6,19,"F","Oui"
18,"ceinture","Utiliser la ceinture comme instrument de musique",11,6,5,4,3,4,3,3.5,4,2,3,4.166666666666667,3.2,3.6,19,"F","Oui"
18,"ceinture","Utiliser l'embout de la ceinture comme clé",11,6,5,4,3,4,3,3.5,4,2,3,4.166666666666667,3.2,3.6,19,"F","Oui"
19,"brouette","Mettre quelqu'un dedans pour faire une course",11,6,1,1,2,7,3,5,2.33333333314286,2.77777777777778,2.55555555546032,4.833333333333333,5,6.1,19,"F","Oui"
19,"brouette","La retourner et la peindre et faire des chenilles avec (ou des escargots)",11,6,5,1,5,7,3,5,2.33333333314286,2.77777777777778,2.55555555546032,4.833333333333333,5,6.1,19,"F","Oui"
19,"brouette","Faire deux trous pour les jambes et mettre un enfant dedans pour qu'il puisse marcher",11,6,2,4,4,7,3,5,2.33333333314286,2.77777777777778,2.55555555546032,4.833333333333333,5,6.1,19,"F","Oui"
19,"ceinture","Un serre-tête",11,6,3,2,2,7,3,5,2.33333333314286,2.77777777777778,2.55555555546032,4.833333333333333,5,6.1,19,"F","Oui"
19,"ceinture","Un garrot",11,6,2,1,1,7,3,5,2.33333333314286,2.77777777777778,2.55555555546032,4.833333333333333,5,6.1,19,"F","Oui"
19,"ceinture","Un objet de mode (autour de la cuisse)",11,6,1,2,2,7,3,5,2.33333333314286,2.77777777777778,2.55555555546032,4.833333333333333,5,6.1,19,"F","Oui"
19,"ceinture","Un lasso",11,6,1,1,2,7,3,5,2.33333333314286,2.77777777777778,2.55555555546032,4.833333333333333,5,6.1,19,"F","Oui"
19,"ceinture","Une catapulte",11,6,5,5,3,7,3,5,2.33333333314286,2.77777777777778,2.55555555546032,4.833333333333333,5,6.1,19,"F","Oui"
19,"ceinture","Un moyen de faire un claquement sourd pour faire peur",11,6,3,2,5,7,3,5,2.33333333314286,2.77777777777778,2.55555555546032,4.833333333333333,5,6.1,19,"F","Oui"
19,"ceinture","Une corde pour se hisser dessus",11,6,1,2,3,7,3,5,2.33333333314286,2.77777777777778,2.55555555546032,4.833333333333333,5,6.1,19,"F","Oui"
20,"brouette","Pot de fleur",11,6,1,1,1,5,6,5.5,2.1999999998,1.66666666666667,1.9333333332333351,2.5,2,3.9,23,"F","Oui"
20,"brouette","Barrière",11,6,5,2,2,5,6,5.5,2.1999999998,1.66666666666667,1.9333333332333351,2.5,2,3.9,23,"F","Oui"
20,"brouette","Table basse",11,6,2,1,2,5,6,5.5,2.1999999998,1.66666666666667,1.9333333332333351,2.5,2,3.9,23,"F","Oui"
20,"brouette","Fauteuil",11,6,2,1,1,5,6,5.5,2.1999999998,1.66666666666667,1.9333333332333351,2.5,2,3.9,23,"F","Oui"
20,"brouette","marchepied pour être plus grand",11,6,2,1,3,5,6,5.5,2.1999999998,1.66666666666667,1.9333333332333351,2.5,2,3.9,23,"F","Oui"
20,"brouette","Lit d'enfant",11,6,1,1,1,5,6,5.5,2.1999999998,1.66666666666667,1.9333333332333351,2.5,2,3.9,23,"F","Oui"
20,"ceinture","Laisse pour chien",11,6,1,2,1,5,6,5.5,2.1999999998,1.66666666666667,1.9333333332333351,2.5,2,3.9,23,"F","Oui"
20,"ceinture","Fouet",11,6,1,1,1,5,6,5.5,2.1999999998,1.66666666666667,1.9333333332333351,2.5,2,3.9,23,"F","Oui"
20,"ceinture","Règle",11,6,3,2,2,5,6,5.5,2.1999999998,1.66666666666667,1.9333333332333351,2.5,2,3.9,23,"F","Oui"
