"ID","prompt","response","set","lab","order","rater1","rater2","rater3","age","sex","cse1","cse2","cse3","cse4","cse5","cse6","cse7","cse8","cse9","cse10","cse11"
7,"ladrillo","construir inmuebles",23,14,"1",1,1,1,20,0,5,5,4,4,5,3,5,4,5,5,5
7,"ladrillo","soporte o base",23,14,"3",2,1,1,20,0,5,5,4,4,5,3,5,4,5,5,5
7,"ladrillo","pisos",23,14,"4",2,2,1,20,0,5,5,4,4,5,3,5,4,5,5,5
8,"ladrillo","construir inmuebles",23,14,"1",1,1,1,19,0,4,3,2,3,4,3,3,2,3,4,3
8,"ladrillo","mesas",23,14,"2",2,2,2,19,0,4,3,2,3,4,3,3,2,3,4,3
8,"ladrillo","chimeneas",23,14,"3",1,1,1,19,0,4,3,2,3,4,3,3,2,3,4,3
8,"ladrillo","estufas",23,14,"4",3,1,1,19,0,4,3,2,3,4,3,3,2,3,4,3
9,"ladrillo","escaleras o escalones",23,14,"1",2,2,1,19,1,4,5,4,4,4,3,5,5,4,5,4
9,"ladrillo","soporte o base",23,14,"2",2,1,2,19,1,4,5,4,4,4,3,5,5,4,5,4
9,"ladrillo","obstÃ¡culo para detener, frenar o topar",23,14,"3",3,2,2,19,1,4,5,4,4,4,3,5,5,4,5,4
10,"ladrillo","construir inmuebles",23,14,"1",1,1,1,19,1,3,3,5,4,4,5,4,4,5,3,5
10,"ladrillo","obstÃ¡culo para detener, frenar o topar",23,14,"10",3,2,2,19,1,3,3,5,4,4,5,4,4,5,3,5
10,"ladrillo","arma defensa",23,14,"11",4,2,2,19,1,3,3,5,4,4,5,4,4,5,3,5
10,"ladrillo","pesas deporte",23,14,"12",4,3,3,19,1,3,3,5,4,4,5,4,4,5,3,5
10,"ladrillo","muros o paredes",23,14,"2",1,1,1,19,1,3,3,5,4,4,5,4,4,5,3,5
10,"ladrillo","barras",23,14,"3",3,1,1,19,1,3,3,5,4,4,5,4,4,5,3,5
10,"ladrillo","arcilla ",23,14,"4",2,1,1,19,1,3,3,5,4,4,5,4,4,5,3,5
10,"ladrillo","polvo",23,14,"5",2,1,1,19,1,3,3,5,4,4,5,4,4,5,3,5
10,"ladrillo","hacer pintura o colorante",23,14,"6",3,2,2,19,1,3,3,5,4,4,5,4,4,5,3,5
10,"ladrillo","bloques",23,14,"7",1,2,2,19,1,3,3,5,4,4,5,4,4,5,3,5
10,"ladrillo","soporte o base",23,14,"8",2,1,2,19,1,3,3,5,4,4,5,4,4,5,3,5
10,"ladrillo","equilibrar o balancear",23,14,"9",3,2,2,19,1,3,3,5,4,4,5,4,4,5,3,5
11,"ladrillo","construir inmuebles",23,14,"1",1,1,1,19,0,5,5,5,5,4,5,5,5,5,5,5
11,"ladrillo","bardas",23,14,"11",1,1,1,19,0,5,5,5,5,4,5,5,5,5,5,5
11,"ladrillo","asientos",23,14,"3",2,1,2,19,0,5,5,5,5,4,5,5,5,5,5,5
11,"ladrillo","arma defensa",23,14,"4",4,2,2,19,0,5,5,5,5,4,5,5,5,5,5,5
11,"ladrillo","pesas deporte",23,14,"5",4,3,3,19,0,5,5,5,5,4,5,5,5,5,5,5
11,"ladrillo","equilibrar o balancear",23,14,"6",3,2,2,19,0,5,5,5,5,4,5,5,5,5,5,5
11,"ladrillo","juegos o juguetes",23,14,"7",4,2,2,19,0,5,5,5,5,4,5,5,5,5,5,5
12,"ladrillo","construir inmuebles",23,14,"1",1,1,1,18,0,2,3,3,2,3,4,5,1,5,3,5
13,"ladrillo","construir inmuebles",23,14,"1",1,1,1,18,1,3,3,5,5,4,4,4,4,5,3,4
13,"ladrillo","pisos",23,14,"2",2,2,1,18,1,3,3,5,5,4,4,4,4,5,3,4
13,"ladrillo","arma defensa",23,14,"3",4,2,2,18,1,3,3,5,5,4,4,4,4,5,3,4
13,"ladrillo","escaleras o escalones",23,14,"4",2,2,1,18,1,3,3,5,5,4,4,4,4,5,3,4
14,"ladrillo","construir inmuebles",23,14,"1",1,1,1,20,1,4,4,4,5,3,4,4,5,5,5,5
14,"ladrillo","asientos",23,14,"2",2,2,2,20,1,4,4,4,5,3,4,4,5,5,5,5
14,"ladrillo","soporte o base",23,14,"3",2,1,1,20,1,4,4,4,5,3,4,4,5,5,5,5
14,"ladrillo","pintar o dibujar  ",23,14,"4",3,2,2,20,1,4,4,4,5,3,4,4,5,5,5,5
15,"ladrillo","construir inmuebles",23,14,"1",1,1,1,19,0,3,3,4,3,3,4,4,4,3,3,4
15,"ladrillo","juegos o juguetes",23,14,"4",4,2,2,19,0,3,3,4,3,3,4,4,4,3,3,4
15,"ladrillo","bardas",23,14,"5",1,1,1,19,0,3,3,4,3,3,4,4,4,3,3,4
15,"ladrillo","pisos",23,14,"6",2,2,1,19,0,3,3,4,3,3,4,4,4,3,3,4
15,"ladrillo","soporte o base",23,14,"7",2,1,1,19,0,3,3,4,3,3,4,4,4,3,3,4
15,"ladrillo","delimitar superficies",23,14,"8",3,2,2,19,0,3,3,4,3,3,4,4,4,3,3,4
16,"ladrillo","construir inmuebles",23,14,"1",1,1,1,18,0,5,5,3,4,4,4,5,4,3,4,4
16,"ladrillo","esculturas",23,14,"2",5,2,1,18,0,5,5,3,4,4,4,5,4,3,4,4
16,"ladrillo","pintar o dibujar  ",23,14,"3",3,2,2,18,0,5,5,3,4,4,4,5,4,3,4,4
16,"ladrillo","arcilla",23,14,"4",2,1,1,18,0,5,5,3,4,4,4,5,4,3,4,4
17,"ladrillo","construir inmuebles",23,14,"1",1,1,1,22,0,4,4,4,4,4,4,4,4,4,4,4
17,"ladrillo","muros o paredes",23,14,"2",1,1,1,22,0,4,4,4,4,4,4,4,4,4,4,4
17,"ladrillo","pisa papeles",23,14,"3",4,2,2,22,0,4,4,4,4,4,4,4,4,4,4,4
17,"ladrillo","obstÃ¡culo para detener, frenar o topar",23,14,"4",3,2,2,22,0,4,4,4,4,4,4,4,4,4,4,4
17,"ladrillo","romper o destruir ",23,14,"5",4,2,2,22,0,4,4,4,4,4,4,4,4,4,4,4
18,"ladrillo","construir inmuebles",23,14,"1",1,1,1,22,1,3,3,4,3,3,4,4,4,4,3,4
18,"ladrillo","recurso didÃ¡ctico aprendizaje",23,14,"2",5,2,2,22,1,3,3,4,3,3,4,4,4,4,3,4
18,"ladrillo","fogatas",23,14,"4",3,1,1,22,1,3,3,4,3,3,4,4,4,4,3,4
18,"ladrillo","asientos",23,14,"5",2,2,2,22,1,3,3,4,3,3,4,4,4,4,3,4
19,"ladrillo","pisa papeles",23,14,"1",4,2,2,22,0,5,5,4,5,5,5,5,5,5,5,5
19,"ladrillo","mesas",23,14,"2",2,2,1,22,0,5,5,4,5,5,5,5,5,5,5,5
19,"ladrillo","asientos",23,14,"3",2,2,2,22,0,5,5,4,5,5,5,5,5,5,5,5
19,"ladrillo","equilibrar o balancear",23,14,"4",3,2,2,22,0,5,5,4,5,5,5,5,5,5,5,5
19,"ladrillo","juegos o juguetes",23,14,"5",4,2,2,22,0,5,5,4,5,5,5,5,5,5,5,5
19,"ladrillo","pintar o dibujar ",23,14,"6",3,2,2,22,0,5,5,4,5,5,5,5,5,5,5,5
19,"ladrillo","obstÃ¡culo para detener, frenar o topar",23,14,"7",3,2,2,22,0,5,5,4,5,5,5,5,5,5,5,5
20,"ladrillo","construir inmuebles",23,14,"1",1,1,1,18,0,4,3,5,5,4,5,4,5,4,4,4
20,"ladrillo","mesas",23,14,"2",2,2,1,18,0,4,3,5,5,4,5,4,5,4,4,4
20,"ladrillo","asientos",23,14,"3",2,2,2,18,0,4,3,5,5,4,5,4,5,4,4,4
20,"ladrillo","arma defensa",23,14,"4",4,2,2,18,0,4,3,5,5,4,5,4,5,4,4,4
20,"ladrillo","soporte o base",23,14,"5",2,2,2,18,0,4,3,5,5,4,5,4,5,4,4,4
20,"ladrillo","escaleras o escalones",23,14,"6",2,2,1,18,0,4,3,5,5,4,5,4,5,4,4,4
20,"ladrillo","herramienta",23,14,"7",3,2,2,18,0,4,3,5,5,4,5,4,5,4,4,4
20,"ladrillo","romper o destruir ",23,14,"8",4,2,2,18,0,4,3,5,5,4,5,4,5,4,4,4
21,"ladrillo","pisa papeles",23,14,"1",4,2,2,21,0,3,4,4,2,2,3,3,3,3,2,3
21,"ladrillo","obstÃ¡culo para detener, frenar o topar",23,14,"2",3,2,2,21,0,3,4,4,2,2,3,3,3,3,2,3
21,"ladrillo","arma defensa",23,14,"4",4,2,2,21,0,3,4,4,2,2,3,3,3,3,2,3
21,"ladrillo","pesas deporte",23,14,"5",4,3,3,21,0,3,4,4,2,2,3,3,3,3,2,3
21,"ladrillo","lego",23,14,"6",4,1,2,21,0,3,4,4,2,2,3,3,3,3,2,3
21,"ladrillo","soporte o base",23,14,"7",2,1,2,21,0,3,4,4,2,2,3,3,3,3,2,3
21,"ladrillo","decoraciÃ³n jardÃ­n",23,14,"8",3,2,2,21,0,3,4,4,2,2,3,3,3,3,2,3
21,"ladrillo","asientos",23,14,"9",2,2,2,21,0,3,4,4,2,2,3,3,3,3,2,3
22,"ladrillo","obstÃ¡culo para detener, frenar o topar",23,14,"1",3,2,2,21,0,3,3,4,4,3,4,2,3,2,3,2
22,"ladrillo","mesas",23,14,"2",2,2,1,21,0,3,3,4,4,3,4,2,3,2,3,2
22,"ladrillo","soporte o base",23,14,"3",2,2,1,21,0,3,3,4,4,3,4,2,3,2,3,2
23,"ladrillo","construir inmuebles",23,14,"1",1,1,1,21,0,2,3,4,3,3,4,2,3,2,2,4
23,"ladrillo","mesas",23,14,"2",2,2,1,21,0,2,3,4,3,3,4,2,3,2,2,4
23,"ladrillo","asientos",23,14,"3",2,2,2,21,0,2,3,4,3,3,4,2,3,2,2,4
23,"ladrillo","obstÃ¡culo para detener, frenar o topar",23,14,"4",3,2,2,21,0,2,3,4,3,3,4,2,3,2,2,4
23,"ladrillo","muros o paredes",23,14,"5",1,1,1,21,0,2,3,4,3,3,4,2,3,2,2,4
23,"ladrillo","hornos",23,14,"6",1,1,1,21,0,2,3,4,3,3,4,2,3,2,2,4
23,"ladrillo","ocultar",23,14,"7",2,2,2,21,0,2,3,4,3,3,4,2,3,2,2,4
23,"ladrillo","delimitar superficies ",23,14,"8",3,2,2,21,0,2,3,4,3,3,4,2,3,2,2,4
23,"ladrillo","escaleras o escalones",23,14,"9",2,2,1,21,0,2,3,4,3,3,4,2,3,2,2,4
24,"ladrillo","obstÃ¡culo para detener, frenar o topar",23,14,"2",3,2,2,21,0,4,4,3,3,2,4,5,4,4,4,5
24,"ladrillo","escaleras o escalones",23,14,"5",2,2,1,21,0,4,4,3,3,2,4,5,4,4,4,5
24,"ladrillo","equilibrar o balancear",23,14,"7",3,2,2,21,0,4,4,3,3,2,4,5,4,4,4,5
24,"ladrillo","delimitar superficies ",23,14,"8",3,2,2,21,0,4,4,3,3,2,4,5,4,4,4,5
24,"ladrillo","soporte o base",23,14,"9",2,1,1,21,0,4,4,3,3,2,4,5,4,4,4,5
25,"ladrillo","construir inmuebles",23,14,"1",1,1,1,20,0,5,5,3,4,4,3,5,4,3,5,5
25,"ladrillo","obstÃ¡culo para detener, frenar o topar",23,14,"2",3,2,2,20,0,5,5,3,4,4,3,5,4,3,5,5
25,"ladrillo","soporte o base",23,14,"9",2,1,1,20,0,5,5,3,4,4,3,5,4,3,5,5
26,"ladrillo","construir inmuebles",23,14,"1",1,1,1,19,0,5,5,4,4,4,4,5,4,5,4,4
26,"ladrillo","obstÃ¡culo para detener, frenar o topar",23,14,"2",3,2,2,19,0,5,5,4,4,4,4,5,4,5,4,4
26,"ladrillo","soporte o base",23,14,"4",2,1,1,19,0,5,5,4,4,4,4,5,4,5,4,4
26,"ladrillo","escaleras o escalones",23,14,"5",2,2,1,19,0,5,5,4,4,4,4,5,4,5,4,4
27,"ladrillo","construir inmuebles",23,14,"1",1,1,1,20,0,4,2,5,4,2,4,3,3,5,2,4
27,"ladrillo","arma defensa",23,14,"10",4,2,2,20,0,4,2,5,4,2,4,3,3,5,2,4
27,"ladrillo","soporte o base",23,14,"11",2,NA,1,20,0,4,2,5,4,2,4,3,3,5,2,4
27,"ladrillo","obstÃ¡culo para detener, frenar o topar",23,14,"2",3,2,2,20,0,4,2,5,4,2,4,3,3,5,2,4
27,"ladrillo","banquetas",23,14,"3",1,2,1,20,0,4,2,5,4,2,4,3,3,5,2,4
27,"ladrillo","pisos",23,14,"4",2,2,1,20,0,4,2,5,4,2,4,3,3,5,2,4
27,"ladrillo","camas o cunas",23,14,"5",2,2,2,20,0,4,2,5,4,2,4,3,3,5,2,4
27,"ladrillo","asientos",23,14,"6",2,2,2,20,0,4,2,5,4,2,4,3,3,5,2,4
27,"ladrillo","muros o paredes",23,14,"7",1,1,1,20,0,4,2,5,4,2,4,3,3,5,2,4
27,"ladrillo","mesas",23,14,"8",2,2,1,20,0,4,2,5,4,2,4,3,3,5,2,4
28,"ladrillo","construir inmuebles",23,14,"1",1,1,1,19,0,3,4,4,3,3,3,5,5,3,3,5
28,"ladrillo","bardas",23,14,"11",1,1,1,19,0,3,4,4,3,3,3,5,5,3,3,5
28,"ladrillo","asientos",23,14,"3",2,2,2,19,0,3,4,4,3,3,3,5,5,3,3,5
28,"ladrillo","chimeneas",23,14,"4",1,1,1,19,0,3,4,4,3,3,3,5,5,3,3,5
28,"ladrillo","hornos",23,14,"5",1,1,1,19,0,3,4,4,3,3,3,5,5,3,3,5
28,"ladrillo","tÃºneles",23,14,"6",2,1,1,19,0,3,4,4,3,3,3,5,5,3,3,5
28,"ladrillo","puentes",23,14,"7",2,1,1,19,0,3,4,4,3,3,3,5,5,3,3,5
28,"ladrillo","romper o destruir ",23,14,"8",4,2,2,19,0,3,4,4,3,3,3,5,5,3,3,5
28,"ladrillo","equilibrar o balancear",23,14,"9",3,2,2,19,0,3,4,4,3,3,3,5,5,3,3,5
29,"ladrillo","pisa papeles",23,14,"10",4,2,2,20,0,5,5,5,5,5,5,5,5,5,5,5
29,"ladrillo","soporte o base",23,14,"11",2,1,1,20,0,5,5,5,5,5,5,5,5,5,5,5
29,"ladrillo","pesas deporte",23,14,"12",4,3,3,20,0,5,5,5,5,5,5,5,5,5,5,5
29,"ladrillo","obstÃ¡culo para detener, frenar o topar",23,14,"2",3,2,2,20,0,5,5,5,5,5,5,5,5,5,5,5
29,"ladrillo","asientos",23,14,"3",2,2,2,20,0,5,5,5,5,5,5,5,5,5,5,5
29,"ladrillo","equilibrar o balancear",23,14,"8",3,2,2,20,0,5,5,5,5,5,5,5,5,5,5,5
30,"ladrillo","construir inmuebles",23,14,"1",1,1,1,21,0,3,2,4,3,2,3,2,3,3,2,3
30,"ladrillo","arma defensa",23,14,"10",4,2,2,21,0,3,2,4,3,2,3,2,3,3,2,3
30,"ladrillo","arcilla ",23,14,"11",2,1,1,21,0,3,2,4,3,2,3,2,3,3,2,3
30,"ladrillo","pesas deporte",23,14,"12",4,3,3,21,0,3,2,4,3,2,3,2,3,3,2,3
30,"ladrillo","escribir",23,14,"13",3,2,2,21,0,3,2,4,3,2,3,2,3,3,2,3
30,"ladrillo","porterÃ­a ",23,14,"14",5,2,2,21,0,3,2,4,3,2,3,2,3,3,2,3
30,"ladrillo","caminos o calles",23,14,"15",2,2,2,21,0,3,2,4,3,2,3,2,3,3,2,3
30,"ladrillo","obstÃ¡culo para detener, frenar o topar",23,14,"2",3,2,2,21,0,3,2,4,3,2,3,2,3,3,2,3
30,"ladrillo","asientos",23,14,"3",2,2,2,21,0,3,2,4,3,2,3,2,3,3,2,3
30,"ladrillo","delimitar superficies ",23,14,"4",3,2,2,21,0,3,2,4,3,2,3,2,3,3,2,3
30,"ladrillo","escaleras o escalones",23,14,"5",2,2,1,21,0,3,2,4,3,2,3,2,3,3,2,3
30,"ladrillo","esculturas",23,14,"6",5,2,1,21,0,3,2,4,3,2,3,2,3,3,2,3
30,"ladrillo","juegos o juguetes",23,14,"7",4,2,2,21,0,3,2,4,3,2,3,2,3,3,2,3
30,"ladrillo","romper o destruir ",23,14,"8",NA,2,2,21,0,3,2,4,3,2,3,2,3,3,2,3
30,"ladrillo","soporte o base",23,14,"9",2,1,1,21,0,3,2,4,3,2,3,2,3,3,2,3
31,"ladrillo","construir inmuebles",23,14,"1",1,1,1,21,0,3,2,3,3,5,5,2,3,4,2,2
31,"ladrillo","soporte o base",23,14,"11",2,1,1,21,0,3,2,3,3,5,5,2,3,4,2,2
31,"ladrillo","bardas",23,14,"15",1,1,1,21,0,3,2,3,3,5,5,2,3,4,2,2
31,"ladrillo","obstÃ¡culo para detener, frenar o topar",23,14,"2",3,2,2,21,0,3,2,3,3,5,5,2,3,4,2,2
31,"ladrillo","muros o paredes",23,14,"3",1,1,1,21,0,3,2,3,3,5,5,2,3,4,2,2
31,"ladrillo","esculturas",23,14,"6",5,2,1,21,0,3,2,3,3,5,5,2,3,4,2,2
31,"ladrillo","juegos o juguetes",23,14,"7",4,2,2,21,0,3,2,3,3,5,5,2,3,4,2,2
31,"ladrillo","delimitar superficies ",23,14,"8",3,2,2,21,0,3,2,3,3,5,5,2,3,4,2,2
32,"ladrillo","construir inmuebles",23,14,"1",1,1,1,22,0,5,5,5,5,5,4,5,4,4,5,5
32,"ladrillo","arma defensa",23,14,"10",4,2,2,22,0,5,5,5,5,5,4,5,4,4,5,5
32,"ladrillo","obstÃ¡culo para detener, frenar o topar",23,14,"2",3,2,2,22,0,5,5,5,5,5,4,5,4,4,5,5
32,"ladrillo","muros o paredes",23,14,"3",1,1,1,22,0,5,5,5,5,5,4,5,4,4,5,5
32,"ladrillo","pintar o dibujar  ",23,14,"7",3,2,2,22,0,5,5,5,5,5,4,5,4,4,5,5
32,"ladrillo","equilibrar o balancear ",23,14,"8",3,2,2,22,0,5,5,5,5,5,4,5,4,4,5,5
32,"ladrillo","soporte o base",23,14,"9",2,1,1,22,0,5,5,5,5,5,4,5,4,4,5,5
33,"ladrillo","construir inmuebles",23,14,"1",1,1,1,20,1,5,5,4,5,3,4,5,4,5,5,5
33,"ladrillo","herramienta",23,14,"4",3,1,2,20,1,5,5,4,5,3,4,5,4,5,5,5
33,"ladrillo","escaleras o escalones",23,14,"5",2,2,1,20,1,5,5,4,5,3,4,5,4,5,5,5
33,"ladrillo","esculturas",23,14,"6",5,2,1,20,1,5,5,4,5,3,4,5,4,5,5,5
33,"ladrillo","pintar o dibujar  ",23,14,"7",3,2,2,20,1,5,5,4,5,3,4,5,4,5,5,5
33,"ladrillo","delimitar superficies ",23,14,"8",3,2,2,20,1,5,5,4,5,3,4,5,4,5,5,5
33,"ladrillo","arcilla",23,14,"9",2,1,1,20,1,5,5,4,5,3,4,5,4,5,5,5
34,"ladrillo","pesas deporte",23,14,"12",4,3,3,19,0,5,5,4,4,3,5,4,5,5,5,4
34,"ladrillo","obstÃ¡culo para detener, frenar o topar",23,14,"2",3,2,2,19,0,5,5,4,4,3,5,4,5,5,5,4
34,"ladrillo","pisos",23,14,"3",1,2,1,19,0,5,5,4,4,3,5,4,5,5,5,4
34,"ladrillo","regalo",23,14,"4",3,1,2,19,0,5,5,4,4,3,5,4,5,5,5,4
34,"ladrillo","decoraciÃ³n",23,14,"5",4,2,2,19,0,5,5,4,4,3,5,4,5,5,5,4
34,"ladrillo","ocultar",23,14,"6",2,1,2,19,0,5,5,4,4,3,5,4,5,5,5,4
34,"ladrillo","soporte o base",23,14,"9",2,1,1,19,0,5,5,4,4,3,5,4,5,5,5,4
35,"ladrillo","construir inmuebles",23,14,"1",1,1,1,22,1,4,4,4,4,3,4,4,3,4,5,4
35,"ladrillo","albercas",23,14,"10",4,2,1,22,1,4,4,4,4,3,4,4,3,4,5,4
35,"ladrillo","soporte o base",23,14,"11",2,1,1,22,1,4,4,4,4,3,4,4,3,4,5,4
35,"ladrillo","banquetas",23,14,"12",1,1,1,22,1,4,4,4,4,3,4,4,3,4,5,4
35,"ladrillo","esculturas",23,14,"13",5,1,2,22,1,4,4,4,4,3,4,4,3,4,5,4
35,"ladrillo","juegos o juguetes",23,14,"14",4,2,2,22,1,4,4,4,4,3,4,4,3,4,5,4
35,"ladrillo","bardas",23,14,"15",1,1,1,22,1,4,4,4,4,3,4,4,3,4,5,4
35,"ladrillo","pisos",23,14,"2",1,2,1,22,1,4,4,4,4,3,4,4,3,4,5,4
35,"ladrillo","muebles",23,14,"3",2,3,2,22,1,4,4,4,4,3,4,4,3,4,5,4
35,"ladrillo","chimeneas",23,14,"4",1,1,1,22,1,4,4,4,4,3,4,4,3,4,5,4
35,"ladrillo","camas o cunas ",23,14,"5",2,3,1,22,1,4,4,4,4,3,4,4,3,4,5,4
35,"ladrillo","baÃ±os y accesorios de baÃ±o",23,14,"6",4,2,2,22,1,4,4,4,4,3,4,4,3,4,5,4
35,"ladrillo","asientos",23,14,"7",2,2,2,22,1,4,4,4,4,3,4,4,3,4,5,4
35,"ladrillo","cajones clÃ³set",23,14,"8",4,2,2,22,1,4,4,4,4,3,4,4,3,4,5,4
35,"ladrillo","escaleras o escalones",23,14,"9",2,2,1,22,1,4,4,4,4,3,4,4,3,4,5,4
36,"ladrillo","construir inmuebles",23,14,"1",1,1,1,18,0,4,4,4,5,3,4,4,3,3,4,3
36,"ladrillo","pisa papeles",23,14,"11",4,2,2,18,0,4,4,4,5,3,4,4,3,3,4,3
36,"ladrillo","obstÃ¡culo para detener, frenar o topar",23,14,"2",3,2,2,18,0,4,4,4,5,3,4,4,3,3,4,3
36,"ladrillo","decoraciÃ³n jardÃ­n",23,14,"6",4,2,2,18,0,4,4,4,5,3,4,4,3,3,4,3
36,"ladrillo","equilibrar o balancear",23,14,"8",3,2,2,18,0,4,4,4,5,3,4,4,3,3,4,3
36,"ladrillo","soporte o base",23,14,"9",2,1,1,18,0,4,4,4,5,3,4,4,3,3,4,3
37,"ladrillo","construir inmuebles",23,14,"1",1,1,1,21,0,3,2,5,3,2,5,2,2,5,2,2
37,"ladrillo","pisa papeles",23,14,"11",4,2,2,21,0,3,2,5,3,2,5,2,2,5,2,2
37,"ladrillo","obstÃ¡culo para detener, frenar o topar",23,14,"2",3,2,2,21,0,3,2,5,3,2,5,2,2,5,2,2
37,"ladrillo","escaleras o escalones",23,14,"5",2,2,1,21,0,3,2,5,3,2,5,2,2,5,2,2
37,"ladrillo","escribir",23,14,"6",3,2,2,21,0,3,2,5,3,2,5,2,2,5,2,2
37,"ladrillo","romper o destruir ",23,14,"8",4,2,2,21,0,3,2,5,3,2,5,2,2,5,2,2
38,"ladrillo","construir inmuebles",23,14,"1",1,1,1,19,1,3,3,4,2,3,4,3,4,4,2,2
38,"ladrillo","herramienta",23,14,"4",3,2,2,19,1,3,3,4,2,3,4,3,4,4,2,2
38,"ladrillo","decoraciÃ³n",23,14,"5",4,2,2,19,1,3,3,4,2,3,4,3,4,4,2,2
38,"ladrillo","pintar o dibujar ",23,14,"6",3,2,2,19,1,3,3,4,2,3,4,3,4,4,2,2
38,"ladrillo","juegos o juguetes",23,14,"7",4,2,2,19,1,3,3,4,2,3,4,3,4,4,2,2
39,"ladrillo","construir inmuebles",23,14,"1",1,1,1,21,1,4,4,3,3,3,4,4,3,4,4,3
39,"ladrillo","recurso didÃ¡ctico aprendizaje",23,14,"12",5,2,2,21,1,4,4,3,3,3,4,4,3,4,4,3
40,"ladrillo","construir inmuebles",23,14,"1",1,1,1,23,0,2,1,4,2,2,4,3,3,3,2,2
40,"ladrillo","escaleras o escalones",23,14,"5",2,2,1,23,0,2,1,4,2,2,4,3,3,3,2,2
40,"ladrillo","decoraciÃ³n",23,14,"6",4,2,2,23,0,2,1,4,2,2,4,3,3,3,2,2
