"ID","prompt","response","set","rater1","rater2","CAAC_TOT","NEO_OPEN"
3,"Bottiglia di plastica","gioco per il cane",16,2,2,1.06,20
3,"Bottiglia di plastica","imbuto",16,2,2,1.06,20
3,"Bottiglia di plastica","lampada riempiendola di gesso bianco",16,4,2,1.06,20
3,"Bottiglia di plastica","portapianta grassa pensile",16,3,2,1.06,20
3,"Bottiglia di plastica","realizzare fiori",16,2,2,1.06,20
3,"Lampadina","colorarla per fare un soprammobile",16,2,2,1.06,20
3,"Libro","istruzione e informazione",16,1,1,1.06,20
3,"Libro","quadri con immagini contenute nel libro",16,3,4,1.06,20
3,"Libro","regalo",16,2,2,1.06,20
3,"Sedia","sgabello",16,2,2,1.06,20
3,"Sedia","verniciarle per cambiare colore",16,2,3,1.06,20
4,"Attaccapanni","attaccare su una stampa",16,3,3,1.63,25
4,"Attaccapanni","gioco da parete",16,3,3,1.63,25
4,"Attaccapanni","portamollette da biancheria",16,2,3,1.63,25
4,"Barile","fioriera",16,2,2,1.63,25
4,"Barile","oggettodaesporre",16,2,2,1.63,25
4,"Barile","portabottiglie",16,2,2,1.63,25
4,"Barile","sedile/sedia",16,2,2,1.63,25
4,"Barile","tavolo",16,2,2,1.63,25
4,"Bottiglia di plastica","lancio della bottiglia su cestino",16,3,2,1.63,25
4,"Bottiglia di plastica","poggiatesta se piena",16,3,2,1.63,25
4,"Bottiglia di plastica","riuso",16,2,2,1.63,25
4,"Bottiglia di plastica","tappo per creare oggetti",16,3,3,1.63,25
4,"Bottiglia di plastica","tiro alla bottiglia",16,3,4,1.63,25
4,"Lampadina","usocomune",16,1,2,1.63,25
4,"Libro","custodia per appunti importanti",16,2,2,1.63,25
4,"Libro","fermaporta finestra",16,2,3,1.63,25
4,"Libro","poggiatesta",16,3,3,1.63,25
4,"Libro","portafotografie",16,2,2,1.63,25
4,"Libro","spessore per proiettore",16,2,2,1.63,25
4,"Libro","spessore per tavolo",16,2,2,1.63,25
4,"Sedia","fermaporta",16,2,2,1.63,25
4,"Sedia","poggiapiedi",16,2,2,1.63,25
4,"Sedia","portalibri sullo schienale",16,2,2,1.63,25
4,"Sedia","portaoggetti",16,2,2,1.63,25
4,"Sedia","scaletto",16,2,2,1.63,25
5,"Attaccapanni","appendere giacca",16,1,1,1.68,20
5,"Attaccapanni","appendere pantalone",16,1,1,1.68,20
5,"Attaccapanni","buttarla dietro alla moglie",16,4,3,1.68,20
5,"Attaccapanni","maglione",16,1,1,1.68,20
5,"Attaccapanni","mettere camice",16,1,1,1.68,20
5,"Attaccapanni","per scavare nel terreno del giardino",16,4,4,1.68,20
5,"Attaccapanni","portarla in viaggio",16,2,2,1.68,20
5,"Attaccapanni","romperla e usare i pezzi per altro bisogno",16,2,2,1.68,20
5,"Attaccapanni","souvenir da appendere ai muri togliendo la parte in metallo",16,2,3,1.68,20
5,"Attaccapanni","tenerla nell'armadio",16,1,2,1.68,20
5,"Attaccapanni","tenerle pulite",16,1,2,1.68,20
5,"Barile","abbellimento cantina",16,2,2,1.68,20
5,"Barile","chiodi con martello sui cerchi",16,3,3,1.68,20
5,"Barile","farla rotolare per divertimento",16,2,2,1.68,20
5,"Barile","giocare i nipotini facendo salti",16,3,2,1.68,20
5,"Barile","lucidarla cambiare colore",16,2,2,1.68,20
5,"Barile","metterci del vino",16,1,1,1.68,20
5,"Barile","sgabelli intorno",16,2,2,1.68,20
5,"Barile","tavolo da snack",16,3,2,1.68,20
5,"Barile","usarla come arma",16,2,2,1.68,20
5,"Bottiglia di plastica","collezionarle",16,2,2,1.68,20
5,"Bottiglia di plastica","contenitore di bevande sfuse",16,1,1,1.68,20
5,"Bottiglia di plastica","metterci detersivo",16,2,2,1.68,20
5,"Bottiglia di plastica","metterci l'orzata",16,2,2,1.68,20
5,"Bottiglia di plastica","metterla nel contenitore plastica",16,2,2,1.68,20
5,"Bottiglia di plastica","metterle nello zainetto per la scuola",16,2,2,1.68,20
5,"Lampadina","creare un lampadario senza accenderle",16,2,2,1.68,20
5,"Lampadina","farne una scorta",16,2,2,1.68,20
5,"Lampadina","illuminare una stanza",16,1,1,1.68,20
5,"Lampadina","romperle quando non funzionano più",16,2,2,1.68,20
5,"Libro","comprare enciclopedie",16,2,2,1.68,20
5,"Libro","consigliarlo",16,2,2,1.68,20
5,"Libro","darlo in testa a qualcuno",16,2,3,1.68,20
5,"Libro","leggere",16,1,1,1.68,20
5,"Libro","modificare la rilegatura e la copertina",16,3,3,1.68,20
5,"Libro","prestarlo",16,2,2,1.68,20
5,"Libro","tenerlo in biblioteca",16,1,2,1.68,20
5,"Libro","vedere le novità",16,2,1,1.68,20
5,"Sedia","cambiare colore",16,2,2,1.68,20
5,"Sedia","metterle intorno al tavolo se sono belle",16,2,2,1.68,20
5,"Sedia","modificarle ogni 2 anni",16,2,3,1.68,20
5,"Sedia","se sono vecchie romperle e metterle al fuoco",16,2,2,1.68,20
5,"Sedia","sono belle in pelle",16,1,1,1.68,20
6,"Attaccapanni","altalena",16,3,4,1.34,19
6,"Attaccapanni","cavallo a dondolo",16,5,4,1.34,19
6,"Attaccapanni","giostrina",16,4,3,1.34,19
6,"Attaccapanni","lampadario",16,2,2,1.34,19
6,"Attaccapanni","porta cravatte",16,1,1,1.34,19
6,"Attaccapanni","scaldaletto a brace",16,4,5,1.34,19
6,"Attaccapanni","tiracavi",16,3,3,1.34,19
6,"Barile","farci un lampadario",16,3,3,1.34,19
6,"Barile","galleggiare sull'acqua",16,2,2,1.34,19
6,"Barile","invecchiare vino",16,1,1,1.34,19
6,"Barile","porta oggetti",16,2,2,1.34,19
6,"Barile","riempire d'acqua",16,1,1,1.34,19
6,"Barile","rotolare in una discesa",16,2,2,1.34,19
6,"Barile","rotolare in una salita",16,2,2,1.34,19
6,"Barile","sedia",16,2,2,1.34,19
6,"Barile","sportsollevandola",16,3,2,1.34,19
6,"Barile","tavolino",16,2,2,1.34,19
6,"Bottiglia di plastica","decorare",16,2,2,1.34,19
6,"Bottiglia di plastica","facendo un foro può diventare una cascata",16,3,4,1.34,19
6,"Bottiglia di plastica","farci dei fiori con il fondo",16,2,2,1.34,19
6,"Bottiglia di plastica","macchinina mettendo le ruote",16,4,3,1.34,19
6,"Bottiglia di plastica","portacenere",16,2,2,1.34,19
6,"Bottiglia di plastica","portasapone",16,2,2,1.34,19
6,"Bottiglia di plastica","portaspazzolini",16,2,2,1.34,19
6,"Bottiglia di plastica","riempire di terre colorate",16,3,2,1.34,19
6,"Bottiglia di plastica","sottomarino",16,4,4,1.34,19
6,"Bottiglia di plastica","un faro",16,3,4,1.34,19
6,"Bottiglia di plastica","una lampada",16,2,2,1.34,19
6,"Lampadina","accendere",16,1,1,1.34,19
6,"Lampadina","ciondolare",16,2,3,1.34,19
6,"Lampadina","colorare",16,2,2,1.34,19
6,"Lampadina","comunicare",16,3,3,1.34,19
6,"Lampadina","riempire con un paesaggio e acqua con effetto neve",16,3,4,1.34,19
6,"Lampadina","svitare",16,1,3,1.34,19
6,"Libro","bruciare",16,2,2,1.34,19
6,"Libro","contare le pagine",16,3,2,1.34,19
6,"Libro","dedicare",16,2,2,1.34,19
6,"Libro","firmare",16,2,3,1.34,19
6,"Libro","indicare",16,2,3,1.34,19
6,"Libro","intitolare",16,1,2,1.34,19
6,"Libro","per incollare come peso",16,3,2,1.34,19
6,"Libro","per leggere",16,1,1,1.34,19
6,"Libro","per titarlo",16,2,2,1.34,19
6,"Libro","pubblicizzare",16,2,3,1.34,19
6,"Libro","regalare",16,2,2,1.34,19
6,"Libro","scrivere se la carta è bianca",16,1,1,1.34,19
6,"Libro","uno scaffale",16,3,2,1.34,19
6,"Sedia","ascoltare quando si  è seduti",16,2,2,1.34,19
6,"Sedia","gioco con ago sul pianale e calamita sotto per far muovere l'ago",16,4,3,1.34,19
6,"Sedia","incollare",16,2,2,1.34,19
6,"Sedia","riposarsi",16,2,2,1.34,19
6,"Sedia","rivestire",16,2,2,1.34,19
6,"Sedia","un dondolo",16,3,2,1.34,19
6,"Sedia","un'altalena",16,3,3,1.34,19
6,"Sedia","verniciare",16,2,3,1.34,19
7,"Attaccapanni","attrezzo per ginnastica",16,3,3,2.05,24
7,"Attaccapanni","base per tiro al bersaglio",16,4,3,2.05,24
7,"Attaccapanni","bilancia",16,4,4,2.05,24
7,"Attaccapanni","portamestoli da cucina",16,2,2,2.05,24
7,"Attaccapanni","portarulli da pittura",16,3,2,2.05,24
7,"Barile","fioriera da giardino",16,2,2,2.05,24
7,"Barile","galleggiante",16,2,2,2.05,24
7,"Barile","gioco per bambini",16,2,2,2.05,24
7,"Barile","lampadario per grande stanza",16,2,2,2.05,24
7,"Barile","ripiano per un tavolo",16,2,2,2.05,24
7,"Bottiglia di plastica","base per fusioni",16,4,4,2.05,24
7,"Bottiglia di plastica","bomba",16,3,4,2.05,24
7,"Bottiglia di plastica","contrappeso",16,3,3,2.05,24
7,"Bottiglia di plastica","gioco di vari tipi",16,2,2,2.05,24
7,"Bottiglia di plastica","maschera",16,4,4,2.05,24
7,"Bottiglia di plastica","pendolo",16,3,3,2.05,24
7,"Lampadina","elemento di mosaico",16,2,3,2.05,24
7,"Lampadina","gioco di destrezza",16,2,4,2.05,24
7,"Lampadina","rilevatore di passaggio per animali",16,5,5,2.05,24
7,"Libro","appoggio per i piedi",16,2,2,2.05,24
7,"Libro","codice cifrato",16,5,5,2.05,24
7,"Libro","contrappeso",16,2,3,2.05,24
7,"Libro","misura campione di massa o lunghezza",16,4,4,2.05,24
7,"Libro","nascondiglio segreto",16,2,3,2.05,24
7,"Sedia","isolante",16,3,3,2.05,24
7,"Sedia","scaletta",16,2,2,2.05,24
7,"Sedia","stampo per dipingere",16,4,4,2.05,24
7,"Sedia","tettoia",16,3,4,2.05,24
8,"Attaccapanni","porta collane",16,2,2,1.55,32
8,"Attaccapanni","porta sciarpe",16,1,1,1.55,32
8,"Barile","catino per vestiti da lavar",16,2,2,1.55,32
8,"Barile","cestino per la spazzatura",16,2,2,1.55,32
8,"Barile","portalibri",16,2,2,1.55,32
8,"Barile","portaoggetti",16,2,2,1.55,32
8,"Barile","sedia",16,2,2,1.55,32
8,"Barile","Tavolino portaliquidi",16,2,2,1.55,32
8,"Bottiglia di plastica","contenitore per pittura",16,3,3,1.55,32
8,"Bottiglia di plastica","marionetta burrattini",16,4,4,1.55,32
8,"Bottiglia di plastica","porta pennelli",16,3,2,1.55,32
8,"Lampadina","luci colorate",16,2,2,1.55,32
8,"Lampadina","oggetto di design",16,2,2,1.55,32
8,"Lampadina","pannello con tante lampadine a forma di scritta",16,2,3,1.55,32
8,"Libro","arredo",16,2,2,1.55,32
8,"Libro","decoupage",16,2,3,1.55,32
8,"Libro","porta gioie",16,2,2,1.55,32
8,"Sedia","posta vestiti",16,2,2,1.55,32
8,"Sedia","tavolino",16,2,2,1.55,32
9,"Attaccapanni","appendi bijoux",16,2,2,1.54,30
9,"Attaccapanni","appendi cravatte",16,1,1,1.54,30
9,"Attaccapanni","attaccapanni da muro",16,2,3,1.54,30
9,"Attaccapanni","gamba di sedia o tavolo",16,4,3,1.54,30
9,"Attaccapanni","lampada da tavola",16,3,2,1.54,30
9,"Barile","sgabello",16,2,2,1.54,30
9,"Barile","tavolino",16,2,2,1.54,30
9,"Bottiglia di plastica","acchiappasogni",16,4,4,1.54,30
9,"Bottiglia di plastica","cestino",16,3,3,1.54,30
9,"Bottiglia di plastica","fiori finti",16,2,2,1.54,30
9,"Bottiglia di plastica","narghilè",16,4,5,1.54,30
9,"Bottiglia di plastica","pienarghilè",16,4,4,1.54,30
9,"Bottiglia di plastica","portanastri",16,3,3,1.54,30
9,"Bottiglia di plastica","portasacchetti",16,3,3,1.54,30
9,"Bottiglia di plastica","salvadanaio",16,2,2,1.54,30
9,"Bottiglia di plastica","stampo",16,2,2,1.54,30
9,"Bottiglia di plastica","vaso",16,2,2,1.54,30
9,"Lampadina","deco per albero di natale",16,2,2,1.54,30
9,"Lampadina","naso per pupazzo di neve",16,2,3,1.54,30
9,"Lampadina","vaso per piantine",16,2,2,1.54,30
9,"Libro","portafoto",16,2,2,1.54,30
9,"Libro","scrigno segreto",16,2,3,1.54,30
9,"Libro","soprammobile",16,2,2,1.54,30
9,"Sedia","cavalletto per quad",16,3,3,1.54,30
9,"Sedia","mensola",16,2,2,1.54,30
11,"Attaccapanni","per appendere i vestiti nell'armadio",16,1,1,1.74,NA
11,"Attaccapanni","sostituendo qualche pezzo utilizzabile come arco",16,3,2,1.74,NA
11,"Attaccapanni","triangolo in caso di emergenza con l'auto",16,5,3,1.74,NA
11,"Barile","come arredamento",16,2,1,1.74,NA
11,"Barile","come sgabbello",16,2,2,1.74,NA
11,"Barile","regalo per il nonno",16,3,3,1.74,NA
11,"Barile","utilizzata spesso per il vino ma puo contenere diversi liquidi a lunga durata di conservazione",16,2,2,1.74,NA
11,"Bottiglia di plastica","campeggio",16,2,2,1.74,NA
11,"Bottiglia di plastica","dissetare un animale o una pianta",16,1,1,1.74,NA
11,"Bottiglia di plastica","liquido radiatore in caso di emergenza perchè puo causare rugine nel lungo andare",16,3,3,1.74,NA
11,"Bottiglia di plastica","non disperdere nell'ambiente",16,2,2,1.74,NA
11,"Bottiglia di plastica","portarla sempre nella macchina piena",16,2,2,1.74,NA
11,"Bottiglia di plastica","riciclabile",16,2,2,1.74,NA
11,"Lampadina","abbellimento",16,2,2,1.74,NA
11,"Lampadina","arredamento",16,2,2,1.74,NA
11,"Lampadina","lampadari",16,1,1,1.74,NA
11,"Lampadina","non disperdere nell'ambiente",16,2,2,1.74,NA
11,"Lampadina","non toccarla quando accesa",16,2,2,1.74,NA
11,"Lampadina","utilizzare solo a risparmio energetico",16,2,2,1.74,NA
11,"Libro","barbecue",16,5,5,1.74,NA
11,"Libro","biblioteca",16,2,2,1.74,NA
11,"Libro","come scudo dipende dalla grandezza",16,3,3,1.74,NA
11,"Libro","come spessore in caso di lavoro o bloccaggio di materiale",16,2,2,1.74,NA
11,"Libro","le pagine posso servire per le cartine",16,3,3,1.74,NA
11,"Libro","per studiare",16,1,1,1.74,NA
11,"Libro","portare sempre con se",16,2,2,1.74,NA
11,"Sedia","alla fermata del bus",16,3,4,1.74,NA
11,"Sedia","arredamento a tavola",16,2,2,1.74,NA
11,"Sedia","campeggio",16,2,3,1.74,NA
11,"Sedia","come scudo in caso di rissa",16,3,3,1.74,NA
11,"Sedia","in spiaggia",16,2,2,1.74,NA
11,"Sedia","sedersi in caso di posti piu comodi",16,1,1,1.74,NA
11,"Sedia","utilizzabile per accendere il fuoco",16,2,2,1.74,NA
12,"Barile","portafiori",16,2,2,1.24,18
12,"Barile","tamburo",16,2,2,1.24,18
12,"Barile","tavolino",16,2,2,1.24,18
12,"Bottiglia di plastica","imbuto",16,2,2,1.24,18
12,"Bottiglia di plastica","portamonete",16,2,2,1.24,18
12,"Bottiglia di plastica","portapenne",16,2,2,1.24,18
12,"Lampadina","portacandela",16,2,2,1.24,18
12,"Libro","portaoggetti",16,2,2,1.24,18
12,"Sedia","tavolino",16,2,2,1.24,18
13,"Attaccapanni","come stendino",16,2,2,1.26,26
13,"Attaccapanni","usare per disegnare un triangolo",16,2,2,1.26,26
13,"Barile","da bellezza nei giardini",16,2,2,1.26,26
13,"Barile","ottimo come tavolino",16,2,2,1.26,26
13,"Barile","porta fiori",16,2,2,1.26,26
13,"Barile","porta oggetti",16,2,2,1.26,26
13,"Bottiglia di plastica","come imbuto tagliando il fondo",16,2,2,1.26,26
13,"Bottiglia di plastica","porta penne tagliandola sotto il tappo",16,2,2,1.26,26
13,"Lampadina","svuotandola si puo usare con della terra e del verde e fiori piccoli come fosse un piccolo giardino e appenderla da bellezza",16,3,2,1.26,26
13,"Libro","come divisorio",16,3,3,1.26,26
13,"Libro","ferma carta",16,2,2,1.26,26
13,"Libro","ferma porta",16,2,2,1.26,26
13,"Libro","rialzo per qualcosa",16,2,2,1.26,26
13,"Sedia","come sgabello per alzarsi",16,2,2,1.26,26
13,"Sedia","si puo usare come comodino",16,2,2,1.26,26
13,"Sedia","tavola",16,2,2,1.26,26
14,"Attaccapanni","appendere gli abiti",16,1,1,1.75,28
14,"Attaccapanni","arredo",16,2,2,1.75,28
14,"Attaccapanni","difendersi",16,2,2,1.75,28
14,"Attaccapanni","fermacarte",16,3,3,1.75,28
14,"Attaccapanni","lanciarlo",16,2,2,1.75,28
14,"Attaccapanni","prolungamento del braccio per arrivare in posti alti o scomodi",16,3,2,1.75,28
14,"Attaccapanni","smontarla e utilizzare il legno o l'uncino",16,2,2,1.75,28
14,"Barile","arredo",16,2,2,1.75,28
14,"Barile","comodino",16,2,2,1.75,28
14,"Barile","contenere liquidi",16,1,1,1.75,28
14,"Barile","fermaporta",16,2,2,1.75,28
14,"Barile","gara giochi paesani",16,2,2,1.75,28
14,"Barile","mobiletto",16,2,2,1.75,28
14,"Barile","sedia",16,2,2,1.75,28
14,"Barile","tavolino",16,2,2,1.75,28
14,"Bottiglia di plastica","fermacarte",16,2,2,1.75,28
14,"Bottiglia di plastica","pallone",16,2,2,1.75,28
14,"Bottiglia di plastica","portapenne da scrivania",16,2,2,1.75,28
14,"Bottiglia di plastica","vaso",16,2,2,1.75,28
14,"Lampadina","difendersi",16,2,3,1.75,28
14,"Lampadina","fermacarte",16,2,2,1.75,28
14,"Lampadina","illuminare una stanza",16,1,1,1.75,28
14,"Lampadina","recuperare i fili di rame all'interno per utilizzarli in altro modo",16,2,2,1.75,28
14,"Lampadina","riciclarla",16,2,2,1.75,28
14,"Lampadina","svuotarla e riempirla di altro",16,2,2,1.75,28
14,"Libro","appoggia oggetti",16,2,2,1.75,28
14,"Libro","bruciarlo",16,2,2,1.75,28
14,"Libro","buttarlo",16,1,1,1.75,28
14,"Libro","difendersi",16,2,2,1.75,28
14,"Libro","donarlo",16,2,2,1.75,28
14,"Libro","fermacarte",16,2,2,1.75,28
14,"Libro","fermaporta",16,2,2,1.75,28
14,"Libro","imparare",16,1,1,1.75,28
14,"Libro","lanciarlo",16,2,3,1.75,28
14,"Libro","leggere",16,1,1,1.75,28
14,"Libro","riciclarlo",16,2,2,1.75,28
14,"Libro","salirci sopra per arrivare in posti alti",16,2,2,1.75,28
14,"Sedia","appoggia oggetti",16,2,2,1.75,28
14,"Sedia","arredo",16,2,1,1.75,28
14,"Sedia","comodino",16,2,2,1.75,28
14,"Sedia","fermaporta",16,2,2,1.75,28
14,"Sedia","poggia cappotto",16,2,2,1.75,28
14,"Sedia","salirci per arrivare in posti alti",16,2,2,1.75,28
14,"Sedia","smontarla e utilizzare la legna",16,2,2,1.75,28
14,"Sedia","tavolino",16,2,2,1.75,28
15,"Attaccapanni","agganciare borse",16,2,2,1.32,19
15,"Attaccapanni","appendere bulbi per seccare",16,3,2,1.32,19
15,"Attaccapanni","appendere cravatte",16,1,1,1.32,19
15,"Attaccapanni","appendere fiori secchi",16,3,3,1.32,19
15,"Attaccapanni","disegnare un triangolo",16,2,3,1.32,19
15,"Attaccapanni","stendere biancheria",16,2,2,1.32,19
15,"Barile","arredare un angolo di un locale",16,2,2,1.32,19
15,"Barile","farci un tavolo",16,2,2,1.32,19
15,"Barile","portafiori",16,2,2,1.32,19
15,"Bottiglia di plastica","decorazioni natalizie come fiori",16,2,2,1.32,19
15,"Bottiglia di plastica","degli animali",16,3,2,1.32,19
15,"Bottiglia di plastica","per spaventare i gatti",16,2,3,1.32,19
15,"Bottiglia di plastica","riciclare i tappi",16,2,2,1.32,19
15,"Bottiglia di plastica","riutilizzarla per il riciclo industriale",16,2,2,1.32,19
15,"Bottiglia di plastica","tagliandola fare dei portamatite",16,2,2,1.32,19
15,"Bottiglia di plastica","vaso per fiori recisi",16,2,2,1.32,19
15,"Lampadina","creare delle lampade",16,2,2,1.32,19
15,"Lampadina","creare delle luminarie",16,2,2,1.32,19
15,"Lampadina","dipingerla",16,2,2,1.32,19
15,"Lampadina","fare luce",16,1,1,1.32,19
15,"Lampadina","riciclare i pezzi rotti",16,2,2,1.32,19
15,"Libro","bruciarlo",16,2,2,1.32,19
15,"Libro","catalogarlo",16,1,2,1.32,19
15,"Libro","colpire qualcuno",16,2,2,1.32,19
15,"Libro","creare corone con le pagine",16,4,4,1.32,19
15,"Libro","farci lo spago con le pagine",16,4,4,1.32,19
15,"Libro","impilarli",16,2,2,1.32,19
15,"Libro","leggerlo",16,1,1,1.32,19
15,"Libro","regalarlo",16,2,2,1.32,19
15,"Libro","usare le pagine per creare dei lavori di carta",16,2,3,1.32,19
15,"Libro","venderlo nei mercatini",16,2,1,1.32,19
15,"Sedia","appoggiare indumenti",16,2,2,1.32,19
15,"Sedia","creare una casetta o dei giochi per i bambini",16,4,4,1.32,19
15,"Sedia","dipingere",16,2,2,1.32,19
15,"Sedia","fare il gioco della sedia",16,3,2,1.32,19
15,"Sedia","fare legna",16,2,2,1.32,19
15,"Sedia","rivestirla",16,2,2,1.32,19
15,"Sedia","togliere la spagliera e creare uno sgabello",16,2,2,1.32,19
15,"Sedia","usarla per difesa",16,2,2,1.32,19
18,"Attaccapanni","arma impropria",16,2,2,1.44,30
18,"Attaccapanni","cavatappi",16,4,2,1.44,30
18,"Attaccapanni","fermaporta",16,3,3,1.44,30
18,"Attaccapanni","rabdomanzia",16,5,4,1.44,30
18,"Attaccapanni","righello",16,2,2,1.44,30
18,"Barile","arma impropria",16,2,2,1.44,30
18,"Barile","fioriera",16,2,2,1.44,30
18,"Barile","rialzo",16,2,2,1.44,30
18,"Barile","sedia",16,2,2,1.44,30
18,"Barile","tavolo",16,2,2,1.44,30
18,"Barile","vaso",16,2,2,1.44,30
18,"Bottiglia di plastica","arma impropria se in vetro",16,2,2,1.44,30
18,"Bottiglia di plastica","clessidra forse",16,3,3,1.44,30
18,"Bottiglia di plastica","contenitore di materiale minuto",16,3,3,1.44,30
18,"Bottiglia di plastica","fioriera",16,2,3,1.44,30
18,"Lampadina","arma impropria",16,2,2,1.44,30
18,"Lampadina","decorazione",16,2,2,1.44,30
18,"Lampadina","light show se in gruppo",16,2,3,1.44,30
18,"Lampadina","segnalatore se accesa",16,3,3,1.44,30
18,"Lampadina","strumento",16,2,2,1.44,30
18,"Libro","alimentare il fuoco",16,2,2,1.44,30
18,"Libro","arma impropria",16,2,2,1.44,30
18,"Libro","decorazione",16,2,2,1.44,30
18,"Libro","fermacarte",16,2,2,1.44,30
18,"Libro","fermaporta",16,2,2,1.44,30
18,"Libro","rialzo",16,2,2,1.44,30
18,"Libro","righello",16,2,2,1.44,30
18,"Libro","scherzi rumorosi",16,4,4,1.44,30
18,"Sedia","arma impropria",16,2,2,1.44,30
18,"Sedia","rialzo in caso di comizi",16,3,2,1.44,30
18,"Sedia","sketch teatrali",16,2,4,1.44,30
18,"Sedia","trono improprio",16,3,4,1.44,30
19,"Attaccapanni","appendi vasi",16,2,2,1.84,26
19,"Attaccapanni","meta cornice",16,2,2,1.84,26
19,"Barile","porta piante",16,2,2,1.84,26
19,"Barile","sedile",16,2,2,1.84,26
19,"Barile","tavolino",16,2,2,1.84,26
19,"Bottiglia di plastica","decorazioni per esterni",16,2,2,1.84,26
19,"Bottiglia di plastica","ferma porta",16,2,2,1.84,26
19,"Bottiglia di plastica","giocattoli per bambini",16,2,2,1.84,26
19,"Bottiglia di plastica","gioco per cani",16,2,2,1.84,26
19,"Bottiglia di plastica","raccogli frutta",16,3,2,1.84,26
19,"Bottiglia di plastica","trappola per mosche",16,2,3,1.84,26
19,"Lampadina","boulle per microclima",16,5,4,1.84,26
19,"Lampadina","contenitore per micro paesaggi",16,4,4,1.84,26
19,"Libro","base per decorazione floreale",16,2,2,1.84,26
19,"Libro","base per lampada",16,2,2,1.84,26
19,"Libro","mensola",16,2,2,1.84,26
19,"Sedia","appendino",16,2,2,1.84,26
19,"Sedia","mensola",16,2,2,1.84,26
19,"Sedia","porta piante",16,2,2,1.84,26
19,"Sedia","tavolino",16,2,2,1.84,26
20,"Attaccapanni","mensola attaccata a un muro",16,3,2,1.75,31
20,"Attaccapanni","porta carta igienica",16,2,2,1.75,31
20,"Attaccapanni","portamestoli in cucina",16,2,2,1.75,31
20,"Attaccapanni","portaorecchini legando dei fili",16,4,3,1.75,31
20,"Attaccapanni","separatore",16,3,3,1.75,31
20,"Attaccapanni","tendina",16,4,2,1.75,31
20,"Barile","capovolgerlo e usarlo per sedersi",16,2,2,1.75,31
