ID,prompt,response,set,lab,response_cleaned,rater1,rater2,rater3,Total_CAQ,Total_KDOCS
4,steen,Iets bouwen,7,3,bouwen,1,1,1,0,142
28,steen,zelf bouwen,7,3,bouwen,1,1,1,11,191
31,steen,Bouwen,7,3,bouwen,1,1,1,2,163
36,steen,bouwen,7,3,bouwen,1,1,1,7,159
55,steen,Bouwen,7,3,bouwen,1,1,1,7,162
61,steen,Iets bouwen,7,3,bouwen,1,1,1,1,135
80,steen,Bouwen,7,3,bouwen,1,1,1,9,183
84,steen,Bouwen,7,3,bouwen,1,1,1,2,145
85,steen,Bouwen,7,3,bouwen,1,1,1,5,147
102,steen,Bouwen,7,3,bouwen,1,1,1,5,177
29,steen,bouwen,7,3,bouwen,1,1,1,1,134
49,steen,bouwen,7,3,bouwen,1,1,1,8,130
65,steen,Bouwen,7,3,bouwen,1,1,1,3,155
74,steen,Bouwen,7,3,bouwen,1,1,1,1,154
78,steen,bouwen,7,3,bouwen,1,1,1,0,186
81,steen,er iets mee bouwen,7,3,bouwen,1,1,1,10,134
92,steen,bouwen,7,3,bouwen,1,1,1,4,160
106,steen,bouwen,7,3,bouwen,1,1,1,5,182
108,steen,Bouwen,7,3,bouwen,1,1,1,1,159
111,steen,Bouwen,7,3,bouwen,1,1,1,3,143
115,steen,Bouwen,7,3,bouwen,1,1,1,3,166
118,steen,Bouwen,7,3,bouwen,1,1,1,0,157
124,steen,Bouwen,7,3,bouwen,1,1,1,5,139
125,steen,Bouwen,7,3,bouwen,1,1,1,0,169
33,steen,bouwen,7,3,bouwen,1,1,1,7,160
39,steen,Bouwen,7,3,bouwen,1,1,1,3,145
50,steen,bouwen,7,3,bouwen,1,1,1,2,126
94,steen,Bouwen,7,3,bouwen,1,1,1,3,146
99,steen,Bouwen,7,3,bouwen,1,1,1,1,151
107,steen,Bouwen,7,3,bouwen,1,1,1,3,176
116,steen,Bouwen,7,3,bouwen,1,1,1,1,150
119,steen,bouwen,7,3,bouwen,1,1,1,2,130
122,steen,Bouwen,7,3,bouwen,1,1,1,4,171
77,steen,iets bouwen om met kinderen mee te spelen,7,3,bouwen kinderen spelen,1,1,2,5,166
114,steen,Bouwmiddel,7,3,bouwmiddel,1,1,1,4,135
28,steen,bouwpakket,7,3,bouwpakket,1,1,2,11,191
36,steen,bouwsels,7,3,bouwsels,1,1,1,7,159
7,steen,Bouwsteen,7,3,bouwsteen,1,1,1,2,161
18,steen,Bouwvakker,7,3,bouwvakker,1,0,0,3,137
18,steen,Bouwvakker,7,3,bouwvakker,1,0,0,3,137
42,steen,Bouwvakker,7,3,bouwvakker,1,0,0,11,169
59,steen,Bouwvakker,7,3,bouwvakker,1,0,0,3,140
111,steen,Bouwvakker,7,3,bouwvakker,1,0,0,3,143
31,steen,Bouwvakkers,7,3,bouwvakkers,1,0,0,2,163
31,steen,bouwvakkers,7,3,bouwvakkers,1,0,0,2,163
98,steen,Bouwvakkers,7,3,bouwvakkers,1,0,0,4,202
18,steen,Breken,7,3,breken,1,1,1,3,137
92,steen,breken,7,3,breken,1,1,1,4,160
124,steen,Breken,7,3,breken,1,1,1,5,139
30,steen,breken,7,3,breken,1,1,1,0,131
103,steen,Breken om te overleven (soort mes maken),7,3,breken overleven,3,3,3,3,135
22,steen,Een brug van maken,7,3,brug,1,1,2,9,199
128,steen,Brug,7,3,brug,1,1,2,4,130
12,steen,Brug,7,3,brug,1,1,2,0,152
110,steen,Bruin,7,3,bruin,0,0,0,3,176
59,steen,Bruin,7,3,bruin,0,0,0,3,140
118,steen,Bruin,7,3,bruin,0,0,0,0,157
73,steen,bruin,7,3,bruin,0,0,0,4,156
94,steen,Bruin,7,3,bruin,0,0,0,3,146
68,steen,Buigen,7,3,buigen,1,0,2,2,125
103,steen,Buitenbbq maken,7,3,buiten barbecue,2,1,2,3,135
132,steen,Buiten kinderen houden,7,3,buiten kinderen houden,2,0,2,3,164
86,steen,Bureau,7,3,bureau,3,1,3,5,133
123,steen,cadeau,7,3,cadeau,2,2,3,1,176
65,steen,cafe baksteen,7,3,café baksteen,1,1,NA,3,155
22,steen,Cement,7,3,cement,1,0,1,9,199
31,steen,Cement,7,3,cement,1,0,1,2,163
108,steen,Cement,7,3,cement,1,0,1,1,159
111,steen,Cement,7,3,cement,1,0,1,3,143
118,steen,Cement,7,3,cement,1,0,1,0,157
73,steen,cement,7,3,cement,1,0,1,4,156
76,steen,cement,7,3,cement,1,0,1,8,151
94,steen,Sement,7,3,cement,1,0,1,3,146
28,steen,cement bouwpakket,7,3,cement bouwpakket,1,0,2,11,191
28,steen,cementen voetbal,7,3,cementen voetbal,3,0,3,11,191
95,steen,collab met supr<e8>me en verkopen,7,3,collab supreme verkopen,2,0,3,3,153
76,steen,in combinatie met beton,7,3,combinatie beton,0,0,1,8,151
76,steen,in combinatie met hout,7,3,combinatie hout,0,0,1,8,151
18,steen,Constructie,7,3,constructie,1,1,1,3,137
36,steen,constructie,7,3,constructie,1,1,1,7,159
44,steen,Contragewicht,7,3,contragewicht,2,2,2,1,166
40,steen,Contragewicht,7,3,contragewicht,2,2,2,0,140
44,steen,Contragewicht,7,3,contragewicht,2,2,2,1,166
39,steen,Contragewicht,7,3,contragewicht,2,2,2,3,145
65,steen,Cree<eb>ren,7,3,creeëren,1,0,NA,3,155
100,steen,De d,7,3,d,0,0,0,0,169
90,steen,Dak,7,3,dak,1,1,2,0,119
45,steen,op dakpan leggen,7,3,dakpan leggen,1,1,2,8,157
12,steen,Dam,7,3,dam,1,3,2,0,152
25,steen,Decoratie,7,3,decoratie,2,3,3,4,174
68,steen,Decoratie,7,3,decoratie,2,3,3,2,125
90,steen,Decoratie,7,3,decoratie,2,3,3,0,119
25,steen,Als decoratie gebruiken,7,3,decoratie,2,3,3,4,174
68,steen,Decoratie,7,3,decoratie,2,3,NA,2,125
114,steen,Decoratie,7,3,decoratie,2,3,3,4,135
46,steen,Decoratie,7,3,decoratie,2,3,3,3,136
67,steen,Decoratie,7,3,decoratie,2,3,3,3,128
54,steen,Deeltjes in potten,7,3,deeltjes potten,3,3,2,6,183
7,steen,Deksel,7,3,deksel,3,2,2,2,161
18,steen,Deur,7,3,deur,1,0,2,3,137
90,steen,Deur,7,3,deur,1,0,2,0,119
100,steen,Deur,7,3,deur,1,0,2,0,169
84,steen,Deur open houden,7,3,deur open houden,2,2,2,2,145
23,steen,Als deur open houder,7,3,deur open houder,2,2,2,1,147
84,steen,En deur openhouden,7,3,deur openhouden,2,2,2,2,145
93,steen,Deur openhouden,7,3,deur openhouden,2,2,2,5,186
40,steen,Deur tegen te houden,7,3,deur tegen houden,2,2,2,0,140
40,steen,Deur tegen houden,7,3,deur tegen houden,2,2,2,0,140
80,steen,Deur mee tegen houden,7,3,deur tegen houden,2,2,2,9,183
51,steen,deur tegenhouden,7,3,deur tegenhouden,2,2,2,1,148
132,steen,Deur vasthouden,7,3,deur vasthouden,2,2,2,3,164
102,steen,Deurklem,7,3,deurklem,2,2,2,5,177
25,steen,Deurstopper,7,3,deurstopper,2,2,2,4,174
44,steen,Deurstop,7,3,deurstopper,2,2,2,1,166
102,steen,Deurstop,7,3,deurstopper,2,2,2,5,177
10,steen,deurstop,7,3,deurstopper,2,2,2,4,140
11,steen,Deurstopper,7,3,deurstopper,2,2,2,4,163
28,steen,deurstopper,7,3,deurstopper,2,2,2,11,191
44,steen,Deurstop,7,3,deurstopper,2,2,2,1,166
47,steen,Deurstopper,7,3,deurstopper,2,2,2,2,152
115,steen,Deurstop,7,3,deurstopper,2,2,2,3,166
80,steen,Din,7,3,din,0,0,0,9,183
30,steen,dingen mee fijn malen,7,3,dingen fijn malen,2,2,3,0,131
30,steen,dingen mee kapot maken,7,3,dingen kapot,1,2,2,0,131
58,steen,Gebruiken om dingen mee te laten zinken,7,3,dingen laten zinken,2,2,2,3,178
55,steen,Dingen slopen,7,3,dingen slopen,1,2,2,7,162
115,steen,Dingen tegenhouden,7,3,dingen tegenhouden,2,2,2,3,166
100,steen,Doekoe,7,3,doekoe,0,0,3,0,169
10,steen,als doel gebruiken,7,3,doel,3,2,3,4,140
96,steen,De dom toren,7,3,dom toren,1,0,2,3,192
49,steen,domino,7,3,domino,4,3,3,8,130
64,steen,Domino,7,3,domino,4,3,3,0,128
50,steen,domino,7,3,domino,4,3,3,2,126
58,steen,Gebruiken voor domino<U+0092>s,7,3,domino s,4,3,3,3,178
34,steen,domino spel,7,3,domino spel,4,3,3,6,151
77,steen,donkere kleuren,7,3,donkere kleuren,0,0,3,5,166
100,steen,Donnie,7,3,donnie,0,0,0,0,169
100,steen,Twee donnie,7,3,donnie,0,0,0,0,169
100,steen,Drie donniee,7,3,donniee,0,0,0,0,169
92,steen,doodslag,7,3,doodslag,2,1,2,4,160
31,steen,Doorbreken,7,3,doorbreken,1,1,1,2,163
51,steen,doormidden zagen,7,3,doormidden zagen,1,0,1,1,148
69,steen,Dreigement,7,3,dreigement,2,0,2,0,131
84,steen,Dreigen te gooien met baksteen,7,3,dreigen gooien baksteen,2,1,2,2,145
122,steen,Duurzaam,7,3,duurzaam,0,0,0,4,171
100,steen,Eikel,7,3,eikel,0,0,0,0,169
77,steen,op elkaar stapelen,7,3,elkaar stapelen,2,1,1,5,166
51,steen,ergens aan bevestigen,7,3,ergens bevestigen,2,1,2,1,148
81,steen,ernaar kijken,7,3,ernaar kijken,1,1,2,10,134
67,steen,Erop staan,7,3,erop staan,2,1,2,3,128
58,steen,Erop tekenen en een mini stad maken,7,3,erop tekenen mini stad,4,3,3,3,178
91,steen,Je kan erop zitten,7,3,erop zitten,2,1,2,1,139
123,steen,etaleren,7,3,etaleren,2,0,3,1,176
68,steen,Eten,7,3,eten,1,5,4,2,125
80,steen,Van eten,7,3,eten,3,5,4,9,183
97,steen,Eten,7,3,eten,1,5,4,1,152
68,steen,Eten stampen,7,3,eten stampen,3,3,3,2,125
22,steen,Fabrieken,7,3,fabrieken,0,0,2,9,199
90,steen,Fiets,7,3,fiets,1,0,3,0,119
12,steen,Fietspad,7,3,fietspad,1,1,2,0,152
121,steen,Figuren bouwen,7,3,figuren bouwen,1,1,3,1,111
49,steen,fijnmalen,7,3,fijnmalen,2,3,1,8,130
22,steen,Filtreren van vervuild bv,7,3,filtreren vervuild bv,4,0,2,9,199
97,steen,Flatgebouw,7,3,flatgebouw,1,1,2,1,152
65,steen,fotografie,7,3,fotografie,2,0,3,3,155
65,steen,Fundament,7,3,fundament,0,0,1,3,155
76,steen,fundering,7,3,fundering,1,0,1,8,151
45,steen,gat mee dichten,7,3,gat dichten,2,2,2,8,157
47,steen,Gat in maken met plant,7,3,gat plant,3,3,3,2,152
96,steen,Gebakjes van steen,7,3,gebakjes steen,2,4,4,3,192
73,steen,gebakken,7,3,gebakken,1,1,0,4,156
96,steen,Gebakken steen,7,3,gebakken steen,1,4,1,3,192
36,steen,gebouw,7,3,gebouw,1,1,1,7,159
85,steen,Gebouw,7,3,gebouw,1,1,1,5,147
114,steen,Gebouw,7,3,gebouw,1,1,1,4,135
36,steen,gebouw,7,3,gebouw,1,1,1,7,159
42,steen,Gebouw,7,3,gebouw,1,1,1,11,169
59,steen,gebouw,7,3,gebouw,1,1,1,3,140
118,steen,Gebouw,7,3,gebouw,1,1,1,0,157
73,steen,gebouw,7,3,gebouw,1,1,1,4,156
119,steen,gebouw,7,3,gebouw,1,1,1,2,130
129,steen,Gebouw bouwen,7,3,gebouw bouwen,1,1,1,1,106
132,steen,Gebouw bouwen,7,3,gebouw bouwen,1,1,1,3,164
44,steen,Gebouwen,7,3,gebouwen,1,1,1,1,166
110,steen,Gebouwen,7,3,gebouwen,1,1,1,3,176
129,steen,Gebouwen bouwen,7,3,gebouwen bouwen,1,1,1,1,106
43,steen,Gebruik als handrem (achter de banden leggen van een auto),7,3,gebruik handrem,3,3,3,6,164
43,steen,Gebruik voor kunst,7,3,gebruik kunst,2,2,3,6,164
14,steen,gebruiksvoorwerpen maken,7,3,gebruiksvoorwerpen,1,1,2,7,159
14,steen,gebruiksvoorwerpen maken,7,3,gebruiksvoorwerpen,1,1,2,7,159
128,steen,Gekleurde huis maken,7,3,gekleurde huis,1,0,2,4,130
4,steen,Geluid maken,7,3,geluid,2,3,3,0,142
7,steen,Geluid door krassen/op elkaar tikken,7,3,geluid krassen elkaar tikken,2,3,3,2,161
114,steen,Geluidsisolatie,7,3,geluidsisolatie,2,3,3,4,135
68,steen,Gebruiken als gereedschap,7,3,gereedschap,3,3,3,2,125
92,steen,geschiedenis,7,3,geschiedenis,0,0,0,4,160
65,steen,geur,7,3,geur,0,0,3,3,155
111,steen,Gevaarlijk,7,3,gevaarlijk,0,0,0,3,143
118,steen,Gevaarlijk,7,3,gevaarlijk,0,0,0,0,157
23,steen,Als gewicht gebruiken,7,3,gewicht,2,1,2,1,147
23,steen,Gewicht,7,3,gewicht,2,0,2,1,147
89,steen,Gebruiken als Gewicht,7,3,gewicht,2,1,2,17,194
119,steen,gewicht,7,3,gewicht,2,0,2,2,130
64,steen,Gewicht ergens in plaatsen,7,3,gewicht ergens plaatsen,2,1,2,0,128
3,steen,gewicht om mee te trainen,7,3,gewicht trainen,3,4,2,2,159
31,steen,gewichtheffen,7,3,gewichtheffen,3,4,2,2,163
15,steen,gewichtheffen,7,3,gewichtheffen,3,4,2,2,170
51,steen,gewichtheffen,7,3,gewichtheffen,3,4,NA,1,148
64,steen,Gewichtheffen,7,3,gewichtheffen,3,4,2,0,128
96,steen,Gewonden mensen,7,3,gewonden mensen,2,1,2,3,192
120,steen,gezicht van een mannetje,7,3,gezicht mannetje,1,0,3,3,135
31,steen,glas mee stuk gooien,7,3,glas stuk gooien,2,1,1,2,163
54,steen,Glitter,7,3,glitter,0,0,4,6,183
24,steen,als gooi object,7,3,gooi object,1,1,2,11,190
4,steen,Gooien,7,3,gooien,1,1,2,0,142
18,steen,Gooien,7,3,gooien,1,1,2,3,137
18,steen,Gooien,7,3,gooien,1,1,2,3,137
22,steen,Gooien,7,3,gooien,1,1,2,9,199
61,steen,Gooien,7,3,gooien,1,1,2,1,135
68,steen,Gooien,7,3,gooien,1,1,2,2,125
71,steen,Gooien,7,3,gooien,1,1,2,8,162
75,steen,Mee gooien,7,3,gooien,1,1,2,1,135
80,steen,Gooien,7,3,gooien,1,1,2,9,183
4,steen,Gooien,7,3,gooien,1,1,2,0,142
10,steen,over gooien,7,3,gooien,1,1,2,4,140
18,steen,Gooien,7,3,gooien,1,1,2,3,137
22,steen,Gooien,7,3,gooien,1,1,2,9,199
25,steen,Gooien,7,3,gooien,1,1,2,4,174
61,steen,Gooien,7,3,gooien,1,1,2,1,135
68,steen,Gooien,7,3,gooien,1,1,2,2,125
71,steen,Gooien,7,3,gooien,1,1,2,8,162
80,steen,Gooien,7,3,gooien,1,1,2,9,183
85,steen,Gooien,7,3,gooien,1,1,2,5,147
90,steen,Gooien,7,3,gooien,1,1,2,0,119
15,steen,gooien,7,3,gooien,1,1,2,2,170
29,steen,mee gooien,7,3,gooien,1,1,2,1,134
38,steen,gooien,7,3,gooien,1,1,2,6,140
51,steen,gooien,7,3,gooien,1,1,2,1,148
74,steen,Gooien,7,3,gooien,1,1,2,1,154
78,steen,gooien,7,3,gooien,1,1,2,0,186
81,steen,gooien,7,3,gooien,1,1,2,10,134
83,steen,Gooien,7,3,gooien,1,1,2,3,148
92,steen,gooien,7,3,gooien,1,1,2,4,160
95,steen,gooien,7,3,gooien,1,1,2,3,153
124,steen,Gooien,7,3,gooien,1,1,2,5,139
33,steen,gooien,7,3,gooien,1,1,2,7,160
37,steen,Gooien,7,3,gooien,1,1,2,4,164
39,steen,Gooien,7,3,gooien,1,1,2,3,145
50,steen,gooien,7,3,gooien,1,1,2,2,126
107,steen,Gooien,7,3,gooien,1,1,2,3,176
116,steen,Gooien,7,3,gooien,1,1,2,1,150
45,steen,mee gooien bij demonstratie,7,3,gooien demonstratie,1,1,2,8,157
20,steen,Graffiti,7,3,graffiti,2,0,3,1,153
18,steen,Grappen,7,3,grappen,0,0,3,3,137
18,steen,Grappig,7,3,grappig,0,0,0,3,137
81,steen,graveren,7,3,graveren,2,3,3,10,134
121,steen,Uitgraveren,7,3,graveren,2,3,3,1,111
69,steen,Grens,7,3,grens,2,2,2,0,131
118,steen,Grijs,7,3,grijs,0,0,0,0,157
73,steen,grijs,7,3,grijs,0,0,0,4,156
98,steen,Grijs,7,3,grijs,0,0,0,4,202
22,steen,Grindpad van maken,7,3,grindpad,2,1,1,9,199
96,steen,Grint,7,3,grint,2,1,1,3,192
110,steen,Grond,7,3,grond,1,0,1,3,176
111,steen,Groot,7,3,groot,0,0,0,3,143
98,steen,Groot,7,3,groot,0,0,0,4,202
28,steen,grote mensen lego,7,3,grote mensen lego,2,3,4,11,191
28,steen,grote mensen lego,7,3,grote mensen lego,2,3,4,11,191
68,steen,Hakken,7,3,hakken,3,1,2,2,125
123,steen,hakken,7,3,hakken,3,1,2,1,176
102,steen,Hamer,7,3,hamer,3,3,2,5,177
40,steen,Als hamer gebruiken,7,3,hamer,3,3,2,0,140
102,steen,Hamer,7,3,hamer,3,3,2,5,177
38,steen,als hamer,7,3,hamer,3,3,2,6,140
80,steen,hameren,7,3,hameren,3,3,2,9,183
108,steen,Handig,7,3,handig,0,0,0,1,159
18,steen,Hard,7,3,hard,0,0,0,3,137
110,steen,Hard,7,3,hard,0,0,0,3,176
110,steen,Hard,7,3,hard,0,0,0,3,176
65,steen,Hard,7,3,hard,0,0,0,3,155
111,steen,Hard,7,3,hard,0,0,0,3,143
118,steen,Hard,7,3,hard,0,0,0,0,157
60,steen,Hard,7,3,hard,0,0,0,5,191
73,steen,hard,7,3,hard,0,0,0,4,156
94,steen,Hard,7,3,hard,0,0,0,3,146
112,steen,hard,7,3,hard,0,0,0,5,136
18,steen,Helm,7,3,helm,2,4,4,3,137
18,steen,Helm,7,3,helm,2,4,4,3,137
59,steen,Helm,7,3,helm,2,4,4,3,140
8,steen,Herdenking,7,3,herdenking,0,0,3,7,171
71,steen,Herrie maken,7,3,herrie,2,0,3,8,162
18,steen,Hersenletsel,7,3,hersenletsel,2,0,2,3,137
18,steen,Hersenletsel,7,3,hersenletsel,2,0,2,3,137
20,steen,Hersens inslaan,7,3,hersens inslaan,2,0,2,1,153
18,steen,Herschenschudding,7,3,hersenschudding,2,0,2,3,137
18,steen,Hersenschudding,7,3,hersenschudding,2,0,2,3,137
31,steen,hijskran,7,3,hijskraan,0,0,3,2,163
110,steen,Hobby,7,3,hobby,0,0,3,3,176
42,steen,Hok,7,3,hok,1,1,2,11,169
119,steen,hok,7,3,hok,1,1,2,2,130
71,steen,Hondenhok maken,7,3,hondenhok,1,1,2,8,162
94,steen,Hondenhok,7,3,hondenhok,1,1,2,3,146
18,steen,Hoofd,7,3,hoofd,0,0,0,3,137
18,steen,Hoofdpijn,7,3,hoofdpijn,0,0,0,3,137
20,steen,Hoogte cre<eb>ren,7,3,hoogte creëren,2,0,NA,1,153
102,steen,Houder,7,3,houder,2,2,2,5,177
3,steen,houder om iets rechtop te laten staan,7,3,houder rechtop laten staan,3,2,2,2,159
83,steen,Houtkachel,7,3,houtkachel,1,3,2,3,148
18,steen,Huilen,7,3,huilen,0,0,1,3,137
25,steen,Huis,7,3,huis,1,1,1,4,174
31,steen,Huis,7,3,huis,1,1,1,2,163
36,steen,huis,7,3,huis,1,1,1,7,159
42,steen,Huis,7,3,huis,1,1,1,11,169
85,steen,Huis,7,3,huis,1,1,1,5,147
90,steen,Huis,7,3,huis,1,1,1,0,119
97,steen,Huis,7,3,huis,1,1,1,1,152
36,steen,huis,7,3,huis,1,1,1,7,159
42,steen,Huis,7,3,huis,1,1,1,11,169
85,steen,Huis,7,3,huis,1,1,1,5,147
90,steen,Huis,7,3,huis,1,1,1,0,119
110,steen,Huis,7,3,huis,1,1,1,3,176
128,steen,Huis,7,3,huis,1,1,1,4,130
8,steen,Huis,7,3,huis,1,1,1,7,171
20,steen,Huis,7,3,huis,1,1,1,1,153
29,steen,huis,7,3,huis,1,1,1,1,134
53,steen,huis,7,3,huis,1,1,1,1,157
59,steen,Huis,7,3,huis,1,1,1,3,140
65,steen,Huis,7,3,huis,1,1,1,3,155
83,steen,Huis,7,3,huis,1,1,1,3,148
108,steen,Huis,7,3,huis,1,1,1,1,159
111,steen,Huis,7,3,huis,1,1,1,3,143
118,steen,Huis,7,3,huis,1,1,1,0,157
12,steen,Huis,7,3,huis,1,1,1,0,152
46,steen,Huis,7,3,huis,1,1,1,3,136
48,steen,Huis,7,3,huis,1,1,1,2,138
60,steen,Huis,7,3,huis,1,1,1,5,191
73,steen,huis,7,3,huis,1,1,1,4,156
