ID,prompt,response,lp,order,coder1,coder2,coder3,coder4,Extr,Aggr,Cons,Neu,Openn,Mach,Psych,Narc,CPI,CSE,ACTIVITY_GENERAL,visual,music,dance,archit,writing,humor,discov,science,theatre,culinary,caq,iq_all,caq_ln,self_everyday,scholarly,performance,mechanical_science,artistic,badd_iq,string_cse,can_cse,brick_cse,age
6796,sznurek,Sznurek można wykorzystać do połączenia cegły i puszki i wszystkie trzy rzeczy można mieć zawsze przy sobie;,122,p1,5,NA,4,NA,3.9,3.9,4,2.4,3.5,4,3.5,3.5,4.8,4.5,0.06060606060606061,0,0,0,0,1,2,3,0,0,0,6,6,1.9459101490553132,3.4545454545454546,3.3636363636363638,1.2,2.4444444444444446,2.7777777777777777,26,80,70,60,36
10299,sznurek,do stworzenia ciekawej biżuterii np. bransoletki,992,p1,1,NA,2,NA,4.7,4.2,4.6,1.9,3.6,1.75,1,3.75,6.2,5.833333333333333,0.18181818181818182,12,1,0,1,1,1,0,0,0,1,17,2,2.8903717578961645,3.909090909090909,3.8181818181818183,3.9,2.888888888888889,4.888888888888889,16,61,50,34,36
12393,sznurek,Do wszystkiego co można nawlec czyli  - ozdób choinkowych  - bransoletek  - kolczyków itp.,380,p1,4,NA,3,NA,3.9,3.7,3.8,2.2,3.3,3.25,3.25,3.75,5,4.666666666666667,0.15151515151515152,3,0,1,2,0,0,1,3,0,1,11,6,2.4849066497880004,3.3636363636363638,2.6363636363636362,2.1,3.3333333333333335,3.3333333333333335,29,59,40,50,27
12393,sznurek,Do zrobienia uwiązu lub haltera dla konia,381,p2,7,NA,2,NA,3.9,3.7,3.8,2.2,3.3,3.25,3.25,3.75,5,4.666666666666667,0.15151515151515152,3,0,1,2,0,0,1,3,0,1,11,6,2.4849066497880004,3.3636363636363638,2.6363636363636362,2.1,3.3333333333333335,3.3333333333333335,29,59,40,50,27
12393,sznurek,Do zawiązania snopka,382,p3,2,NA,2,NA,3.9,3.7,3.8,2.2,3.3,3.25,3.25,3.75,5,4.666666666666667,0.15151515151515152,3,0,1,2,0,0,1,3,0,1,11,6,2.4849066497880004,3.3636363636363638,2.6363636363636362,2.1,3.3333333333333335,3.3333333333333335,29,59,40,50,27
12393,sznurek,Do zmierzenia się a następnie na miarce jak nie ma w domu centymetra krawieckiego,383,p4,5,NA,4,NA,3.9,3.7,3.8,2.2,3.3,3.25,3.25,3.75,5,4.666666666666667,0.15151515151515152,3,0,1,2,0,0,1,3,0,1,11,6,2.4849066497880004,3.3636363636363638,2.6363636363636362,2.1,3.3333333333333335,3.3333333333333335,29,59,40,50,27
12393,sznurek,Do pieczenia,384,p5,7,NA,3,NA,3.9,3.7,3.8,2.2,3.3,3.25,3.25,3.75,5,4.666666666666667,0.15151515151515152,3,0,1,2,0,0,1,3,0,1,11,6,2.4849066497880004,3.3636363636363638,2.6363636363636362,2.1,3.3333333333333335,3.3333333333333335,29,59,40,50,27
13943,sznurek,jako krawat,464,p1,5,NA,3,NA,3.4,4.2,3.9,2.8,3.7,2,1,2.25,6.8,6,0.36363636363636365,2,0,2,0,3,0,2,1,1,1,12,5,2.5649493574615367,3.6363636363636362,3.6363636363636362,3.4,2.888888888888889,4.111111111111111,20,22,41,35,32
14454,sznurek,uwiązać klamki sąsiadom mieszkającym na przeciw siebie,692,p1,7,NA,4,NA,2.5,3.6,4.3,3,2.9,1,1,1,5.4,4.833333333333333,0,0,0,0,0,0,1,1,0,0,1,3,5,1.3862943611198906,3.1818181818181817,2.6363636363636362,1.9,2.5555555555555554,2.2222222222222223,2,51,50,100,32
15512,sznurek,jako sznurówki,161,p1,1,NA,2,NA,2.6,4,3.7,2.9,3.6,4,1.75,2.5,3.4,4.833333333333333,0.0303030303030303,0,1,0,0,1,0,1,1,2,0,6,7,1.9459101490553132,3.3636363636363638,3.8181818181818183,3,2.888888888888889,2.111111111111111,31,29.5,70,40,32
15512,sznurek,można sobie z niego zrobić wieszak na różne bibeloty,162,p2,2,NA,2,NA,2.6,4,3.7,2.9,3.6,4,1.75,2.5,3.4,4.833333333333333,0.0303030303030303,0,1,0,0,1,0,1,1,2,0,6,7,1.9459101490553132,3.3636363636363638,3.8181818181818183,3,2.888888888888889,2.111111111111111,31,29.5,70,40,32
15512,sznurek,jako pasek do spodni,163,p3,1,NA,2,NA,2.6,4,3.7,2.9,3.6,4,1.75,2.5,3.4,4.833333333333333,0.0303030303030303,0,1,0,0,1,0,1,1,2,0,6,7,1.9459101490553132,3.3636363636363638,3.8181818181818183,3,2.888888888888889,2.111111111111111,31,29.5,70,40,32
15830,sznurek,jako zabawke dla kota,280,p1,2,NA,4,NA,2.9,3.7,3.6,3.3,4,2.75,3.5,3.75,5.6,5.333333333333333,0.45454545454545453,1,1,0,0,11,0,3,26,0,1,43,9,3.784189633918261,3.5454545454545454,3.727272727272727,2.4,4.111111111111111,3.111111111111111,27,23.5,15.5,24,36
15830,sznurek,mozna utkac dywanik  albo zwinac w spiralke na dywanik,281,p2,5,NA,3,NA,2.9,3.7,3.6,3.3,4,2.75,3.5,3.75,5.6,5.333333333333333,0.45454545454545453,1,1,0,0,11,0,3,26,0,1,43,9,3.784189633918261,3.5454545454545454,3.727272727272727,2.4,4.111111111111111,3.111111111111111,27,23.5,15.5,24,36
15830,sznurek,jako bizuterie,282,p3,1,NA,2,NA,2.9,3.7,3.6,3.3,4,2.75,3.5,3.75,5.6,5.333333333333333,0.45454545454545453,1,1,0,0,11,0,3,26,0,1,43,9,3.784189633918261,3.5454545454545454,3.727272727272727,2.4,4.111111111111111,3.111111111111111,27,23.5,15.5,24,36
15830,sznurek,zeby kwiatki sie po nim wspinaly  jesli jest go duzo,283,p4,6,NA,3,NA,2.9,3.7,3.6,3.3,4,2.75,3.5,3.75,5.6,5.333333333333333,0.45454545454545453,1,1,0,0,11,0,3,26,0,1,43,9,3.784189633918261,3.5454545454545454,3.727272727272727,2.4,4.111111111111111,3.111111111111111,27,23.5,15.5,24,36
16270,sznurek,zwiazać tak by zrobić z niego bransoletke z dużą ilością węzłów i sprzedać jako artefakt z ameryki południowej,837,p1,5,NA,2,NA,3.4,1.6,4.2,2.5,3.8,7,7,6.25,4.8,6.333333333333333,0.09090909090909091,0,0,0,3,2,0,0,3,0,5,13,4,2.6390573296152584,2.5454545454545454,4.090909090909091,1.5,3.2222222222222223,2.888888888888889,30,84.5,59.5,47.5,27
17903,sznurek,pasek u spodni,175,p1,1,NA,2,NA,3.8,4,3.7,3.5,3.5,4.75,2.25,5,5.8,5.5,0.09090909090909091,0,0,0,0,0,1,0,0,0,1,2,4,1.0986122886681098,3.727272727272727,3.5454545454545454,2.5,3,2.111111111111111,27,63.5,76.5,22.5,27
17903,sznurek,kajdanki,176,p2,3,NA,2,NA,3.8,4,3.7,3.5,3.5,4.75,2.25,5,5.8,5.5,0.09090909090909091,0,0,0,0,0,1,0,0,0,1,2,4,1.0986122886681098,3.727272727272727,3.5454545454545454,2.5,3,2.111111111111111,27,63.5,76.5,22.5,27
17903,sznurek,sznurowadła,177,p3,1,NA,2,NA,3.8,4,3.7,3.5,3.5,4.75,2.25,5,5.8,5.5,0.09090909090909091,0,0,0,0,0,1,0,0,0,1,2,4,1.0986122886681098,3.727272727272727,3.5454545454545454,2.5,3,2.111111111111111,27,63.5,76.5,22.5,27
19819,sznurek,jako linkę,141,p1,5,NA,2,NA,3.7,3.9,4.6,3,3.2,5,2.5,4,4.6,5,0.21212121212121213,2,0,0,0,0,1,0,0,0,1,4,6,1.6094379124341003,3.909090909090909,2.909090909090909,1.7,1.8888888888888888,2.4444444444444446,25,50,49,50.5,27
19819,sznurek,sznurówkę,142,p2,1,NA,2,NA,3.7,3.9,4.6,3,3.2,5,2.5,4,4.6,5,0.21212121212121213,2,0,0,0,0,1,0,0,0,1,4,6,1.6094379124341003,3.909090909090909,2.909090909090909,1.7,1.8888888888888888,2.4444444444444446,25,50,49,50.5,27
19819,sznurek,bransoletkę,143,p3,1,NA,2,NA,3.7,3.9,4.6,3,3.2,5,2.5,4,4.6,5,0.21212121212121213,2,0,0,0,0,1,0,0,0,1,4,6,1.6094379124341003,3.909090909090909,2.909090909090909,1.7,1.8888888888888888,2.4444444444444446,25,50,49,50.5,27
20483,sznurek,pasek do spodni,12,p1,1,NA,2,NA,3.6,3.7,3.1,3.4,4,4.5,4.25,4.75,4.8,4.5,0.06060606060606061,0,0,0,0,0,1,0,0,0,0,1,6,0.6931471805599453,3.909090909090909,3.8181818181818183,3.7,3.2222222222222223,3.4444444444444446,24,62,50.5,51.5,36
20525,sznurek,wiązania,241,p1,1,NA,2,NA,2.9,3.5,2.8,3.8,2.6,1,1.75,2,3.2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,3,2.5555555555555554,2.6666666666666665,11,22.5,22.5,22.5,36
20525,sznurek,ozdabiania,242,p2,2,NA,3,NA,2.9,3.5,2.8,3.8,2.6,1,1.75,2,3.2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,3,2.5555555555555554,2.6666666666666665,11,22.5,22.5,22.5,36
20684,sznurek,zamiast paska do spodni,466,p1,1,NA,2,NA,4.1,4.5,3.4,2.8,4.3,5,1.75,5.25,6.6,6.666666666666667,0.0303030303030303,0,0,0,0,0,2,0,0,0,0,2,3,1.0986122886681098,3.909090909090909,3.8181818181818183,2.3,3,2.2222222222222223,29,55,81,60.5,27
20684,sznurek,uchwyt do torby,467,p2,3,NA,3,NA,4.1,4.5,3.4,2.8,4.3,5,1.75,5.25,6.6,6.666666666666667,0.0303030303030303,0,0,0,0,0,2,0,0,0,0,2,3,1.0986122886681098,3.909090909090909,3.8181818181818183,2.3,3,2.2222222222222223,29,55,81,60.5,27
20684,sznurek,hamak,468,p3,4,NA,3,NA,4.1,4.5,3.4,2.8,4.3,5,1.75,5.25,6.6,6.666666666666667,0.0303030303030303,0,0,0,0,0,2,0,0,0,0,2,3,1.0986122886681098,3.909090909090909,3.8181818181818183,2.3,3,2.2222222222222223,29,55,81,60.5,27
22671,sznurek,Zamiast paska do spodni ;D,22,p1,1,NA,2,NA,3.3,4.1,3.5,3.3,3,2,3,4,4,4,0.18181818181818182,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,3,3,30,50.5,65.5,47,43
23527,sznurek,wiazanie paczek,745,p1,2,NA,2,NA,3.8,3.8,3.5,2.5,3.5,4,3.5,4,4.4,5.166666666666667,0.24242424242424243,0,0,0,0,0,5,10,1,0,0,16,5,2.833213344056216,3,2.909090909090909,2.2,3.3333333333333335,2.2222222222222223,25,40.5,70,40,32
23527,sznurek,bindowanie dokumentow,746,p2,5,NA,2,NA,3.8,3.8,3.5,2.5,3.5,4,3.5,4,4.4,5.166666666666667,0.24242424242424243,0,0,0,0,0,5,10,1,0,0,16,5,2.833213344056216,3,2.909090909090909,2.2,3.3333333333333335,2.2222222222222223,25,40.5,70,40,32
23527,sznurek,wieszak do kwiatow,747,p3,3,NA,3,NA,3.8,3.8,3.5,2.5,3.5,4,3.5,4,4.4,5.166666666666667,0.24242424242424243,0,0,0,0,0,5,10,1,0,0,16,5,2.833213344056216,3,2.909090909090909,2.2,3.3333333333333335,2.2222222222222223,25,40.5,70,40,32
23719,sznurek,zrobienie abażuru,944,p1,5,NA,3,NA,2.8,3.2,3.1,3.2,3.3,4,4,4,4,4,0.0303030303030303,0,0,0,0,0,1,0,1,0,1,3,3,1.3862943611198906,1,1,1,1,1,16,55,45,50,36
23719,sznurek,bransoletki,945,p2,1,NA,2,NA,2.8,3.2,3.1,3.2,3.3,4,4,4,4,4,0.0303030303030303,0,0,0,0,0,1,0,1,0,1,3,3,1.3862943611198906,1,1,1,1,1,16,55,45,50,36
23719,sznurek,bombki,946,p3,4,NA,3,NA,2.8,3.2,3.1,3.2,3.3,4,4,4,4,4,0.0303030303030303,0,0,0,0,0,1,0,1,0,1,3,3,1.3862943611198906,1,1,1,1,1,16,55,45,50,36
24474,sznurek,do wyznaczania lini,202,p1,6,NA,4,NA,3.1,3.1,2.9,2.4,3.1,3.5,3.5,4,2.8,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1.5454545454545454,1,1,1.1111111111111112,26,54,47,41,32
25281,sznurek,naszyjnik,234,p1,3,NA,2,NA,2.8,4,3.7,2.5,3.2,1.25,3,1.5,4.8,4.833333333333333,0.12121212121212122,0,0,0,0,0,0,0,0,0,0,0,6,0,3.5454545454545454,2.5454545454545454,2.3,3.5555555555555554,3.3333333333333335,24,30.5,31,30,32
25933,sznurek,do podwiązania spodni,706,p1,1,NA,2,NA,2.9,3.1,3.5,3.2,2.9,5.5,3.5,5.75,5.8,5.333333333333333,0.24242424242424243,0,4,0,0,0,1,0,0,0,0,5,2,1.791759469228055,3.4545454545454546,2.8181818181818183,2.9,3.2222222222222223,3.111111111111111,15,60.5,60.5,46.5,43
25933,sznurek,do zrobienia kwietnika,707,p2,4,NA,3,NA,2.9,3.1,3.5,3.2,2.9,5.5,3.5,5.75,5.8,5.333333333333333,0.24242424242424243,0,4,0,0,0,1,0,0,0,0,5,2,1.791759469228055,3.4545454545454546,2.8181818181818183,2.9,3.2222222222222223,3.111111111111111,15,60.5,60.5,46.5,43
25933,sznurek,do zabawy,708,p3,1,NA,3,NA,2.9,3.1,3.5,3.2,2.9,5.5,3.5,5.75,5.8,5.333333333333333,0.24242424242424243,0,4,0,0,0,1,0,0,0,0,5,2,1.791759469228055,3.4545454545454546,2.8181818181818183,2.9,3.2222222222222223,3.111111111111111,15,60.5,60.5,46.5,43
26427,sznurek,Do wieszania sie czlowieka .,988,p1,2,NA,2,NA,3.3,3,3.4,3.5,2.9,3.5,4.5,3,4,4.166666666666667,0.0303030303030303,0,0,0,2,0,0,0,0,1,0,3,3,1.3862943611198906,2.727272727272727,2.5454545454545454,1.6,1.7777777777777777,2.5555555555555554,24,4.5,4.5,3.5,36
26427,sznurek,do zawiazywania rak podczas stosunku,989,p2,6,NA,2,NA,3.3,3,3.4,3.5,2.9,3.5,4.5,3,4,4.166666666666667,0.0303030303030303,0,0,0,2,0,0,0,0,1,0,3,3,1.3862943611198906,2.727272727272727,2.5454545454545454,1.6,1.7777777777777777,2.5555555555555554,24,4.5,4.5,3.5,36
26427,sznurek,Do lowienia ryb,990,p3,3,NA,2,NA,3.3,3,3.4,3.5,2.9,3.5,4.5,3,4,4.166666666666667,0.0303030303030303,0,0,0,2,0,0,0,0,1,0,3,3,1.3862943611198906,2.727272727272727,2.5454545454545454,1.6,1.7777777777777777,2.5555555555555554,24,4.5,4.5,3.5,36
27789,sznurek,zrobienie huśtawki,11,p1,3,NA,2,NA,3,2.8,3.1,3.1,3,2,3,4,4,4,0.0303030303030303,0,0,0,0,0,1,0,0,0,0,1,3,0.6931471805599453,3,3,3,3,3,24,92.5,89.5,91.5,32
28020,sznurek,jako materiał na koszyk szydełkowany,73,p1,5,NA,3,NA,2.3,4.3,3.7,1.5,3.7,1,1,1,4.8,5,0.12121212121212122,0,0,0,0,2,2,1,1,0,0,6,5,1.9459101490553132,4,4.2727272727272725,2.3,2.5555555555555554,2.888888888888889,32,30,25,35.5,43
30277,sznurek,Do stworzenia zegara poprzez wyliczenie czasu nasiąkania atramentem.,956,p1,7,NA,6,NA,3.2,2.8,3.5,1.5,3.7,6,4.5,1.5,5.4,4.666666666666667,0.696969696969697,8,0,0,0,6,3,15,41,0,5,78,7,4.3694478524670215,3.6363636363636362,4.090909090909091,2.5,3.6666666666666665,3.2222222222222223,34,36.5,31.5,42.5,27
30277,sznurek,Sznurek moze byc takze forma rurki przesylajacej ciecz.,957,p2,7,NA,6,NA,3.2,2.8,3.5,1.5,3.7,6,4.5,1.5,5.4,4.666666666666667,0.696969696969697,8,0,0,0,6,3,15,41,0,5,78,7,4.3694478524670215,3.6363636363636362,4.090909090909091,2.5,3.6666666666666665,3.2222222222222223,34,36.5,31.5,42.5,27
31098,sznurek,Do związania kitki z włosów.,409,p1,2,NA,2,NA,2.9,3.9,3.3,3.4,3.3,2,2,2.5,5,5,0.0303030303030303,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3,3,3,16,80.5,98.5,80,32
31297,sznurek,do but ów,14,p1,1,NA,2,NA,3.6,3.4,3.4,2.8,3.2,2,2,3,3.6,3.5,0.0303030303030303,1,0,0,2,0,0,0,0,0,0,3,5,1.3862943611198906,3,2.5454545454545454,2.6,3,3,34,30,50,40,43
31677,sznurek,1. do obwiązania wazonu / doniczki = nowy design  2. do zawieszenia na nim zdjęć  3. do przyciągnięcia butelki z wodą,349,p1,3,NA,3,NA,3.6,3.9,3,3.4,3.4,2.25,1.25,4,4.4,4.5,0.15151515151515152,0,0,0,0,0,1,1,1,0,1,4,6,1.6094379124341003,3.1818181818181817,3.090909090909091,2.3,2.7777777777777777,2.111111111111111,23,46.5,25.5,62.5,27
31677,sznurek,2. do zawieszenia na nim zdjęć,350,p2,2,NA,3,NA,3.6,3.9,3,3.4,3.4,2.25,1.25,4,4.4,4.5,0.15151515151515152,0,0,0,0,0,1,1,1,0,1,4,6,1.6094379124341003,3.1818181818181817,3.090909090909091,2.3,2.7777777777777777,2.111111111111111,23,46.5,25.5,62.5,27
31677,sznurek,3. do przyciągnięcia butelki z wodą będąc na kacu,351,p3,6,NA,2,NA,3.6,3.9,3,3.4,3.4,2.25,1.25,4,4.4,4.5,0.15151515151515152,0,0,0,0,0,1,1,1,0,1,4,6,1.6094379124341003,3.1818181818181817,3.090909090909091,2.3,2.7777777777777777,2.111111111111111,23,46.5,25.5,62.5,27
31807,sznurek,ozdoba,900,p1,1,NA,3,NA,3.4,3.1,3.4,3.3,3.5,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3,3,3,18,73.5,81,82,43
31809,sznurek,do oklejenia pudełka na ozdobe,904,p1,2,NA,3,NA,4.1,3.8,4.6,4.3,4.4,5,4.75,4,3.8,4,0.06060606060606061,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,25,81,69.5,26,43
32842,sznurek,hamak,179,p1,4,NA,3,NA,3,4.3,2.9,3.4,3.7,4,2,1,6,5.5,0.24242424242424243,1,0,0,0,1,1,0,0,1,9,13,3,2.6390573296152584,3.909090909090909,3.272727272727273,2.7,2,3.2222222222222223,22,58,24,28,32
33423,sznurek,zamiast paska,479,p1,1,NA,2,NA,3,3.9,3.8,3.2,3.3,3.5,2.5,2.5,4.8,4.666666666666667,0.09090909090909091,1,0,0,0,0,0,1,1,1,1,5,4,1.791759469228055,2.909090909090909,2.4545454545454546,2.4,3.3333333333333335,3,30,15.5,25,21,43
33423,sznurek,jako sznurowadł,480,p2,1,NA,2,NA,3,3.9,3.8,3.2,3.3,3.5,2.5,2.5,4.8,4.666666666666667,0.09090909090909091,1,0,0,0,0,0,1,1,1,1,5,4,1.791759469228055,2.909090909090909,2.4545454545454546,2.4,3.3333333333333335,3,30,15.5,25,21,43
34929,sznurek,Do wykonania makramy,903,p1,4,NA,3,NA,2.8,3.4,3,3.4,3.2,4,4.5,3.5,3.4,3.1666666666666665,0.06060606060606061,2,0,2,0,0,0,0,4,4,3,15,4,2.772588722239781,3.3636363636363638,3.1818181818181817,2.8,2.7777777777777777,3,31,65.5,52.5,54.5,36
36057,sznurek,przymocowania czegoś,236,p1,2,NA,2,NA,3.1,3.8,3.1,2.8,3.9,3.75,3,5,6,5.833333333333333,0.15151515151515152,0,0,0,1,0,2,1,1,1,1,7,5,2.0794415416798357,3.8181818181818183,3.727272727272727,3.2,3.111111111111111,3.3333333333333335,35,45.5,48,51,36
36107,sznurek,jako plecionkę do kluczy,484,p1,5,NA,3,NA,2.4,3.8,3.4,2,3.3,3,3,2.75,4.6,4.666666666666667,0,0,0,0,0,1,0,0,0,0,1,2,6,1.0986122886681098,3.1818181818181817,3.3636363636363638,2.5,2.888888888888889,3.111111111111111,29,45.5,42,44,36
36107,sznurek,pasek do podtrzymywania spodni,485,p2,1,NA,2,NA,2.4,3.8,3.4,2,3.3,3,3,2.75,4.6,4.666666666666667,0,0,0,0,0,1,0,0,0,0,1,2,6,1.0986122886681098,3.1818181818181817,3.3636363636363638,2.5,2.888888888888889,3.111111111111111,29,45.5,42,44,36
36107,sznurek,ozdoba na nadgarstku,486,p3,2,NA,2,NA,2.4,3.8,3.4,2,3.3,3,3,2.75,4.6,4.666666666666667,0,0,0,0,0,1,0,0,0,0,1,2,6,1.0986122886681098,3.1818181818181817,3.3636363636363638,2.5,2.888888888888889,3.111111111111111,29,45.5,42,44,36
36107,sznurek,pomoc matematyczna,487,p4,6,NA,5,NA,2.4,3.8,3.4,2,3.3,3,3,2.75,4.6,4.666666666666667,0,0,0,0,0,1,0,0,0,0,1,2,6,1.0986122886681098,3.1818181818181817,3.3636363636363638,2.5,2.888888888888889,3.111111111111111,29,45.5,42,44,36
36274,sznurek,naprawy samochodu,130,p1,5,NA,3,NA,2,3.1,3.5,4.1,3.3,3.75,3.5,2,5,4.333333333333333,0,0,0,0,0,1,1,0,0,1,0,3,2,1.3862943611198906,3,3.090909090909091,2.6,3.111111111111111,3,24,52.5,83.5,29,36
39147,sznurek,do obwiązania tali,54,p1,5,NA,2,NA,3.5,3.8,4.4,3.9,3.8,1,1,3.75,7,6.666666666666667,0.3333333333333333,0,0,1,1,4,3,1,1,1,22,34,4,3.5553480614894135,3.909090909090909,4.7272727272727275,2.3,2.111111111111111,3.3333333333333335,32,42.5,28.5,37,43
39533,sznurek,Naszyjnik,287,p1,3,NA,2,NA,2.9,2.9,2.6,2.9,4.2,5.25,5,3,5.4,5.166666666666667,0.2727272727272727,2,4,0,0,15,1,1,1,0,1,25,7,3.258096538021482,3.3636363636363638,3.6363636363636362,3.5,3.4444444444444446,3.3333333333333335,17,74.5,74.5,74.5,43
39533,sznurek,branzoleta,288,p2,1,NA,2,NA,2.9,2.9,2.6,2.9,4.2,5.25,5,3,5.4,5.166666666666667,0.2727272727272727,2,4,0,0,15,1,1,1,0,1,25,7,3.258096538021482,3.3636363636363638,3.6363636363636362,3.5,3.4444444444444446,3.3333333333333335,17,74.5,74.5,74.5,43
39533,sznurek,pasek do spodni,289,p3,1,NA,2,NA,2.9,2.9,2.6,2.9,4.2,5.25,5,3,5.4,5.166666666666667,0.2727272727272727,2,4,0,0,15,1,1,1,0,1,25,7,3.258096538021482,3.3636363636363638,3.6363636363636362,3.5,3.4444444444444446,3.3333333333333335,17,74.5,74.5,74.5,43
39533,sznurek,można sobie ozdobnie coś owinąć,290,p4,3,NA,2,NA,2.9,2.9,2.6,2.9,4.2,5.25,5,3,5.4,5.166666666666667,0.2727272727272727,2,4,0,0,15,1,1,1,0,1,25,7,3.258096538021482,3.3636363636363638,3.6363636363636362,3.5,3.4444444444444446,3.3333333333333335,17,74.5,74.5,74.5,43
39533,sznurek,można upleść warkoczyk,291,p5,3,NA,2,NA,2.9,2.9,2.6,2.9,4.2,5.25,5,3,5.4,5.166666666666667,0.2727272727272727,2,4,0,0,15,1,1,1,0,1,25,7,3.258096538021482,3.3636363636363638,3.6363636363636362,3.5,3.4444444444444446,3.3333333333333335,17,74.5,74.5,74.5,43
39533,sznurek,opaska na głowę,292,p6,4,NA,2,NA,2.9,2.9,2.6,2.9,4.2,5.25,5,3,5.4,5.166666666666667,0.2727272727272727,2,4,0,0,15,1,1,1,0,1,25,7,3.258096538021482,3.3636363636363638,3.6363636363636362,3.5,3.4444444444444446,3.3333333333333335,17,74.5,74.5,74.5,43
42079,sznurek,dziecko moze zrobic prace do szkoły . klej i sznurek,921,p1,4,NA,3,NA,3,3.4,4.2,3.6,3.6,1,1.75,3.75,4.4,5,0.06060606060606061,0,0,0,0,0,1,0,1,0,1,3,0,1.3862943611198906,3.5454545454545454,2.1818181818181817,1.7,2.3333333333333335,2,24,97.5,98,98.5,36
43004,sznurek,na skakankę,840,p1,3,NA,2,NA,4.1,4.2,2.9,2.7,4,2.5,1.25,3.75,5.6,5.666666666666667,0.2727272727272727,3,0,0,1,2,1,1,1,0,1,10,5,2.3978952727983707,3.6363636363636362,4.181818181818182,3.2,2.3333333333333335,2.6666666666666665,17,64,47.5,48,36
