"ID","prompt","response","item_english","rater1","rater2","rater3","rater4","openness","CAQ","set"
109,"筷子","搭小房子","chopsticks",4,4,2,3,48,2,3
109,"易拉罐","做笔筒","can",1,1,1,1,48,2,3
109,"易拉罐","切开掰直当刀片","can",3,3,4,5,48,2,3
109,"易拉罐","刻字","can",2,3,1,2,48,2,3
110,"筷子","当作发簪","chopsticks",2,2,1,3,33,7,3
110,"筷子","敲击乐器","chopsticks",3,3,3,3,33,7,3
110,"筷子","织毛衣","chopsticks",3,3,3,4,33,7,3
110,"易拉罐","拉环当作戒指","can",3,2,3,2,33,7,3
110,"易拉罐","当作羽毛球","can",4,3,2,3,33,7,3
110,"易拉罐","作合唱图创意品","can",3,4,1,2,33,7,3
111,"筷子","发簪","chopsticks",2,2,1,3,51,8,3
111,"筷子","算筹","chopsticks",3,1,3,2,51,8,3
111,"筷子","笔","chopsticks",2,1,2,3,51,8,3
111,"易拉罐","花盆","can",2,2,2,2,51,8,3
111,"易拉罐","足球","can",4,2,2,3,51,8,3
111,"易拉罐","铃铛","can",3,3,3,2,51,8,3
112,"筷子","发簪","chopsticks",2,2,1,3,30,2,3
112,"筷子","画笔","chopsticks",2,4,2,3,30,2,3
112,"筷子","支架","chopsticks",3,2,1,2,30,2,3
112,"易拉罐","花瓶","can",2,2,1,3,30,2,3
112,"易拉罐","漱口杯","can",2,1,1,2,30,2,3
112,"易拉罐","包","can",3,3,2,1,30,2,3
113,"筷子","搅拌棒","chopsticks",1,3,1,1,35,6,3
113,"筷子","吃饭","chopsticks",1,1,1,1,35,6,3
113,"筷子","搭桥","chopsticks",3,4,2,3,35,6,3
113,"易拉罐","存钱罐","can",2,1,1,2,35,6,3
113,"易拉罐","发电","can",5,5,1,5,35,6,3
113,"易拉罐","摆成新鲜造型","can",3,2,1,1,35,6,3
114,"筷子","发簪","chopsticks",2,2,1,3,37,1,3
114,"筷子","生火","chopsticks",3,2,2,1,37,1,3
114,"筷子","船桨","chopsticks",4,4,2,3,37,1,3
114,"易拉罐","笔筒","can",1,1,1,1,37,1,3
114,"易拉罐","车轮","can",2,4,3,3,37,1,3
114,"易拉罐","小刀","can",3,3,4,3,37,1,3
115,"筷子","打击乐器（类似鼓锤那种）","chopsticks",3,3,3,3,39,8,3
115,"筷子","做指挥棒","chopsticks",3,3,2,3,39,8,3
115,"筷子","串串或者一些其它的东西","chopsticks",3,2,1,1,39,8,3
115,"易拉罐","当做踢球的玩具","can",4,2,2,2,39,8,3
115,"易拉罐","做手工（风车）","can",2,3,2,2,39,8,3
115,"易拉罐","导电做一些科学实验","can",5,5,3,5,39,8,3
116,"筷子","发簪","chopsticks",2,2,1,3,33,6,3
116,"筷子","搅拌器","chopsticks",1,1,1,1,33,6,3
116,"筷子","乐器","chopsticks",3,3,3,3,33,6,3
116,"易拉罐","做水杯","can",2,1,1,5,33,6,3
116,"易拉罐","做装饰品","can",1,3,2,5,33,6,3
116,"易拉罐","做减压装置","can",3,4,1,5,33,6,3
117,"筷子","发簪","chopsticks",2,2,1,3,31,7,3
117,"筷子","笔","chopsticks",2,1,2,3,31,7,3
117,"筷子","洋娃娃","chopsticks",3,3,3,3,31,7,3
117,"易拉罐","传声筒","can",4,4,3,5,31,7,3
117,"易拉罐","望远镜","can",4,4,3,5,31,7,3
117,"易拉罐","摆件","can",3,3,3,1,31,7,3
118,"筷子","手指","chopsticks",2,3,1,1,37,15,3
118,"筷子","牙刷","chopsticks",4,4,1,2,37,15,3
118,"筷子","铲子","chopsticks",3,3,1,2,37,15,3
118,"易拉罐","马桶","can",5,4,2,5,37,15,3
118,"易拉罐","铁片","can",2,3,1,3,37,15,3
118,"易拉罐","足球","can",4,3,2,3,37,15,3
119,"筷子","发簪","chopsticks",2,2,1,3,54,29,3
119,"筷子","暗器","chopsticks",3,4,2,3,54,29,3
119,"筷子","通下水道","chopsticks",2,3,1,1,54,29,3
119,"易拉罐","擀面","can",4,4,3,4,54,29,3
119,"易拉罐","花盆","can",2,3,2,2,54,29,3
119,"易拉罐","冰敷","can",3,4,3,5,54,29,3
120,"筷子","发簪","chopsticks",2,2,1,3,36,5,3
120,"筷子","直钩","chopsticks",3,3,2,2,36,5,3
120,"筷子","插孔","chopsticks",3,2,2,2,36,5,3
120,"易拉罐","笔筒","can",1,1,1,1,36,5,3
120,"易拉罐","花瓶","can",2,2,1,3,36,5,3
120,"易拉罐","水杯","can",2,2,1,2,36,5,3
121,"筷子","发簪","chopsticks",2,2,1,3,31,2,3
121,"筷子","笔筒","chopsticks",3,1,2,3,31,2,3
121,"筷子","支撑架","chopsticks",2,2,1,2,31,2,3
121,"易拉罐","手机支架","can",2,2,2,3,31,2,3
121,"易拉罐","听筒","can",4,3,3,5,31,2,3
121,"易拉罐","小足球","can",4,3,2,3,31,2,3
122,"筷子","装饰","chopsticks",2,2,1,2,38,2,3
122,"筷子","艺术品","chopsticks",3,2,1,2,38,2,3
122,"筷子","发簪","chopsticks",2,2,1,3,38,2,3
122,"易拉罐","灯笼","can",4,2,2,5,38,2,3
122,"易拉罐","桌子","can",3,3,1,3,38,2,3
122,"易拉罐","装饰","can",1,3,2,1,38,2,3
123,"筷子","棒棒糖","chopsticks",3,3,2,1,36,1,3
123,"筷子","串","chopsticks",2,2,1,3,36,1,3
123,"筷子","吃饭","chopsticks",1,1,1,1,36,1,3
123,"易拉罐","储物罐","can",2,1,1,1,36,1,3
123,"易拉罐","喝水","can",1,1,1,2,36,1,3
123,"易拉罐","回收","can",1,2,1,1,36,1,3
124,"筷子","发簪","chopsticks",2,2,1,3,41,0,3
124,"筷子","抽签","chopsticks",3,3,1,1,41,0,3
124,"筷子","柴","chopsticks",2,2,2,2,41,0,3
124,"易拉罐","烟灰缸","can",3,2,1,3,41,0,3
124,"易拉罐","模具","can",3,3,2,3,41,0,3
124,"易拉罐","制造噪音","can",2,3,1,3,41,0,3
125,"筷子","发簪","chopsticks",2,2,1,3,38,1,3
125,"筷子","鼓棒","chopsticks",3,3,2,3,38,1,3
125,"筷子","衣架","chopsticks",3,2,2,3,38,1,3
125,"易拉罐","花盆","can",2,3,2,2,38,1,3
125,"易拉罐","衣服","can",3,3,2,5,38,1,3
125,"易拉罐","台灯","can",4,4,2,3,38,1,3
126,"筷子","掏火棍","chopsticks",2,2,2,1,34,5,3
126,"筷子","钉子","chopsticks",3,3,1,2,34,5,3
126,"筷子","搅拌棍","chopsticks",1,1,1,1,34,5,3
126,"易拉罐","烤肉的锅","can",3,3,4,3,34,5,3
126,"易拉罐","擀面杖","can",4,3,3,4,34,5,3
126,"易拉罐","砸核桃","can",4,3,2,4,34,5,3
127,"筷子","做发簪","chopsticks",2,2,1,3,44,0,3
127,"筷子","门栓","chopsticks",2,3,2,3,44,0,3
127,"筷子","蒸东西用的隔热","chopsticks",3,3,3,2,44,0,3
127,"易拉罐","拔火罐","can",3,3,2,3,44,0,3
127,"易拉罐","解压小东西","can",2,2,1,2,44,0,3
127,"易拉罐","加热用的容器","can",2,3,3,1,44,0,3
128,"筷子","簪子","chopsticks",2,2,1,2,36,2,3
128,"筷子","工艺品","chopsticks",3,2,1,2,36,2,3
128,"筷子","笔","chopsticks",2,1,2,3,36,2,3
128,"易拉罐","戒指","can",3,4,3,2,36,2,3
128,"易拉罐","笔筒","can",1,1,1,1,36,2,3
128,"易拉罐","水瓢","can",3,2,2,1,36,2,3
129,"筷子","桥","chopsticks",4,4,2,4,38,1,3
129,"筷子","杠杆","chopsticks",3,4,2,4,38,1,3
129,"筷子","植物","chopsticks",3,3,1,2,38,1,3
129,"易拉罐","戒指","can",3,3,3,2,38,1,3
129,"易拉罐","花瓶","can",2,2,1,3,38,1,3
129,"易拉罐","城堡","can",3,4,2,3,38,1,3
130,"筷子","手机支架","chopsticks",3,3,1,2,48,7,3
130,"筷子","弹弓","chopsticks",3,3,2,4,48,7,3
130,"筷子","打蛋器","chopsticks",2,2,2,1,48,7,3
130,"易拉罐","烟灰缸","can",3,2,1,3,48,7,3
130,"易拉罐","花盆","can",2,3,2,2,48,7,3
130,"易拉罐","炮筒","can",3,4,3,3,48,7,3
131,"筷子","搅拌棒","chopsticks",1,3,1,1,43,1,3
131,"筷子","发簪","chopsticks",2,2,1,3,43,1,3
131,"筷子","织毛衣","chopsticks",3,1,3,4,43,1,3
131,"易拉罐","花盆","can",2,2,2,2,43,1,3
131,"易拉罐","烟灰缸","can",3,2,1,3,43,1,3
131,"易拉罐","垃圾桶","can",3,1,1,3,43,1,3
132,"筷子","发簪","chopsticks",2,2,1,3,46,5,3
132,"筷子","画笔","chopsticks",2,4,2,3,46,5,3
132,"筷子","吸管","chopsticks",3,4,1,1,46,5,3
132,"易拉罐","建房子","can",3,3,1,3,46,5,3
132,"易拉罐","笔筒","can",1,1,1,1,46,5,3
132,"易拉罐","足球","can",4,3,2,3,46,5,3
133,"筷子","织毛衣","chopsticks",3,3,3,4,35,1,3
133,"筷子","首饰","chopsticks",3,3,1,5,35,1,3
133,"筷子","起瓶器","chopsticks",3,2,3,3,35,1,3
133,"易拉罐","存钱罐","can",2,1,1,2,35,1,3
133,"易拉罐","笔筒","can",1,1,1,1,35,1,3
133,"易拉罐","机器人","can",5,4,2,5,35,1,3
134,"筷子","疏通厨房下水道","chopsticks",2,3,1,1,44,108,3
134,"筷子","做模具","chopsticks",3,4,1,3,44,108,3
134,"筷子","串烧烤","chopsticks",3,2,1,1,44,108,3
134,"易拉罐","回收利用","can",2,1,1,1,44,108,3
134,"易拉罐","烟灰缸","can",3,3,1,3,44,108,3
134,"易拉罐","花盆","can",2,2,2,2,44,108,3
135,"筷子","做模型","chopsticks",3,3,1,3,28,0,3
135,"筷子","发簪","chopsticks",2,2,1,3,28,0,3
135,"筷子","直尺","chopsticks",2,2,2,2,28,0,3
135,"易拉罐","做板凳","can",3,3,2,3,28,0,3
135,"易拉罐","头上饰品","can",2,3,1,1,28,0,3
135,"易拉罐","保护盾","can",2,4,2,3,28,0,3
136,"筷子","搭积木","chopsticks",3,4,2,3,37,3,3
136,"筷子","装饰","chopsticks",2,2,1,2,37,3,3
136,"筷子","支撑物","chopsticks",2,2,1,2,37,3,3
136,"易拉罐","球","can",4,3,2,3,37,3,3
136,"易拉罐","插花","can",3,2,1,3,37,3,3
136,"易拉罐","手工","can",2,3,1,2,37,3,3
137,"筷子","发簪","chopsticks",2,2,1,3,31,9,3
137,"筷子","扁担","chopsticks",3,3,2,3,31,9,3
137,"筷子","时钟指针","chopsticks",4,3,3,4,31,9,3
137,"易拉罐","戒指","can",3,2,3,2,31,9,3
137,"易拉罐","衣服","can",3,3,2,5,31,9,3
137,"易拉罐","车","can",3,4,1,5,31,9,3
138,"筷子","搅拌","chopsticks",1,1,1,1,43,1,3
138,"筷子","燃烧","chopsticks",2,2,2,2,43,1,3
138,"筷子","杠杠","chopsticks",4,2,2,4,43,1,3
138,"易拉罐","滚轮","can",3,2,2,3,43,1,3
138,"易拉罐","存储器","can",2,1,2,5,43,1,3
138,"易拉罐","装饰品","can",1,3,2,1,43,1,3
139,"筷子","武器","chopsticks",2,2,1,3,36,4,3
139,"筷子","插椰子洞","chopsticks",2,1,3,1,36,4,3
139,"筷子","蒸东西的架子","chopsticks",3,2,3,3,36,4,3
139,"易拉罐","笔筒","can",1,1,1,1,36,4,3
139,"易拉罐","屏蔽器","can",4,3,4,5,36,4,3
139,"易拉罐","集阳光器","can",3,4,4,5,36,4,3
140,"筷子","燃烧","chopsticks",2,1,2,1,40,2,3
140,"筷子","搅拌","chopsticks",1,1,1,1,40,2,3
140,"筷子","捅破薄的物品","chopsticks",2,2,2,1,40,2,3
140,"易拉罐","装笔筒","can",1,1,1,1,40,2,3
140,"易拉罐","戒指","can",3,3,3,2,40,2,3
140,"易拉罐","花盆","can",2,2,2,2,40,2,3
141,"筷子","穿玉米的签子","chopsticks",3,2,2,1,43,2,3
141,"筷子","垫锅盖","chopsticks",3,3,3,3,43,2,3
141,"筷子","用一捆筷子擀颈部缓解落枕状况","chopsticks",4,4,5,5,43,2,3
141,"易拉罐","wifi放大器","can",5,4,5,5,43,2,3
141,"易拉罐","扩音器","can",3,4,4,5,43,2,3
141,"易拉罐","扔垃圾","can",3,1,1,1,43,2,3
142,"筷子","当做簪子","chopsticks",2,2,1,2,44,2,3
142,"筷子","擀面杖","chopsticks",3,4,2,3,44,2,3
142,"筷子","通下水道","chopsticks",2,2,1,1,44,2,3
142,"易拉罐","求婚","can",3,4,3,2,44,2,3
142,"易拉罐","花盆","can",2,2,2,2,44,2,3
142,"易拉罐","做物理实验","can",4,5,2,5,44,2,3
143,"筷子","发簪","chopsticks",2,2,1,3,47,9,3
143,"筷子","武器","chopsticks",2,2,1,3,47,9,3
143,"筷子","擀面杖","chopsticks",3,4,2,3,47,9,3
143,"易拉罐","花瓶","can",2,2,1,3,47,9,3
143,"易拉罐","笔筒","can",1,1,1,1,47,9,3
143,"易拉罐","戒指","can",3,3,3,2,47,9,3
144,"筷子","簪子","chopsticks",2,2,1,2,49,10,3
144,"筷子","飞镖","chopsticks",3,3,2,3,49,10,3
144,"筷子","纸风车的杆","chopsticks",4,3,2,2,49,10,3
144,"易拉罐","做灯笼","can",4,3,2,1,49,10,3
144,"易拉罐","做刀具","can",3,3,4,3,49,10,3
144,"易拉罐","当花盆","can",2,2,2,2,49,10,3
145,"筷子","做手工玩具","chopsticks",2,2,1,2,49,0,3
145,"筷子","搅拌棒","chopsticks",1,3,1,1,49,0,3
145,"筷子","挂东西","chopsticks",2,2,2,2,49,0,3
145,"易拉罐","花瓶","can",2,2,1,3,49,0,3
145,"易拉罐","桌角垫高","can",2,3,2,3,49,0,3
145,"易拉罐","烧烤盒盒","can",3,3,4,3,49,0,3
146,"筷子","簪子","chopsticks",2,2,1,2,48,0,3
146,"筷子","当旗杆","chopsticks",3,2,2,2,48,0,3
146,"筷子","玩具","chopsticks",2,2,2,2,48,0,3
146,"易拉罐","垫桌角","can",2,3,2,3,48,0,3
146,"易拉罐","玩具","can",2,2,2,2,48,0,3
146,"易拉罐","装东西","can",1,1,1,1,48,0,3
147,"筷子","吃饭","chopsticks",1,1,1,1,46,3,3
147,"筷子","当簪子","chopsticks",2,2,1,2,46,3,3
147,"筷子","装饰","chopsticks",2,2,1,2,46,3,3
147,"易拉罐","练捏力","can",2,3,1,3,46,3,3
147,"易拉罐","打人","can",2,2,2,3,46,3,3
147,"易拉罐","玩游戏","can",3,3,1,2,46,3,3
148,"筷子","发簪","chopsticks",2,2,1,3,35,6,3
148,"筷子","拧绳子的工具","chopsticks",2,3,5,2,35,6,3
148,"筷子","通洗手池","chopsticks",2,3,1,1,35,6,3
148,"易拉罐","烛台","can",2,3,2,3,35,6,3
148,"易拉罐","工艺品","can",2,3,1,2,35,6,3
148,"易拉罐","小型垃圾桶","can",3,2,1,3,35,6,3
149,"筷子","做簪子","chopsticks",2,2,1,2,46,4,3
149,"筷子","做毛笔","chopsticks",2,1,2,3,46,4,3
149,"筷子","做手工","chopsticks",2,3,1,2,46,4,3
149,"易拉罐","提取铝","can",2,4,3,5,46,4,3
149,"易拉罐","做装饰","can",1,3,2,1,46,4,3
149,"易拉罐","装盆栽","can",2,3,1,2,46,4,3
150,"筷子","玩具","chopsticks",2,2,2,2,42,4,3
150,"筷子","钳子","chopsticks",2,3,3,3,42,4,3
150,"筷子","搅拌棒","chopsticks",1,3,1,1,42,4,3
150,"易拉罐","笔筒","can",1,1,1,1,42,4,3
150,"易拉罐","擀面杖","can",4,3,2,4,42,4,3
150,"易拉罐","挎包","can",3,4,2,2,42,4,3
151,"筷子","簪子","chopsticks",2,2,1,2,35,0,3
151,"筷子","杯垫","chopsticks",3,3,2,2,35,0,3
151,"筷子","玩具船","chopsticks",2,4,2,2,35,0,3
151,"易拉罐","万花筒","can",3,3,3,2,35,0,3
151,"易拉罐","花盆","can",2,2,2,2,35,0,3
151,"易拉罐","拼贴画","can",4,3,1,2,35,0,3
152,"筷子","玩玻珠游戏","chopsticks",3,3,3,2,43,1,3
152,"筷子","烤烧烤","chopsticks",3,2,1,3,43,1,3
152,"筷子","算卦","chopsticks",3,3,3,4,43,1,3
152,"易拉罐","做盆栽","can",2,2,1,2,43,1,3
152,"易拉罐","戒指","can",3,3,3,2,43,1,3
152,"易拉罐","飞镖","can",4,3,2,3,43,1,3
201,"筷子","分离鸡蛋","chopsticks",2,1,4,1,34,0,3
201,"筷子","打孔","chopsticks",2,3,2,2,34,0,3
201,"筷子","扎头发","chopsticks",2,2,1,2,34,0,3
201,"易拉罐","笔筒","can",1,1,1,1,34,0,3
201,"易拉罐","玩具","can",2,2,2,2,34,0,3
201,"易拉罐","打蛋器","can",3,3,3,3,34,0,3
202,"筷子","发簪","chopsticks",2,2,1,3,41,1,3
202,"筷子","玩具","chopsticks",2,2,2,2,41,1,3
202,"筷子","支架","chopsticks",3,2,1,2,41,1,3
202,"易拉罐","烧烤架","can",3,3,4,3,41,1,3
202,"易拉罐","花瓶","can",2,3,1,3,41,1,3
202,"易拉罐","储存罐","can",2,2,1,1,41,1,3
203,"筷子","发簪","chopsticks",2,2,1,3,31,0,3
203,"筷子","擀面杖","chopsticks",3,4,2,3,31,0,3
203,"筷子","饰品","chopsticks",3,3,1,2,31,0,3
203,"易拉罐","戒指","can",3,2,3,2,31,0,3
203,"易拉罐","花瓶","can",2,3,1,3,31,0,3
203,"易拉罐","烤肉","can",3,3,4,3,31,0,3
204,"筷子","做发簪","chopsticks",2,2,1,3,35,1,3
204,"筷子","当武器","chopsticks",2,2,1,3,35,1,3
204,"筷子","当尺子","chopsticks",2,3,2,4,35,1,3
204,"易拉罐","练射击","can",3,4,2,3,35,1,3
204,"易拉罐","融化做新材料","can",2,4,2,4,35,1,3
204,"易拉罐","练习踢球的练习物","can",4,3,2,4,35,1,3
205,"筷子","教具","chopsticks",2,4,1,2,41,0,3
205,"筷子","搅拌棒","chopsticks",1,3,1,1,41,0,3
205,"筷子","烤串","chopsticks",2,2,1,1,41,0,3
205,"易拉罐","插花","can",3,3,1,3,41,0,3
205,"易拉罐","求婚","can",3,3,3,2,41,0,3
205,"易拉罐","玩具车","can",2,2,2,2,41,0,3
206,"筷子","头饰品","chopsticks",3,3,1,2,44,6,3
206,"筷子","开酒瓶器","chopsticks",2,2,4,2,44,6,3
206,"筷子","杯垫子","chopsticks",3,3,2,3,44,6,3
206,"易拉罐","零钱罐","can",2,2,1,2,44,6,3
206,"易拉罐","笔筒","can",1,1,1,1,44,6,3
206,"易拉罐","插花瓶","can",2,3,1,3,44,6,3
207,"筷子","打人","chopsticks",2,3,2,3,38,0,3
207,"筷子","暗器","chopsticks",3,4,1,3,38,0,3
207,"筷子","头饰","chopsticks",3,3,1,2,38,0,3
207,"易拉罐","烤肉","can",3,3,4,3,38,0,3
207,"易拉罐","蜡烛","can",2,3,3,1,38,0,3
207,"易拉罐","艺术品","can",2,2,1,2,38,0,3
208,"筷子","搅拌棒","chopsticks",1,3,1,1,41,3,3
208,"筷子","固定棒","chopsticks",2,3,1,2,41,3,3
208,"筷子","支架","chopsticks",3,3,1,2,41,3,3
208,"易拉罐","花瓶","can",2,3,1,3,41,3,3
208,"易拉罐","浮标","can",5,5,4,5,41,3,3
208,"易拉罐","装饰品","can",1,1,2,1,41,3,3
209,"筷子","发簪","chopsticks",2,2,1,3,41,23,3
209,"筷子","毛线针","chopsticks",3,2,3,4,41,23,3
209,"筷子","通水管工具","chopsticks",3,3,1,1,41,23,3
209,"易拉罐","笔筒","can",1,1,1,1,41,23,3
209,"易拉罐","雪糕模具","can",3,3,2,3,41,23,3
209,"易拉罐","刀","can",3,3,4,3,41,23,3
210,"筷子","发簪","chopsticks",2,2,1,3,40,20,3
210,"筷子","种花支架","chopsticks",3,3,1,2,40,20,3
210,"筷子","书签","chopsticks",3,2,1,1,40,20,3
210,"易拉罐","信号聚拢装置","can",5,4,4,5,40,20,3
210,"易拉罐","铝回收","can",2,4,3,5,40,20,3
210,"易拉罐","种花","can",2,2,1,3,40,20,3
211,"筷子","扎头发","chopsticks",2,2,1,2,38,0,3
211,"筷子","搅拌","chopsticks",1,1,1,1,38,0,3
211,"筷子","固定","chopsticks",2,2,1,2,38,0,3
211,"易拉罐","装饰品","can",1,1,2,1,38,0,3
211,"易拉罐","花盆","can",2,2,2,2,38,0,3
211,"易拉罐","铁器","can",2,3,2,3,38,0,3
212,"筷子","做工艺品","chopsticks",3,2,1,2,32,1,3
212,"筷子","吃饭","chopsticks",1,1,1,1,32,1,3
212,"筷子","通下水道","chopsticks",2,3,1,1,32,1,3
212,"易拉罐","装尿","can",2,1,1,1,32,1,3
212,"易拉罐","做烟筒","can",3,3,1,3,32,1,3
212,"易拉罐","做戒指","can",3,2,3,2,32,1,3
213,"筷子","搅拌棒","chopsticks",1,1,1,1,39,16,3
213,"筷子","木质筷子用作防触电的触碰器","chopsticks",5,4,5,5,39,16,3
213,"筷子","烧烤用的签子","chopsticks",2,2,1,1,39,16,3
213,"易拉罐","笔筒","can",1,1,1,1,39,16,3
213,"易拉罐","自制保湿器","can",3,3,4,3,39,16,3
213,"易拉罐","水杯","can",2,2,1,2,39,16,3
214,"筷子","做标度尺","chopsticks",2,2,3,3,35,0,3
214,"筷子","做鼓棒","chopsticks",3,3,3,3,35,0,3
214,"筷子","做搅拌棒","chopsticks",1,3,1,1,35,0,3
214,"易拉罐","内侧做镜子","can",4,3,3,3,35,0,3
214,"易拉罐","做煮面的小锅","can",3,3,4,3,35,0,3
214,"易拉罐","剪开后做小刀","can",3,3,4,3,35,0,3
215,"筷子","发簪","chopsticks",2,2,1,3,50,1,3
215,"筷子","固定软的东西","chopsticks",2,2,3,2,50,1,3
215,"筷子","作画","chopsticks",3,4,2,4,50,1,3
215,"易拉罐","花盆","can",2,2,2,2,50,1,3
215,"易拉罐","戒指","can",3,2,3,2,50,1,3
215,"易拉罐","装饰品","can",2,1,2,1,50,1,3
216,"筷子","吃饭","chopsticks",1,1,1,1,41,0,3
216,"筷子","发饰","chopsticks",3,3,1,2,41,0,3
216,"筷子","摆图形","chopsticks",3,2,2,2,41,0,3
216,"易拉罐","帆船","can",4,4,2,4,41,0,3
216,"易拉罐","烟灰缸","can",3,3,1,3,41,0,3
216,"易拉罐","小鱼缸","can",2,2,2,2,41,0,3
217,"筷子","按摩","chopsticks",3,3,4,4,38,3,3
217,"筷子","针灸","chopsticks",4,2,1,1,38,3,3
217,"筷子","乐器","chopsticks",3,3,3,3,38,3,3
217,"易拉罐","足球","can",4,3,2,4,38,3,3
217,"易拉罐","雕刻","can",2,3,1,3,38,3,3
217,"易拉罐","滚轮","can",3,3,2,3,38,3,3
218,"筷子","吃饭","chopsticks",1,1,1,1,34,0,3
218,"筷子","笔","chopsticks",2,1,2,3,34,0,3
218,"筷子","梳子","chopsticks",2,3,1,3,34,0,3
218,"易拉罐","喝水","can",1,1,1,2,34,0,3
218,"易拉罐","回收","can",2,2,1,1,34,0,3
218,"易拉罐","装东西","can",1,1,1,1,34,0,3
219,"筷子","做风筝支架","chopsticks",4,3,1,2,35,0,3
219,"筷子","做簪子","chopsticks",2,2,1,2,35,0,3
219,"筷子","做手工","chopsticks",2,3,1,2,35,0,3
219,"易拉罐","栽种花果","can",2,2,1,3,35,0,3
219,"易拉罐","做乐器","can",3,3,3,3,35,0,3
219,"易拉罐","做铲子","can",2,2,3,2,35,0,3
220,"筷子","搅拌","chopsticks",1,1,1,1,41,1,3
220,"筷子","自卫","chopsticks",2,3,1,1,41,1,3
220,"筷子","做独木舟","chopsticks",4,4,2,3,41,1,3
220,"易拉罐","点蜡烛","can",2,3,2,3,41,1,3
220,"易拉罐","万花筒","can",4,3,1,3,41,1,3
220,"易拉罐","捶打肉","can",3,3,1,4,41,1,3
221,"筷子","盘发","chopsticks",2,4,1,2,46,10,3
221,"筷子","鼓棒","chopsticks",3,3,3,3,46,10,3
221,"筷子","疏通管道","chopsticks",2,4,1,1,46,10,3
221,"易拉罐","种花","can",2,2,1,3,46,10,3
221,"易拉罐","打击乐器","can",3,3,3,3,46,10,3
221,"易拉罐","卖废品","can",1,1,1,1,46,10,3
222,"筷子","手工","chopsticks",2,4,1,2,54,7,3
222,"筷子","架子鼓棒","chopsticks",3,3,1,3,54,7,3
222,"筷子","擀面杖","chopsticks",3,4,2,3,54,7,3
222,"易拉罐","笔筒","can",1,1,1,1,54,7,3
222,"易拉罐","磨具","can",3,3,2,3,54,7,3
222,"易拉罐","刀","can",3,3,4,3,54,7,3
223,"筷子","织毛线","chopsticks",3,2,3,4,39,1,3
223,"筷子","搅拌","chopsticks",1,1,1,1,39,1,3
