"ID","prompt","response","set","lab","response_cleaned","rater1","rater2"
1462,"brick","bal uit het water halen",6,3,"bal water halen",3,3
1469,"brick","balanseer paal",6,3,"balanceer paal",3,3
1569,"brick","gebruiken om op te balanseren",6,3,"balanceren",3,3
1847,"brick","balans",6,3,"balans",3,3
1657,"brick","balansvoorwerp",6,3,"balansvoorwerp",3,3
1764,"brick","balansvoorwerp op hoofd",6,3,"balansvoorwerp hoofd",4,3
1326,"brick","gebruiken als balk",6,3,"balk",3,3
1626,"brick","balkon",6,3,"balkon",2,2
1799,"brick","ballon met een touwtje aan de grond houden die je vast knoopt aan een baksteen",6,3,"ballon touwtje grond houden vast knoopt baksteen",3,2
1474,"brick","balonverzwaring",6,3,"ballonverzwaring",3,2
1757,"brick","balspel",6,3,"balspel",3,3
1633,"brick","Banden vastzetten zodat de auto niet rolt",6,3,"banden vastzetten zodat auto niet rolt",2,2
1296,"brick","bank",6,3,"bank",3,2
1440,"brick","bank",6,3,"bank",3,2
1534,"brick","bank",6,3,"bank",3,2
1872,"brick","bank",6,3,"bank",3,2
1441,"brick","een bankje van maken ",6,3,"bankje",3,2
1494,"brick","bankje",6,3,"bankje",3,2
1499,"brick","bankje",6,3,"bankje",3,2
1554,"brick","een bankje maken ",6,3,"bankje",3,2
1729,"brick","bankje",6,3,"bankje",3,2
1335,"brick","bankpootvervanger",6,3,"bankpoot vervanger",3,2
1366,"brick","bbq van maken",6,3,"barbecue",3,3
1375,"brick","een bbq van maken",6,3,"barbecue",3,3
1440,"brick","barbeque",6,3,"barbecue",3,3
1449,"brick","in een barbecue",6,3,"barbecue",3,3
1468,"brick","bbq",6,3,"barbecue",3,3
1510,"brick","BBQ",6,3,"barbecue",3,3
1534,"brick"," bbq",6,3,"barbecue",3,3
1552,"brick","bbq maken",6,3,"barbecue",3,3
1566,"brick","barbeque ",6,3,"barbecue",3,3
1883,"brick","barbecue",6,3,"barbecue",3,3
1424,"brick","barricade",6,3,"barricade",2,2
1898,"brick","barricade maken",6,3,"barricade",2,2
1394,"brick","barriere",6,3,"barri̬re",2,2
1874,"brick","barriere",6,3,"barri̬re",2,2
1716,"brick","basis van bed",6,3,"basis bed",3,3
1492,"brick","basis voor kampvuur",6,3,"basis kampvuur",2,2
1296,"brick","bed",6,3,"bed",3,3
1316,"brick","bed",6,3,"bed",3,3
1488,"brick","bed",6,3,"bed",3,3
1497,"brick","een bed ",6,3,"bed",3,3
1654,"brick","bed",6,3,"bed",3,3
1653,"brick","bed",6,3,"bed",3,3
1877,"brick","bed",6,3,"bed",3,3
1756,"brick","bed ophoging",6,3,"bed ophoging",3,2
1858,"brick","als bed poten gebruiken",6,3,"bed poten",3,2
1314,"brick","bedsteun",6,3,"bed steun",0,2
1480,"brick","bedje voor poppetjes van kinderen",6,3,"bedje poppetjes kinderen",3,4
1281,"brick","beeld",6,3,"beeld",3,3
1327,"brick","een beeld",6,3,"beeld",3,3
1441,"brick","beeld van maken ",6,3,"beeld",3,3
1830,"brick","beeld uit maken",6,3,"beeld",3,3
1388,"brick"," kan een beeld van worden gemaakt",6,3,"beeld gemaakt",3,3
1698,"brick","om een beeld uit te houwen",6,3,"beeld houwen",3,3
1799,"brick","beeldende vorming",6,3,"beeldende vorming",3,3
1375,"brick","een beeldhuw werk mee maken",6,3,"beeldhouw werk",3,3
1301,"brick","beeldhouwen",6,3,"beeldhouwen",3,3
1306,"brick","beeldhouwen",6,3,"beeldhouwen",3,3
1396,"brick","Beeldhouwen ",6,3,"beeldhouwen",3,3
1490,"brick","beeldhouwen",6,3,"beeldhouwen",3,3
1497,"brick","beeldhouden ",6,3,"beeldhouwen",3,3
1697,"brick","beeldhouwen",6,3,"beeldhouwen",3,3
1752,"brick","beeldhouden",6,3,"beeldhouwen",3,3
1833,"brick","beeldhouwen",6,3,"beeldhouwen",3,3
1868,"brick","beelhouwen",6,3,"beeldhouwen",3,3
1648,"brick","beeldhouwen tot een kunstwerk",6,3,"beeldhouwen kunstwerk",3,3
1354,"brick","beeldhouwmateriaal",6,3,"beeldhouwmateriaal",3,3
1686,"brick","beeldje uithakken",6,3,"beeldje uithakken",3,3
1454,"brick","beeldjes uithakken",6,3,"beeldjes uithakken",3,3
1344,"brick","begraven ",6,3,"begraven",3,2
1680,"brick","bijtelen totkustwerk",6,3,"beitelen kustwerk",3,3
1875,"brick","belachelijk maken",6,3,"belachelijk",4,0
1288,"brick","om iets meer naar beneden te houden",6,3,"beneden houden",2,2
1717,"brick","benen en rug trainen door het in je rugtas te doen",6,3,"benen rug trainen rugtas",4,3
1712,"brick","bescherm veld",6,3,"bescherm veld",3,2
1356,"brick","beschilderen",6,3,"beschilderen",4,3
1804,"brick","beschilderen",6,3,"beschilderen",4,3
1825,"brick","beschilderen",6,3,"beschilderen",4,3
1842,"brick","beschilderen",6,3,"beschilderen",4,3
1355,"brick","beschilderen en met meerdere bakstenen een schilderij maken",6,3,"beschilderen meerdere bakstenen schilderij",4,3
1503,"brick","Beschilderen en verkopen als kunst",6,3,"beschilderen verkopen kunst",4,3
1432,"brick","bestrating",6,3,"bestrating",1,1
1454,"brick","bestrating",6,3,"bestrating",1,1
1488,"brick","bestrating",6,3,"bestrating",1,1
1315,"brick","bestuderen",6,3,"bestuderen",3,4
1278,"brick","betaalmiddel",6,3,"betaalmiddel",3,4
1830,"brick","betegelen",6,3,"betegelen",1,1
1344,"brick","bevriezen ",6,3,"bevriezen",4,2
1309,"brick","bewerken",6,3,"bewerken",3,2
1567,"brick","om te bewerken als kunstobk\ject",6,3,"bewerken kunstobject",3,3
1875,"brick","bewonderen",6,3,"bewonderen",3,2
1735,"brick","bezeren",6,3,"bezeren",3,2
1430,"brick","Een bier flesje mee openen",6,3,"bier flesje openen",4,3
1636,"brick","bieropener",6,3,"bieropener",4,3
1656,"brick","bijtel",6,3,"bijtel",3,3
1513,"brick","als bijzettafel",6,3,"bijzettafel",3,2
1458,"brick","blik opener",6,3,"blik opener",4,3
1627,"brick","om een blikje mee te pletten",6,3,"blikje pletten",3,2
1301,"brick","bloembak",6,3,"bloembak",2,2
1855,"brick","bloementafeltje",6,3,"bloementafeltje",3,2
1891,"brick","bloemperken mee afbakenen",6,3,"bloemperken afbakenen",2,2
1315,"brick","bloempot van maken",6,3,"bloempot",2,2
1496,"brick","ald bloempot/plantenpot gebruiken",6,3,"bloempot plantenpot",2,2
1545,"brick","bloempot verzwaren",6,3,"bloempot verzwaren",2,2
1845,"brick","gebruiken als blok bij yoga",6,3,"blok yoga",3,3
1508,"brick","blokkade",6,3,"blokkade",2,2
1831,"brick","blokkade maken",6,3,"blokkade",2,2
1297,"brick","blokken spel",6,3,"blokken spel",2,2
1787,"brick","een boek dat gebogen was weer platmaken",6,3,"boek gebogen weer platmaken",2,3
1327,"brick","om een boek mee plat te maken",6,3,"boek plat",2,3
1488,"brick","boeken houder",6,3,"boeken houder",4,2
1392,"brick","boeken kast",6,3,"boeken kast",3,2
1798,"brick","gebruiken om boeken mee staande te houden in een kast bijvoorbeeld",6,3,"boeken staande houden kast oorbeeld",3,2
1301,"brick","boekenhouder",6,3,"boekenhouder",4,2
1354,"brick","boekenhouder",6,3,"boekenhouder",4,2
1625,"brick","boekenhouder",6,3,"boekenhouder",4,2
1688,"brick","Boekenhouder",6,3,"boekenhouder",4,2
1458,"brick","boekenlegger",6,3,"boekenlegger",5,4
1562,"brick","boekenlegger",6,3,"boekenlegger",5,4
1668,"brick","boekenlegger",6,3,"boekenlegger",5,4
1674,"brick","boekenlegger",6,3,"boekenlegger",5,4
1679,"brick","als een boekenlegger",6,3,"boekenlegger",5,4
1801,"brick","boekenlegger",6,3,"boekenlegger",5,4
1855,"brick","boekenlegger",6,3,"boekenlegger",5,4
1877,"brick","boekenlegger",6,3,"boekenlegger",5,4
1883,"brick","boekenlegger",6,3,"boekenlegger",5,4
1301,"brick","boekenplank",6,3,"boekenplank",5,2
1327,"brick","boekenplank",6,3,"boekenplank",5,2
1627,"brick","boekenplank",6,3,"boekenplank",5,2
1293,"brick","boekenstandaar",6,3,"boekenstandaard",3,2
1314,"brick","boekensteun",6,3,"boekensteun",3,2
1335,"brick","boekensteun",6,3,"boekensteun",3,2
1437,"brick","boekensteun",6,3,"boekensteun",3,2
1458,"brick","boekensteun",6,3,"boekensteun",3,2
1468,"brick","boekensteun",6,3,"boekensteun",3,2
1474,"brick","boekensteun",6,3,"boekensteun",3,2
1484,"brick","boekensteun",6,3,"boekensteun",3,2
1536,"brick","Boekensteun",6,3,"boekensteun",3,2
1545,"brick","boekensteun",6,3,"boekensteun",3,2
1653,"brick","boekensteun",6,3,"boekensteun",3,2
1691,"brick","boekensteun",6,3,"boekensteun",3,2
1734,"brick","boekensteun",6,3,"boekensteun",3,2
1751,"brick","als boekensteun",6,3,"boekensteun",3,2
1756,"brick","boekensteun",6,3,"boekensteun",3,2
1836,"brick","boekensteun",6,3,"boekensteun",3,2
1627,"brick","boekensteun bedoelde ik",6,3,"boekensteun bedoelde",3,2
1425,"brick","boeksteun",6,3,"boeksteun",3,2
1606,"brick","boerderij",6,3,"boerderij",0,1
1335,"brick","bonnetjesbewaarplek",6,3,"bonnetjesbewaarplek",4,5
1667,"brick","boog",6,3,"boog",0,2
1749,"brick","als boord",6,3,"boord",3,2
1422,"brick","Boos",6,3,"boos",0,0
1306,"brick","als bord gebruiken",6,3,"bord",3,2
1434,"brick","bord",6,3,"bord",3,2
1480,"brick","bord",6,3,"bord",3,2
1632,"brick","bord",6,3,"bord",3,2
1784,"brick","bord",6,3,"bord",3,2
1788,"brick","bord",6,3,"bord",3,2
1792,"brick","bord",6,3,"bord",3,2
1823,"brick","bord",6,3,"bord",3,2
1872,"brick","bord",6,3,"bord",3,2
1653,"brick","bord om van te eten",6,3,"bord eten",3,2
1470,"brick","om je bordje met verf aan vast te plakken als je aan het verven bent in de tuin",6,3,"bordje verf vast plakken verven bent tuin",0,5
1662,"brick","bordje als je hem verft",6,3,"bordje verft",3,2
1422,"brick","Bouw",6,3,"bouw",1,1
1512,"brick","bouw",6,3,"bouw",1,1
1285,"brick","bouwen ",6,3,"bouwen",1,1
1286,"brick","bouwen",6,3,"bouwen",1,1
1291,"brick","bouwen",6,3,"bouwen",1,1
1309,"brick","bouwen",6,3,"bouwen",1,1
1322,"brick","bouwen",6,3,"bouwen",1,1
1335,"brick","bouwen",6,3,"bouwen",1,1
1341,"brick","bouwen",6,3,"bouwen",1,1
1344,"brick","iets bouwen ",6,3,"bouwen",1,1
1347,"brick","bouwen",6,3,"bouwen",1,1
1358,"brick","bouwen",6,3,"bouwen",1,1
1366,"brick","bouwen",6,3,"bouwen",1,1
1394,"brick","bouwen",6,3,"bouwen",1,1
1396,"brick","Bouwen",6,3,"bouwen",1,1
1407,"brick","Mee bouwen",6,3,"bouwen",1,1
1405,"brick","bouwen",6,3,"bouwen",1,1
1408,"brick","bouwen",6,3,"bouwen",1,1
1412,"brick","Bouwen",6,3,"bouwen",1,1
1424,"brick","bouwen",6,3,"bouwen",1,1
1440,"brick","bouwen",6,3,"bouwen",1,1
1437,"brick","bouwen",6,3,"bouwen",1,1
1446,"brick","bouwen",6,3,"bouwen",1,1
1449,"brick","bouwen",6,3,"bouwen",1,1
1457,"brick","Bouwen",6,3,"bouwen",1,1
1461,"brick","bouwen",6,3,"bouwen",1,1
1462,"brick","bouwen",6,3,"bouwen",1,1
1465,"brick","bouwen",6,3,"bouwen",1,1
1467,"brick","bouwen",6,3,"bouwen",1,1
1471,"brick","bouwen",6,3,"bouwen",1,1
1482,"brick","bouwen",6,3,"bouwen",1,1
1484,"brick","bouwen",6,3,"bouwen",1,1
1490,"brick","bouwen",6,3,"bouwen",1,1
1492,"brick","bouwen",6,3,"bouwen",1,1
1497,"brick","bouwen",6,3,"bouwen",1,1
1510,"brick","bouwen",6,3,"bouwen",1,1
1519,"brick","bouwen",6,3,"bouwen",1,1
1521,"brick","bouwen",6,3,"bouwen",1,1
1524,"brick","bouwen",6,3,"bouwen",1,1
1527,"brick","bouwen",6,3,"bouwen",1,1
1531,"brick","iets bouwen",6,3,"bouwen",1,1
1550,"brick","bouwen",6,3,"bouwen",1,1
1552,"brick","bouwen",6,3,"bouwen",1,1
1563,"brick","bouwen",6,3,"bouwen",1,1
1567,"brick","OM MEE TE BOUWEN",6,3,"bouwen",1,1
1569,"brick","bouwen",6,3,"bouwen",1,1
1590,"brick","bouwn",6,3,"bouwen",1,1
1591,"brick","bouwen",6,3,"bouwen",1,1
1606,"brick","bouwen",6,3,"bouwen",1,1
1635,"brick","bouwen",6,3,"bouwen",1,1
1659,"brick","bouwen",6,3,"bouwen",1,1
1683,"brick","Bouwen",6,3,"bouwen",1,1
1690,"brick","bouwen",6,3,"bouwen",1,1
1698,"brick","om iets mee te bouwen",6,3,"bouwen",1,1
1704,"brick","bouwen",6,3,"bouwen",1,1
1711,"brick","bouwen",6,3,"bouwen",1,1
1721,"brick","bouwen",6,3,"bouwen",1,1
1722,"brick","bouwen",6,3,"bouwen",1,1
1731,"brick","Bouwen",6,3,"bouwen",1,1
1735,"brick","bouwen",6,3,"bouwen",1,1
1749,"brick","om te bouwen",6,3,"bouwen",1,1
1752,"brick","bouwen",6,3,"bouwen",1,1
1772,"brick","bouwen",6,3,"bouwen",1,1
1822,"brick","om mee te bouwen",6,3,"bouwen",1,1
1850,"brick","bouwen ",6,3,"bouwen",1,1
1861,"brick","bouwen",6,3,"bouwen",1,1
1865,"brick","bouwen",6,3,"bouwen",1,1
1868,"brick","bouwen",6,3,"bouwen",1,1
1869,"brick","bouwen",6,3,"bouwen",1,1
1881,"brick","bouwen",6,3,"bouwen",1,1
1884,"brick","bouwen",6,3,"bouwen",1,1
1889,"brick","bouwen",6,3,"bouwen",1,1
1891,"brick","bouwen",6,3,"bouwen",1,1
1897,"brick","bouwen",6,3,"bouwen",1,1
1898,"brick","bouwen",6,3,"bouwen",1,1
1907,"brick","bouwe",6,3,"bouwen",1,1
1511,"brick","bouwen huis",6,3,"bouwen huis",1,1
1410,"brick","bouwen van een muur",6,3,"bouwen muur",1,1
1762,"brick","bouwen van een muur",6,3,"bouwen muur",1,1
1419,"brick","bouwmateriaal",6,3,"bouwmateriaal",1,1
1544,"brick","bouwmateriaal",6,3,"bouwmateriaal",1,1
1632,"brick","bouwmateriaal",6,3,"bouwmateriaal",1,1
1748,"brick","bouwmateriaal",6,3,"bouwmateriaal",1,1
1425,"brick","bouwmiddel",6,3,"bouwmiddel",1,1
1777,"brick","bouwmiddel",6,3,"bouwmiddel",1,1
1877,"brick","bouwmiddel",6,3,"bouwmiddel",1,1
1312,"brick","bouwsteen",6,3,"bouwsteen",1,1
1662,"brick","bouwsteen",6,3,"bouwsteen",1,1
1740,"brick","bouwsteen",6,3,"bouwsteen",1,1
1788,"brick","bouwsteen",6,3,"bouwsteen",1,1
1792,"brick","bouwsteen",6,3,"bouwsteen",1,1
1472,"brick","bouwstuk",6,3,"bouwstuk",1,1
1422,"brick","Bouwvakker",6,3,"bouwvakker",0,0
1755,"brick","bouwvakker",6,3,"bouwvakker",0,0
1422,"brick","Bouwvakkers",6,3,"bouwvakkers",0,0
1711,"brick","bouwwerk",6,3,"bouwwerk",1,1
1430,"brick","om boven op blaadjes te leggen zodat ze niet wegwaaien",6,3,"boven blaadjes leggen zodat niet wegwaaien",2,2
1763,"brick","bowlingbal",6,3,"bowlingbal",3,4
1309,"brick","breken",6,3,"breken",2,2
1344,"brick","breken",6,3,"breken",2,2
1424,"brick","breken",6,3,"breken",2,2
1449,"brick","breken ",6,3,"breken",2,2
1507,"brick","gebruiken om iets te breken",6,3,"breken",2,2
1590,"brick","breken",6,3,"breken",2,2
1822,"brick","om iets mee te breke",6,3,"breken",2,2
1874,"brick","breken",6,3,"breken",2,2
1291,"brick","breken van glas",6,3,"breken glas",2,2
1300,"brick","breken van ijs",6,3,"breken ijs",2,2
1392,"brick","brievenlegger",6,3,"brievenlegger",2,3
1433,"brick","in je broekzak stoppen",6,3,"broekzak stoppen",3,3
1734,"brick","broodplank",6,3,"broodplank",3,2
1281,"brick","brug",6,3,"brug",1,1
1407,"brick","brug mee maken",6,3,"brug",1,1
1508,"brick","brug",6,3,"brug",1,1
1606,"brick","brug",6,3,"brug",1,1
1667,"brick","brug",6,3,"brug",1,1
1620,"brick","een brug bouwen",6,3,"brug bouwen",1,1
1474,"brick","brugetje",6,3,"bruggetje",1,1
1889,"brick","bruin",6,3,"bruin",0,0
1316,"brick","buitenbad",6,3,"buitenbad",2,1
1635,"brick","buitenspelen",6,3,"buitenspelen",3,2
1464,"brick","bungalow",6,3,"bungalow",1,1
1296,"brick","bureau",6,3,"bureau",3,2
1892,"brick","bureau",6,3,"bureau",4,2
1667,"brick","cadeau",6,3,"cadeau",4,3
1734,"brick","cadeau",6,3,"cadeau",4,3
1823,"brick","als cadeau",6,3,"cadeau",4,3
1306,"brick","als cadeau geven",6,3,"cadeau geven",4,3
1344,"brick","als kado geven ",6,3,"cadeau geven",4,3
1509,"brick","cadeau geven",6,3,"cadeau geven",4,3
1519,"brick","cadeautje",6,3,"cadeautje",4,3
1792,"brick","  cadeautje",6,3,"cadeautje",4,3
1674,"brick","canvas",6,3,"canvas",2,3
1361,"brick"," cement",6,3,"cement",1,1
1422,"brick","Cement",6,3,"cement",1,1
1422,"brick","Cement",6,3,"cement",1,1
1590,"brick","cement op doen",6,3,"cement",1,1
1721,"brick","cementvan maken",6,3,"cement",1,1
1732,"brick","cement",6,3,"cement",1,1
1780,"brick","cement",6,3,"cement",1,1
1889,"brick","cement",6,3,"cement",1,1
1398,"brick","chinese muur",6,3,"Chinese muur",1,1
1697,"brick","cirkel maken voor kampvuur",6,3,"cirkel kampvuur",2,2
1623,"brick","deze computer mee aan gort slaan zodat ik naar huis kan",6,3,"computer gort slaan zodat huis",2,3
1652,"brick","contra gewicht",6,3,"contra gewicht",2,2
1354,"brick","contragewicht",6,3,"contragewicht",2,2
1435,"brick","Contragewicht",6,3,"contragewicht",2,2
1748,"brick","contrafewicht",6,3,"contragewicht",2,2
1468,"brick","curlingbal",6,3,"curling bal",3,3
1427,"brick","dak",6,3,"dak",2,1
1626,"brick","dak",6,3,"dak",2,1
1904,"brick","dak bouwen",6,3,"dak bouwen",2,1
1635,"brick","dak boven je hoofd",6,3,"dak boven hoofd",2,1
1439,"brick","dam",6,3,"dam",1,1
1716,"brick","dam ",6,3,"dam",1,1
1377,"brick","dam bouwen",6,3,"dam bouwen",1,1
1841,"brick","Dam stoppen met overstromen",6,3,"dam stoppen overstromen",1,2
1678,"brick","dansen",6,3,"dansen",3,3
1360,"brick","Decoor",6,3,"decor",3,3
1281,"brick"," decoratie",6,3,"decoratie",3,3
1281,"brick","decoratie",6,3,"decoratie",3,3
1315,"brick","decoratie",6,3,"decoratie",3,3
1354,"brick","decoratie",6,3,"decoratie",3,3
1366,"brick","decoratie",6,3,"decoratie",3,3
1425,"brick","decoratie",6,3,"decoratie",3,3
1502,"brick"," als decoratie",6,3,"decoratie",3,3
1507,"brick","als decoratie",6,3,"decoratie",3,3
1534,"brick","decoratie",6,3,"decoratie",3,3
1625,"brick","decoratie",6,3,"decoratie",3,3
1639,"brick","Decoratie",6,3,"decoratie",3,3
1656,"brick","decoratie",6,3,"decoratie",3,3
1688,"brick","Decoratie",6,3,"decoratie",3,3
1693,"brick","Decoratie",6,3,"decoratie",3,3
1701,"brick","decoratie",6,3,"decoratie",3,3
1788,"brick","decoratie",6,3,"decoratie",3,3
1792,"brick","decoratie",6,3,"decoratie",3,3
1833,"brick","decoratie",6,3,"decoratie",3,3
1749,"brick","decoratie artikel",6,3,"decoratie artikel",3,3
1296,"brick","decoratie in huis",6,3,"decoratie huis",3,3
1634,"brick","Decoratie in je huis",6,3,"decoratie huis",3,3
1845,"brick","decoratie voor in huis",6,3,"decoratie huis",3,3
1679,"brick","als een decoratie in de huiskamer",6,3,"decoratie huiskamer",3,3
1288,"brick","als decoratie voor een neppe muur als je er meerdere hebt",6,3,"decoratie neppe muur meerdere hebt",3,3
1350,"brick","decoratief item",6,3,"decoratief item",3,3
1816,"brick","deeg platmaken",6,3,"deeg platmaken",3,3
1707,"brick","deel van een dak van een huis",6,3,"deel dak huis",2,1
1304,"brick","deel van een huis",6,3,"deel huis",1,1
1707,"brick","deel van een muur bouwen",6,3,"deel muur bouwen",1,1
1293,"brick","deksel",6,3,"deksel",3,3
1512,"brick","design",6,3,"design",3,3
1712,"brick","deur",6,3,"deur",4,2
1470,"brick","om een deur dicht te houden waarvan het slot kapot is",6,3,"deur dicht houden waarvan slot kapot",2,2
1772,"brick","deur houder",6,3,"deur houder",2,2
1472,"brick","deur open houden",6,3,"deur open houden",2,2
1884,"brick","een deur of iets dergelijks mee open houden",6,3,"deur open houden",2,2
1350,"brick","Deuropenhouder",6,3,"deur openhouden",2,2
1824,"brick","Deur stop",6,3,"deur stop",2,2
1898,"brick","deur stop",6,3,"deur stop",2,2
1457,"brick","Deur tegenhouden",6,3,"deur tegenhouden",2,2
1485,"brick","deur tegenhouden",6,3,"deur tegenhouden",2,2
1531,"brick","deur tegenhouden",6,3,"deur tegenhouden",2,2
1868,"brick","deurtegenhouder",6,3,"deur tegenhouden",2,2
1907,"brick","voor een deur zetten",6,3,"deur zetten",2,2
1314,"brick","deuren openmaken",6,3,"deuren openmaken",2,2
1634,"brick","Deurhouder",6,3,"deurhouder",2,2
1785,"brick","deurklem",6,3,"deurklem",2,2
1734,"brick","deuropener",6,3,"deuropener",2,2
1314,"brick","deursteun",6,3,"deursteun",2,2
1308,"brick","als deurstoppen gebruiken",6,3,"deurstoppen",2,2
1279,"brick","deurstopper",6,3,"deurstopper",2,2
1313,"brick","doorstop",6,3,"deurstopper",2,2
1323,"brick","deurstopper",6,3,"deurstopper",2,2
1335,"brick","deurstopper",6,3,"deurstopper",2,2
1354,"brick","deurstopper",6,3,"deurstopper",2,2
1375,"brick","een deurstop",6,3,"deurstopper",2,2
1374,"brick","als deurstop gebruiken",6,3,"deurstopper",2,2
1410,"brick","deurstop",6,3,"deurstopper",2,2
1452,"brick","duurstop",6,3,"deurstopper",2,2
1474,"brick","deurstop",6,3,"deurstopper",2,2
1482,"brick","deurstop",6,3,"deurstopper",2,2
