"ID","prompt","response","set","lab","order","rater1","rater2","rater3","rater4","pre_pos","grp20","grp60","grp80","sd_raters","max_min_raters","n_judges"
105999019,"caixa de papelão","Guardar pratos",20,12,7,1,3,1,1,1,1,7,7,1,2,2
105999019,"caixa de papelão","Guardar talheres",20,12,8,NA,NA,NA,NA,1,1,52,64,NA,NA,0
105999019,"caixa de papelão","Guardar produtos de limpeza",20,12,9,NA,NA,NA,NA,1,1,34,77,NA,NA,0
105999019,"caixa de papelão","Produtos higienicos",20,12,10,NA,NA,NA,NA,1,1,34,77,NA,NA,0
105999019,"caixa de papelão","Caixa de remédios",20,12,11,1,3,1,1,1,1,7,7,1,2,2
105999019,"caixa de papelão","Guardar bolas",20,12,12,NA,NA,NA,NA,1,1,7,58,NA,NA,0
105999019,"tijolo","Construir casas",20,12,1,NA,NA,NA,NA,1,9,21,23,NA,NA,0
105999019,"tijolo","Casa de cachorro",20,12,2,NA,NA,NA,NA,1,5,10,10,NA,NA,0
105999019,"tijolo","Construir prédios",20,12,3,NA,NA,NA,NA,1,11,23,25,NA,NA,0
105999019,"tijolo","Fogão de lenha",20,12,4,NA,NA,NA,NA,1,20,56,70,NA,NA,0
105999019,"tijolo","Churrasqueira",20,12,5,NA,NA,NA,NA,1,1,31,35,NA,NA,0
105999019,"tijolo","Piscina",20,12,6,NA,NA,NA,NA,1,1,30,34,NA,NA,0
105999019,"tijolo","Cadeiras",20,12,7,NA,NA,NA,NA,1,13,25,27,NA,NA,0
105999019,"tijolo","Escadas",20,12,8,NA,NA,NA,NA,1,1,29,33,NA,NA,0
107499285,"caixa de papelão","Descer barranco",20,12,1,NA,NA,NA,NA,1,1,47,57,NA,NA,0
107499285,"caixa de papelão","Fazer compras",20,12,2,NA,NA,NA,NA,1,1,40,47,NA,NA,0
107499285,"caixa de papelão","Fazer casinhas de boneca",20,12,3,1,3,2,2,1,1,2,2,0.816496580927726,2,2
107499285,"caixa de papelão","Guardar brinquedos ou coisas",20,12,4,NA,NA,NA,NA,1,4,8,8,NA,NA,0
107499285,"caixa de papelão","Fazer comidinha de brincadeira",20,12,5,NA,NA,NA,NA,1,1,35,40,NA,NA,0
107499285,"caixa de papelão","Dormir em dima deles ou por baixo",20,12,6,NA,NA,NA,NA,1,1,35,40,NA,NA,0
107499285,"caixa de papelão","Guardar giz",20,12,7,NA,NA,NA,NA,1,1,41,49,NA,NA,0
107499285,"caixa de papelão","Se esconder",20,12,8,NA,NA,NA,NA,1,1,48,59,NA,NA,0
107499285,"caixa de papelão","Guardar sapato",20,12,9,NA,NA,NA,NA,1,6,43,52,NA,NA,0
107499285,"caixa de papelão","Fazer brinquedos para bonecas",20,12,10,NA,NA,NA,NA,1,4,8,8,NA,NA,0
107499285,"caixa de papelão","Roupa de papelão para brincar",20,12,11,NA,NA,NA,NA,1,1,57,71,NA,NA,0
107499285,"caixa de papelão","Caixa de sapato",20,12,12,NA,NA,NA,NA,1,6,43,52,NA,NA,0
107499285,"caixa de papelão","Caixa de remédio",20,12,13,1,3,1,1,1,1,7,7,1,2,2
107499285,"caixa de papelão","Acessórios para brincar",20,12,14,NA,NA,NA,NA,1,1,7,80,NA,NA,0
107499285,"caixa de papelão","Porta guardanapos",20,12,15,NA,NA,NA,NA,1,1,7,41,NA,NA,0
107499285,"caixa de papelão","Sapatinhos de brincar",20,12,16,NA,NA,NA,NA,1,1,35,40,NA,NA,0
107499285,"caixa de papelão","Sala de aula brincar",20,12,17,NA,NA,NA,NA,1,1,26,29,NA,NA,0
107499285,"caixa de papelão","Lápis brincar",20,12,18,NA,NA,NA,NA,1,1,57,71,NA,NA,0
107499285,"caixa de papelão","Caneta brincar",20,12,19,NA,NA,NA,NA,1,1,57,71,NA,NA,0
107499285,"caixa de papelão","Caderno brincar",20,12,20,NA,NA,NA,NA,1,1,57,71,NA,NA,0
107499285,"caixa de papelão","Lousa brincar",20,12,21,NA,NA,NA,NA,1,1,57,71,NA,NA,0
107499285,"caixa de papelão","Bonequinhos brincar",20,12,22,NA,NA,NA,NA,1,1,35,40,NA,NA,0
107499285,"caixa de papelão","Garrafas brincar",20,12,23,1,3,3,2,1,1,7,7,0.9574271077563381,2,2
107499285,"caixa de papelão","Portas brincar",20,12,24,NA,NA,NA,NA,1,1,57,71,NA,NA,0
107499285,"caixa de papelão","Cadeiras brincar",20,12,25,NA,NA,NA,NA,1,1,57,71,NA,NA,0
107499285,"tijolo","Construir casas",20,12,1,NA,NA,NA,NA,1,9,21,23,NA,NA,0
107499285,"tijolo","Construir mercadinhos ou bares",20,12,2,NA,NA,NA,NA,1,1,7,7,NA,NA,0
107499285,"tijolo","Tacar na cabeça de alguém",20,12,3,NA,NA,NA,NA,1,6,13,14,NA,NA,0
107499285,"tijolo","Quebrar alguma coisa",20,12,4,NA,NA,NA,NA,1,6,13,14,NA,NA,0
107499285,"tijolo","Construir casinha de boneca",20,12,5,NA,NA,NA,NA,1,9,21,23,NA,NA,0
107499285,"tijolo","Fazer caixas d'água",20,12,6,NA,NA,NA,NA,1,12,24,26,NA,NA,0
107499285,"tijolo","Sujar casas",20,12,7,NA,NA,NA,NA,1,1,15,16,NA,NA,0
107499285,"tijolo","Ajudas os pedreiros",20,12,8,NA,NA,NA,NA,1,1,7,7,NA,NA,0
107499285,"tijolo","Fazer piso",20,12,9,NA,NA,NA,NA,1,10,22,24,NA,NA,0
107499285,"tijolo","Matar um inimigo",20,12,10,NA,NA,NA,NA,1,1,7,7,NA,NA,0
107499285,"tijolo","Fazer uma quadra",20,12,11,NA,NA,NA,NA,1,1,30,34,NA,NA,0
107499285,"tijolo","Fazer alguma coisa qualquer",20,12,12,NA,NA,NA,NA,1,6,13,14,NA,NA,0
108091912,"caixa de papelão","Guardar os brinquedos, objetos e ferramentas",20,12,1,NA,NA,NA,NA,1,6,12,17,NA,NA,0
108091912,"caixa de papelão","Colocar roupas",20,12,2,NA,NA,NA,NA,1,1,49,73,NA,NA,0
108091912,"caixa de papelão","Se a caixa for pequena, guradar colares, etc",20,12,3,1,3,NA,2,1,1,7,7,1,2,2
108091912,"caixa de papelão","Guardar batons e coisas de maquiagem",20,12,4,NA,NA,NA,NA,1,1,60,75,NA,NA,0
108091912,"caixa de papelão","Guardar produtos de limpeza",20,12,5,NA,NA,NA,NA,1,1,34,77,NA,NA,0
108091912,"caixa de papelão","Guardar materiais de escola",20,12,6,NA,NA,NA,NA,1,1,34,77,NA,NA,0
108091912,"caixa de papelão","Colocar remédios",20,12,7,1,3,NA,1,1,1,7,7,1.1547005383792515,2,2
108091912,"caixa de papelão","Guardar papéis de trabalhos",20,12,8,NA,NA,NA,NA,1,6,12,17,NA,NA,0
108091912,"tijolo","Construir casas",20,12,1,NA,NA,NA,NA,1,9,21,23,NA,NA,0
108091912,"tijolo","Churrasqueira de tijolos",20,12,2,NA,NA,NA,NA,1,17,36,42,NA,NA,0
108091912,"tijolo","Piscinas",20,12,3,NA,NA,NA,NA,1,1,30,34,NA,NA,0
108091912,"tijolo","Muros",20,12,4,NA,NA,NA,NA,1,15,32,37,NA,NA,0
108091912,"tijolo","Construir bancos",20,12,5,NA,NA,NA,NA,1,12,24,26,NA,NA,0
107499369,"caixa de papelão","Descer barranco",20,12,1,NA,NA,NA,NA,1,1,47,57,NA,NA,0
107499369,"caixa de papelão","Trazer compra",20,12,2,NA,NA,NA,NA,1,1,40,47,NA,NA,0
107499369,"caixa de papelão","Fazer uma casinha",20,12,3,NA,NA,NA,NA,1,10,22,24,NA,NA,0
107499369,"caixa de papelão","Colocar roupa",20,12,4,NA,NA,NA,NA,1,1,49,73,NA,NA,0
107499369,"caixa de papelão","Utilizar sapatos dentro",20,12,5,NA,NA,NA,NA,1,6,43,52,NA,NA,0
107499369,"caixa de papelão","Fingir que é lousa",20,12,6,NA,NA,NA,NA,1,1,48,59,NA,NA,0
107499369,"caixa de papelão","Desenhar",20,12,7,NA,NA,NA,NA,1,1,15,16,NA,NA,0
107499369,"caixa de papelão","Se esconder dentro da caixa",20,12,8,NA,NA,NA,NA,1,12,24,26,NA,NA,0
107499369,"caixa de papelão","Colocar uma pessoa dentro e ficar andando",20,12,9,NA,NA,NA,NA,1,1,7,43,NA,NA,0
107499369,"caixa de papelão","Colocar remédio dentro",20,12,10,1,3,NA,1,1,1,7,7,1.1547005383792515,2,2
107499369,"caixa de papelão","Caixa de sabonete",20,12,11,NA,NA,NA,NA,1,12,24,48,NA,NA,0
107499369,"tijolo","Construir casa",20,12,1,NA,NA,NA,NA,1,9,21,23,NA,NA,0
107499369,"tijolo","Fazer parede",20,12,2,NA,NA,NA,NA,1,10,22,24,NA,NA,0
107499369,"tijolo","Quebrar janela",20,12,3,NA,NA,NA,NA,1,1,7,79,NA,NA,0
107499369,"tijolo","Fazer uma caixa d´água",20,12,4,NA,NA,NA,NA,1,12,24,26,NA,NA,0
107499369,"tijolo","Fazer casa de cachorro",20,12,5,NA,NA,NA,NA,1,5,10,10,NA,NA,0
107499369,"tijolo","Fazer um quadro de roupa",20,12,6,NA,NA,NA,NA,1,1,46,56,NA,NA,0
107499369,"tijolo","Sujar casa",20,12,7,NA,NA,NA,NA,1,1,15,16,NA,NA,0
107499369,"tijolo","Fazer loja",20,12,8,NA,NA,NA,NA,1,10,22,24,NA,NA,0
107499369,"tijolo","Matar o inimigo",20,12,9,NA,NA,NA,NA,1,1,7,7,NA,NA,0
107499369,"tijolo","Fazer poste",20,12,10,NA,NA,NA,NA,1,1,47,57,NA,NA,0
107499369,"tijolo","Fazer uma quadra",20,12,11,NA,NA,NA,NA,1,1,30,34,NA,NA,0
110468534,"caixa de papelão","Usar como cesto de lixo",20,12,1,NA,NA,NA,NA,1,1,34,39,NA,NA,0
110468534,"caixa de papelão","Escola de papelão professores de papelão",20,12,3,NA,NA,NA,NA,1,1,55,69,NA,NA,0
110468534,"caixa de papelão","Arroz de papelão",20,12,4,1,3,NA,1,1,1,7,7,1.1547005383792515,2,2
110468534,"caixa de papelão","Celular de papelão",20,12,5,NA,NA,NA,NA,1,1,55,69,NA,NA,0
110468534,"caixa de papelão","Garrafas de papelão",20,12,6,1,4,NA,2,1,1,7,7,1.5275252316519468,3,2
110468534,"caixa de papelão","Lápis",20,12,7,NA,NA,NA,NA,1,1,41,49,NA,NA,0
110468534,"caixa de papelão","B onecas de papelão",20,12,8,NA,NA,NA,NA,1,1,55,69,NA,NA,0
110468534,"caixa de papelão","Sacolas de papelão",20,12,9,1,4,2,4,1,3,6,6,1.5,3,2
110468534,"caixa de papelão","Relógio de papelão",20,12,10,NA,NA,NA,NA,1,1,54,67,NA,NA,0
110468534,"tijolo","Sofá de tijolos",20,12,1,NA,NA,NA,NA,1,13,25,27,NA,NA,0
110468534,"tijolo","parede de tijolos",20,12,2,NA,NA,NA,NA,1,17,36,42,NA,NA,0
110468534,"tijolo","Cadeira de tijolos",20,12,3,NA,NA,NA,NA,1,13,25,27,NA,NA,0
110468534,"tijolo","Mesa de tijolos",20,12,4,NA,NA,NA,NA,1,17,36,42,NA,NA,0
110468534,"tijolo","Escola de tijolos",20,12,5,NA,NA,NA,NA,1,17,36,42,NA,NA,0
110468534,"tijolo","Garrafa de tijolos",20,12,6,NA,NA,NA,NA,1,1,7,7,NA,NA,0
110468534,"tijolo","Celular de tijolos",20,12,7,NA,NA,NA,NA,1,1,1,1,NA,NA,0
110468534,"tijolo","Casa de tijolos",20,12,8,NA,NA,NA,NA,1,17,36,42,NA,NA,0
110468534,"tijolo","Computador de tijolos",20,12,9,NA,NA,NA,NA,1,1,7,7,NA,NA,0
110468534,"tijolo","Arrais de tijolos",20,12,10,NA,NA,NA,NA,1,1,7,7,NA,NA,0
110468534,"tijolo","Sorvete de tijolos",20,12,11,NA,NA,NA,NA,1,1,7,76,NA,NA,0
110468534,"tijolo","Óculos de tijolos",20,12,12,NA,NA,NA,NA,1,1,7,41,NA,NA,0
110468534,"tijolo","Louza de tijolos",20,12,13,NA,NA,NA,NA,1,7,16,18,NA,NA,0
110468534,"tijolo","Coleira de tijolos",20,12,14,NA,NA,NA,NA,1,1,7,7,NA,NA,0
110468534,"tijolo","Portão de tijolos",20,12,16,NA,NA,NA,NA,1,18,38,45,NA,NA,0
110468534,"tijolo","Tênis de tijolos",20,12,17,NA,NA,NA,NA,1,1,7,7,NA,NA,0
110468534,"tijolo","Poltrona de tijolos",20,12,18,NA,NA,NA,NA,1,13,25,27,NA,NA,0
110468534,"tijolo","Bolsa de tijolos",20,12,19,NA,NA,NA,NA,1,1,7,7,NA,NA,0
110468534,"tijolo","Lápis de tijolos",20,12,20,NA,NA,NA,NA,1,1,41,49,NA,NA,0
110468534,"tijolo","Papéis de tijolos",20,12,21,NA,NA,NA,NA,1,1,7,7,NA,NA,0
110468534,"tijolo","vidro de tijolos",20,12,22,NA,NA,NA,NA,1,1,7,79,NA,NA,0
110468534,"tijolo","árvore de tijolos",20,12,23,NA,NA,NA,NA,1,1,3,3,NA,NA,0
106299627,"caixa de papelão","Carrinho",20,12,1,1,3,3,3,1,3,6,6,1,2,2
106299627,"caixa de papelão","Lixo",20,12,2,NA,NA,NA,NA,1,1,34,39,NA,NA,0
106299627,"caixa de papelão","Colar",20,12,3,NA,NA,NA,NA,1,1,15,16,NA,NA,0
106299627,"caixa de papelão","Caixa de sapato",20,12,4,NA,NA,NA,NA,1,6,43,52,NA,NA,0
106299627,"caixa de papelão","Se esconder nela",20,12,5,NA,NA,NA,NA,1,1,48,59,NA,NA,0
106299627,"caixa de papelão","Contornar o corpo da pessoa e recortar",20,12,6,NA,NA,NA,NA,1,1,15,16,NA,NA,0
106299627,"caixa de papelão","Porta lápis",20,12,7,NA,NA,NA,NA,1,1,41,49,NA,NA,0
106299627,"caixa de papelão","Cartolina",20,12,8,NA,NA,NA,NA,1,1,55,69,NA,NA,0
106299627,"caixa de papelão","Cata-vento",20,12,10,4,4,NA,5,1,1,7,7,0.5773502691896247,1,2
106299627,"caixa de papelão","Flor-de-papelão",20,12,11,NA,NA,NA,NA,1,1,52,64,NA,NA,0
106299627,"caixa de papelão","Colocar a compra do mercado",20,12,12,NA,NA,NA,NA,1,1,40,47,NA,NA,0
106299627,"caixa de papelão","Escorregar na grama molhada",20,12,13,2,4,4,4,1,1,3,3,1,2,2
106299627,"tijolo","Construir casas",20,12,1,NA,NA,NA,NA,1,9,21,23,NA,NA,0
106299627,"tijolo","Fazer um banquinho",20,12,2,NA,NA,NA,NA,1,10,22,24,NA,NA,0
106299627,"tijolo","Fazer como guarda copo",20,12,3,NA,NA,NA,NA,1,1,7,7,NA,NA,0
106299627,"tijolo","Fazer fogão a lenha",20,12,4,NA,NA,NA,NA,1,20,56,70,NA,NA,0
106299627,"tijolo","Fazer porta lápis",20,12,5,NA,NA,NA,NA,1,1,41,49,NA,NA,0
106299627,"tijolo","Fazer churrasqueira",20,12,6,NA,NA,NA,NA,1,1,31,35,NA,NA,0
106299627,"tijolo","Fazer quadra",20,12,7,NA,NA,NA,NA,1,1,30,34,NA,NA,0
106299627,"tijolo","Fazer a forma geoétrica",20,12,8,NA,NA,NA,NA,1,10,22,24,NA,NA,0
106299627,"tijolo","Fazer celular de mentira",20,12,9,NA,NA,NA,NA,1,1,1,1,NA,NA,0
106299627,"tijolo","Jogar no pé e quebrar o pé",20,12,10,NA,NA,NA,NA,1,1,7,79,NA,NA,0
106299627,"tijolo","Fazer caixa da água",20,12,11,NA,NA,NA,NA,1,12,24,26,NA,NA,0
106299627,"tijolo","Colocar de apoio na cama para ficar alta",20,12,12,NA,NA,NA,NA,1,1,40,47,NA,NA,0
106299627,"tijolo","Colocar apoio para fazer algo",20,12,13,NA,NA,NA,NA,1,6,13,14,NA,NA,0
106299627,"tijolo","Fazer unha postiça",20,12,14,NA,NA,NA,NA,1,1,7,7,NA,NA,0
106299627,"tijolo","Fazer lousa",20,12,15,NA,NA,NA,NA,1,10,22,24,NA,NA,0
106299627,"tijolo","Fazer giz de cera",20,12,16,NA,NA,NA,NA,1,1,41,49,NA,NA,0
106299627,"tijolo","Rabiscar o chão",20,12,17,NA,NA,NA,NA,1,1,60,75,NA,NA,0
109580798,"caixa de papelão","Boneco",20,12,1,NA,NA,NA,NA,1,4,8,8,NA,NA,0
109580798,"caixa de papelão","Espaçonave",20,12,2,NA,NA,NA,NA,1,1,59,74,NA,NA,0
109580798,"caixa de papelão","Carro",20,12,3,NA,NA,NA,NA,1,16,33,38,NA,NA,0
109580798,"caixa de papelão","Porta lápis",20,12,4,NA,NA,NA,NA,1,1,41,49,NA,NA,0
109580798,"caixa de papelão","Cesto de basquete",20,12,5,2,5,NA,5,1,1,7,7,1.7320508075688772,3,2
109580798,"caixa de papelão","Um gol",20,12,6,NA,NA,NA,NA,1,1,7,58,NA,NA,0
109580798,"caixa de papelão","Uma maquete",20,12,7,NA,NA,NA,NA,1,1,51,62,NA,NA,0
109580798,"caixa de papelão","A capa de um livro",20,12,8,NA,NA,NA,NA,1,1,37,44,NA,NA,0
109580798,"caixa de papelão","Cesto de lixo",20,12,9,NA,NA,NA,NA,1,1,34,63,NA,NA,0
109580798,"caixa de papelão","Guarda jóias",20,12,10,NA,NA,NA,NA,1,1,7,80,NA,NA,0
109580798,"caixa de papelão","Casinha de boneca",20,12,11,NA,NA,NA,NA,1,19,53,65,NA,NA,0
109580798,"caixa de papelão","Lugar para por mudas em vasos",20,12,12,NA,NA,NA,NA,1,1,52,64,NA,NA,0
109580798,"caixa de papelão","Enfeites",20,12,13,1,3,3,2,1,1,2,2,0.9574271077563381,2,2
109580798,"caixa de papelão","Fantoches",20,12,14,4,3,NA,5,1,1,7,7,1,2,2
109580798,"tijolo","Banco de sentar",20,12,1,NA,NA,NA,NA,1,13,25,27,NA,NA,0
109580798,"tijolo","Casas",20,12,2,NA,NA,NA,NA,1,9,21,23,NA,NA,0
109580798,"tijolo","Muros",20,12,3,NA,NA,NA,NA,1,15,32,37,NA,NA,0
109580798,"tijolo","Escola",20,12,4,NA,NA,NA,NA,1,1,26,29,NA,NA,0
109580798,"tijolo","Igreja",20,12,5,NA,NA,NA,NA,1,1,7,55,NA,NA,0
109580798,"tijolo","Churrasqueira",20,12,6,NA,NA,NA,NA,1,1,31,35,NA,NA,0
109580798,"tijolo","Fogão a lenha",20,12,7,NA,NA,NA,NA,1,20,56,70,NA,NA,0
109580798,"tijolo","Armário",20,12,8,NA,NA,NA,NA,1,6,12,17,NA,NA,0
109580798,"tijolo","Cercas de jardim",20,12,9,NA,NA,NA,NA,1,1,7,7,NA,NA,0
109580798,"tijolo","Mesa de tijolos",20,12,10,NA,NA,NA,NA,1,17,36,42,NA,NA,0
109580798,"tijolo","Cadeira",20,12,11,NA,NA,NA,NA,1,13,25,27,NA,NA,0
109580798,"tijolo","Caixa",20,12,12,NA,NA,NA,NA,1,12,24,26,NA,NA,0
109581082,"caixa de papelão","Guardar roupa",20,12,1,NA,NA,NA,NA,1,6,12,17,NA,NA,0
109581082,"caixa de papelão","Levar compra",20,12,2,NA,NA,NA,NA,1,1,40,47,NA,NA,0
109581082,"caixa de papelão","Cabe brinquedo",20,12,3,NA,NA,NA,NA,1,1,40,47,NA,NA,0
109581082,"caixa de papelão","Cabe tênis",20,12,4,1,3,NA,1,1,1,7,7,1.1547005383792515,2,2
109581082,"caixa de papelão","Cabe leite",20,12,5,1,3,NA,1,1,1,7,7,1.1547005383792515,2,2
109581082,"caixa de papelão","Cabe óleo",20,12,6,NA,NA,NA,NA,1,1,40,47,NA,NA,0
109581082,"caixa de papelão","Cabe luz",20,12,7,1,3,NA,1,1,1,7,7,1.1547005383792515,2,2
109581082,"caixa de papelão","Cabe blusa",20,12,8,1,3,NA,1,1,1,7,7,1.1547005383792515,2,2
109581082,"caixa de papelão","Cabe livros",20,12,9,NA,NA,NA,NA,1,1,40,47,NA,NA,0
109581082,"caixa de papelão","Cabe piscina",20,12,10,NA,NA,NA,NA,1,1,40,47,NA,NA,0
109581082,"caixa de papelão","Cabe papel",20,12,11,1,3,NA,1,1,1,7,7,1.1547005383792515,2,2
109581082,"caixa de papelão","Cabe carteira",20,12,12,1,3,NA,1,1,1,7,7,1.1547005383792515,2,2
109581082,"caixa de papelão","Cabe cadeira",20,12,13,NA,NA,NA,NA,1,1,40,47,NA,NA,0
109581082,"caixa de papelão","Cabe canetas",20,12,14,NA,NA,NA,NA,1,1,41,49,NA,NA,0
109581082,"caixa de papelão","Cabe lápis",20,12,15,NA,NA,NA,NA,1,1,41,49,NA,NA,0
109581082,"caixa de papelão","Cabe fita",20,12,16,NA,NA,NA,NA,1,1,40,47,NA,NA,0
109581082,"caixa de papelão","Cabe calça",20,12,17,1,3,NA,1,1,1,7,7,1.1547005383792515,2,2
109581082,"caixa de papelão","Cabe mochila",20,12,18,NA,NA,NA,NA,1,1,34,63,NA,NA,0
109581082,"caixa de papelão","Cabe lacinho",20,12,19,NA,NA,NA,NA,1,1,40,47,NA,NA,0
109581082,"caixa de papelão","Cade lenço",20,12,20,1,3,NA,1,1,1,7,7,1.1547005383792515,2,2
109581082,"caixa de papelão","Cabe ventilador",20,12,21,NA,NA,NA,NA,1,1,9,9,NA,NA,0
109581082,"caixa de papelão","Cabe borracha",20,12,22,NA,NA,NA,NA,1,1,41,49,NA,NA,0
109581082,"caixa de papelão","Cabe arroz",20,12,23,1,3,NA,1,1,1,7,7,1.1547005383792515,2,2
109581082,"caixa de papelão","Cabe feijão",20,12,24,1,3,NA,1,1,1,7,7,1.1547005383792515,2,2
109581082,"caixa de papelão","Cabe macarrão",20,12,25,NA,NA,NA,NA,1,1,40,47,NA,NA,0
109581082,"tijolo","Construir casa",20,12,1,NA,NA,NA,NA,1,9,21,23,NA,NA,0
109581082,"tijolo","Tacar na cabeça dos outros",20,12,2,NA,NA,NA,NA,1,1,44,53,NA,NA,0
109581082,"tijolo","Fazer parede",20,12,3,NA,NA,NA,NA,1,10,22,24,NA,NA,0
109581082,"tijolo","Fazer calçada",20,12,4,NA,NA,NA,NA,1,1,47,57,NA,NA,0
109581082,"tijolo","Fazer postes",20,12,5,NA,NA,NA,NA,1,1,47,57,NA,NA,0
109581082,"tijolo","Fazer garagem",20,12,6,NA,NA,NA,NA,1,10,22,24,NA,NA,0
109581082,"tijolo","Fazer teto",20,12,7,NA,NA,NA,NA,1,10,22,24,NA,NA,0
109581082,"tijolo","Fazer mesa",20,12,8,NA,NA,NA,NA,1,8,17,19,NA,NA,0
