ID,prompt,response,order,rating,openness,visual_arts,music,dance,architecture,writing,humor,inventions,Scientific discovery,theater_film,culinary_arts,CAQTotal
8,علب الصفيح,تصليح حاجات,9,2,32,0,0,0,7,0,4,1,7,0,0,19
9,علب الصفيح,إعادة تدوير,1,1,41,0,1,0,0,0,1,0,0,0,1,3
9,علب الصفيح,اللعب,2,3,41,0,1,0,0,0,1,0,0,0,1,3
9,علب الصفيح,نضع فيها أشياء,3,2,41,0,1,0,0,0,1,0,0,0,1,3
9,علب الصفيح,حافظة أقلام,4,2,41,0,1,0,0,0,1,0,0,0,1,3
9,علب الصفيح,الزراعة,5,1,41,0,1,0,0,0,1,0,0,0,1,3
10,علب الصفيح,علبة علي شكل مرجيحة,1,5,44,0,0,0,0,0,0,0,0,1,1,2
10,علب الصفيح,تخزين الفاكهة,2,2,44,0,0,0,0,0,0,0,0,1,1,2
10,علب الصفيح,عمل كرسي,3,3,44,0,0,0,0,0,0,0,0,1,1,2
10,علب الصفيح,حصالة,4,1,44,0,0,0,0,0,0,0,0,1,1,2
11,علب الصفيح,إعادة تدوير,1,1,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,علب الصفيح,صنع أدوات كالمسامير,2,3,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,علب الصفيح,حصالة,3,2,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,علب الصفيح,علبة شاحن,4,3,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,علب الصفيح,شاحن,5,5,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,علب الصفيح,حافظة للمال,1,1,42,3,1,0,0,0,0,0,0,0,0,4
12,علب الصفيح,علبة لمحتويات الدراسة,2,2,42,3,1,0,0,0,0,0,0,0,0,4
12,علب الصفيح,الزينة,3,3,42,3,1,0,0,0,0,0,0,0,0,4
12,علب الصفيح,سكين للبيتزا,4,4,42,3,1,0,0,0,0,0,0,0,0,4
12,علب الصفيح,صنع خواتم,5,4,42,3,1,0,0,0,0,0,0,0,0,4
12,علب الصفيح,براية أقلام,6,5,42,3,1,0,0,0,0,0,0,0,0,4
12,علب الصفيح,صفيحة أسفل حلة الطعام,7,4,42,3,1,0,0,0,0,0,0,0,0,4
13,علب الصفيح,إعادة تدوير,1,1,38,0,4,0,0,0,0,0,0,0,0,4
13,علب الصفيح,صنع مشاريع,2,4,38,0,4,0,0,0,0,0,0,0,0,4
13,علب الصفيح,تخزين الطعام,3,2,38,0,4,0,0,0,0,0,0,0,0,4
13,علب الصفيح,بيوت للحيوانات,4,4,38,0,4,0,0,0,0,0,0,0,0,4
13,علب الصفيح,إبتكار أشكال,5,3,38,0,4,0,0,0,0,0,0,0,0,4
13,علب الصفيح,لعب للأطفال,6,4,38,0,4,0,0,0,0,0,0,0,0,4
13,علب الصفيح,وسيلة توصيل,7,4,38,0,4,0,0,0,0,0,0,0,0,4
14,علب الصفيح,صناعة أشكال,1,3,NA,2,0,0,0,1,0,1,0,0,1,5
14,علب الصفيح,سلاح للدفاع عن النفس,2,4,NA,2,0,0,0,1,0,1,0,0,1,5
14,علب الصفيح,ألعاب,3,4,NA,2,0,0,0,1,0,1,0,0,1,5
14,علب الصفيح,التخزين,4,2,NA,2,0,0,0,1,0,1,0,0,1,5
14,علب الصفيح,حصالة,5,1,NA,2,0,0,0,1,0,1,0,0,1,5
14,علب الصفيح,تقطيع الأشياء,6,4,NA,2,0,0,0,1,0,1,0,0,1,5
14,علب الصفيح,بدلة للحروب في القتال,7,5,NA,2,0,0,0,1,0,1,0,0,1,5
15,علب الصفيح,أشكال هندسية,1,5,38,0,0,0,0,0,10,0,7,0,1,18
15,علب الصفيح,عمل أطباق,2,3,38,0,0,0,0,0,10,0,7,0,1,18
15,علب الصفيح,يقدم فيها المأكولات,3,3,38,0,0,0,0,0,10,0,7,0,1,18
15,علب الصفيح,عمل تمثال,4,4,38,0,0,0,0,0,10,0,7,0,1,18
15,علب الصفيح,مشاريع توعية الأطفال,5,3,38,0,0,0,0,0,10,0,7,0,1,18
15,علب الصفيح,بيوت للحيوانات,6,3,38,0,0,0,0,0,10,0,7,0,1,18
15,علب الصفيح,عدم رميها في المخلفات,7,3,38,0,0,0,0,0,10,0,7,0,1,18
15,علب الصفيح,عمل إنسان آلي,8,3,38,0,0,0,0,0,10,0,7,0,1,18
15,علب الصفيح,إعادة تدوير السيارات,9,4,38,0,0,0,0,0,10,0,7,0,1,18
15,علب الصفيح,العملات المعدنية,10,3,38,0,0,0,0,0,10,0,7,0,1,18
16,علب الصفيح,مقلمة أقلام,1,3,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,علب الصفيح,زهرية للورود,2,3,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,علب الصفيح,التزين,3,3,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,علب الصفيح,مجسم,4,3,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,علب الصفيح,إعادة تدوير,5,4,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,علب الصفيح,جذامة للأحذية,6,3,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,علب الصفيح,عمل يدوي,1,3,42,0,0,0,0,0,6,0,1,0,0,7
17,علب الصفيح,عمل الحاجات المعلقة,2,3,42,0,0,0,0,0,6,0,1,0,0,7
17,علب الصفيح,عمل بيوت للطيور,3,3,42,0,0,0,0,0,6,0,1,0,0,7
17,علب الصفيح,إعادة تدوير,4,1,42,0,0,0,0,0,6,0,1,0,0,7
17,علب الصفيح,عمل الأثاث في المنزل كنجفة,5,3,42,0,0,0,0,0,6,0,1,0,0,7
17,علب الصفيح,مصادرتها للأسواق مره أحري,6,1,42,0,0,0,0,0,6,0,1,0,0,7
17,علب الصفيح,الوصول لمادة كيميائية  للحفاظ عليها,7,4,42,0,0,0,0,0,6,0,1,0,0,7
17,علب الصفيح,الوصلات الكهربائية,8,4,42,0,0,0,0,0,6,0,1,0,0,7
17,علب الصفيح,تخزين الطعام,9,2,42,0,0,0,0,0,6,0,1,0,0,7
17,علب الصفيح,عمل مواسير للبيوت,10,3,42,0,0,0,0,0,6,0,1,0,0,7
17,علب الصفيح,لوحة أثرية,11,4,42,0,0,0,0,0,6,0,1,0,0,7
17,علب الصفيح,تساعد الأمهات في المطبخ,12,3,42,0,0,0,0,0,6,0,1,0,0,7
18,علب الصفيح,تخزين المواد الغذائية,1,2,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,علب الصفيح,حفظ المواد المعدنية,2,2,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,علب الصفيح,إعادة تدوير,3,1,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,علب الصفيح,التقطيع,4,4,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,علب الصفيح,تخزين الأشياء,5,2,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,علب الصفيح,حفظ الإكسسوارات,6,3,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,علب الصفيح,تخزين الأموال,7,3,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,علب الصفيح,صناعة العديد من الأشياء,8,1,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,علب الصفيح,يضع بها الماء,9,3,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,علب الصفيح,في أشياء المطبخ,10,2,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,علب الصفيح,في جمع القمامات,1,3,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,علب الصفيح,إعادة تدوير,2,1,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,علب الصفيح,في جمع لعب الأطفال,3,4,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,علب الصفيح,تخزين الطعام,4,3,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,علب الصفيح,زرع أشجار فيها,5,3,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,علب الصفيح,ديكور,6,3,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,علب الصفيح,مقلمة,7,3,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,علب الصفيح,حصالة,8,3,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,علب الصفيح,تعبئة الجبنة,9,2,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,علب الصفيح,وضع العسل فيها,10,2,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,علب الصفيح,تعبئة المياة الغازية,11,2,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,علب الصفيح,إعادة تدوير,1,1,39,3,0,0,0,0,0,1,1,0,1,6
21,علب الصفيح,سلة قمامة,2,3,39,3,0,0,0,0,0,1,1,0,1,6
21,علب الصفيح,إناء للزرع,3,3,39,3,0,0,0,0,0,1,1,0,1,6
21,علب الصفيح,صندوق,4,3,39,3,0,0,0,0,0,1,1,0,1,6
21,علب الصفيح,صناعة صفائح أخري,5,1,39,3,0,0,0,0,0,1,1,0,1,6
21,علب الصفيح,أسوار مؤقتة,6,4,39,3,0,0,0,0,0,1,1,0,1,6
21,علب الصفيح,طرق إبتكارية للكهرباء,7,4,39,3,0,0,0,0,0,1,1,0,1,6
21,علب الصفيح,وضع المواد الغازية,8,2,39,3,0,0,0,0,0,1,1,0,1,6
21,علب الصفيح,تخزين الماء,9,2,39,3,0,0,0,0,0,1,1,0,1,6
21,علب الصفيح,تخزين الحبوب,10,2,39,3,0,0,0,0,0,1,1,0,1,6
23,علب الصفيح,إستخدمها في المطبخ,1,3,31,0,0,0,0,0,4,0,0,0,1,5
23,علب الصفيح,الزينة,2,3,31,0,0,0,0,0,4,0,0,0,1,5
23,علب الصفيح,مقلمة,3,3,31,0,0,0,0,0,4,0,0,0,1,5
23,علب الصفيح,عمل باب صفيح,4,4,31,0,0,0,0,0,4,0,0,0,1,5
23,علب الصفيح,نجزأها ونضعه علي التلفاز,5,3,31,0,0,0,0,0,4,0,0,0,1,5
23,علب الصفيح,التصليح,6,1,31,0,0,0,0,0,4,0,0,0,1,5
23,علب الصفيح,أشكال أخري معدنية,7,4,31,0,0,0,0,0,4,0,0,0,1,5
23,علب الصفيح,نضع بها بواقي الأشياء,8,2,31,0,0,0,0,0,4,0,0,0,1,5
23,علب الصفيح,نضع بها أشياء ونوزعها علي الفقراء,9,3,31,0,0,0,0,0,4,0,0,0,1,5
23,علب الصفيح,إناء لأكل الحيوانات والطيور,10,3,31,0,0,0,0,0,4,0,0,0,1,5
23,علب الصفيح,تصليح الأشياء التالفة,11,4,31,0,0,0,0,0,4,0,0,0,1,5
23,علب الصفيح,لعب للأطفال,12,4,31,0,0,0,0,0,4,0,0,0,1,5
23,علب الصفيح,إستخدمها في منتجات العناية,13,3,31,0,0,0,0,0,4,0,0,0,1,5
24,علب الصفيح,إعادة تدوير,1,1,40,0,0,0,0,0,0,0,0,0,0,0
24,علب الصفيح,إناء للزراعة,2,3,40,0,0,0,0,0,0,0,0,0,0,0
24,علب الصفيح,الزينة,3,3,40,0,0,0,0,0,0,0,0,0,0,0
24,علب الصفيح,وضع أدوات الخياطة بها,4,3,40,0,0,0,0,0,0,0,0,0,0,0
24,علب الصفيح,حافظة أقلام,5,3,40,0,0,0,0,0,0,0,0,0,0,0
24,علب الصفيح,أشكال كمفاتيح أو زهور,6,2,40,0,0,0,0,0,0,0,0,0,0,0
24,علب الصفيح,ساند للهاتف,7,4,40,0,0,0,0,0,0,0,0,0,0,0
25,علب الصفيح,إعادة تدوير,1,1,NA,0,0,0,0,0,0,0,0,0,0,0
25,علب الصفيح,الزينة,2,3,NA,0,0,0,0,0,0,0,0,0,0,0
25,علب الصفيح,إناء للزراعة,3,3,NA,0,0,0,0,0,0,0,0,0,0,0
25,علب الصفيح,وضع الزهور فيها,4,3,NA,0,0,0,0,0,0,0,0,0,0,0
25,علب الصفيح,وضع الطعام فيها,5,2,NA,0,0,0,0,0,0,0,0,0,0,0
25,علب الصفيح,مقلمة,6,3,NA,0,0,0,0,0,0,0,0,0,0,0
25,علب الصفيح,ديكور,7,3,NA,0,0,0,0,0,0,0,0,0,0,0
25,علب الصفيح,يضع فيها الهاتف المحمول,8,3,NA,0,0,0,0,0,0,0,0,0,0,0
26,علب الصفيح,تخزين البقوليات,1,1,36,0,0,0,0,0,0,0,0,0,0,0
26,علب الصفيح,حافظة للإكسسوارات,2,3,36,0,0,0,0,0,0,0,0,0,0,0
26,علب الصفيح,وضع الشمع فيها,3,3,36,0,0,0,0,0,0,0,0,0,0,0
26,علب الصفيح,مقلمة,4,3,36,0,0,0,0,0,0,0,0,0,0,0
26,علب الصفيح,تحويلها لمصباح,5,4,36,0,0,0,0,0,0,0,0,0,0,0
26,علب الصفيح,أناء للزراعة,6,3,36,0,0,0,0,0,0,0,0,0,0,0
26,علب الصفيح,حامل للمعالق,7,3,36,0,0,0,0,0,0,0,0,0,0,0
26,علب الصفيح,ألعاب للأطفال,8,3,36,0,0,0,0,0,0,0,0,0,0,0
26,علب الصفيح,الزينة,9,3,36,0,0,0,0,0,0,0,0,0,0,0
26,علب الصفيح,ديكور,10,2,36,0,0,0,0,0,0,0,0,0,0,0
26,علب الصفيح,منظم لأدوات الحمام,11,3,36,0,0,0,0,0,0,0,0,0,0,0
26,علب الصفيح,سلة مهملات,12,3,36,0,0,0,0,0,0,0,0,0,0,0
27,علب الصفيح,إعادة تدوير,1,1,41,0,0,0,0,0,4,0,1,0,1,6
27,علب الصفيح,صناعة علب هدايا,2,3,41,0,0,0,0,0,4,0,1,0,1,6
27,علب الصفيح,مجسمات للأطفال,3,4,41,0,0,0,0,0,4,0,1,0,1,6
27,علب الصفيح,صناديق القمامة,4,3,41,0,0,0,0,0,4,0,1,0,1,6
27,علب الصفيح,ديكور المنزل,5,3,41,0,0,0,0,0,4,0,1,0,1,6
27,علب الصفيح,حصالة,6,3,41,0,0,0,0,0,4,0,1,0,1,6
27,علب الصفيح,أشكال منها شكل حروف لتعليم الاطفال,7,4,41,0,0,0,0,0,4,0,1,0,1,6
27,علب الصفيح,إكسسوارات,8,2,41,0,0,0,0,0,4,0,1,0,1,6
27,علب الصفيح,مقاعد,9,4,41,0,0,0,0,0,4,0,1,0,1,6
27,علب الصفيح,تخزين الطعام,10,2,41,0,0,0,0,0,4,0,1,0,1,6
29,علب الصفيح,الزينة,1,3,40,0,0,0,0,4,1,2,1,0,4,12
29,علب الصفيح,إناء للزراعة,2,3,40,0,0,0,0,4,1,2,1,0,4,12
29,علب الصفيح,إعادة تدوير,3,1,40,0,0,0,0,4,1,2,1,0,4,12
29,علب الصفيح,منظم للأقلام,4,2,40,0,0,0,0,4,1,2,1,0,4,12
29,علب الصفيح,تحويلها إلي مصباح,5,3,40,0,0,0,0,4,1,2,1,0,4,12
29,علب الصفيح,إناء للزراعة,6,3,40,0,0,0,0,4,1,2,1,0,4,12
29,علب الصفيح,سلة للقمامة,7,3,40,0,0,0,0,4,1,2,1,0,4,12
29,علب الصفيح,صناعة منضدة,8,4,40,0,0,0,0,4,1,2,1,0,4,12
29,علب الصفيح,إستخدمها لطهي الطعام,9,3,40,0,0,0,0,4,1,2,1,0,4,12
29,علب الصفيح,مطفئة للحريق,10,4,40,0,0,0,0,4,1,2,1,0,4,12
31,علب الصفيح,دولاب,1,3,NA,3,0,0,0,0,0,0,0,3,1,7
31,علب الصفيح,حصالة,2,3,NA,3,0,0,0,0,0,0,0,3,1,7
31,علب الصفيح,تخزين الطعام,3,2,NA,3,0,0,0,0,0,0,0,3,1,7
31,علب الصفيح,أسطوانات وأشكال,4,4,NA,3,0,0,0,0,0,0,0,3,1,7
31,علب الصفيح,صناعة الشمع,5,3,NA,3,0,0,0,0,0,0,0,3,1,7
31,علب الصفيح,قالب,6,3,NA,3,0,0,0,0,0,0,0,3,1,7
31,علب الصفيح,ديكور,7,3,NA,3,0,0,0,0,0,0,0,3,1,7
31,علب الصفيح,كرسي أو منضدة,8,4,NA,3,0,0,0,0,0,0,0,3,1,7
31,علب الصفيح,يعرض عليها الخرائط,9,1,NA,3,0,0,0,0,0,0,0,3,1,7
31,علب الصفيح,إستخدامها كسبورة,10,1,NA,3,0,0,0,0,0,0,0,3,1,7
31,علب الصفيح,ساعة حائط,11,3,NA,3,0,0,0,0,0,0,0,3,1,7
31,علب الصفيح,شباك,12,3,NA,3,0,0,0,0,0,0,0,3,1,7
31,علب الصفيح,مرايا,13,3,NA,3,0,0,0,0,0,0,0,3,1,7
31,علب الصفيح,أداة حادة أو سكينة,14,4,NA,3,0,0,0,0,0,0,0,3,1,7
31,علب الصفيح,مروحة,15,3,NA,3,0,0,0,0,0,0,0,3,1,7
31,علب الصفيح,الزينة,16,3,NA,3,0,0,0,0,0,0,0,3,1,7
31,علب الصفيح,أدوات في المطبخ,17,3,NA,3,0,0,0,0,0,0,0,3,1,7
31,علب الصفيح,حامل للأدوات,18,4,NA,3,0,0,0,0,0,0,0,3,1,7
31,علب الصفيح,رف للكتب,19,4,NA,3,0,0,0,0,0,0,0,3,1,7
31,علب الصفيح,أباجورة,20,3,NA,3,0,0,0,0,0,0,0,3,1,7
32,علب الصفيح,تخزين الطعام,1,2,31,0,0,0,0,0,6,0,0,0,0,6
32,علب الصفيح,إعادة تدوير,2,3,31,0,0,0,0,0,6,0,0,0,0,6
32,علب الصفيح,الزينة,3,3,31,0,0,0,0,0,6,0,0,0,0,6
32,علب الصفيح,إناء للزراعة,4,3,31,0,0,0,0,0,6,0,0,0,0,6
32,علب الصفيح,لعب الأطفال,5,4,31,0,0,0,0,0,6,0,0,0,0,6
32,علب الصفيح,تدخل في صناعة السيارات,6,4,31,0,0,0,0,0,6,0,0,0,0,6
32,علب الصفيح,ديكور,7,3,31,0,0,0,0,0,6,0,0,0,0,6
32,علب الصفيح,حوض للأسماك,8,3,31,0,0,0,0,0,6,0,0,0,0,6
33,علب الصفيح,عمل منها شموع,1,3,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,علب الصفيح,مقلمة,2,3,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,علب الصفيح,منظم لأدوات  المطبخ,3,3,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,علب الصفيح,مسجل أغاني مثل الكاسيت,4,4,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,علب الصفيح,ديكور,5,3,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,علب الصفيح,حافظة,6,2,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,علب الصفيح,لعب للأطفال,7,3,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,علب الصفيح,تشكيلها لحروف,8,4,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,علب الصفيح,إناء للزراعة,9,3,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,علب الصفيح,مقلمة,1,3,36,2,0,0,0,1,8,0,0,0,1,12
34,علب الصفيح,علبة للأقلام,2,3,36,2,0,0,0,1,8,0,0,0,1,12
34,علب الصفيح,إناء للحيوانات والطيور,3,3,36,2,0,0,0,1,8,0,0,0,1,12
34,علب الصفيح,إعادة تدوير,4,1,36,2,0,0,0,1,8,0,0,0,1,12
34,علب الصفيح,علبة هدايا,5,3,36,2,0,0,0,1,8,0,0,0,1,12
34,علب الصفيح,تستخدم في المطبخ,6,2,36,2,0,0,0,1,8,0,0,0,1,12
34,علب الصفيح,ألعاب,7,2,36,2,0,0,0,1,8,0,0,0,1,12
34,علب الصفيح,توصيل الكهرباء,8,4,36,2,0,0,0,1,8,0,0,0,1,12
34,علب الصفيح,إناء للزراعة,9,3,36,2,0,0,0,1,8,0,0,0,1,12
35,علب الصفيح,إعادة تدوير,1,2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,علب الصفيح,عمل أدوات دراسية,2,3,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,علب الصفيح,ديكور,3,3,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,علب الصفيح,حصالة,4,3,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,علب الصفيح,أشكال مختلفة,5,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,علب الصفيح,تعبئة بعض المنتجات الغذائية,6,2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,علب الصفيح,كأحد مواد صناعة الحديد,7,3,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,علب الصفيح,أدوات المنزل,8,3,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,علب الصفيح,ألعاب للأطفال,9,3,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,علب الصفيح,للتصدير للخارج,10,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,علب الصفيح,إناء للزراعة,11,3,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,علب الصفيح,إعادة تدوير,1,1,NA,0,3,8,0,0,4,0,1,0,0,16
38,علب الصفيح,حفظ المواد المختلفة,2,2,NA,0,3,8,0,0,4,0,1,0,0,16
38,علب الصفيح,الزينة,3,3,NA,0,3,8,0,0,4,0,1,0,0,16
38,علب الصفيح,وضع الشمعة فيها للإنارة,4,4,NA,0,3,8,0,0,4,0,1,0,0,16
38,علب الصفيح,مقلمة أقلام,5,3,NA,0,3,8,0,0,4,0,1,0,0,16
38,علب الصفيح,لعب الأطفال,6,3,NA,0,3,8,0,0,4,0,1,0,0,16
38,علب الصفيح,حفظ الطعام,7,2,NA,0,3,8,0,0,4,0,1,0,0,16
40,علب الصفيح,وضع بها نوع من الكريمات,1,3,43,0,0,0,0,1,3,1,7,0,1,13
40,علب الصفيح,عمل الطعام,2,3,43,0,0,0,0,1,3,1,7,0,1,13
40,علب الصفيح,استخدامها للجلوس,3,4,43,0,0,0,0,1,3,1,7,0,1,13
40,علب الصفيح,في التنظيف,4,4,43,0,0,0,0,1,3,1,7,0,1,13
40,علب الصفيح,إناء للزراعة,5,3,43,0,0,0,0,1,3,1,7,0,1,13
40,علب الصفيح,الزينة,6,3,43,0,0,0,0,1,3,1,7,0,1,13
