"ID","prompt","response","set","lab","rater1","rater2","rater3"
96,"газета","Вырезки из газеты - фотографии разных политиков, чтобы запомнить как кого зовут",21,13,3,5,4
97,"газета","Вырезки можно использовать для коллажа",21,13,3,3,2
98,"газета","Вырезки украсить",21,13,3,2,2
99,"газета","Вытереть, промакнуть",21,13,3,3,2
100,"газета","Вытереться, когда нет полотенца",21,13,3,3,2
101,"газета","Вытирание мокрого пола",21,13,3,3,2
102,"газета","Вытирать поверхности стёкол, зеркал",21,13,3,3,2
103,"газета","Газета + скотч = мяч для игры",21,13,3,4,2
104,"газета","Гербарий",21,13,4,4,3
105,"газета","Гирлянда",21,13,4,2,3
106,"газета","Головной убор",21,13,2,3,2
107,"газета","Головной убор",21,13,2,3,2
108,"газета","Головной убор",21,13,2,3,2
109,"газета","Горка для запускания машинок и пр.",21,13,4,4,4
110,"газета","Город для микроскопических людей",21,13,5,1,3
111,"газета","Греться",21,13,3,3,2
112,"газета","Дать ребёнку, чтобы зачерикивал всё и чтобы потом проверить его концентрацию внимания",21,13,5,5,5
113,"газета","Декор/изготовление чего-то другого",21,13,3,2,2
114,"газета","Декорации, оформление интерьера",21,13,3,3,2
115,"газета","Делать заметки (черновик)",21,13,2,1,2
116,"газета","Делать из неё снежинки на ёлку",21,13,3,2,2
117,"газета","Делать оригами",21,13,2,3,2
118,"газета","Делать оригами для детей",21,13,2,3,2
119,"газета","Делать оригинальные костюмы (усовершенствованная шапочка для ремонта)",21,13,2,3,3
120,"газета","Делать самолётики и кораблики",21,13,2,3,2
121,"газета","Делать шарики для игры",21,13,2,3,2
122,"газета","Держатель для пакета",21,13,4,1,3
123,"газета","Детективная история: ключи в двери, газету под дверь, вытащить их",21,13,4,5,3
124,"газета","Дизайн для маникюра",21,13,3,3,2
125,"газета","Дизайн комнаты",21,13,3,2,2
126,"газета","Дизайн одежды, аксессуаров",21,13,3,2,2
127,"газета","Дизайн стола (обклеить газетами)",21,13,3,3,2
128,"газета","Дизайнерское украшение (постер)",21,13,3,3,2
129,"газета","Для гербария",21,13,4,4,3
130,"газета","Для гербария (сушить цветы и листья)",21,13,4,4,3
131,"газета","Для задания - на речь в актёрском вузе",21,13,5,5,4
132,"газета","Для коллажа",21,13,3,3,2
133,"газета","Для маникюра",21,13,3,3,2
134,"газета","Для маникюра",21,13,3,3,2
135,"газета","Для маникюра (отпечатывать текст)",21,13,3,3,2
136,"газета","Для обучения иностранным языкам (две газеты с одинаковой информацией на двух языках)",21,13,5,4,4
137,"газета","Для папье-маше",21,13,2,3,2
138,"газета","Для проверки скорости чтения",21,13,1,2,4
139,"газета","Для просушки гербариев - прослойка из газет",21,13,4,4,3
140,"газета","Для создания различных предметов быта (газетного блюдца, тарелки). Возможно использование не одной газеты",21,13,3,3,3
141,"газета","Для создания элемента декора",21,13,3,2,2
142,"газета","Для составления поэтического текста из слов",21,13,4,3,4
143,"газета","Для творчества (на посуде, поделках)",21,13,3,3,2
144,"газета","Для тренировки памяти",21,13,5,4,4
145,"газета","Для художественных целей, переводить текст на полотна",21,13,5,4,4
146,"газета","Для цветов обёртка",21,13,2,3,2
147,"газета","Для шпиона - прикрыться газетой",21,13,4,4,2
148,"газета","Документ в исследованиях культуры",21,13,4,5,3
149,"газета","Дом",21,13,2,1,2
150,"газета","Дом для животного",21,13,3,2,3
151,"газета","Домик для домашнего животного",21,13,3,2,3
152,"газета","Дополнить дизайн комнаты",21,13,3,2,2
153,"газета","Достать далёкий предмет",21,13,2,4,4
154,"газета","Дубинка",21,13,3,3,3
155,"газета","Еда для старых противных мужиков в очках",21,13,3,1,3
156,"газета","Ёлочка бумажная",21,13,2,3,2
157,"газета","Если можно покрасить руки и лицо в чёрный (газеты красятся)",21,13,3,4,4
158,"газета","Если она на иностранном языке - учить слова из неё",21,13,5,3,4
159,"газета","Если рвать газету можно извлечь оригинальный звук",21,13,4,4,4
160,"газета","Есть газету",21,13,1,1,3
161,"газета","Есть её, когда голодный",21,13,1,1,3
162,"газета","Жалюзи для окон",21,13,3,3,2
163,"газета","Жвачка из газеты",21,13,1,4,4
164,"газета","Житейские ситуации",21,13,1,1,1
165,"газета","Завернуть",21,13,2,2,2
166,"газета","Завернуть",21,13,2,2,2
167,"газета","Завернуть в неё огурец",21,13,2,2,2
168,"газета","Завернуть в неё подарок",21,13,2,3,2
169,"газета","Завернуть в неё посуду, чтобы не разбилась",21,13,2,2,2
170,"газета","Завернуть овощи, чтобы не гнили",21,13,2,2,2
171,"газета","Завернуть подарок",21,13,2,3,2
172,"газета","Завернуть цветы",21,13,2,2,2
173,"газета","Завернуть цветы",21,13,2,2,2
174,"газета","Завернуть что-либо",21,13,2,2,2
175,"газета","Заворачивание хрупких предметов",21,13,2,2,2
176,"газета","Заворачивать еду",21,13,2,2,2
177,"газета","Заворачивать подарки",21,13,2,3,2
178,"газета","Заворачивать рыбу (вяленую)",21,13,2,2,2
179,"газета","Загородка от солнца",21,13,3,3,2
180,"газета","Закладка для книги",21,13,3,2,4
181,"газета","Закладка из полоски газетной",21,13,3,3,4
182,"газета","Заклеивать окна",21,13,2,2,2
183,"газета","Заклеивать окна (как шторы)",21,13,3,2,2
184,"газета","Заклеить окна",21,13,2,2,2
185,"газета","Заклеить окна (+ вода)",21,13,2,2,2
186,"газета","Заклеить окна в качестве штор",21,13,3,2,2
187,"газета","Заклеить окно, чтобы солнце по утрам не светило в глаза и не будило",21,13,3,3,2
188,"газета","Заклеить что-нибудь/ прикрыть / спрятать",21,13,3,3,2
189,"газета","Закрывать лицо во время сна",21,13,3,4,3
190,"газета","Закрываться от дождя",21,13,3,3,2
191,"газета","Закрываться от света",21,13,3,3,2
192,"газета","Закрываться от света/солнца",21,13,3,3,2
193,"газета","Закрыться от солнца",21,13,3,3,2
194,"газета","Залить газету кофе, высушить и использовать как декоративный предмет",21,13,4,3,4
195,"газета","Замена элементов одежды",21,13,2,3,2
196,"газета","Замесить папье-маше",21,13,2,3,2
197,"газета","Занавесить ею окна",21,13,3,3,2
198,"газета","Занавесить окна",21,13,3,3,2
199,"газета","Занавесить что-нибудь при строительных работах",21,13,3,2,2
200,"газета","Занавеска для ванной",21,13,3,2,2
201,"газета","Занавеска для окна",21,13,3,3,2
202,"газета","Занавески",21,13,3,3,2
203,"газета","Занавески на окна",21,13,3,3,2
204,"газета","Заплатка",21,13,3,4,3
205,"газета","Заполнить чемодан, чтобы в процессе транспортировки его стенки не сломались",21,13,4,4,3
206,"газета","Застелить на мебель, чтобы не пачкалась",21,13,3,2,2
207,"газета","Засунуть в обувь, чтобы впитали влагу",21,13,2,3,2
208,"газета","Засунуть в промокшие ботинки и просушить их",21,13,2,3,2
209,"газета","Заталкивать в обувь",21,13,2,2,2
210,"газета","Заткнуть в дверь, чтоб была открыта",21,13,3,3,3
211,"газета","Заткнуть дырки в окнах",21,13,2,3,3
212,"газета","Защита для предплечья",21,13,3,1,3
213,"газета","Защита мебели при ремонте",21,13,3,2,2
214,"газета","Защита от дождя",21,13,3,2,2
215,"газета","Защита от дождя",21,13,3,2,2
216,"газета","Защита от солнца",21,13,3,3,2
217,"газета","Защищать хрупкие предметы от ломки",21,13,2,2,2
218,"газета","Зонтик",21,13,3,2,2
219,"газета","Играть в снежки смятые кусками",21,13,3,3,2
220,"газета","Игрушка для кота",21,13,4,4,2
221,"газета","Игрушка от стресса (рвать её)",21,13,5,5,3
222,"газета","Игрушка: кораблик, самолётик",21,13,2,3,2
223,"газета","Из большого количества можно сделать полки",21,13,3,1,3
224,"газета","Из газет можно шить одежду (я полагаю). Складывать их в несколько слоёв, добавлять химическую добавку для твердения",21,13,3,4,2
225,"газета","Изготавливать дымовушки",21,13,4,4,4
226,"газета","Изготовить абажур",21,13,4,4,4
227,"газета","Измерение (мера длины)",21,13,5,4,4
228,"газета","Имитация дождя",21,13,5,5,4
229,"газета","Инструмент для создания звука (рвущейся бумаги)",21,13,4,4,4
230,"газета","Использование в качестве декора",21,13,3,2,2
231,"газета","Использование в качестве попоны",21,13,4,3,4
232,"газета","Использование коллажах",21,13,3,3,2
233,"газета","Использовать в интерьере",21,13,3,2,2
234,"газета","Использовать в качестве ""скатерти"" при покраске",21,13,3,2,2
235,"газета","Использовать в качестве головного убора",21,13,2,3,2
236,"газета","Использовать в качестве обложки для книги",21,13,4,3,3
237,"газета","Использовать в качестве переводилки узора на ногти",21,13,3,3,3
238,"газета","Использовать вместо зонта (одноразового)",21,13,3,3,3
239,"газета","Использовать вместо хлопушки для мух",21,13,2,2,3
240,"газета","Использовать для декора (вместо обоев)",21,13,3,3,3
241,"газета","Использовать для какого-нибудь эффекта в фотографии, прицепив в виде трубки на объектив",21,13,5,5,5
242,"газета","Использовать для тупых конкурсов (танцы на газете; кто быстрее порвёт её и т. д.)",21,13,5,5,4
243,"газета","Использовать для шпаргалок",21,13,4,2,4
244,"газета","Использовать как бумагу для табака",21,13,4,4,4
245,"газета","Использовать как веер",21,13,2,3,2
246,"газета","Использовать как веер",21,13,2,3,2
247,"газета","Использовать как веер",21,13,2,3,2
248,"газета","Использовать как воротник при покраске головы",21,13,4,4,4
249,"газета","Использовать как дизайн для маникюра (замочить в спирте)",21,13,3,3,2
250,"газета","Использовать как духи",21,13,4,1,1
251,"газета","Использовать как звуки (натяжение, шорох)",21,13,3,4,4
252,"газета","Использовать как зонт от дождя",21,13,3,2,2
253,"газета","Использовать как зонт под дождём",21,13,3,2,2
254,"газета","Использовать как маску для лица (омолаживающее действие мокрой целлюлозы - маркетинг)",21,13,5,5,5
255,"газета","Использовать как мольберт для рисования",21,13,2,4,4
256,"газета","Использовать как мухобойку",21,13,2,2,2
257,"газета","Использовать как обои",21,13,2,2,2
258,"газета","Использовать как подарочную бумагу",21,13,3,3,2
259,"газета","Использовать как подзорную трубу",21,13,3,3,2
260,"газета","Использовать как подзорную трубу",21,13,3,3,2
261,"газета","Использовать как пончо",21,13,4,3,3
262,"газета","Использовать как предмет для знакомства",21,13,4,4,4
263,"газета","Использовать как раскраску",21,13,3,3,4
264,"газета","Использовать как салфетки",21,13,3,3,2
265,"газета","Использовать как скатерть",21,13,3,2,2
266,"газета","Использовать как скатерть",21,13,3,2,2
267,"газета","Использовать как стакан",21,13,4,2,3
268,"газета","Использовать как удобрение",21,13,4,5,4
269,"газета","Использовать как шаблон для обоев (трафарет)",21,13,3,3,3
270,"газета","Использовать картинки из газеты для теста на креативность",21,13,4,4,5
271,"газета","Использовать комки газеты в качестве набивки",21,13,4,4,3
272,"газета","Использовать при уборке вместо тряпки",21,13,3,3,2
273,"газета","Использовать статьи на уроках русского",21,13,4,4,4
274,"газета","Как блокнот, тетрадь",21,13,2,1,2
275,"газета","Как веер",21,13,2,3,2
276,"газета","Как веер",21,13,2,3,2
277,"газета","Как игрушка для собаки",21,13,4,3,2
278,"газета","Как обложка",21,13,3,3,3
279,"газета","Как обои использовать",21,13,2,2,2
280,"газета","Как оригами",21,13,2,3,2
281,"газета","Как оружие",21,13,4,2,3
282,"газета","Как плакат на стену",21,13,2,3,3
283,"газета","Как подарок",21,13,2,1,3
284,"газета","Как подложка для маникюра (под лак)",21,13,3,3,3
285,"газета","Как резинка для волос",21,13,3,1,4
286,"газета","Как стельки и др., впитывающие воду",21,13,4,3,2
287,"газета","Как туалетная бумага",21,13,2,2,2
288,"газета","Как факел",21,13,4,3,3
289,"газета","Как фильтровальную  бумагу в химии",21,13,4,4,3
290,"газета","Как шляпа",21,13,2,3,2
291,"газета","Как шторы, перегородки",21,13,3,3,2
292,"газета","Как элемент декора поверхностей (столы, стулья, пол)",21,13,3,3,2
293,"газета","Карикатуры рисовать",21,13,3,1,2
294,"газета","Картина",21,13,3,2,3
295,"газета","Картина на стену (коллаж)",21,13,3,3,3
296,"газета","Кататься на ней с горы (зимой, по снегу/льду)",21,13,4,4,4
297,"газета","Кепка",21,13,2,3,3
298,"газета","Кидаться типа снежками",21,13,3,3,2
299,"газета","Клей (если размочить)",21,13,3,4,3
300,"газета","Клеить обои",21,13,2,2,2
301,"газета","Ковёр",21,13,3,2,3
302,"газета","Ковёр-самолёт",21,13,1,1,3
303,"газета","Ковёр-самолёт для хомячка",21,13,3,1,3
304,"газета","Коворкинг (материал)",21,13,3,1,1
305,"газета","Коврик для медитации",21,13,5,4,4
306,"газета","Коврик для мыши",21,13,3,4,4
307,"газета","Коллаж (материал)",21,13,3,3,2
308,"газета","Компонент пищи для целлюлозо перерабатывающих тараканов и термитов (террариумистика)",21,13,3,5,4
309,"газета","Конверт",21,13,2,3,3
310,"газета","Конверт",21,13,2,3,3
311,"газета","Конструирование различных предметов из туго свёрнутых газетных трубочек (корзинка, например)",21,13,4,4,4
312,"газета","Конфетти",21,13,4,4,3
313,"газета","Конфетти",21,13,4,4,3
314,"газета","Конфетти",21,13,4,4,3
315,"газета","Конфетти (если нарезать)",21,13,4,4,3
316,"газета","Кораблик",21,13,2,3,2
317,"газета","Кораблик",21,13,2,3,2
318,"газета","Кораблик (оригами)",21,13,2,3,2
319,"газета","Кораблик (плавательное средство)",21,13,2,3,2
320,"газета","Кораблик из бумаги (игрушка)",21,13,2,3,2
321,"газета","Кораблик, сложить самолётик",21,13,2,3,2
322,"газета","Коробка",21,13,3,3,3
323,"газета","Коробка под другие газеты",21,13,3,3,3
324,"газета","Корона",21,13,3,3,3
325,"газета","Косметичка",21,13,3,3,3
326,"газета","Костюм",21,13,4,2,2
327,"газета","Кошелёк",21,13,4,3,3
328,"газета","Краска",21,13,1,3,4
329,"газета","Крышка от солнца",21,13,3,3,2
330,"газета","Кулёк",21,13,3,2,2
331,"газета","Кулёк для семечек",21,13,3,2,2
332,"газета","Кулёк для семечек",21,13,3,2,2
333,"газета","Кулёк для семечек",21,13,3,2,2
334,"газета","Кусочки бумаги в маникюре",21,13,3,3,2
335,"газета","Ламинировать и крыть крышу",21,13,4,5,3
336,"газета","Линейка",21,13,5,3,4
337,"газета","Любые варианты посуды",21,13,3,3,3
338,"газета","Макет",21,13,5,3,3
339,"газета","Манекен",21,13,4,1,3
340,"газета","Манерная шапочка",21,13,2,3,3
341,"газета","Маска",21,13,3,4,3
342,"газета","Маскировка объекта",21,13,3,4,2
343,"газета","Материал для аппликаций, интересного оформления",21,13,2,3,2
344,"газета","Материал для зашифровки посланий - вырезать буквы",21,13,4,5,2
345,"газета","Материал для изготовления транспортного средства",21,13,3,1,3
346,"газета","Материал для коллажей",21,13,3,3,2
347,"газета","Материал для обучения нейро-сетей по распознаванию текста",21,13,5,5,5
348,"газета","Материал для оригами",21,13,2,3,2
349,"газета","Материал для оригами",21,13,2,3,2
350,"газета","Материал для оригами",21,13,2,3,2
351,"газета","Материал для оригами",21,13,2,3,2
352,"газета","Материал для оригами",21,13,2,3,2
353,"газета","Материал для отлива нового листа бумаги",21,13,2,2,3
354,"газета","Материал для папье-маше",21,13,2,3,2
355,"газета","Материал для поделок",21,13,2,3,2
356,"газета","Материал для розжига (вместо бересты)",21,13,2,2,2
357,"газета","Материал для собирания коллажной композиции",21,13,3,3,3
358,"газета","Материал для создания аппликаций",21,13,2,3,2
359,"газета","Материал для строительства картонного домика",21,13,3,1,3
360,"газета","Материал для творчества",21,13,1,3,2
361,"газета","Материал для украшений (новогодние шары, конфетти)",21,13,3,4,2
362,"газета","Матрац в стиле газеты",21,13,3,1,3
363,"газета","Махать от комаров",21,13,2,2,2
364,"газета","Мебель",21,13,2,1,2
365,"газета","Мера площади и т. д.",21,13,4,4,4
366,"газета","Мерить прямые углы",21,13,4,4,4
367,"газета","Место для записи заметок, помарок",21,13,2,1,2
368,"газета","Метод воспитательного воздействия (бить по голове)",21,13,3,3,3
369,"газета","Меч",21,13,3,3,3
370,"газета","Меч",21,13,3,3,3
371,"газета","Миска из газеты",21,13,3,3,3
372,"газета","Моделирование (папье)",21,13,2,3,3
373,"газета","Можно использовать вместо картин или обоев",21,13,2,2,2
374,"газета","Можно использовать для декупажа/декора",21,13,3,3,2
375,"газета","Можно сделать коллаж",21,13,3,3,2
376,"газета","Можно сделать кораблик/оригами - можно лодку, которая выдержит человека",21,13,2,3,3
377,"газета","Можно сделать одноразовую одежду",21,13,2,3,2
378,"газета","Можно складывать различные фигурки, с помощью которых можно рассказать сказку",21,13,5,5,4
379,"газета","Можно составить поздравление (сделать открытку), используя заголовки",21,13,3,4,4
380,"газета","Музыкальный инструмент (ей можно стучать ритм или дудеть в свёрнутую)",21,13,4,4,4
381,"газета","Муку бить",21,13,3,1,2
382,"газета","Мухобойка",21,13,2,2,2
383,"газета","Мухобойка",21,13,2,2,2
384,"газета","Мухобойка",21,13,2,2,2
385,"газета","Мухобойка",21,13,2,2,2
386,"газета","Мухобойка",21,13,2,2,2
387,"газета","Мухобойка",21,13,2,2,2
388,"газета","Мухобойка",21,13,2,2,2
389,"газета","Мухобойка",21,13,2,2,2
390,"газета","Мухобойка",21,13,2,2,2
391,"газета","Мыть окна",21,13,3,3,2
392,"газета","Мыть окна",21,13,3,3,2
393,"газета","Мыть окна",21,13,3,3,2
394,"газета","Мытьё окон",21,13,3,3,2
395,"газета","Мытьё посуды",21,13,3,3,3
396,"газета","Мытьё стёкол/окон",21,13,3,3,2
397,"газета","Мяч для игры",21,13,3,3,2
398,"газета","Мячик для игр",21,13,3,3,2
399,"газета","На боксёрском поединке носить",21,13,3,1,4
400,"газета","Набивать обувь, чтобы её высушить",21,13,3,3,2
401,"газета","Наблюдать как она намокает и высыхает (эстетическое + любопытство)",21,13,4,4,4
402,"газета","Наволочка",21,13,3,4,3
403,"газета","Нагревать - чернила отпечатываются",21,13,4,4,3
404,"газета","Надеть (как варежки)",21,13,3,3,3
405,"газета","Наклейки для маникюра",21,13,3,3,2
406,"газета","Наклеить как обои",21,13,2,3,2
407,"газета","Накрывать мебель во время ремонта",21,13,3,2,2
408,"газета","Накрыться во время дождя",21,13,3,3,2
409,"газета","Наносить на другие поверхности",21,13,2,1,2
410,"газета","Написать кому-либо анонимное послание с помощью вырезанных из газеты слов",21,13,5,4,2
411,"газета","Написать письмо незнакомцу, обводя буквы",21,13,5,3,2
412,"газета","Наполнитель",21,13,3,3,2
413,"газета","Наполнитель",21,13,3,3,2
414,"газета","Наполнитель для кошачьего туалета",21,13,3,4,2
415,"газета","Наполнитель для кошачьего туалета",21,13,3,4,2
416,"газета","Нарезать и набить бумагой детские игрушки",21,13,3,4,3
417,"газета","Насухо вытереть зеркало при уборке",21,13,3,3,2
418,"газета","Начертать линию вдоль края газеты (как линейка)",21,13,3,4,4
419,"газета","Нестандартные коврики и подложки под что-либо (напр., ешь и читаешь со скатерти)",21,13,5,4,3
420,"газета","Нетривиальное использование",21,13,1,1,1
421,"газета","Новость становится информацией",21,13,1,1,1
422,"газета","Обводить фото в газете маркером, чтобы казалось, что все картинки нарисованы",21,13,4,1,3
423,"газета","Обвязать ею",21,13,2,2,1
424,"газета","Обернуть банки/вазы, чтобы не было видно, что внутри",21,13,3,2,3
425,"газета","Обернуть вокруг ручек пакета, чтобы не резались пальцы",21,13,4,4,3
426,"газета","Обернуть предмет в посылке",21,13,3,2,2
427,"газета","Обернуть стеклянные вещи",21,13,3,2,2
428,"газета","Обёртка",21,13,3,2,2
429,"газета","Обёртка для подарка",21,13,3,3,2
430,"газета","Обёртка для чего-то",21,13,3,2,2
431,"газета","Обклеивание стен",21,13,3,2,2
432,"газета","Обклеивание стен вместо обоев",21,13,2,2,2
433,"газета","Обклеить деньги и положить на самое видное место = тайник",21,13,5,5,4
434,"газета","Обклеить комнату вместо дизайнерских обоев",21,13,2,3,3
435,"газета","Обклеить ручки и написать нужную информацию = шпаргалка",21,13,5,4,4
436,"газета","Обклеить стены",21,13,2,2,2
437,"газета","Обклеить стены",21,13,2,2,2
438,"газета","Обклеить стены вместо обоев",21,13,2,2,2
439,"газета","Обложка для тетради",21,13,3,3,3
440,"газета","Обмахиваться",21,13,2,3,2
441,"газета","Обмахиваться",21,13,2,3,2
442,"газета","Обои",21,13,2,2,2
443,"газета","Обои",21,13,2,2,2
444,"газета","Обои",21,13,2,2,2
445,"газета","Обои",21,13,2,2,2
446,"газета","Обои",21,13,2,2,2
447,"газета","Обои",21,13,2,2,2
448,"газета","Обои",21,13,2,2,2
449,"газета","Обои",21,13,2,2,2
450,"газета","Обои",21,13,2,2,2
451,"газета","Обои",21,13,2,2,2
452,"газета","Обои",21,13,2,2,2
453,"газета","Обои",21,13,2,2,2
454,"газета","Обои для комнаты",21,13,2,2,2
455,"газета","Обои для стен",21,13,2,2,2
456,"газета","Обои из газет",21,13,2,2,2
457,"газета","обои на стены",21,13,2,2,2
458,"газета","Оборачивать книги, подарки",21,13,3,2,2
459,"газета","Оборачивать цветы",21,13,2,2,2
460,"газета","Обувь",21,13,3,2,2
461,"газета","Обувь",21,13,3,2,2
462,"газета","Оглавление (использование шрифта)",21,13,4,1,1
463,"газета","Одежда",21,13,2,2,2
464,"газета","Одежда",21,13,2,2,2
465,"газета","Одежда",21,13,2,2,2
466,"газета","Одежда",21,13,2,2,2
467,"газета","Одежда",21,13,2,2,2
468,"газета","Одежда",21,13,2,2,2
469,"газета","Одежда (элемент одежды)",21,13,2,2,2
470,"газета","Одежда в принципе",21,13,2,2,2
471,"газета","Одежда из газет",21,13,2,2,2
472,"газета","Одежда из этого материала",21,13,2,2,2
473,"газета","Одежду",21,13,2,2,2
474,"газета","Одеялко для игрушечного котика",21,13,3,3,3
475,"газета","Одеяло",21,13,4,3,2
476,"газета","Одеяло",21,13,4,3,2
477,"газета","Одеяло",21,13,4,3,2
478,"газета","Оклеивание стен",21,13,2,2,2
479,"газета","Оклеивать стены типографии",21,13,3,3,3
480,"газета","Окно",21,13,1,1,2
481,"газета","Опахало",21,13,2,3,2
482,"газета","Опахало",21,13,2,3,2
483,"газета","Оригами",21,13,2,3,2
484,"газета","Оригами",21,13,2,3,2
485,"газета","Оригами",21,13,2,3,2
486,"газета","Оригами",21,13,2,3,2
487,"газета","Оригами",21,13,2,3,2
488,"газета","Оригами",21,13,2,3,2
489,"газета","Оригами",21,13,2,3,2
490,"газета","Оригами",21,13,2,3,2
491,"газета","Оригами из неё",21,13,2,3,2
492,"газета","Орудие для убийства (насекомых)",21,13,2,2,3
493,"газета","Орудие самообороны (свёрнутая)",21,13,4,3,3
494,"газета","Оружие (скомкать)",21,13,4,3,3
495,"газета","Основание под обои",21,13,2,2,2
