ID,prompt,response,coder1,coder2,coder3,coder4,coder5,C-act,C-ach
29,bouteille,Massues (cirque),0,2,1,1,1,43,55
29,couteau,Club de golf,3,1,1,3,2,43,55
29,couteau,fléchette,2,2,1,1,1,43,55
29,pneu,balançoire,0,2,3,1,1,43,55
29,pneu,hula hoop,1,1,1,1,2,43,55
31,bouteille,piège,2,1,2,1,0,63,48
31,bouteille,Sablier,3,3,3,2,1,63,48
31,couteau,Tondeuse,2,2,1,2,1,63,48
31,couteau,tournevis,1,2,1,0,1,63,48
31,pneu,Bateau,2,2,4,2,3,63,48
31,pneu,protection,0,2,1,1,2,63,48
32,bouteille,collectible,1,1,1,2,0,61,79
32,bouteille,terrarium,2,2,2,3,1,61,79
32,couteau,collectible,1,1,0,1,0,61,79
32,couteau,grattoir,3,1,2,2,1,61,79
32,pneu,monnaie,4,0,4,2,3,61,79
32,pneu,moyen de locomotion,1,1,1,0,2,61,79
33,bouteille,gilet de sauvetage,2,3,3,3,3,75,127
33,bouteille,téléphone pour enfant,2,2,2,3,2,75,127
33,couteau,paratonnerre,2,3,3,4,3,75,127
33,couteau,tournevis,1,2,1,0,1,75,127
33,pneu,gomme,1,0,1,1,1,75,127
33,pneu,trampoline,2,1,3,1,3,75,127
35,bouteille,à la mer,1,1,1,0,0,32,100
35,bouteille,d'eau,0,0,0,0,0,32,100
35,couteau,crustacés,1,0,1,1,2,32,100
35,couteau,survie,0,1,0,0,0,32,100
35,pneu,haltère,2,2,1,2,3,32,100
35,pneu,voiture,0,0,0,0,1,32,100
36,bouteille,bateau,4,3,2,3,3,15,10
36,bouteille,instrument,3,3,4,2,1,15,10
36,couteau,cale porte,2,2,1,3,1,15,10
36,couteau,miroir,2,2,2,3,3,15,10
36,pneu,balançoire,0,2,3,1,1,15,10
36,pneu,bouée,1,3,1,1,2,15,10
37,bouteille,bougeoir,1,1,2,0,1,41,65
37,bouteille,servir de flotteur,2,2,3,2,3,41,65
37,couteau,pour chausser ses chaussures,3,3,2,3,1,41,65
37,couteau,servir de pont a des fourmis,4,3,2,4,3,41,65
37,pneu,parer des mouvements de gym,2,2,1,1,2,41,65
37,pneu,pochoir,4,1,3,3,2,41,65
38,bouteille,alarme,1,2,3,3,1,33,1
38,bouteille,vitre,1,1,1,1,1,33,1
38,couteau,décorer,0,3,2,1,2,33,1
38,couteau,se raser,3,1,0,1,1,33,1
38,pneu,chaise,1,3,2,1,3,33,1
38,pneu,protection,0,2,1,1,2,33,1
39,bouteille,récupérer les étiquettes pour s'en servir de papier,4,1,1,4,2,40,84
39,bouteille,remplir avec un certain volume d'eau pour faire une note précise en soufflant,3,2,2,3,2,40,84
39,couteau,en mettre beaucoup dans un sac pour s'en servir d'altères ou de leste pour la plongée,3,2,1,4,3,40,84
39,couteau,s'en servir pour mesurer des distances,3,2,2,4,2,40,84
39,pneu,des étagères en les fixant les uns aux autres,3,3,3,2,3,40,84
39,pneu,faire fondre dans un moule pour faire des objets,1,4,4,1,3,40,84
40,bouteille,enceinte,4,2,3,1,2,14,19
40,bouteille,sextoy,3,2,2,4,1,14,19
40,couteau,lime à ongle,4,1,2,1,1,14,19
40,couteau,pinceau,2,2,4,1,1,14,19
40,pneu,ceinture,3,2,4,1,3,14,19
40,pneu,cible,2,1,1,1,2,14,19
41,bouteille,construire un bateau,4,3,2,3,3,55,78
41,bouteille,moule pour faire des gâteaux,2,2,3,2,2,55,78
41,couteau,créer des bijoux,3,2,3,3,3,55,78
41,couteau,utiliser comme une antenne,2,3,3,3,1,55,78
41,pneu,feu pour se réchauffer,0,1,2,1,2,55,78
41,pneu,utiliser comme siège ou canapé,1,4,2,1,3,55,78
42,bouteille,instrument,3,3,4,2,1,77,107
42,bouteille,messager,1,1,1,0,0,77,107
42,couteau,bijou,3,2,3,3,3,77,107
42,couteau,peigne,3,1,2,2,1,77,107
42,pneu,décoration,2,1,0,1,2,77,107
42,pneu,toilette,3,1,4,3,2,77,107
43,bouteille,maracas,3,2,3,2,1,56,52
43,bouteille,sonnette,2,2,3,2,2,56,52
43,couteau,clé,1,1,2,2,0,56,52
43,couteau,peigne,3,1,2,2,1,56,52
43,pneu,bouclier,2,3,4,1,3,56,52
43,pneu,parapluie,1,1,4,2,2,56,52
44,bouteille,instrument de musique,3,3,4,2,1,47,79
44,bouteille,piège à guêpe,2,1,2,1,0,47,79
44,couteau,coquillage,1,0,1,1,2,47,79
44,couteau,graveur pour gravure,1,1,2,0,0,47,79
44,pneu,cachette,3,1,1,2,2,47,79
44,pneu,table basse,1,4,2,1,2,47,79
45,bouteille,message à la mer,1,1,1,0,0,49,120
45,bouteille,musique,3,3,4,2,1,49,120
45,couteau,cuisine,0,0,0,0,0,49,120
45,couteau,tournevis,1,2,1,0,1,49,120
45,pneu,bouée,1,3,1,1,2,49,120
45,pneu,pot de fleur,0,3,2,1,2,49,120
46,bouteille,instrument de musique,3,3,4,2,1,89,155
46,bouteille,matériaux textile,4,2,3,4,4,89,155
46,couteau,calame,2,2,4,1,1,89,155
46,couteau,fonte,3,2,3,3,3,89,155
46,pneu,"La performance avec ""ça roule?"" inutile mais drôle si bien placé",4,1,4,2,3,89,155
46,pneu,réservoir,2,3,3,2,2,89,155
47,bouteille,cache pot de fleur,2,1,2,1,1,55,68
47,bouteille,démarrer un feu,4,2,1,1,2,55,68
47,couteau,porte manteau enfonce dans quelque chose,4,3,2,4,2,55,68
47,couteau,rehausseur de table,2,2,1,3,3,55,68
47,pneu,matériel sac,2,3,4,2,2,55,68
47,pneu,pied de parasol,1,2,2,2,1,55,68
48,bouteille,fabriquer une maison,4,3,2,2,3,49,42
48,bouteille,faire un jardin suspendu,4,3,3,3,2,49,42
48,couteau,accrocher un poster au mur,3,1,1,3,1,49,42
48,couteau,graver ses initiales sur une table,2,1,0,1,0,49,42
48,pneu,fabriquer un fauteuil,1,4,2,1,3,49,42
48,pneu,faire un parcours de karting,1,1,0,0,2,49,42
49,bouteille,écouter à travers,1,1,1,2,0,41,52
49,bouteille,parler dedans,1,2,3,2,2,41,52
49,couteau,faire de la musique avec,4,3,3,3,2,41,52
49,couteau,faire une sculpture en bois,2,1,2,0,0,41,52
49,pneu,construire un bateau,2,2,4,2,3,41,52
49,pneu,fabriquer un pot de fleur,0,3,2,1,2,41,52
50,bouteille,filtre photographique,4,3,4,4,2,58,196
50,bouteille,filtre sonore,2,2,3,2,2,58,196
50,couteau,jeux dangereux,1,1,0,1,0,58,196
50,couteau,suspendre au plafond,1,3,1,0,1,58,196
50,pneu,animal dans un pneu,1,2,0,1,3,58,196
50,pneu,Film animé,2.25,2,4,2,1,58,196
51,bouteille,l'utiliser pour récupérer l'eau d'une fuite,0,1,0,0,0,72,128
51,bouteille,s'en servir de vase,2,2,2,0,0,72,128
51,couteau,on peut l'utiliser pour visser,1,2,1,0,1,72,128
51,couteau,on peut se servir du manche comme mortier,3,2,2,3,1,72,128
51,pneu,en faire des semelles de chaussures,2,3,4,1,2,72,128
51,pneu,on peut s'en servir pour garder une porte ouverte,1,1,1,1,3,72,128
52,bouteille,Oreiller,3,3,1,3,1,77,101
52,bouteille,vase,2,2,2,0,0,77,101
52,couteau,baguette de chef d'orchestre,3,2,2,4,0,77,101
52,couteau,ciseaux,3,1,1,0,1,77,101
52,pneu,Pour faire des courses de vitesse ,1,1,1,1,2,77,101
52,pneu,Pour masser,3,3,3,2,3,77,101
53,bouteille,plateforme de chaussure,4,3,2,2,2,75,174
53,bouteille,porte bougie,1,1,2,0,1,75,174
53,couteau,instrument de musique,4,3,3,3,2,75,174
53,couteau,réflecteur de lumière,4,3,3,3,1,75,174
53,pneu,pour jouer au bowling,2,1,3,1,3,75,174
53,pneu,Traceur de cercle,4,3,1,1,3,75,174
54,bouteille,pour écouter les sons,2,2,2,2,0,35,82
54,bouteille,pour faire de la musique,3,3,4,2,1,35,82
54,couteau,ouvrir une porte,2,2,2,2,0,35,82
54,couteau,pour dessiner,2,2,4,1,1,35,82
54,pneu,instrument de musique,3,3,3,1,2,35,82
54,pneu,trampoline,2,1,3,1,3,35,82
55,bouteille,coussin de plage,2,3,3,3,1,39,35
55,bouteille,vase,2,2,2,0,0,39,35
55,couteau,cale porte,2,2,1,3,1,39,35
55,couteau,règle,3,2,2,3,2,39,35
55,pneu,bouée,1,3,1,1,2,39,35
55,pneu,fauteuil ,1,4,2,1,3,39,35
56,bouteille,bouteille à la mer,1,1,1,0,0,18,47
56,bouteille,rouleau à pâtisserie,1,2,2,1,0,18,47
56,couteau,crocheter une serrure,2,2,2,2,0,18,47
56,couteau,peinture,1,2,3,1,0,18,47
56,pneu,bouée,1,3,1,1,2,18,47
56,pneu,chaussure,2,2,4,1,2,18,47
57,bouteille,abat-jour,3,2,3,2,1,74,207
57,bouteille,mosaïque,4,2,3,2,1,74,207
57,couteau,coquillage,1,0,1,1,2,74,207
57,couteau,sculpter le bois,2,1,2,0,0,74,207
57,pneu,Fabriquer un habitat,3,2,3,2,4,74,207
57,pneu,recycler la matière,1,4,4,1,3,74,207
59,bouteille,lampe,4,2,2,2,1,65,114
59,bouteille,maracasses,3,2,3,2,1,65,114
59,couteau,baguettes chinoises,3,3,1,0,1,65,114
59,couteau,fléchette,2,2,1,1,1,65,114
59,pneu,balançoire,0,2,3,1,1,65,114
59,pneu,hula hoop,1,1,1,1,2,65,114
60,bouteille,élément d'une centrifugeuse,1,3,0,2,1,30,43
60,bouteille,récupérer l'argent des consignes,1,1,1,1,0,30,43
60,couteau,comme miroir,2,2,2,3,3,30,43
60,couteau,comme tournevis,1,2,1,0,1,30,43
60,pneu,élément de décoration,2,1,0,1,2,30,43
60,pneu,Faire rouler avec une personne dedans,1,1,1,0,2,30,43
61,bouteille,luminaire,3,2,3,2,1,71,118
61,bouteille,revêtement de sol,4,2,3,3,1,71,118
61,couteau,fourchette,2,1,1,0,0,71,118
61,couteau,miroir de poche,4,3,3,3,1,71,118
61,pneu,airbag,1,3,4,2,3,71,118
61,pneu,protéger les arbres,1,4,2,1,2,71,118
62,bouteille,aquarium,2,3,2,2,2,22,46
62,bouteille,pot à crayon,0,2,2,0,0,22,46
62,couteau,chausse pied,3,3,2,3,1,22,46
62,couteau,cure-dents,2,2,1,2,0,22,46
62,pneu,balançoire,0,2,3,1,1,22,46
62,pneu,équipement sportif,2,1,1,1,3,22,46
63,bouteille,aplatie pour faire des claquettes bon marché,3,3,2,2,3,50,82
63,bouteille,haltère,3,4,1,1,1,50,82
63,couteau,pour dessiner sur le sol,1,2,1,0,0,50,82
63,couteau,pour mettre sur le front ou le dos pour faire une licorne ou un requin,1,2,2,3,1,50,82
63,pneu,course militaire,1,2,1,0,1,50,82
63,pneu,roue pour chat,3,2,1,1,3,50,82
64,bouteille,aquarium,2,3,2,2,2,37,24
64,bouteille,Pommeau de douche,4,3,3,3,2,37,24
64,couteau,aiguille d'horloge,3,3,1,3,1,37,24
64,couteau,outil de massage,3,2,1,3,1,37,24
64,pneu,étagère,3,3,3,2,3,37,24
64,pneu,pot de fleur,0,3,2,1,2,37,24
65,bouteille,pour jouer à la bagarre,0,2,1,1,0,28,46
65,bouteille,pour s'hydrater,0,0,0,0,0,28,46
65,couteau,pour menacer quelqu'un,0,1,1,1,0,28,46
65,couteau,pour survivre en forêt,0,1,0,0,0,28,46
65,pneu,en tant que balançoire,0,2,3,1,1,28,46
65,pneu,pour faire rouler un moyen de locomotion,0,1,0,0,0,28,46
66,bouteille,instrument de musique,3,3,4,2,1,40,39
66,bouteille,vivarium,2,2,2,3,2,40,39
66,couteau,gravure,1,1,2,0,0,40,39
66,couteau,tournevis,1,2,1,0,1,40,39
66,pneu,balançoire,0,2,3,1,1,40,39
66,pneu,cerceau,0,1,1,1,3,40,39
67,bouteille,fusée,4,3,3,3,2,33,34
67,bouteille,sculpture,4,3,2,2,1,33,34
67,couteau,soulève couvercle,1,2,2,1,0,33,34
67,couteau,tournevis,1,2,1,0,1,33,34
67,pneu,bouée,1,3,1,1,2,33,34
67,pneu,marelle,2,2,3,1,2,33,34
68,bouteille,arme,1,2,1,1,0,47,107
68,bouteille,instrument de musique,3,3,4,2,1,47,107
68,couteau,cure-dents,2,2,1,2,0,47,107
68,couteau,instrument de divination,3,3,1,3,2,47,107
68,pneu,balançoire,0,2,3,1,1,47,107
68,pneu,luge,2,3,3,1,3,47,107
69,bouteille,lampe,4,2,2,2,1,27,46
69,bouteille,masseur,3,2,1,2,2,27,46
69,couteau,horloge,3,3,3,2,2,27,46
69,couteau,porte clé,3,2,2,2,1,27,46
69,pneu,bouée,1,3,1,1,2,27,46
69,pneu,luge,2,3,3,1,3,27,46
70,bouteille,un objet pour faire fuir les oiseaux,2,2,2,2,2,23,66
70,bouteille,Un piège à frelons,2,1,2,1,0,23,66
70,couteau,cure-dents,2,2,1,2,0,23,66
70,couteau,Objet artistique,3,2,1,1,2,23,66
70,pneu,balançoire,0,2,3,1,1,23,66
70,pneu,Matériau de construction,2,1,3,2,2,23,66
71,bouteille,pieds pour table,1,2,2,3,2,35,25
71,bouteille,repose-pieds,1,3,1,1,2,35,25
71,couteau,peindre,2,2,4,1,1,35,25
71,couteau,prises escalade,4,3,3,2,3,35,25
71,pneu,balançoire,0,2,3,1,1,35,25
71,pneu,radeau,2,3,2,1,2,35,25
72,bouteille,"mur en bouteille
",3,3,2,2,2,69,98
72,bouteille,vase pour fleurs,2,2,2,0,0,69,98
72,couteau,ouvre-bouteille,1,1,2,1,0,69,98
72,couteau,tournevis,1,2,1,0,1,69,98
72,pneu,"décoration pour un fan de voiture
",2,2,2,1,1,69,98
72,pneu,en guise de table ou de chaise,1,4,2,1,2,69,98
73,bouteille,jeu de hasard (on fait tourner la bouteille),0,2,1,2,0,48,54
73,bouteille,système de tapis roulant (à la façon des égyptiens pour déplacer les blocs de granite),4,3,2,4,2,48,54
73,couteau,comme ustensile de cuisine,0,0,0,0,0,48,54
73,couteau,"réflecteur de lumière sur la lame (messages lumineux à courte distance)
",4,3,3,3,1,48,54
73,pneu,changer sa roue de secours,0,1,0,0,0,48,54
73,pneu,lancer de poids,3,1,1,1,2,48,54
74,bouteille,flute,3,4,3,1,1,25,33
74,bouteille,vase,2,2,2,0,0,25,33
74,couteau,bêche,1,2,2,2,1,25,33
74,couteau,renvoyer de reflets du soleil,3,2,2,3,1,25,33
74,pneu,bouée,1,3,1,1,2,25,33
74,pneu,rocking chair,2,4,3,2,2,25,33
75,bouteille,abat-jour,3,2,3,2,1,39,46
75,bouteille,maracas,3,2,3,2,1,39,46
75,couteau,exposition pour décoration,0,3,2,1,2,39,46
75,couteau,sculpture en requin,2,1,1,0,1,39,46
75,pneu,balançoire,0,2,3,1,1,39,46
75,pneu,jardinière,1,2,2,2,3,39,46
76,bouteille,la lancer à la mer pour communiquer avec d'autres continents,1,1,1,0,0,33,31
76,bouteille,s'en servir pour attraper des poissons ou des insectes,2,1,2,1,0,33,31
76,couteau,graver des inscriptions sur des murs,1,1,1,0,0,33,31
76,couteau,sculpter des objets en bois,2,1,2,0,0,33,31
76,pneu,attraper des suspects en fuite,3,1,3,2,2,33,31
76,pneu,s'en servir d'armure,2,2,3,1,3,33,31
77,bouteille,alternative de quille pour jouer au bowling,1,3,1,1,1,45,111
77,bouteille,cage pour fourmis ou autre petits insectes,1,2,2,1,1,45,111
77,couteau,fléchette alternative,2,2,1,1,1,45,111
77,couteau,sextoy tory pour sadomasochiste,4,1,1,4,2,45,111
77,pneu,base pour dessiner un visage quand il est posé sur du sable,3,2,1,2,2,45,111
77,pneu,collier pour géant,2,1,3,1,3,45,111
78,bouteille,diffuseur de lumière,1,3,2,3,1,95,147
78,bouteille,rouleau,1,2,2,1,0,95,147
78,couteau,antenne radio,2,3,3,3,1,95,147
78,couteau,tournevis,1,2,1,0,1,95,147
78,pneu,chapeau,2,1,3,2,2,95,147
78,pneu,table basse,1,4,2,1,2,95,147
80,bouteille,arrosoir,1,2,1,0,0,76,47
80,bouteille,vase,2,2,2,0,0,76,47
80,couteau,aiguiser,1,1,1,0,0,76,47
80,couteau,décoration,0,3,2,1,2,76,47
80,pneu,balançoire,0,2,3,1,1,76,47
80,pneu,pieds de table basse,1,4,2,1,2,76,47
81,bouteille,instrument avec soufflerie,3,2,3,1,1,80,96
81,bouteille,présentation pour un bateau,2,1,1,0,1,80,96
81,couteau,pour ouvrir une cannette,1,2,1,2,0,80,96
81,couteau,tournevis,1,2,1,0,1,80,96
81,pneu,lance-pierre géant,3,2,3,1,2,80,96
81,pneu,protection bumper,1,1,1,2,2,80,96
82,bouteille,bigoudis,4,2,4,4,3,24,11
82,bouteille,moule à gâteau,2,2,3,2,2,24,11
82,couteau,décoration d'intérieur,1,2,1,1,2,24,11
82,couteau,pince à cheveux,3,2,2,3,1,24,11
82,pneu,hula hoop,1,1,1,1,2,24,11
82,pneu,musculation,2,1,1,1,2,24,11
83,bouteille,haltère,3,4,1,1,1,27,34
83,bouteille,lampe,4,2,2,2,1,27,34
83,couteau,aiguille horloge,3,3,1,3,1,27,34
83,couteau,pied de table,2,2,2,3,2,27,34
83,pneu,horloge,2,3,3,2,3,27,34
83,pneu,sport,2,2,1,2,3,27,34
84,bouteille,faire pousser des plantes,2,3,2,1,1,53,67
84,bouteille,uriner,3,2,1,1,1,53,67
84,couteau,fixer quelque chose,3,1,1,3,1,53,67
84,couteau,sculpter du bois,2,1,2,0,0,53,67
84,pneu,brûler,0,1,2,1,2,53,67
84,pneu,s'assoir,1,4,2,1,3,53,67
85,bouteille,instrument de musique,3,3,4,2,1,89,91
85,bouteille,verrière,3,3,2,0,2,89,91
85,couteau,échelle,4,3,4,4,3,89,91
85,couteau,xylophone,4,4,2,3,2,89,91
85,pneu,soucoupe volante,4,2,3,2,3,89,91
85,pneu,télépathe,0,1,0,0,1,89,91
86,bouteille,cocktail Molotov,3,2,2,0,0,32,43
86,bouteille,empoisonner quelqu'un ,1,2,1,3,1,32,43
86,couteau,convaincre un projet entreprendrait,0,1,1,0.75,1,32,43
86,couteau,mangas japonais,0,2,1,0,0,32,43
86,pneu,altération de la conscience ,3,1,0,0,1,32,43
86,pneu,Don d'organes,0.3333333333333333,0.3333333333333333,0,0,1,32,43
87,bouteille,chaussure à talon pour femme SDF,4,3,1,3,2,21,11
87,bouteille,crachoir pour malade ,2,2,1,3,0,21,11
87,couteau,customiser ses vêtements,2,2,1,2,1,21,11
87,couteau,utiliser comme boucle d'oreille,3,3,2,2,1,21,11
87,pneu,niche pour chien,2,2,2,2,3,21,11
87,pneu,tabouret,1,2,2,1,3,21,11
88,bouteille,guirlande lumineuse,3,3,3,1,2,88,126
88,bouteille,longue vue,2,2,2,2,2,88,126
88,couteau,aiguille d'horloge,3,3,1,3,1,88,126
88,couteau,remplacer les doigts pour taper à l'ordi à distance,2,3,1,2,2,88,126
88,pneu,balançoire ,0,2,3,1,1,88,126
88,pneu,bracelet,2,1,3,1,3,88,126
89,bouteille,se défendre,1,2,1,1,1,51,73
89,bouteille,transport de lettre,1,1,2,0,0,51,73
89,couteau,enlever un noyau d'avocat,1,1,2,1,0,51,73
89,couteau,tourner une vis,1,2,1,0,1,51,73
89,pneu,capturer,3,1,0,2,2,51,73
89,pneu,transporter,1,2,0,0,2,51,73
90,bouteille,en faire un entonnoir,1,2,2,0,1,28,57
90,bouteille,envoyer à la mer,1,1,1,0,0,28,57
90,couteau,graver des lettres,1,1,1,0,0,28,57
90,couteau,moudre du poivre,3,2,1,1,1,28,57
90,pneu,fabriquer des chaussures,2,2,4,1,2,28,57
90,pneu,protéger des auto tamponneuses,1,1,1,2,1,28,57
91,bouteille,collier,3,3,1,3,1,95,104
91,bouteille,porte monnaie,3,3,1,1,0,95,104
91,couteau,bistouri,1,1,1,1,0,95,104
91,couteau,rasoir,3,1,0,1,1,95,104
91,pneu,bouée,1,3,1,1,2,95,104
91,pneu,cerceau,0,1,1,1,3,95,104
92,bouteille,remplir des bouteilles pour en faire des instruments de musique,3,3,4,2,1,75,113
92,bouteille,utiliser le verre pour en faire un tableau,2,3,1,2,1,75,113
92,couteau,l'exposer comme objet décoratif,0,3,2,1,2,75,113
92,couteau,s'en servir comme piquet de tente,2,3,1,3,1,75,113
92,pneu,fauteuil,1,4,2,1,3,75,113
92,pneu,objet déco,2,1,0,1,2,75,113
93,bouteille,arme,1,2,1,1,0,21,71
93,bouteille,transport imperméable de marchandise ou messages,1,1,2,0,1,21,71
93,couteau,décapsuleur,1,1,2,1,0,21,71
93,couteau,jeu de lancer,2,1,0,1,1,21,71
93,pneu,combustible pour faire un feu,0,1,2,1,2,21,71
93,pneu,protection pour dévaler des pentes ,1,1,1,2,2,21,71
94,bouteille,quille de bowling,1,3,1,1,1,35,108
94,bouteille,raquette de ping-pong,3,2,2,3,2,35,108
94,couteau,brosse à dents,3,1,2,3,1,35,108
94,couteau,cadeau kinder surprise,1,1,1,3,0,35,108
94,pneu,collier,2,1,3,1,3,35,108
94,pneu,pour protéger son espace vital dans les transports en commun en le gardant autour de soi,4,2,4,2,3,35,108
95,bouteille,flotteur pour bateau ,2,3,2,2,2,68,50
95,bouteille,fusée à eau,4,3,3,3,2,68,50
95,couteau,marque page,1,3,1,2,2,68,50
95,couteau,tournevis,1,2,1,0,1,68,50
95,pneu,balançoire,0,2,3,1,1,68,50
95,pneu,protection anti choc ,1,1,1,2,2,68,50
96,bouteille,faire des cercles en utilisant son diamètre,0,3,2,3,0,29,26
96,bouteille,faire des chaussures,4,3,2,2,2,29,26
96,couteau,découper avec le manche,1,1,1,0,1,29,26
96,couteau,l 'utiliser avec les pieds,1,1,1,0,1,29,26
96,pneu,entrainer son chien/chat à sauter à travers,3,1,2,1,2,29,26
96,pneu,flotter sur l'eau,1,2,0,1,2,29,26
97,bouteille,entonnoir,1,2,2,0,1,63,80
97,bouteille,moule,2,2,3,2,2,63,80
97,couteau,ouvre-bouteille,1,1,2,1,0,63,80
97,couteau,règle,3,2,2,3,2,63,80
97,pneu,décoration,2,1,0,1,2,63,80
97,pneu,déguisement,2,3,1,1,2,63,80
98,bouteille,chicha,4,3,2,3,1,102,102
98,bouteille,siège peu confortable,3,3,1,1,2,102,102
98,couteau,hameçon peu efficace,3,2,2,2,2,102,102
98,couteau,miroir,2,2,2,3,3,102,102
98,pneu,allume-feu,0,1,2,1,2,102,102
98,pneu,brassard,2,1,2,1,2,102,102
99,bouteille,instrument de musique,3,3,4,2,1,15,4
99,bouteille,lampe,4,2,2,2,1,15,4
99,couteau,faire la collection,1,1,0,1,0,15,4
99,couteau,jeu de fléchette,2,2,1,1,1,15,4
99,pneu,chaise,1,3,2,1,3,15,4
99,pneu,objet pour entraînement sportif,2,1,1,1,3,15,4
100,bouteille,mur de bouteilles en verres isolant ,3,3,2,2,2,62,79
100,bouteille,piège à guêpe,2,1,2,1,0,62,79
100,couteau,la machine a tricoter avec le couteau a la place du pic,4,3,2,3,2,62,79
100,couteau,roue tout terrain,4,3,1,3,2,62,79
100,pneu,arène de toupie ,3,2,3,1,3,62,79
100,pneu,sol pour les parcs d'enfants,3,2,1,1,3,62,79
102,bouteille,allumer en feu pour envoyer des signaux,2,2,1,0,2,36,51
102,bouteille,utiliser comme baguette pour un instrument a percussion,2,2,1,2,1,36,51
102,couteau,"si le couteau est un peu concave, l'utiliser pour allumer du feu avec les rayon du soleil, si non, juste pour éblouir les autres",3,2,2,3,2,36,51
102,couteau,utiliser le fil du couteau en le faisant vibrer pour faire du son,2,3,1,3,2,36,51
102,pneu,a placer au tour d'un véhicule pour éviter qu'il s'endommage,1,1,1,2,2,36,51
102,pneu,user contre une surface et utiliser le résidu comme peinture,4,2,4,3,1,36,51
103,bouteille,a couper en 2 pour avoir un verre et un entonnoir,1,2,2,0,1,47,162
103,bouteille,boire son contenu,0,0,0,0,0,47,162
103,couteau,couper un gâteau,0,0,0,0,0,47,162
103,couteau,graver une histoire sur une planche de bois,1,1,2,0,1,47,162
103,pneu,le couper en deux pour en faire des bacs à fleur,1,3,2,2,3,47,162
103,pneu,Protéger la carrosserie d'une voiture en collant le pneu contre le mur ,1,1,1,2,1,47,162
104,bouteille,godemiché,4,3,1,4,1,42,116
104,bouteille,time capsule,4,1,1,2,0,42,116
104,couteau,émission de morse,1,2,2,2,3,42,116
104,couteau,miroir miniature,4,3,3,3,1,42,116
104,pneu,costume de bibendum,2,3,1,1,2,42,116
104,pneu,toboggan à hamster,3,3,1,1,3,42,116
105,bouteille,délimiter un espace,1,3,1,2,2,18,55
105,bouteille,le tri des déchets,1,2,1,1,0,18,55
105,couteau,pour servir de miroir,2,2,2,3,3,18,55
105,couteau,pour servir de règle,3,2,2,3,2,18,55
105,pneu,faire des chaussures ,2,2,4,1,2,18,55
105,pneu,mouler une œuvre d'art dans les rainures,4,3,4,3,4,18,55
107,bouteille,envoyer des messages à la mer,1,1,1,0,0,19,44
107,bouteille,Jongler,0,2,1,1,1,19,44
107,couteau,Faire du lancer de couteau,2,1,0,1,1,19,44
