id,item,response,rater1,rater2,rater3,average
26,box,break dancing mat,3,1,2,2
26,box,canvas,2,2,1,1.666666667
26,box,chair,2,1,1,1.333333333
26,box,food,2,1,2,1.666666667
26,box,hat,2,1,1,1.333333333
26,box,house,2,1,1,1.333333333
26,box,packing,1,1,1,1
26,box,paint pallet,2,2,2,2
26,box,pants,1,1,2,1.333333333
26,box,shirt,2,2,2,2
26,box,shoes,2,1,1,1.333333333
26,box,shoes,2,1,1,1.333333333
26,box,sled,2,1,1,1.333333333
26,box,storage,1,1,1,1
26,box,umbrella,2,3,1,2
26,box,underwear,2,2,2,2
27,box,Cut legs out of it and run into people on the street,3,3,2,2.666666667
27,box,Cutting holes in it and putting it on and walk down the street,2,2,2,2
27,box,Put tape around it about 1000 times and roll it down a landfill hill and see how much stuff you collect,4,4,5,4.333333333
27,box,Throw it at a dog,2,1,2,1.666666667
28,box,bed,2,1,1,1.333333333
28,box,chair,2,1,1,1.333333333
28,box,handbag,2,2,2,2
28,box,hat,2,1,1,1.333333333
28,box,house,2,1,1,1.333333333
28,box,mailbox,2,2,1,1.666666667
28,box,pillow,2,2,2,2
28,box,shoebox,1,1,1,1
28,box,shoes,2,1,1,1.333333333
28,box,stool,3,1,1,1.666666667
28,box,table,2,1,1,1.333333333
29,box,architecture material,3,2,2,2.333333333
29,box,calendar,3,2,2,2.333333333
29,box,cat toy,2,1,2,1.666666667
29,box,costume,2,1,2,1.666666667
29,box,drawing board,2,2,1,1.666666667
29,box,mask,2,2,2,2
29,box,sculpting material,2,2,2,2
30,box,a boat,2,1,2,1.666666667
30,box,a car,2,1,2,1.666666667
30,box,a plane,2,1,2,1.666666667
30,box,a sled,2,1,1,1.333333333
30,box,a birdhouse,2,3,2,2.333333333
30,box,a pet,2,1,2,1.666666667
30,box,food,2,1,2,1.666666667
30,box,make it into a dollhouse,2,2,2,2
30,box,make it into a pretend rocket ship,2,2,2,2
30,box,sleep in it,2,1,1,1.333333333
31,box,accessories,1,1,1,1
31,box,airplane,2,1,2,1.666666667
31,box,book bag,3,1,2,2
31,box,as a ski board,4,2,2,2.666666667
31,box,to cook in,3,1,2,2
31,box,candy,1,1,2,1.333333333
31,box,car,2,1,2,1.666666667
31,box,flower lollipops,1,2,2,1.666666667
31,box,hairstyle,1,2,3,2
31,box,jet ski,1,2,2,1.666666667
31,box,outfit,1,2,2,1.666666667
31,box,tampons as a hat,1,1,1,1
31,box,using pencils as eating utensils,1,1,1,1
32,box,A dead body,2,1,2,1.666666667
32,box,A dollhouse,3,1,2,2
32,box,A house,2,1,1,1.333333333
32,box,A wagon,4,1,2,2.333333333
32,box,Carry books in,1,1,1,1
32,box,Play games in,2,2,2,2
32,box,To carry objects,1,1,1,1
32,box,To sleep in,2,1,1,1.333333333
32,box,Use the bathroom in,2,1,2,1.666666667
33,box,Depending on the size or how many you have  you could build a fort,2,1,2,1.666666667
33,box,You could use it to create a replica from a scene in a movie  play tv show  etc.,2,3,2,2.333333333
34,box,Cat traps,4,1,2,2.333333333
34,box,Cut holes in it  stack it with other and make a tower for kittens and cats to play in,3,2,2,2.333333333
34,box,Cut holes in it  use it as a robot head,2,2,2,2
34,box,Make a pixilated version of yourself with,5,5,5,5
34,box,Make it water proof and sail down a river in a,4,3,2,3
34,box,Silly oversized helmet,2,3,2,2.333333333
34,box,Strap it to your back and act like a ninja turtle,4,3,3,3.333333333
35,box,canvas,2,2,1,1.666666667
35,box,cookie cutter,4,3,3,3.333333333
35,box,eating tray,2,1,1,1.333333333
35,box,letter maker,2,1,2,1.666666667
35,box,packing,1,1,1,1
35,box,pillow,2,2,2,2
35,box,platter,2,2,1,1.666666667
35,box,puzzle pieces,3,3,3,3
35,box,seafood feast tray,2,3,3,2.666666667
35,box,sex guard,2,2,3,2.333333333
35,box,shield,2,2,2,2
35,box,sleeping,2,1,1,1.333333333
35,box,snow sled,2,1,1,1.333333333
35,box,sun guard,2,2,2,2
35,box,umbrella,2,3,1,2
36,box,Christmas,1,1,2,1.333333333
36,box,for trash,2,1,1,1.333333333
36,box,jewelry,1,2,2,1.666666667
36,box,junk,1,1,1,1
36,box,move,1,1,1,1
36,box,present,1,1,1,1
36,box,scare people,1,1,2,1.333333333
36,box,stand,2,1,1,1.333333333
36,box,storage,1,1,1,1
37,box,animal home,2,1,2,1.666666667
37,box,building,1,1,1,1
37,box,carpet,3,2,2,2.333333333
37,box,carry things,1,1,1,1
37,box,home,2,1,1,1.333333333
37,box,shoe,2,1,1,1.333333333
37,box,stage,2,3,1,2
37,box,storage,1,1,1,1
38,box,a home,2,1,1,1.333333333
38,box,have sex in one,2,1,2,1.666666667
38,box,hide alcohol,2,1,2,1.666666667
38,box,hide condoms,2,1,2,1.666666667
38,box,hide porn magazines,1,1,2,1.333333333
38,box,put over an ugly girls face,2,2,3,2.333333333
39,box,build a house,2,1,1,1.333333333
39,box,make a robot costume,2,2,2,2
39,box,turn it into a bed for an animal,2,1,2,1.666666667
39,box,use it as a cart by putting wheels on it,2,3,2,2.333333333
39,box,use it as a giant dice,3,4,3,3.333333333
39,box,use it as a story board,2,3,3,2.666666667
40,box,Hide in a large to scare someone,2,2,2,2
40,box,To act as a robot,2,2,2,2
40,box,to play a joke on someone by putting something unusual in the,1,2,2,1.666666667
40,box,to play soccer,2,2,2,2
40,box,to use as a punching bag tied by a rope to a tree,3,4,2,3
42,box,A COSTUME,2,1,1,1.333333333
42,box,A hat,2,1,1,1.333333333
42,box,Basketball rim,3,2,2,2.333333333
42,box,Hiding Spot,2,1,2,1.666666667
42,box,House,2,1,1,1.333333333
42,box,shoes,2,1,1,1.333333333
42,box,Soccer net,2,2,2,2
42,box,storage,1,1,1,1
43,box,keep a pet in it,2,1,2,1.666666667
43,box,you can use it as a basketball hoop by shooting basketball in it,2,2,2,2
43,box,you can use it to keep your head dry by placing it over your had in the rain,3,3,1,2.333333333
44,box,bad hiding space during hide and seek,3,2,2,2.333333333
44,box,bunny trap,2,2,2,2
44,box,cat bed,2,1,2,1.666666667
44,box,mine craft mask,2,2,2,2
44,box,pinata,2,3,2,2.333333333
44,box,pretend armor,2,2,2,2
44,box,sand,3,2,2,2.333333333
44,box,small animal prison,2,3,2,2.333333333
44,box,target practice,3,2,2,2.333333333
44,box,trashcan,2,1,1,1.333333333
44,box,Zen garden,5,2,4,3.666666667
45,box,building blocks for a made up city,4,2,2,2.666666667
45,box,dog show practicing,3,1,2,2
45,box,foot rest,2,1,1,1.333333333
45,box,homemade putt putt course,4,4,3,3.666666667
45,box,sled,2,1,1,1.333333333
45,box,sleeping,2,1,1,1.333333333
45,box,time machine,3,2,3,2.666666667
46,box,a container for makeup and other items that hang on the wall,3,1,1,1.666666667
46,box,foot stool,2,1,1,1.333333333
46,box,ice cream cone holder,2,4,2,2.666666667
46,box,paint pallet,2,2,2,2
46,box,pencil pouch,2,2,2,2
46,box,shoes,2,1,1,1.333333333
46,box,sled,2,1,1,1.333333333
47,box,you could draw on it and make it a house or toy for a small child,2,2,2,2
47,box,you could make it an animal carrier,2,1,2,1.666666667
47,box,you could put catnip in it as a toy for a cat,3,2,2,2.333333333
47,box,you could use it as a desk organizer,1,2,1,1.333333333
47,box,you could use it as a lunch,2,2,1,1.666666667
47,box,you could use it as a sled,2,1,1,1.333333333
47,box,you could use it as a unique canvas for painting,2,2,2,2
47,box,you could wrap a present in it,1,1,1,1
48,box,antiques,1,1,2,1.333333333
48,box,books,1,1,1,1
48,box,cards,3,2,2,2.333333333
48,box,cases,2,1,1,1.333333333
48,box,children,2,1,1,1.333333333
48,box,clothes,2,1,1,1.333333333
48,box,dead bodies,1,1,2,1.333333333
48,box,food,2,1,2,1.666666667
48,box,hair,1,1,2,1.333333333
48,box,hair supplies,1,1,1,1
48,box,jack,4,1,1,2
48,box,jewelry,1,2,2,1.666666667
48,box,keys,2,1,2,1.666666667
48,box,letters,2,1,2,1.666666667
48,box,memory keep safes,1,2,1,1.333333333
48,box,money,2,1,2,1.666666667
48,box,nail polish,1,2,1,1.333333333
48,box,panties,2,1,2,1.666666667
48,box,paper,3,1,1,1.666666667
48,box,pens,1,1,2,1.333333333
48,box,phones,1,1,2,1.333333333
48,box,pictures,2,2,2,2
48,box,purses,2,2,2,2
48,box,receipts,1,1,1,1
48,box,shoes,2,1,1,1.333333333
48,box,skeleton,1,1,2,1.333333333
48,box,socks,2,2,2,2
48,box,toys,2,2,1,1.666666667
49,box,draw on it,2,2,1,1.666666667
49,box,drink out of it,3,1,2,2
49,box,float to an island on it,3,3,2,2.666666667
49,box,hit people with it,2,1,2,1.666666667
49,box,kick it like a piece of ice at a ice skating rink,2,2,2,2
49,box,roll dice with it,3,2,3,2.666666667
49,box,store stuff in it,1,1,1,1
49,box,to build high buildings,2,1,2,1.666666667
49,box,to sit on it,2,1,1,1.333333333
49,box,to take it apart,2,1,2,1.666666667
49,box,use the corners to poke people,3,3,3,3
50,box,bookmark,4,2,2,2.666666667
50,box,chair,2,1,1,1.333333333
50,box,clothes,2,1,1,1.333333333
50,box,cutting board,4,3,2,3
50,box,house,2,1,1,1.333333333
50,box,imaginary race car,2,2,2,2
50,box,plate,2,2,1,1.666666667
50,box,pooper scooper,3,3,2,2.666666667
50,box,something to write on,2,1,1,1.333333333
50,box,table,2,1,1,1.333333333
50,box,toilet paper,2,2,2,2
50,box,umbrella,2,3,1,2
51,box,cut a flat piece of the cardboard out and use it like a table to be able to write on it,2,1,1,1.333333333
51,box,organize objects,1,1,1,1
51,box,set boundaries for animals,2,3,2,2.333333333
51,box,sled for going down hills,2,1,1,1.333333333
51,box,storage for many things in life,1,1,1,1
51,box,use it as a costume ,2,1,2,1.666666667
51,box,use pieces of the to make ornaments and various objects that could be used in daily life,2,3,1,2
52,box,chair,2,1,1,1.333333333
52,box,dog house,2,1,2,1.666666667
52,box,foot stool,2,1,1,1.333333333
52,box,Fort,2,1,2,1.666666667
52,box,Plant things in,3,2,2,2.333333333
52,box,race car,2,2,2,2
52,box,recycling bin,2,1,1,1.333333333
52,box,windshield protector,3,3,2,2.666666667
53,box,A HAT,2,1,1,1.333333333
53,box,a hiding spot,2,1,2,1.666666667
53,box,Clubhouse that's bigger on the inside than it appears to be on the out,3,2,2,2.333333333
53,box,Costume,2,1,2,1.666666667
53,box,Imaginary Car,2,2,2,2
53,box,Playhouse,2,1,2,1.666666667
53,box,Something to be pushed down the stairs in,2,1,2,1.666666667
53,box,Thinking place,2,2,3,2.333333333
54,box,A backpack,3,1,2,2
54,box,A cabinet for food,2,1,1,1.333333333
54,box,A crate for a dog,3,1,2,2
54,box,A desk,2,1,1,1.333333333
54,box,A hat,2,1,1,1.333333333
54,box,A house for kids to play in,2,1,2,1.666666667
54,box,A suitcase/traveling bag,3,2,1,2
54,box,Clothing,2,1,1,1.333333333
54,box,To hold different items in,1,1,1,1
55,box,car in play,1,1,1,1
55,box,coffee table,2,1,1,1.333333333
55,box,easily lift things,1,1,1,1
55,box,easily transfer objects,1,1,1,1
55,box,files,1,1,1,1
55,box,foot rest,2,1,1,1.333333333
55,box,gift,2,1,1,1.333333333
55,box,hide,2,1,2,1.666666667
55,box,mailbox,2,2,1,1.666666667
55,box,movie,1,1,1,1
55,box,moving,1,1,1,1
55,box,organization,1,1,1,1
55,box,packing,1,1,1,1
55,box,pull around a kid in,2,2,2,2
55,box,put bills in,1,1,1,1
55,box,storage,1,1,1,1
55,box,taking up space,2,1,2,1.666666667
55,box,wrapping,1,1,1,1
56,box,rip the into pieces and use a couple as a front and back chest armor suit  then use one to make a sword and the rest to make a helmet or other parts of armor,2,3,2,2.333333333
57,box,capturing things,1,1,2,1.333333333
57,box,hiding stuff,2,1,2,1.666666667
57,box,making a home for a small animal,2,1,2,1.666666667
57,box,playing games,2,2,1,1.666666667
57,box,shoe storage,1,1,1,1
57,box,sitting inside,2,1,1,1.333333333
57,box,standing on,2,1,1,1.333333333
57,box,storing things,1,1,1,1
57,box,using it for a hat,2,1,1,1.333333333
57,box,using it for a table,2,1,1,1.333333333
57,box,using it to put stuff on,1,1,1,1
58,box,a hiding place,2,1,2,1.666666667
58,box,a spaceship and you can add wings,2,2,2,2
58,box,a tunnel,3,1,2,2
58,box,paint it and use to for decoration in a house,2,2,1,1.666666667
58,box,use it as a coffee table,2,2,1,1.666666667
59,box,airplane,2,1,2,1.666666667
59,box,bed,2,1,1,1.333333333
59,box,house,2,1,1,1.333333333
59,box,punching bag,2,3,2,2.333333333
59,box,ship,2,1,1,1.333333333
59,box,sled,2,1,1,1.333333333
59,box,step stool,3,1,1,1.666666667
59,box,to draw on,2,1,1,1.333333333
59,box,tree topper,2,3,2,2.333333333
59,box,truck,2,1,1,1.333333333
59,box,weapon,1,1,1,1
60,box,build a castle,2,1,2,1.666666667
60,box,coloring for children,2,1,1,1.333333333
60,box,costume,2,1,2,1.666666667
60,box,door mat,3,2,2,2.333333333
60,box,exercise class,3,1,2,2
60,box,hid in go seek,2,1,2,1.666666667
60,box,inn a race,1,1,1,1
60,box,jump on,2,1,2,1.666666667
60,box,mask,2,2,2,2
60,box,sled,2,1,1,1.333333333
60,box,superman,1,1,1,1
60,box,used in a fight,2,1,1,1.333333333
60,box,weight lifting,3,2,3,2.666666667
61,box,Basketball Goal,3,2,2,2.333333333
61,box,Go-kart frame,2,3,2,2.333333333
61,box,Hockey Goal,3,2,2,2.333333333
61,box,sled,2,1,1,1.333333333
61,box,snow board,3,1,1,1.666666667
61,box,Soccer Goal,2,2,2,2
61,box,Trash Can,2,1,1,1.333333333
61,box,Trash Can,2,1,1,1.333333333
62,box,a foot rest,2,1,1,1.333333333
62,box,a home entertainment system,3,2,2,2.333333333
62,box,a house or fort for animals,2,1,2,1.666666667
62,box,cardboard machete volcano,2,2,3,2.333333333
63,box,building,1,1,1,1
63,box,cooking,2,1,2,1.666666667
63,box,creating beats for a song,3,2,2,2.333333333
63,box,dancing,2,1,2,1.666666667
63,box,doing hair,1,1,1,1
63,box,drawing,2,2,1,1.666666667
63,box,juggling,3,2,2,2.333333333
63,box,painting,2,2,1,1.666666667
63,box,playing a instrument,2,2,2,2
63,box,poetry,1,1,1,1
63,box,rapping,2,1,1,1.333333333
63,box,singing,1,1,2,1.333333333
63,box,skate boarding,1,1,2,1.333333333
63,box,skating,1,1,2,1.333333333
63,box,writing,2,1,1,1.333333333
64,box,Completely taking the apart  you can then reconstruct it to make a square flower,3,3,2,2.666666667
64,box,If the is closed  then punch a hole in the side of it and make a robot head,2,2,2,2
64,box,Open the flaps of the Cut them off and then you have a car,2,2,2,2
64,box,Wings,2,2,2,2
65,box,a dress,2,1,2,1.666666667
65,box,a house for a cat,2,1,2,1.666666667
65,box,as a shadow,2,2,2,2
65,box,to plant flowers in,2,2,2,2
65,box,you can use it to make a bird house,2,3,2,2.333333333
66,box,Line the with foil and cut a hole in the top Place it outside in the sun  when the temperature is above 80  and place a magnifying glass on top of the hole Inside the  directly under the hole  should be a meal that is uncooked The heat should c,5,3,4,4
67,box,basketball goal,3,2,2,2.333333333
67,box,build a hoover craft,2,3,3,2.666666667
67,box,building a house,2,1,1,1.333333333
67,box,carrying you books to school,2,1,1,1.333333333
67,box,design a room in,3,1,1,1.666666667
67,box,dog bed,2,1,2,1.666666667
67,box,making a care,1,1,1,1
67,box,making a manager scene,2,2,2,2
67,box,making stop sign,2,2,2,2
67,box,storage,1,1,1,1
67,box,toy car,2,2,2,2
67,box,use as a canvas,2,2,1,1.666666667
67,box,use as a chair,2,1,1,1.333333333
67,box,use as a desk,2,1,1,1.333333333
67,box,use to take notes on,2,2,1,1.666666667
67,box,use to test paints,2,3,1,2
68,box,Connecting to make a bed,3,1,2,2
68,box,Drawing,2,2,1,1.666666667
68,box,Floats,2,1,1,1.333333333
68,box,Fort,2,1,2,1.666666667
68,box,Hat,2,1,1,1.333333333
68,box,Homes,2,1,1,1.333333333
68,box,Kicking Game,2,2,2,2
68,box,Outfit,1,2,2,1.666666667
68,box,Plate,2,2,1,1.666666667
68,box,Shelter,2,1,1,1.333333333
68,box,Sitting,2,1,1,1.333333333
68,box,Spaceships,2,2,2,2
68,box,Stacking,2,2,1,1.666666667
68,box,Throwing,2,1,2,1.666666667
68,box,Toy Car,2,2,2,2
71,box,cut it up and make it into some type of art display,2,2,2,2
71,box,design it,1,1,1,1
71,box,make it a costume,2,2,2,2
71,box,to store socks,1,1,1,1
71,box,to wear as a Halloween mask,2,2,2,2
72,box,building blocks example transformers,4,2,2,2.666666667
72,box,clothing,2,1,1,1.333333333
72,box,home,2,1,1,1.333333333
72,box,Lego blocks,3,2,2,2.333333333
72,box,shoe,2,1,1,1.333333333
72,box,sled,2,1,1,1.333333333
72,box,storage,1,1,1,1
75,box,A BAG,2,1,1,1.333333333
75,box,A bed,2,1,2,1.666666667
75,box,A dinner plate,2,1,2,1.666666667
75,box,A hat,2,1,1,1.333333333
75,box,A sled,2,1,1,1.333333333
75,box,A surf board,3,2,2,2.333333333
76,box,centerpiece,2,2,2,2
76,box,hat,2,1,1,1.333333333
76,box,jewelry storage,1,2,1,1.333333333
76,box,step,2,1,1,1.333333333
77,box,Coffee table,2,1,1,1.333333333
77,box,Fort,2,1,2,1.666666667
77,box,map,3,2,2,2.333333333
77,box,playing die,2,2,2,2
77,box,shield,2,2,2,2
77,box,sled,2,1,1,1.333333333
78,box,Break the down and try to reassemble it into a new shape,2,2,2,2
78,box,Cut holes in the sides of the and draw it from different perspectives,2,3,2,2.333333333
78,box,Put the in a still life and paint a picture of the still life,2,4,3,3
78,box,Recreate a scene from your favorite movie or book inside the,2,3,2,2.333333333
78,box,Use the as a black on stage during a theatre improv activity,2,4,3,3
79,box,bowl,3,1,1,1.666666667
79,box,clothing,2,1,1,1.333333333
79,box,coffin,3,2,2,2.333333333
79,box,hat,2,1,1,1.333333333
79,box,House,2,1,1,1.333333333
79,box,play house,2,1,2,1.666666667
79,box,puppet,2,2,2,2
79,box,shoes,2,1,1,1.333333333
79,box,treasure,1,3,1,1.666666667
80,box,As a wall decoration,2,1,2,1.666666667
80,box,Make it into a car or spaceship for kids to play in,2,2,2,2
81,box,Cut out pieces and use them to build cardboard models,2,2,2,2
81,box,Hide out in the woods,2,2,2,2
81,box,Use it as a hiding place after pranking Old Man Watson,2,4,4,3.333333333
81,box,Use it to block the rays of the sun so that your vampire does not combust,4,4,4,4
81,box,Use it to contain your baby Loch Ness Monster,2,5,4,3.666666667
82,box,basketball hoop,3,2,2,2.333333333
82,box,bowl,3,1,1,1.666666667
82,box,drum,2,2,2,2
82,box,fort,2,1,2,1.666666667
82,box,hat,2,1,1,1.333333333
82,box,hide out,2,1,2,1.666666667
82,box,house,2,1,1,1.333333333
82,box,mouse trap,2,2,2,2
82,box,race car,2,2,2,2
82,box,sled,2,1,1,1.333333333
82,box,space ship,2,2,2,2
82,box,space ship,2,2,2,2
83,box,create a transformers type costume with more and paint and stuff,2,3,2,2.333333333
83,box,cut up the sides and create masks,3,2,2,2.333333333
