ID,prompt,cse1,cse2,cse3,cse4,cse5,cse6,cse7,cse8,cse9,cse10,cse11,age,sex,response_1,rater1_1,rater2_1,rater3_1,response_2,rater1_2,rater2_2,rater3_2,response_3,rater1_3,rater2_3,rater3_3,response_4,rater1_4,rater2_4,rater3_4,response_5,rater1_5,rater2_5,rater3_5,response_6,rater1_6,rater2_6,rater3_6,response_7,rater1_7,rater2_7,rater3_7,response_8,rater1_8,rater2_8,rater3_8,response_9,rater1_9,rater2_9,rater3_9,response_10,rater1_10,rater2_10,rater3_10,response_11,rater1_11,rater2_11,rater3_11,response_12,rater1_12,rater2_12,rater3_12,response_13,rater1_13,rater2_13,rater3_13,response_14,rater1_14,rater2_14,rater3_14,response_15,rater1_15,rater2_15,rater3_15,response_16,rater1_16,rater2_16,rater3_16,response_17,rater1_17,rater2_17,rater3_17,response_18,rater1_18,rater2_18,rater3_18,response_19,rater1_19,rater2_19,rater3_19,response_20,rater1_20,rater2_20,rater3_20,response_21,rater1_21,rater2_21,rater3_21
30,ladrillo,3,2,4,3,2,3,2,3,3,2,3,21,0,construir inmuebles,1,1,1,"obstáculo para detener, frenar o topar",3,2,2,asientos,2,2,2,delimitar superficies ,3,2,2,escaleras o escalones,2,2,1,esculturas,5,2,1,juegos o juguetes,4,2,2,romper o destruir ,,2,2,soporte o base,2,1,1,arma defensa,4,2,2,arcilla ,2,1,1,pesas deporte,4,3,3,escribir,3,2,2,portería ,5,2,2,caminos o calles,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,
31,ladrillo,3,2,3,3,5,5,2,3,4,2,2,21,0,construir inmuebles,1,1,1,"obstáculo para detener, frenar o topar",3,2,2,muros o paredes,1,1,1,,,,,,,,,esculturas,5,2,1,juegos o juguetes,4,2,2,delimitar superficies ,3,2,2,,,,,,,,,soporte o base,2,1,1,,,,,,,,,,,,,bardas,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
32,ladrillo,5,5,5,5,5,4,5,4,4,5,5,22,0,construir inmuebles,1,1,1,"obstáculo para detener, frenar o topar",3,2,2,muros o paredes,1,1,1,,,,,,,,,,,,,pintar o dibujar  ,3,2,2,equilibrar o balancear ,3,2,2,soporte o base,2,1,1,arma defensa,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,ladrillo,5,5,4,5,3,4,5,4,5,5,5,20,1,construir inmuebles,1,1,1,,,,,,,,,herramienta,3,1,2,escaleras o escalones,2,2,1,esculturas,5,2,1,pintar o dibujar  ,3,2,2,delimitar superficies ,3,2,2,arcilla,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,ladrillo,5,5,4,4,3,5,4,5,5,5,4,19,0,,,,,"obstáculo para detener, frenar o topar",3,2,2,pisos,1,2,1,regalo,3,1,2,decoración,4,2,2,ocultar,2,1,2,,,,,,,,,soporte o base,2,1,1,,,,,,,,,pesas deporte,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,ladrillo,4,4,4,4,3,4,4,3,4,5,4,22,1,construir inmuebles,1,1,1,pisos,1,2,1,muebles,2,3,2,chimeneas,1,1,1,camas o cunas ,2,3,1,baños y accesorios de baño,4,2,2,asientos,2,2,2,cajones clóset,4,2,2,escaleras o escalones,2,2,1,albercas,4,2,1,soporte o base,2,1,1,banquetas,1,1,1,esculturas,5,1,2,juegos o juguetes,4,2,2,bardas,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
36,ladrillo,4,4,4,5,3,4,4,3,3,4,3,18,0,construir inmuebles,1,1,1,"obstáculo para detener, frenar o topar",3,2,2,,,,,,,,,,,,,decoración jardín,4,2,2,,,,,equilibrar o balancear,3,2,2,soporte o base,2,1,1,,,,,pisa papeles,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,ladrillo,3,2,5,3,2,5,2,2,5,2,2,21,0,construir inmuebles,1,1,1,"obstáculo para detener, frenar o topar",3,2,2,,,,,,,,,escaleras o escalones,2,2,1,escribir,3,2,2,,,,,romper o destruir ,4,2,2,,,,,,,,,pisa papeles,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,ladrillo,3,3,4,2,3,4,3,4,4,2,2,19,1,construir inmuebles,1,1,1,,,,,,,,,herramienta,3,2,2,decoración,4,2,2,pintar o dibujar ,3,2,2,juegos o juguetes,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,ladrillo,4,4,3,3,3,4,4,3,4,4,3,21,1,construir inmuebles,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recurso didáctico aprendizaje,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,ladrillo,2,1,4,2,2,4,3,3,3,2,2,23,0,construir inmuebles,1,1,1,,,,,,,,,,,,,escaleras o escalones,2,2,1,decoración,4,2,2,,,,,,,,,soporte o base,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,ladrillo,4,4,5,4,5,4,4,5,4,4,4,21,0,,,,,,,,,asientos,2,2,2,,,,,,,,,decoración jardín,4,2,2,fogatas,3,1,1,delimitar superficies ,3,2,2,soporte o base,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,ladrillo,4,5,4,4,5,5,5,4,4,5,5,21,0,construir inmuebles,1,1,1,mesas,2,2,1,asientos,2,2,2,asador o parrilla ,2,1,1,esculturas,5,2,1,pintar o dibujar ,3,2,2,fogatas,3,1,1,delimitar superficies ,3,2,2,puertas,3,2,1,arma defensa,4,2,2,arcilla ,2,1,1,recurso didáctico aprendizaje,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,ladrillo,4,4,5,5,4,5,4,4,5,5,5,21,0,construir inmuebles,1,1,1,mesas,2,2,1,bardas,1,1,1,pisos,1,2,1,esculturas,5,2,1,decoración jardín,4,2,2,,,,,equilibrar o balancear ,3,2,2,soporte o base,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,ladrillo,3,4,4,4,4,3,3,3,3,4,3,20,0,,,,,,,,,asientos,2,1,2,herramienta,3,2,2,escaleras o escalones,2,2,1,juegos o juguetes,4,2,2,caja fuerte,5,2,2,,,,,soporte o base,2,1,1,arma defensa,4,2,2,,,,,pesas deporte,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,ladrillo,2,2,4,2,1,3,3,2,2,2,3,19,0,construir inmuebles,1,1,1,,,,,,,,,herramienta,3,2,2,escaleras o escalones,2,2,1,plataforma,4,1,2,,,,,equilibrar o balancear ,3,2,2,soporte o base,2,1,1,,,,,,,,,pesas deporte,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,ladrillo,4,5,4,4,3,2,5,4,3,5,5,19,0,construir inmuebles,1,1,1,,,,,asientos,2,2,2,,,,,,,,,lego,4,1,2,,,,,arcilla,2,1,1,soporte o base,2,1,1,arma defensa,4,2,2,,,,,pesas deporte,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,ladrillo,4,4,4,4,4,4,5,5,5,5,5,19,0,construir inmuebles,1,1,1,mesas,2,2,1,asientos,2,2,2,herramienta,3,2,2,escaleras o escalones,2,2,1,caminos o calles,2,1,1,fogatas,3,1,1,arcilla,2,1,1,escultura,5,2,1,arma defensa,4,2,2,pisa papeles ,4,2,2,pesas deporte,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,ladrillo,4,4,4,4,4,4,5,4,4,5,5,19,0,construir inmuebles,1,1,1,mesas,2,2,1,asientos,2,2,2,banquetas,1,1,1,túneles,2,1,1,puentes,2,1,1,hogueras,3,1,1,almacenes,3,1,1,soporte o base,2,1,1,arma defensa,4,2,2,aislante de temperatura,4,3,3,pesas deporte,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,ladrillo,5,5,5,5,5,4,5,5,4,5,4,19,0,construir inmuebles,1,1,1,decoración,4,2,2,pisa papeles,4,2,2,escribir,3,2,2,"obstáculo para detener, frenar o topar",3,2,2,polvo,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,ladrillo,4,4,5,4,4,5,5,5,5,5,5,21,0,soporte o base,2,1,1,muros o paredes,1,1,1,pisa papeles,4,2,2,pesas deporte,4,3,3,"obstáculo para detener, frenar o topar",3,2,2,fogatas,3,1,1,romper o destruir ,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,ladrillo,5,5,5,5,5,5,5,5,5,5,5,20,0,construir inmuebles,1,1,1,regla,4,3,2,arma defensa,4,2,2,pintar o dibujar  ,3,2,2,escaleras o escalones,2,2,1,decoración,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,ladrillo,3,4,5,5,5,5,5,5,5,4,5,21,0,"obstáculo para detener, frenar o topar",3,2,2,escaleras o escalones,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,ladrillo,4,4,4,4,3,3,4,4,4,4,3,22,0,construir inmuebles,1,1,1,muros o paredes,1,1,1,pisa papeles,4,2,2,escaleras o escalones,2,2,1,soporte o base,2,1,1,muebles,2,2,2,pesas deporte,4,3,3,,,,,escultura,5,2,1,pintar o dibujar,3,2,2,fogatas,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,ladrillo,5,5,4,5,4,5,5,4,5,5,4,22,0,construir inmuebles,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,ladrillo,4,3,4,4,4,4,4,4,4,5,4,23,0,construir inmuebles,1,1,1,equilibrar o balancear,3,2,2,soporte o base,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,ladrillo,4,4,5,4,4,5,4,4,5,4,5,18,1,construir inmuebles,1,1,1,asientos,2,2,2,torres,3,1,1,esculturas,5,2,1,caminos o calles,2,1,1,pintar o dibujar ,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,ladrillo,5,5,3,4,5,3,5,5,4,4,3,19,0,construir inmuebles,1,1,1,pisa papeles,4,2,2,ocultar ,2,2,2,mesas,2,2,1,herramienta,3,2,2,pintar o dibujar ,3,2,2,escaleras o escalones,2,2,1,"obstáculo para detener, frenar o topar",3,2,2,asientos,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,ladrillo,4,4,4,4,3,5,5,5,5,4,5,21,0,construir inmuebles,1,1,1,escaleras o escalones,2,2,1,asientos,2,2,2,romper o destruir,4,2,2,pisa papeles,4,2,2,decoración,3,2,2,escribir,3,2,2,pintar o dibujar,3,2,2,ocultar,2,2,2,arma defensa,4,2,2,"obstáculo para detener, frenar o topar",3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,ladrillo,5,5,4,5,3,4,5,5,4,5,5,19,0,construir inmuebles,1,1,1,escaleras o escalones,2,2,1,mesas,2,2,2,asientos,2,2,2,equilibrar o balancear,3,2,2,soporte o base,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,ladrillo,4,2,4,4,4,5,3,4,4,3,3,18,0,construir inmuebles,1,1,1,,,,,mesas,2,2,2,asientos,2,2,2,escaleras o escalones,2,2,1,pisos,1,1,1,bardas,1,1,1,cancha de fútbol,3,2,2,arma defensa ,4,2,2,pesas deporte,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,ladrillo,2,1,4,2,2,5,1,2,5,1,5,24,1,construir inmuebles,1,1,1,fogatas,3,1,1,escaleras o escalones,2,2,1,albercas,4,1,1,caballerizas,3,1,1,chimeneas,1,1,1,asientos,2,2,2,hornos,1,1,1,pesas deporte,4,3,3,pintar o dibujar,3,2,2,arma defensa,4,2,2,juegos o juguetes,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,ladrillo,3,2,4,3,3,4,2,3,3,2,3,18,1,aislante de temperatura,4,3,3,ocultar,2,2,2,"obstáculo para detener, frenar o topar",3,2,2,asientos,2,2,2,cancha de fútbol,3,2,2,escaleras o escalones,2,2,1,soporte o base,2,1,1,fogatas,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,ladrillo,3,3,4,3,2,4,3,3,3,3,3,19,0,construir inmuebles,1,1,1,bardas,1,1,1,mesas,2,2,2,hornos,1,1,1,pisos,1,2,1,escaleras o escalones,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,ladrillo,4,4,5,4,4,5,4,5,3,3,5,21,0,construir inmuebles,1,1,1,asientos,2,2,2,escaleras o escalones,2,1,1,soporte o base,2,1,1,escribir,3,2,2,pintar o dibujar ,3,2,2,romper o destruir ,4,2,2,moldear o aplanar,5,2,2,decoración,4,3,2,pesas deporte,4,3,3,juegos o juguetes,4,2,2,recurso didáctico aprendizaje,5,2,2,arma defensa,4,2,2,lego,4,3,3,equilibrar o balancear,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,
65,ladrillo,5,5,4,5,4,4,5,4,3,5,5,20,0,construir inmuebles,1,1,1,muros o paredes,1,1,1,pisos,2,2,1,decoración ,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,ladrillo,4,5,4,4,4,4,5,3,4,4,4,21,0,construir inmuebles,1,1,1,"obstáculo para detener, frenar o topar",3,2,2,escaleras o escalones,2,1,1,pintar o dibujar  ,3,2,2,chimeneas,1,1,1,hornos,1,1,1,aislante de temperatura,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,ladrillo,5,5,4,5,5,3,5,5,5,5,5,21,0,esculturas,5,2,1,pintar o dibujar,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,ladrillo,5,5,5,5,4,4,5,5,4,5,5,22,0,construir inmuebles,1,1,1,pisa papeles,4,2,2,esculturas,5,2,1,escaleras o escalones,2,1,1,recurso didáctico aprendizaje,5,2,2,cancha de fútbol,3,1,2,"obstáculo para detener, frenar o topar",3,1,2,contrapeso,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,ladrillo,4,3,4,4,3,4,3,3,3,3,3,21,0,construir inmuebles,1,1,1,mesas,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,ladrillo,4,4,4,3,3,4,5,5,4,5,4,20,0,escaleras o escalones,2,2,1,pesas deporte,4,3,2,pintar o dibujar,3,2,2,soporte o base,2,1,1,pisos,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,ladrillo,5,5,4,5,4,5,4,5,4,4,4,19,1,construir inmuebles,1,1,1,muros o paredes,1,1,1,bardas,1,1,1,mesas,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,ladrillo,4,3,4,4,3,4,3,4,3,3,4,18,0,construir inmuebles,1,1,1,pisos,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
