"ID","prompt","response","set","rater1","rater2","rater3","RAPM-Gf","BFI-Extraversion","BFI-Agreeableness","BFI-Consciousness","BFI-Openness","BFI-Neuroticism"
12,"картонная коробка","Вырезать различные декорации и инвентарь",2,2,2,2,8,28,19,24,39,34
13,"газета","Аксессуар для собаки в виде плаща, но в сухую погоду",1,4,3,3,NA,NA,NA,NA,NA,NA
13,"картонная коробка","Вырезать тонкие полосочки и повесить их вместо занавесок",2,4,4,3,8,28,19,24,39,34
14,"газета","Альтернатива копирке",1,1,4,3,NA,NA,NA,NA,NA,NA
14,"картонная коробка","Сделать шляпу",2,2,3,3,8,28,19,24,39,34
15,"газета","Аппликация",1,2,3,2,NA,NA,NA,NA,NA,NA
15,"картонная коробка","Использовать их в качестве стаканчиков для воды",2,3,3,2,8,28,19,24,39,34
16,"газета","Арт-пространство, материал для искусства",1,3,3,2,NA,NA,NA,NA,NA,NA
16,"картонная коробка","Картон - прекрасные пробники для акварели и акрила",2,3,2,2,8,28,19,24,39,34
17,"газета","Африканская чалма",1,4,4,4,NA,NA,NA,NA,NA,NA
17,"картонная коробка","Использовать их как основу для изделий",2,1,1,2,8,28,19,24,39,34
18,"газета","Бабочка (галстук)",1,4,4,4,NA,NA,NA,NA,NA,NA
18,"картонная коробка","Подставка для пишущих принадлежностей",2,2,3,2,13,36,31,30,36,26
19,"газета","Бантик (как игрушка для кота)",1,5,4,2,NA,NA,NA,NA,NA,NA
19,"картонная коробка","Ловушки для воров (если они разбросаны по помещению)",2,4,4,4,13,36,31,30,36,26
20,"газета","Бить мух",1,2,2,2,NA,NA,NA,NA,NA,NA
20,"картонная коробка","Часть коробки - толстая обложка для блокнота (самодельного)",2,3,2,2,13,36,31,30,36,26
21,"газета","Бить мух",1,2,2,2,NA,NA,NA,NA,NA,NA
21,"картонная коробка","Модели зданий для архитекторов",2,3,3,2,13,36,31,30,36,26
22,"газета","Бить по голове",1,3,2,2,NA,NA,NA,NA,NA,NA
22,"картонная коробка","Модели роботов",2,3,3,2,13,36,31,30,36,26
23,"газета","Блокнот для записей",1,2,1,2,NA,NA,NA,NA,NA,NA
23,"картонная коробка","Домик для кошки (из нескольких)",2,1,1,1,13,36,31,30,36,26
24,"газета","Большое оригами",1,2,3,2,NA,NA,NA,NA,NA,NA
24,"картонная коробка","Ёмкость для сбора макулатуры",2,1,2,2,13,36,31,30,36,26
25,"газета","Браслет",1,3,3,3,NA,NA,NA,NA,NA,NA
25,"картонная коробка","Горшок для рассады (временный)",2,1,3,3,13,36,31,30,36,26
26,"газета","Брать с собой на природу (подстилка)",1,2,2,2,NA,NA,NA,NA,NA,NA
26,"картонная коробка","Кашпо для цветов на даче (если красивая и небольшая коробка)",2,1,2,2,13,36,31,30,36,26
27,"газета","Бронежилет (спрессованная)",1,4,4,4,NA,NA,NA,NA,NA,NA
27,"картонная коробка","Корзина для ягод/грибов",2,2,2,1,13,36,31,30,36,26
28,"газета","Буквы можно использовать для анонимных записок",1,5,5,2,NA,NA,NA,NA,NA,NA
28,"картонная коробка","Ящик для журналов и прочих безделушек",2,1,1,1,13,36,31,30,36,26
29,"газета","Бумага",1,1,1,1,NA,NA,NA,NA,NA,NA
29,"картонная коробка","Шкаф для книг (из нескольких коробок)",2,2,3,2,13,36,31,30,36,26
30,"газета","Бумага (для записей рисунков)",1,2,1,2,NA,NA,NA,NA,NA,NA
30,"картонная коробка","Штаб для игры в войну (большие коробки + другие материалы)",2,2,3,2,13,36,31,30,36,26
31,"газета","Бумага для оригами",1,2,3,2,NA,NA,NA,NA,NA,NA
31,"картонная коробка","Домик для кота",2,1,1,1,9,39,31,34,32,28
32,"газета","Бумага для оригами",1,2,3,2,NA,NA,NA,NA,NA,NA
32,"картонная коробка","Сделать два выреза, один под размер телефона, а другой под размер головы (мини кинотеатр)",2,4,3,4,9,39,31,34,32,28
33,"газета","Бумага для создания изделий (оригами и т. п.)",1,2,3,2,NA,NA,NA,NA,NA,NA
33,"картонная коробка","Сделать из них обои и разрисовать их",2,2,2,2,9,39,31,34,32,28
34,"газета","Бумажная игрушка",1,2,3,2,NA,NA,NA,NA,NA,NA
34,"картонная коробка","Детские игрушки",2,2,2,2,9,39,31,34,32,28
35,"газета","Бумажный самолёт",1,2,3,2,NA,NA,NA,NA,NA,NA
35,"картонная коробка","Значки разных ферм",2,1,2,1,9,39,31,34,32,28
36,"газета","Бумажный шарик",1,2,2,2,NA,NA,NA,NA,NA,NA
36,"картонная коробка","Подставка для ботинок в прихожей",2,3,3,2,9,39,31,34,32,28
37,"газета","Бусики детские",1,3,3,3,NA,NA,NA,NA,NA,NA
37,"картонная коробка","Обложка для тетради",2,3,2,2,9,39,31,34,32,28
38,"газета","В виде ковра",1,3,2,3,NA,NA,NA,NA,NA,NA
38,"картонная коробка","Повесить как шторы",2,4,4,3,9,39,31,34,32,28
39,"газета","В качестве дизайна помещения, украшать, вырезать части и вешать",1,3,3,3,NA,NA,NA,NA,NA,NA
39,"картонная коробка","Шляпа от солнца",2,3,3,3,9,39,31,34,32,28
40,"газета","В качестве одежды",1,2,2,2,NA,NA,NA,NA,NA,NA
40,"картонная коробка","Зонт",2,3,3,2,9,39,31,34,32,28
41,"газета","В качестве подстилки",1,2,2,2,NA,NA,NA,NA,NA,NA
41,"картонная коробка","Сделать пенал",2,2,3,2,9,39,31,34,32,28
42,"газета","В качестве скатерти",1,3,2,2,NA,NA,NA,NA,NA,NA
42,"картонная коробка","Часы (солнечные)",2,3,5,3,9,39,31,34,32,28
43,"газета","В качестве смягчающего материала",1,3,3,3,NA,NA,NA,NA,NA,NA
43,"картонная коробка","Дом для кота",2,1,1,1,13,23,25,23,29,23
44,"газета","В качестве ткани",1,3,2,2,NA,NA,NA,NA,NA,NA
44,"картонная коробка","Санки",2,2,2,3,13,23,25,23,29,23
45,"газета","В крайнем случае, как предмет одежды",1,2,2,2,NA,NA,NA,NA,NA,NA
45,"картонная коробка","Машина",2,2,2,1,13,23,25,23,29,23
46,"газета","В ней можно засушить растения для гербария",1,4,4,3,NA,NA,NA,NA,NA,NA
46,"картонная коробка","Ракета",2,2,2,2,13,23,25,23,29,23
47,"газета","Веер",1,2,3,2,NA,NA,NA,NA,NA,NA
47,"картонная коробка","Замок",2,1,2,1,13,23,25,23,29,23
48,"газета","Веер",1,2,3,2,NA,NA,NA,NA,NA,NA
48,"картонная коробка","Звёздное небо (проколоть дырки)",2,1,5,5,13,23,25,23,29,23
49,"газета","Веер",1,2,3,2,NA,NA,NA,NA,NA,NA
49,"картонная коробка","Костюм ""Кубик Рубика""",2,4,3,2,13,23,25,23,29,23
50,"газета","Веер",1,2,3,2,NA,NA,NA,NA,NA,NA
50,"картонная коробка","Лабиринт",2,3,3,2,13,23,25,23,29,23
51,"газета","Веер",1,2,3,2,NA,NA,NA,NA,NA,NA
51,"картонная коробка","Бумага для рисования",2,1,1,2,13,23,25,23,29,23
52,"газета","Веер",1,2,3,2,NA,NA,NA,NA,NA,NA
52,"картонная коробка","Корзина",2,1,2,1,13,23,25,23,29,23
53,"газета","Веер",1,2,3,2,NA,NA,NA,NA,NA,NA
53,"картонная коробка","Воздушный шар",2,2,3,1,13,23,25,23,29,23
54,"газета","Веер",1,2,3,2,NA,NA,NA,NA,NA,NA
54,"картонная коробка","Самолёт",2,2,2,2,13,23,25,23,29,23
55,"газета","Веер (обмахиваться)",1,2,3,2,NA,NA,NA,NA,NA,NA
55,"картонная коробка","Зона уединения",2,3,3,1,13,23,25,23,29,23
56,"газета","Веник",1,3,3,3,NA,NA,NA,NA,NA,NA
56,"картонная коробка","Место для ""пряток""",2,3,2,2,13,23,25,23,29,23
57,"газета","Верёвка",1,3,3,3,NA,NA,NA,NA,NA,NA
57,"картонная коробка","Забор (граница)",2,2,2,3,13,23,25,23,29,23
58,"газета","Весло",1,1,2,4,NA,NA,NA,NA,NA,NA
58,"картонная коробка","Тайник (маленькая коробка)",2,4,2,2,13,23,25,23,29,23
59,"газета","Взять подмышку",1,1,1,1,NA,NA,NA,NA,NA,NA
59,"картонная коробка","Вырезать отверстия глаз и получишь шлем из коробки",2,2,2,2,10,31,29,39,31,25
60,"газета","Влаговпитывающий материал",1,1,3,2,NA,NA,NA,NA,NA,NA
60,"картонная коробка","Отдать коробку домашнему животному, чтобы он там спал",2,1,1,1,10,31,29,39,31,25
61,"газета","Вместо грунтовки под обои",1,2,2,2,NA,NA,NA,NA,NA,NA
61,"картонная коробка","Разрезать на картонные листы, на которых можно писать и рисовать",2,1,1,2,10,31,29,39,31,25
62,"газета","Вместо занавесок",1,3,3,2,NA,NA,NA,NA,NA,NA
62,"картонная коробка","Отдать на переработку",2,1,1,1,10,31,29,39,31,25
63,"газета","Вместо крыши",1,3,3,2,NA,NA,NA,NA,NA,NA
63,"картонная коробка","Большую коробку использовать в качестве крепости",2,1,1,1,10,31,29,39,31,25
64,"газета","Вместо линз",1,3,1,3,NA,NA,NA,NA,NA,NA
64,"картонная коробка","Построить гору из коробок под окном, чтобы было легче прыгать",2,2,4,3,10,31,29,39,31,25
65,"газета","Вместо москитной сетки заклеить вход",1,4,2,3,NA,NA,NA,NA,NA,NA
65,"картонная коробка","Сделать домик для кота или собаки",2,1,1,1,10,22,39,39,21,37
66,"газета","Вместо обоев",1,2,2,2,NA,NA,NA,NA,NA,NA
66,"картонная коробка","Использовать как цветочный горшок",2,1,2,3,10,22,39,39,21,37
67,"газета","Вместо пенки в палатке",1,4,3,3,NA,NA,NA,NA,NA,NA
67,"картонная коробка","Крепость из коробок для детей",2,1,2,1,10,22,39,39,21,37
68,"газета","Вместо полотенца / туалетной бумаги",1,2,2,2,NA,NA,NA,NA,NA,NA
68,"картонная коробка","Скворечник (кормушка) для птиц",2,3,4,3,10,22,39,39,21,37
69,"газета","Вместо снежка (при игре)",1,3,3,2,NA,NA,NA,NA,NA,NA
69,"картонная коробка","Использовать для постройки декораций, перекрашивая и разрезая на детали. Можно использовать в театрах и на киностудиях с маленьким бюджетом",2,2,3,2,12,23,37,31,28,22
70,"газета","Вместо стёкол в очки",1,3,1,3,NA,NA,NA,NA,NA,NA
70,"картонная коробка","Использовать коробки как дома для животных. Большие коробки могут стать будками для собак, а маленькие для домашних котов",2,1,1,1,12,23,37,31,28,22
71,"газета","Вместо стёкол в транспорте",1,4,2,3,NA,NA,NA,NA,NA,NA
71,"картонная коробка","Коробки можно использовать как шумоизоляцию",2,3,3,3,12,23,37,31,28,22
72,"газета","Вместо тряпки для мытья стёкол",1,3,3,2,NA,NA,NA,NA,NA,NA
72,"картонная коробка","Коробки можно сжигать, используя огонь для сжигания мусора",2,3,3,1,12,23,37,31,28,22
73,"газета","Воронка для крупы",1,3,4,2,NA,NA,NA,NA,NA,NA
73,"картонная коробка","Сделать из коробок мусоросжигатель, обклеив их теплоотталкивающими материалами",2,3,2,3,11,25,22,18,31,33
74,"газета","Впитывать запах",1,4,3,3,NA,NA,NA,NA,NA,NA
74,"картонная коробка","Сделать из коробок огромный тетрис и за определённое количество очков дарить коробку",2,4,4,5,11,25,22,18,31,33
75,"газета","Временная скатерть (для пикника, например)",1,3,3,2,NA,NA,NA,NA,NA,NA
75,"картонная коробка","Можно сделать огромное сито для большого количества воды",2,3,5,3,11,25,22,18,31,33
76,"газета","Временная татуировка (долго прижимать газету к телу)",1,5,4,5,NA,NA,NA,NA,NA,NA
76,"картонная коробка","Можно сделать тесты, закрасив коробки в цвета и нарисовав другие цвета на них",2,2,2,3,11,25,22,18,31,33
77,"газета","Вставить между дверью и косяком, чтобы дверь не открывалась",1,3,3,3,NA,NA,NA,NA,NA,NA
77,"картонная коробка","Использовать в качестве щита при игре",2,2,3,2,16,27,28,31,32,32
78,"газета","Выбирать из неё материал для диктанта",1,5,4,4,NA,NA,NA,NA,NA,NA
78,"картонная коробка","В качестве игрушечного домика",2,1,1,2,16,27,28,31,32,32
79,"газета","Выравнивать стол/шкаф",1,2,2,3,NA,NA,NA,NA,NA,NA
79,"картонная коробка","В качестве реального жилища",2,1,1,1,16,27,28,31,32,32
80,"газета","Вырезать буквы",1,3,3,2,NA,NA,NA,NA,NA,NA
80,"картонная коробка","Как объект вымещения агрессивных чувств",2,4,5,4,16,27,28,31,32,32
81,"газета","Вырезать буквы и картинки для стендов и коллажей",1,3,4,2,NA,NA,NA,NA,NA,NA
81,"картонная коробка","Для создания поделок",2,2,2,2,16,27,28,31,32,32
82,"газета","Вырезать буквы и составить письмо",1,5,4,2,NA,NA,NA,NA,NA,NA
82,"картонная коробка","Как шлем",2,2,2,2,16,27,28,31,32,32
83,"газета","Вырезать буквы, использовать для тайного письма",1,5,5,2,NA,NA,NA,NA,NA,NA
83,"картонная коробка","Как одежду",2,2,2,2,16,27,28,31,32,32
84,"газета","Вырезать буквы, чтобы писать зашифрованное письмо",1,5,5,2,NA,NA,NA,NA,NA,NA
84,"картонная коробка","Как корпус для компьютера",2,3,3,3,16,27,28,31,32,32
85,"газета","Вырезать из неё аппликации",1,2,3,2,NA,NA,NA,NA,NA,NA
85,"картонная коробка","Сделать конфетти",2,4,3,2,16,27,28,31,32,32
86,"газета","Вырезать из неё буквы и делать послание",1,5,4,2,NA,NA,NA,NA,NA,NA
86,"картонная коробка","Для отопления сжигать",2,2,3,2,16,27,28,31,32,32
87,"газета","Вырезать из неё слова для признания в любви (чтобы не разобрали почерк)",1,5,5,3,NA,NA,NA,NA,NA,NA
87,"картонная коробка","Домик для кота",2,1,1,1,11,30,25,28,25,35
88,"газета","Вырезать из неё снежинку",1,3,2,2,NA,NA,NA,NA,NA,NA
88,"картонная коробка","Строительство замка из коробок",2,1,1,1,11,30,25,28,25,35
89,"газета","Вырезать из неё украшения",1,3,3,2,NA,NA,NA,NA,NA,NA
89,"картонная коробка","Домик для себя из коробки (большой)",2,1,1,1,11,30,25,28,25,35
90,"газета","Вырезать картинки для открыток ручной работы",1,4,4,3,NA,NA,NA,NA,NA,NA
90,"картонная коробка","Использовать как горшок для цветов (временный)",2,1,2,3,11,30,25,28,25,35
91,"газета","Вырезать картинки и отправлять в СМСах как эмодзилку",1,4,4,4,NA,NA,NA,NA,NA,NA
91,"картонная коробка","Использовать коробку как столик (подставку) для ноутбука, немного изменив её",2,3,3,2,11,30,25,28,25,35
92,"газета","Вырезать картинки, подписи - сделать коллажи",1,3,3,2,NA,NA,NA,NA,NA,NA
92,"картонная коробка","Сделать место, куда можно поставить цветы",2,1,2,2,11,30,25,28,25,35
93,"газета","Вырезать слова/буквы, прислать анонимное письмо",1,5,5,2,NA,NA,NA,NA,NA,NA
93,"картонная коробка","Из коробок можно построить огромный замок для себя и кота, если его раскрасить, будет как настоящий",2,1,2,1,10,36,31,33,39,18
94,"газета","Вырезать снежинки",1,3,2,2,NA,NA,NA,NA,NA,NA
94,"картонная коробка","Из разрезанной большой коробки можно сделать кукольный шоурум",2,3,3,3,10,36,31,33,39,18
95,"газета","Вырезать человечков и играть с ними",1,3,4,3,NA,NA,NA,NA,NA,NA
95,"картонная коробка","Костюм на Хэллоуин, костюм инопланетного разума, надев несколько коробок и обернув в фольгу",2,3,3,2,10,36,31,33,39,18
96,"газета","Вырезки из газеты - фотографии разных политиков, чтобы запомнить как кого зовут",1,3,5,4,NA,NA,NA,NA,NA,NA
96,"картонная коробка","Если коробка плотная, можно сделать игрушечную машинку при помощи ещё двух банок",2,2,3,2,10,36,31,33,39,18
97,"газета","Вырезки можно использовать для коллажа",1,3,3,2,NA,NA,NA,NA,NA,NA
97,"картонная коробка","Если вырезать дырку размером с планшет/телефон, сделав дырки для колонок и шеи, можно сделать кинотеатр",2,4,3,4,10,36,31,33,39,18
98,"газета","Вырезки украсить",1,3,2,2,NA,NA,NA,NA,NA,NA
98,"картонная коробка","Виртуальная реальность",2,1,1,4,10,36,31,33,39,18
99,"газета","Вытереть, промакнуть",1,3,3,2,NA,NA,NA,NA,NA,NA
99,"картонная коробка","Их можно использовать как ящики для хранения",2,1,1,1,15,40,34,25,38,31
100,"газета","Вытереться, когда нет полотенца",1,3,3,2,NA,NA,NA,NA,NA,NA
100,"картонная коробка","Обклеив их подарочной бумагой, разными украшениями, сделав крышки, получатся красивые коробки для разных подарков",2,3,3,1,15,40,34,25,38,31
101,"газета","Вытирание мокрого пола",1,3,3,2,NA,NA,NA,NA,NA,NA
101,"картонная коробка","Из них можно сделать органайзер",2,3,2,2,15,40,34,25,38,31
102,"газета","Вытирать поверхности стёкол, зеркал",1,3,3,2,NA,NA,NA,NA,NA,NA
102,"картонная коробка","Из коробок часто можно сделать какие-то детали для костюма на Хэллоуин",2,3,2,1,15,40,34,25,38,31
103,"газета","Газета + скотч = мяч для игры",1,3,4,2,NA,NA,NA,NA,NA,NA
103,"картонная коробка","Из них можно сделать макеты города, а также каких-то отдельных детализированных зданий",2,3,2,2,15,40,34,25,38,31
104,"газета","Гербарий",1,4,4,3,NA,NA,NA,NA,NA,NA
104,"картонная коробка","Макеты ракет, космических спутников и станций",2,3,3,2,15,40,34,25,38,31
105,"газета","Гирлянда",1,4,2,3,NA,NA,NA,NA,NA,NA
105,"картонная коробка","Можно сделать переносные столы для пикника",2,3,4,2,15,40,34,25,38,31
106,"газета","Головной убор",1,2,3,2,NA,NA,NA,NA,NA,NA
106,"картонная коробка","Дневники для записей",2,3,2,2,15,40,34,25,38,31
107,"газета","Головной убор",1,2,3,2,NA,NA,NA,NA,NA,NA
107,"картонная коробка","Игрушки",2,2,2,2,15,40,34,25,38,31
108,"газета","Головной убор",1,2,3,2,NA,NA,NA,NA,NA,NA
108,"картонная коробка","Создание игрушечной мебели для детей",2,2,2,2,12,26,41,30,36,29
109,"газета","Горка для запускания машинок и пр.",1,4,4,4,NA,NA,NA,NA,NA,NA
109,"картонная коробка","Отдать их бездомным",2,3,2,1,12,26,41,30,36,29
110,"газета","Город для микроскопических людей",1,5,1,3,NA,NA,NA,NA,NA,NA
110,"картонная коробка","Создать для них прототип самолёта/машины",2,2,2,2,12,26,41,30,36,29
111,"газета","Греться",1,3,3,2,NA,NA,NA,NA,NA,NA
111,"картонная коробка","Построить крепость/домик",2,1,1,1,12,26,41,30,36,29
112,"газета","Дать ребёнку, чтобы зачерикивал всё и чтобы потом проверить его концентрацию внимания",1,5,5,5,NA,NA,NA,NA,NA,NA
112,"картонная коробка","Переработать и издать книгу: ""Как использовать пустые картонные коробки""",2,5,3,2,12,26,41,30,36,29
113,"газета","Декор/изготовление чего-то другого",1,3,2,2,NA,NA,NA,NA,NA,NA
113,"картонная коробка","Создать из них картинную галерею (нарисовать на них что-нибудь)",2,3,2,2,12,26,41,30,36,29
114,"газета","Декорации, оформление интерьера",1,3,3,2,NA,NA,NA,NA,NA,NA
114,"картонная коробка","Использовать как удобрение для растений",2,4,3,2,12,26,41,30,36,29
115,"газета","Делать заметки (черновик)",1,2,1,2,NA,NA,NA,NA,NA,NA
115,"картонная коробка","Построить лестницу и прыгать с неё вниз",2,2,2,1,8,32,42,31,29,21
116,"газета","Делать из неё снежинки на ёлку",1,3,2,2,NA,NA,NA,NA,NA,NA
116,"картонная коробка","Вырезать из них маскарадные маски",2,2,3,2,8,32,42,31,29,21
117,"газета","Делать оригами",1,2,3,2,NA,NA,NA,NA,NA,NA
117,"картонная коробка","Сделать из них мусорку или коллекционировать там что-нибудь",2,3,2,2,8,32,42,31,29,21
118,"газета","Делать оригами для детей",1,2,3,2,NA,NA,NA,NA,NA,NA
118,"картонная коробка","Кидаться ими в прохожих на улице",2,3,5,1,8,32,42,31,29,21
119,"газета","Делать оригинальные костюмы (усовершенствованная шапочка для ремонта)",1,2,3,3,NA,NA,NA,NA,NA,NA
119,"картонная коробка","Смастерить из них мебель, ведь это экономнее и экологичнее",2,2,2,2,8,32,42,31,29,21
120,"газета","Делать самолётики и кораблики",1,2,3,2,NA,NA,NA,NA,NA,NA
120,"картонная коробка","Собрать коллекцию из них",2,3,3,1,8,32,42,31,29,21
121,"газета","Делать шарики для игры",1,2,3,2,NA,NA,NA,NA,NA,NA
121,"картонная коробка","Упаковать туда младшего брата",2,3,4,3,8,32,42,31,29,21
122,"газета","Держатель для пакета",1,4,1,3,NA,NA,NA,NA,NA,NA
122,"картонная коробка","Спать там или жить",2,2,2,2,8,32,42,31,29,21
123,"газета","Детективная история: ключи в двери, газету под дверь, вытащить их",1,4,5,3,NA,NA,NA,NA,NA,NA
123,"картонная коробка","Различные поделки",2,2,1,2,11,34,35,29,31,27
124,"газета","Дизайн для маникюра",1,3,3,2,NA,NA,NA,NA,NA,NA
124,"картонная коробка","Предметы декора",2,2,1,2,11,34,35,29,31,27
125,"газета","Дизайн комнаты",1,3,2,2,NA,NA,NA,NA,NA,NA
125,"картонная коробка","Декорации в спектакле",2,2,3,2,11,34,35,29,31,27
126,"газета","Дизайн одежды, аксессуаров",1,3,2,2,NA,NA,NA,NA,NA,NA
126,"картонная коробка","Способ общения (связать между собой и говорить)",2,2,5,2,11,34,35,29,31,27
127,"газета","Дизайн стола (обклеить газетами)",1,3,3,2,NA,NA,NA,NA,NA,NA
127,"картонная коробка","Огромную коробку можно использовать как домик и играть",2,1,1,1,11,34,35,29,31,27
128,"газета","Дизайнерское украшение (постер)",1,3,3,2,NA,NA,NA,NA,NA,NA
128,"картонная коробка","Дом для животных",2,1,1,1,11,34,35,29,31,27
129,"газета","Для гербария",1,4,4,3,NA,NA,NA,NA,NA,NA
129,"картонная коробка","Место для сбора вещей, т.е. складировать туда что-то, а потом в шкаф",2,1,1,1,11,34,35,29,31,27
130,"газета","Для гербария (сушить цветы и листья)",1,4,4,3,NA,NA,NA,NA,NA,NA
130,"картонная коробка","Из цветных коробок можно вырезать красивые стороны и украшать дом",2,2,1,2,11,34,35,29,31,27
131,"газета","Для задания - на речь в актёрском вузе",1,5,5,4,NA,NA,NA,NA,NA,NA
131,"картонная коробка","Различные вырезки (как из журналов)",2,3,2,1,11,34,35,29,31,27
132,"газета","Для коллажа",1,3,3,2,NA,NA,NA,NA,NA,NA
132,"картонная коробка","Подставка, опора, что-то твёрдое",2,2,2,2,11,34,35,29,31,27
133,"газета","Для маникюра",1,3,3,2,NA,NA,NA,NA,NA,NA
133,"картонная коробка","Стул",2,2,2,2,11,34,35,29,31,27
134,"газета","Для маникюра",1,3,3,2,NA,NA,NA,NA,NA,NA
134,"картонная коробка","Из пустых коробок можно построить дом и жить там, скрываясь от внешнего мира",2,2,1,1,10,26,22,16,36,33
135,"газета","Для маникюра (отпечатывать текст)",1,3,3,2,NA,NA,NA,NA,NA,NA
135,"картонная коробка","Пустыми коробками можно накрывать мокрые скамейки в парке, а также братьев наших меньших, которых нельзя взять к себе домой",2,3,2,3,10,26,22,16,36,33
136,"газета","Для обучения иностранным языкам (две газеты с одинаковой информацией на двух языках)",1,5,4,4,NA,NA,NA,NA,NA,NA
136,"картонная коробка","Можно накрывать коробкой одного их членов семьи и примотать её скотчем к кровати для того, чтобы с утра послушать их прекрасные голоса вместо будильника",2,4,5,2,10,26,22,16,36,33
137,"газета","Для папье-маше",1,2,3,2,NA,NA,NA,NA,NA,NA
137,"картонная коробка","Дом для кота",2,1,1,1,9,27,39,35,28,23
138,"газета","Для проверки скорости чтения",1,1,2,4,NA,NA,NA,NA,NA,NA
138,"картонная коробка","Ящики",2,1,1,1,9,27,39,35,28,23
139,"газета","Для просушки гербариев - прослойка из газет",1,4,4,3,NA,NA,NA,NA,NA,NA
139,"картонная коробка","Доспехи рыцаря",2,2,3,3,9,27,39,35,28,23
140,"газета","Для создания различных предметов быта (газетного блюдца, тарелки). Возможно использование не одной газеты",1,3,3,3,NA,NA,NA,NA,NA,NA
140,"картонная коробка","Отделка потолка и стен",2,2,2,2,9,27,39,35,28,23
141,"газета","Для создания элемента декора",1,3,2,2,NA,NA,NA,NA,NA,NA
141,"картонная коробка","Тетрадь",2,3,2,2,9,27,39,35,28,23
142,"газета","Для составления поэтического текста из слов",1,4,3,4,NA,NA,NA,NA,NA,NA
142,"картонная коробка","Чехол для телефона",2,4,3,3,9,27,39,35,28,23
143,"газета","Для творчества (на посуде, поделках)",1,3,3,2,NA,NA,NA,NA,NA,NA
143,"картонная коробка","Использовать коробку для жилища своего питомца (собаки, кота,…)",2,1,1,1,7,31,40,26,27,34
144,"газета","Для тренировки памяти",1,5,4,4,NA,NA,NA,NA,NA,NA
144,"картонная коробка","Использовать картонные коробки просто по назначению (хранение вещей)",2,1,1,1,7,31,40,26,27,34
145,"газета","Для художественных целей, переводить текст на полотна",1,5,4,4,NA,NA,NA,NA,NA,NA
145,"картонная коробка","Придумать из них какую-нибудь игрушку для детей, например, разделить коробку на несколько частей и, задекорировав, сделать ребёнку погремушку",2,2,2,2,7,31,40,26,27,34
146,"газета","Для цветов обёртка",1,2,3,2,NA,NA,NA,NA,NA,NA
146,"картонная коробка","Сделать из коробки настенные часы (купив и поставив туда механизм)",2,3,3,3,7,31,40,26,27,34
147,"газета","Для шпиона - прикрыться газетой",1,4,4,2,NA,NA,NA,NA,NA,NA
147,"картонная коробка","Сделать из коробки бутылку для воды",2,3,2,2,7,31,40,26,27,34
148,"газета","Документ в исследованиях культуры",1,4,5,3,NA,NA,NA,NA,NA,NA
148,"картонная коробка","Использовать коробки как ящики с едой и другими продовольственными товарами",2,2,1,1,7,31,40,26,27,34
149,"газета","Дом",1,2,1,2,NA,NA,NA,NA,NA,NA
149,"картонная коробка","Разрезать коробки и сделать из них открытки",2,3,3,2,7,31,40,26,27,34
150,"газета","Дом для животного",1,3,2,3,NA,NA,NA,NA,NA,NA
