"ID","prompt","response","set","lab","rater1","rater2","rater3","rater4","C-act","C-ach"
22,"pneu","bracelet",8,4,4,4,2,2,60,92
22,"pneu","marchepieds",8,4,3,3,4,4,60,92
22,"pneu","cheval",8,4,2,1,1,1,60,92
22,"pneu","jouet",8,4,3,3,2,2,60,92
22,"pneu","cerceau",8,4,2,3,2,2,60,92
23,"bouteille","récipient",8,4,1,2,1,1,64,102
23,"bouteille","vase pour des fleurs",8,4,2,2,2,2,64,102
23,"bouteille","pelle",8,4,5,5,2,4,64,102
23,"bouteille","sculpture après avoir découpé en morceaux",8,4,4,4,3,4,64,102
23,"bouteille","porte message",8,4,3,3,2,2,64,102
23,"bouteille","recyclage, l'écraser ou la casser",8,4,3,1,4,2,64,102
23,"couteau","arme",8,4,1,1,2,1,64,102
23,"couteau","cadeau pour un proche",8,4,4,1,2,2,64,102
23,"couteau","cuisiner",8,4,1,1,1,1,64,102
23,"couteau","manger",8,4,1,1,1,1,64,102
23,"couteau","décoration",8,4,4,3,2,2,64,102
23,"couteau","bricolage",8,4,3,2,2,2,64,102
23,"couteau","couper du bois",8,4,1,2,3,1,64,102
23,"couteau","ouvrir une serrure",8,4,3,2,3,2,64,102
23,"couteau","jongler",8,4,4,3,3,3,64,102
23,"couteau","le transformer en aiguille d'une horloge",8,4,3,4,2,4,64,102
23,"pneu","jeu",8,4,3,3,2,2,64,102
23,"pneu","voiture",8,4,1,1,1,1,64,102
23,"pneu","cabane",8,4,3,4,3,4,64,102
23,"pneu","balançoire",8,4,3,2,3,2,64,102
23,"pneu","roue pour rongeur",8,4,3,4,3,3,64,102
23,"pneu","matériau d'isolation",8,4,3,4,4,4,64,102
23,"pneu","gomme",8,4,1,5,2,3,64,102
23,"pneu","bibendum taille réelle",8,4,3,5,1,3,64,102
23,"pneu","bouée",8,4,2,2,3,2,64,102
23,"pneu","instrument de musique",8,4,5,5,2,3,64,102
24,"bouteille","épée",8,4,4,2,2,3,46,77
24,"bouteille","réserve de farine",8,4,2,2,2,2,46,77
24,"bouteille","récipient de pâte à crèpe/gateau",8,4,2,3,3,2,46,77
24,"bouteille","matériau de construction",8,4,5,3,3,3,46,77
24,"bouteille","arme",8,4,2,2,2,2,46,77
24,"bouteille","amplificateur de voix ou de son",8,4,3,4,3,4,46,77
24,"couteau","arme",8,4,1,1,2,2,46,77
24,"couteau","décapsuleur",8,4,3,2,3,3,46,77
24,"couteau","épée",8,4,2,1,2,2,46,77
24,"couteau","tournevis",8,4,3,2,3,3,46,77
24,"couteau","écraser les gousses d'ail",8,4,3,1,4,2,46,77
24,"couteau","couper les cheveux",8,4,3,2,2,2,46,77
24,"couteau","jouer à les lancer",8,4,2,3,2,2,46,77
24,"couteau","levier",8,4,2,4,3,3,46,77
24,"couteau","tailler un crayon",8,4,2,2,4,2,46,77
24,"couteau","graver dans le bois",8,4,2,2,4,2,46,77
24,"pneu","roue",8,4,1,1,1,1,46,77
24,"pneu","jouet",8,4,3,3,2,2,46,77
24,"pneu","cerceau",8,4,2,3,2,2,46,77
24,"pneu","balançoire",8,4,3,2,3,2,46,77
24,"pneu","table basse",8,4,3,3,2,3,46,77
24,"pneu","siège",8,4,3,3,2,2,46,77
24,"pneu","haltère",8,4,2,2,2,2,46,77
24,"pneu","trampolline",8,4,3,3,3,4,46,77
24,"pneu","descendre une colline",8,4,3,4,2,2,46,77
24,"pneu","cabane à oiseaux",8,4,3,4,2,4,46,77
24,"pneu","récif coralien",8,4,1,1,1,1,46,77
24,"pneu","panier de basket",8,4,4,4,3,5,46,77
25,"bouteille","soliflore",8,4,2,2,3,2,13,31
25,"bouteille","support bougie",8,4,4,2,2,2,13,31
25,"bouteille","cassée comme des barbelés au dessus d'un mur",8,4,2,2,3,4,13,31
25,"bouteille","objet de massage pour le dos",8,4,5,4,3,3,13,31
25,"couteau","mobile réfléchissant les rayons du soleil",8,4,5,5,3,4,13,31
25,"couteau","tailler les buissons",8,4,2,2,2,2,13,31
25,"couteau","fixer un objet au mur",8,4,4,4,2,3,13,31
25,"pneu","hoola-hoop",8,4,2,2,2,2,13,31
25,"pneu","cabane",8,4,3,4,3,4,13,31
25,"pneu","bouée",8,4,2,2,4,2,13,31
25,"pneu","amortisseur bateau",8,4,2,2,4,3,13,31
26,"bouteille","cocktail molotov",8,4,2,3,3,2,41,39
26,"bouteille","porte message",8,4,2,2,2,2,41,39
26,"bouteille","tester la solidité d'autre chose",8,4,3,2,4,4,41,39
26,"bouteille","culture de vers de terre",8,4,4,3,4,4,41,39
26,"bouteille","boîte à idées",8,4,3,3,2,3,41,39
26,"bouteille","réservoir à pièces rouges",8,4,2,4,2,3,41,39
26,"couteau","s'entrainer au lancer de couteaux",8,4,2,1,2,2,41,39
26,"couteau","régler ses comptes avec quelqu'un",8,4,1,1,1,1,41,39
26,"couteau","écrire dans du bois",8,4,2,2,3,2,41,39
26,"couteau","ouvrir une bière",8,4,2,2,3,3,41,39
26,"couteau","couper un cigare",8,4,1,1,2,1,41,39
26,"couteau","se gratter",8,4,2,2,2,4,41,39
26,"pneu","hoola-hoop",8,4,2,2,2,2,41,39
26,"pneu","balançoire",8,4,3,2,2,2,41,39
26,"pneu","cible",8,4,4,4,4,3,41,39
26,"pneu","frisbee",8,4,3,3,2,3,41,39
26,"pneu","musculation",8,4,2,2,3,2,41,39
26,"pneu","pot de fleurs",8,4,4,2,2,3,41,39
27,"bouteille","passer des messages",8,4,2,2,2,2,51,108
27,"bouteille","fusée en remplissant d'eau ou d'air",8,4,5,4,2,4,51,108
27,"bouteille","arme de jet",8,4,1,2,2,2,51,108
27,"bouteille","cuillère",8,4,5,1,2,2,51,108
27,"bouteille","entonnoir",8,4,3,3,2,3,51,108
27,"bouteille","piège à guêpes",8,4,3,3,2,2,51,108
27,"bouteille","peut servir pour fumer",8,4,2,4,3,2,51,108
27,"bouteille","cage à insectes",8,4,3,3,3,2,51,108
27,"bouteille","fourmillière",8,4,5,3,1,3,51,108
27,"couteau","remplace la fourchette/ la cuillère",8,4,2,2,2,2,51,108
27,"couteau","on peut creuser avec",8,4,4,4,2,3,51,108
27,"couteau","se lance",8,4,2,1,2,2,51,108
27,"pneu","utilisé pour le sport en tant qu poids en qu'obstacle",8,4,2,2,3,2,51,108
27,"pneu","roue pour mettre un copain dedans et dévaler la pente",8,4,3,3,2,3,51,108
27,"pneu","servir de tampon comme les auto-tamponneuses et se foncer dessus",8,4,2,2,3,3,51,108
27,"pneu","chaise",8,4,3,3,3,2,51,108
27,"pneu","cerceau pour faire des roulades, des sauts dedans",8,4,3,3,2,3,51,108
28,"bouteille","arme au corps à corps",8,4,2,2,2,2,36,52
28,"bouteille","cocktail molotov",8,4,2,2,3,2,36,52
28,"bouteille","sculpture pour la place de la république",8,4,4,3,5,3,36,52
28,"bouteille","bougie",8,4,4,2,2,2,36,52
28,"bouteille","mobilier urbain anti sdf",8,4,5,2,3,3,36,52
28,"bouteille","xylophone",8,4,4,4,3,3,36,52
28,"bouteille","quille de bowling",8,4,3,4,2,3,36,52
28,"bouteille","poussière à coller comme papier peint",8,4,4,5,4,1,36,52
28,"couteau","Plafonnier",8,4,4,4,1,3,36,52
28,"couteau","tapis de sol",8,4,1,1,1,1,36,52
28,"couteau","abat-jour",8,4,1,3,2,1,36,52
28,"couteau","niche à chien",8,4,1,3,1,1,36,52
28,"couteau","collier",8,4,4,4,1,4,36,52
28,"couteau","mobilier anti sdf",8,4,4,2,1,4,36,52
28,"couteau","fauteuil",8,4,1,4,1,1,36,52
28,"pneu","isolation extérieure",8,4,4,3,3,3,36,52
28,"pneu","projectile pour catapulte",8,4,4,2,2,4,36,52
28,"pneu","combustible pour cheminée",8,4,4,2,3,2,36,52
29,"bouteille","Lampe",8,4,4,2,2,2,43,55
29,"bouteille","quilles",8,4,3,3,3,3,43,55
29,"bouteille","massue (cirque)",8,4,3,4,3,3,43,55
29,"bouteille","batte de baseball",8,4,4,3,2,4,43,55
29,"bouteille","haltère",8,4,3,2,2,3,43,55
29,"bouteille","témoin (relai)",8,4,3,4,5,4,43,55
29,"couteau","rasoir",8,4,3,3,3,2,43,55
29,"couteau","tournevis",8,4,2,2,3,2,43,55
29,"couteau","fléchette",8,4,3,3,2,2,43,55
29,"couteau","punaise",8,4,3,4,2,5,43,55
29,"couteau","club de golf",8,4,2,3,1,3,43,55
29,"couteau","fleuret",8,4,3,3,1,2,43,55
29,"pneu","balançoire",8,4,3,2,2,2,43,55
29,"pneu","bouée",8,4,2,2,3,2,43,55
29,"pneu","roue pour le cirque",8,4,3,4,3,2,43,55
29,"pneu","hoola hoop",8,4,2,3,2,2,43,55
31,"bouteille","Piege a insectes ou souris",8,4,3,3,3,3,63,48
31,"bouteille","claquettes",8,4,3,4,4,4,63,48
31,"bouteille","abat-jour",8,4,4,4,2,3,63,48
31,"bouteille","verres",8,4,1,3,1,4,63,48
31,"bouteille","sablier",8,4,5,5,3,5,63,48
31,"couteau","tournevis",8,4,2,2,2,2,63,48
31,"couteau","tondeuse à gazon",8,4,4,2,1,3,63,48
31,"pneu","Jeu pour enfant",8,4,3,3,2,2,63,48
31,"pneu","cours de fitness",8,4,3,3,2,3,63,48
31,"pneu","cible",8,4,4,4,3,3,63,48
31,"pneu","quidditch",8,4,4,4,1,5,63,48
31,"pneu","bateau",8,4,4,4,4,3,63,48
31,"pneu","protection",8,4,2,2,3,3,63,48
32,"bouteille","instrument de musique",8,4,4,2,2,3,61,79
32,"bouteille","projectile",8,4,2,2,2,2,61,79
32,"bouteille","monnaie",8,4,1,2,4,4,61,79
32,"bouteille","arme",8,4,2,2,2,2,61,79
32,"bouteille","décoration",8,4,3,2,2,2,61,79
32,"bouteille","collectible",8,4,3,1,3,2,61,79
32,"bouteille","terrarium",8,4,4,4,3,3,61,79
32,"bouteille","arrosoir permanent",8,4,1,3,2,2,61,79
32,"couteau","collectible",8,4,4,1,2,2,61,79
32,"couteau","objet ou outil contondant (base)",8,4,2,2,4,3,61,79
32,"couteau","projectile",8,4,2,1,2,2,61,79
32,"couteau","levier",8,4,2,3,3,2,61,79
32,"couteau","grattoir",8,4,3,2,1,2,61,79
32,"couteau","rasoir",8,4,4,3,2,2,61,79
32,"pneu","bouée",8,4,2,2,4,2,61,79
32,"pneu","armure",8,4,4,5,4,4,61,79
32,"pneu","objet de construction",8,4,3,3,3,4,61,79
32,"pneu","combustible",8,4,2,2,3,2,61,79
32,"pneu","moyen de locomotion (en descente)",8,4,1,3,3,3,61,79
32,"pneu","cale",8,4,2,4,3,3,61,79
32,"pneu","instrument de musique",8,4,5,5,3,3,61,79
32,"pneu","monnaie",8,4,1,2,2,3,61,79
33,"bouteille","gourde",8,4,1,1,2,1,75,127
33,"bouteille","tirelire",8,4,5,4,2,3,75,127
33,"bouteille","sablier",8,4,5,5,3,5,75,127
33,"bouteille","entonnoir",8,4,3,3,2,2,75,127
33,"bouteille","glaçons",8,4,1,1,2,2,75,127
33,"bouteille","téléphone pour enfant",8,4,4,4,2,3,75,127
33,"bouteille","gilet de sauvetage",8,4,4,4,5,4,75,127
33,"couteau","grappin",8,4,2,3,1,2,75,127
33,"couteau","couper",8,4,1,1,1,1,75,127
33,"couteau","piège",8,4,3,2,2,3,75,127
33,"couteau","tournevis",8,4,3,2,2,3,75,127
33,"couteau","paratonnerre",8,4,4,3,4,4,75,127
33,"couteau","boussole",8,4,5,4,2,4,75,127
33,"couteau","couper de la nourriture, du bois ou du papier",8,4,1,1,3,1,75,127
33,"pneu","sport",8,4,2,2,3,2,75,127
33,"pneu","airbags",8,4,2,3,3,3,75,127
33,"pneu","bouée",8,4,2,2,3,2,75,127
33,"pneu","trampolline",8,4,3,3,2,3,75,127
33,"pneu","tour",8,4,3,1,1,3,75,127
33,"pneu","gomme",8,4,1,4,2,3,75,127
35,"bouteille","d'eau",8,4,1,1,1,1,32,100
35,"bouteille","à la mer",8,4,3,3,1,2,32,100
35,"bouteille","film",8,4,3,1,1,1,32,100
35,"bouteille","en plastique",8,4,1,1,1,1,32,100
35,"bouteille","en verre",8,4,1,1,1,1,32,100
35,"bouteille","de vin",8,4,1,1,1,1,32,100
35,"bouteille","gourde",8,4,1,1,2,1,32,100
35,"bouteille","aperitif",8,4,1,1,1,1,32,100
35,"bouteille","pétillante",8,4,1,1,1,1,32,100
35,"couteau","a fromage",8,4,1,1,1,1,32,100
35,"couteau","de cuisine",8,4,1,1,1,1,32,100
35,"couteau","a pain",8,4,1,1,1,1,32,100
35,"couteau","de boucher",8,4,1,1,1,1,32,100
35,"couteau","opinel",8,4,1,1,1,1,32,100
35,"couteau","survie",8,4,2,1,2,1,32,100
35,"couteau","camping",8,4,1,2,2,1,32,100
35,"couteau","crustacés",8,4,1,1,2,1,32,100
35,"pneu","musculation",8,4,2,2,2,3,32,100
35,"pneu","voiture",8,4,1,1,1,1,32,100
35,"pneu","entraînement chien d'attaque",8,4,4,3,3,3,32,100
35,"pneu","circonférence",8,4,2,1,3,1,32,100
36,"bouteille","arme",8,4,2,2,2,2,15,10
36,"bouteille","instrument de musique",8,4,3,2,2,3,15,10
36,"bouteille","bateau",8,4,5,4,2,3,15,10
36,"couteau","cale porte",8,4,3,4,3,4,15,10
36,"couteau","miroir",8,4,4,5,4,3,15,10
36,"pneu","balançoire",8,4,3,2,3,2,15,10
36,"pneu","bouée",8,4,2,2,3,2,15,10
36,"pneu","musculation ( le retourner)",8,4,2,2,3,3,15,10
36,"pneu","combustible",8,4,3,2,3,2,15,10
37,"bouteille","boire",8,4,1,1,1,1,41,65
37,"bouteille","envoyer un message à la mer",8,4,3,3,2,2,41,65
37,"bouteille","piège à guêpe",8,4,2,3,3,2,41,65
37,"bouteille","flotteurs",8,4,4,4,4,4,41,65
37,"bouteille","décoration en remplissant la bouteille de quelque chose",8,4,3,2,2,2,41,65
37,"bouteille","quille de jonglage",8,4,3,4,3,3,41,65
37,"bouteille","quille de bowling",8,4,4,4,2,3,41,65
37,"bouteille","massue",8,4,2,2,3,3,41,65
37,"bouteille","batte de baseball",8,4,5,4,1,3,41,65
37,"bouteille","bougeoir en la coupant à la moitié",8,4,4,2,3,2,41,65
37,"bouteille","pour jouer au jeu de la bouteille",8,4,2,4,2,2,41,65
37,"couteau","couper",8,4,1,1,2,1,41,65
37,"couteau","ouvrir une enveloppe",8,4,2,2,4,2,41,65
37,"couteau","tartiner",8,4,2,1,3,1,41,65
37,"couteau","percer un opercule",8,4,2,2,5,1,41,65
37,"couteau","creuser un trou",8,4,3,4,1,3,41,65
37,"couteau","pont pour des fourmis",8,4,4,2,1,4,41,65
37,"couteau","broche à marshmallow grillés",8,4,4,2,3,3,41,65
37,"couteau","faire peur",8,4,1,1,1,1,41,65
37,"couteau","baguette magique",8,4,5,3,2,4,41,65
37,"couteau","pour chausser ses chaussures",8,4,4,4,5,3,41,65
37,"couteau","maintenir une porte à aimants ouverte",8,4,4,3,4,5,41,65
37,"pneu","rouler",8,4,1,1,1,1,41,65
37,"pneu","jouer",8,4,3,3,2,2,41,65
37,"pneu","flotter",8,4,2,2,3,2,41,65
37,"pneu","s'asseoir",8,4,3,3,2,2,41,65
37,"pneu","rebondir",8,4,3,4,3,3,41,65
37,"pneu","roue de hasmter",8,4,3,4,2,3,41,65
37,"pneu","pochoir",8,4,4,5,2,4,41,65
37,"pneu","aplatir quelque chose",8,4,3,4,3,4,41,65
37,"pneu","parer des mouvements de gymnastique",8,4,3,4,2,3,41,65
37,"pneu","obstacle dans un parcours",8,4,2,3,3,2,41,65
38,"bouteille","enveloppe",8,4,4,4,2,3,33,1
38,"bouteille","contenant",8,4,1,2,2,1,33,1
38,"bouteille","arme",8,4,1,2,2,2,33,1
38,"bouteille","pot de fleur",8,4,4,4,2,3,33,1
38,"bouteille","sonnette",8,4,5,5,3,3,33,1
38,"bouteille","pour jongler",8,4,3,4,3,3,33,1
38,"bouteille","baguettes pour batterie",8,4,5,4,1,4,33,1
38,"bouteille","cible",8,4,2,4,4,3,33,1
38,"bouteille","marteau",8,4,3,3,2,3,33,1
38,"bouteille","cale porte",8,4,5,4,4,4,33,1
38,"bouteille","quilles (bowling)",8,4,3,3,3,3,33,1
38,"bouteille","leste",8,4,2,4,1,3,33,1
38,"bouteille","décoration",8,4,3,2,2,2,33,1
38,"bouteille","vitre",8,4,4,5,3,1,33,1
38,"bouteille","alarme",8,4,1,5,3,4,33,1
38,"couteau","couper",8,4,1,1,1,1,33,1
38,"couteau","arme",8,4,1,1,2,1,33,1
38,"couteau","pour confectionner une lance",8,4,2,2,4,2,33,1
38,"couteau","réfléchir la lumière",8,4,4,5,3,4,33,1
38,"couteau","se raser",8,4,3,4,3,2,33,1
38,"couteau","tailler",8,4,1,2,3,1,33,1
38,"couteau","verrous",8,4,1,2,2,3,33,1
38,"couteau","éperon",8,4,3,4,1,3,33,1
38,"couteau","fléchette",8,4,3,3,2,2,33,1
38,"couteau","cadeau",8,4,3,1,1,2,33,1
38,"couteau","dévisser",8,4,2,2,3,2,33,1
38,"couteau","contraindre",8,4,1,1,2,1,33,1
38,"couteau","décorer",8,4,3,3,2,2,33,1
38,"pneu","jouet",8,4,3,3,2,2,33,1
38,"pneu","instrument de gymnastique",8,4,2,3,2,3,33,1
38,"pneu","balançoire",8,4,3,2,2,2,33,1
38,"pneu","fenêtre",8,4,4,4,2,4,33,1
38,"pneu","mur",8,4,3,4,3,3,33,1
38,"pneu","protection",8,4,2,2,3,2,33,1
38,"pneu","armure",8,4,4,5,4,4,33,1
38,"pneu","coque bateau",8,4,4,4,4,3,33,1
38,"pneu","pot de fleur",8,4,4,2,2,3,33,1
38,"pneu","tapis",8,4,3,4,2,4,33,1
38,"pneu","chaise",8,4,2,3,3,2,33,1
38,"pneu","coussin",8,4,3,4,2,2,33,1
38,"pneu","poids",8,4,2,2,4,3,33,1
38,"pneu","sac",8,4,4,4,2,4,33,1
38,"pneu","couronne",8,4,4,3,2,3,33,1
38,"pneu","sac de frappe",8,4,3,4,5,2,33,1
39,"bouteille","faire fondre pour en faire d'autres objets",8,4,5,3,3,3,40,84
39,"bouteille","découper le bas pour faire des pots",8,4,3,3,2,3,40,84
39,"bouteille","découper le haut pour faire un entonnoir",8,4,3,3,2,2,40,84
39,"bouteille","décoration",8,4,3,2,2,2,40,84
39,"bouteille","collectionner",8,4,3,1,4,3,40,84
39,"bouteille","remplir avec un certain volume d'eau pour faire une note précise en soufflant",8,4,4,2,2,3,40,84
39,"bouteille","récupérer les étiquettes pour s'en servire de papier",8,4,3,1,1,2,40,84
39,"bouteille","arme (si bouteille en verre)",8,4,2,2,2,2,40,84
39,"couteau","tournevis",8,4,2,2,3,2,40,84
39,"couteau","décoration",8,4,4,3,2,2,40,84
39,"couteau","collectionner",8,4,3,1,1,2,40,84
39,"couteau","gratter pierre/bois pour faire une statue",8,4,2,2,3,2,40,84
39,"couteau","creuser",8,4,3,4,2,3,40,84
39,"couteau","mesurer des distances",8,4,5,5,4,5,40,84
39,"couteau","cale porte",8,4,4,3,3,4,40,84
39,"couteau","haltère",8,4,2,4,1,2,40,84
39,"couteau","lest pour la plongée",8,4,3,3,3,3,40,84
39,"pneu","isolation",8,4,3,4,4,3,40,84
39,"pneu","feu en plein air",8,4,4,2,3,2,40,84
39,"pneu","remblayer des trous",8,4,4,2,3,3,40,84
39,"pneu","décoration",8,4,4,3,2,2,40,84
39,"pneu","faire fondre pour en faire des objets",8,4,4,4,4,3,40,84
39,"pneu","étagère en les fixant les uns aux autres",8,4,4,3,3,5,40,84
40,"bouteille","haltere",8,4,3,2,2,3,14,19
40,"bouteille","massue",8,4,2,2,2,3,14,19
40,"bouteille","fléchette",8,4,4,3,1,3,14,19
40,"bouteille","sextoy",8,4,5,3,3,4,14,19
40,"bouteille","vase",8,4,2,2,2,2,14,19
40,"bouteille","gourde",8,4,1,1,2,1,14,19
40,"bouteille","arrosoir",8,4,2,2,2,2,14,19
40,"bouteille","pistolet à eau",8,4,4,4,2,3,14,19
40,"bouteille","enceinte",8,4,4,5,3,4,14,19
40,"bouteille","balle",8,4,4,4,2,4,14,19
40,"couteau","flechette",8,4,3,3,2,2,14,19
40,"couteau","cure dent",8,4,3,2,3,3,14,19
40,"couteau","pince",8,4,3,4,2,3,14,19
40,"couteau","lime à ongles",8,4,4,2,2,3,14,19
40,"couteau","pioche",8,4,2,3,1,3,14,19
40,"couteau","décapsuleur",8,4,3,2,3,3,14,19
40,"couteau","levier",8,4,2,3,3,3,14,19
40,"couteau","brosse à dents",8,4,2,2,1,2,14,19
40,"couteau","rasoir",8,4,3,3,3,2,14,19
40,"couteau","pinceau",8,4,4,4,4,4,14,19
40,"couteau","fourchette",8,4,3,2,1,2,14,19
40,"couteau","tournevis",8,4,2,2,3,2,14,19
40,"couteau","punaise",8,4,3,4,2,4,14,19
40,"pneu","voiture",8,4,1,1,2,1,14,19
40,"pneu","balançoire",8,4,3,2,2,2,14,19
40,"pneu","siège",8,4,2,3,3,2,14,19
40,"pneu","step",8,4,2,3,3,2,14,19
40,"pneu","banc",8,4,3,3,3,3,14,19
40,"pneu","table",8,4,2,3,1,3,14,19
40,"pneu","tabouret",8,4,3,3,2,3,14,19
40,"pneu","cerceau",8,4,2,3,2,2,14,19
40,"pneu","étagère",8,4,4,3,3,5,14,19
40,"pneu","pouf",8,4,4,3,3,2,14,19
40,"pneu","tableau",8,4,4,4,2,2,14,19
40,"pneu","cible",8,4,3,4,3,3,14,19
40,"pneu","panier",8,4,3,4,1,4,14,19
40,"pneu","ceinture",8,4,4,4,2,4,14,19
40,"pneu","haltère",8,4,2,2,2,3,14,19
40,"pneu","bracelet",8,4,4,4,2,3,14,19
40,"pneu","marche",8,4,2,3,4,3,14,19
41,"bouteille","construire une maison",8,4,5,3,3,4,55,78
41,"bouteille","construire un bateau",8,4,4,5,3,4,55,78
41,"bouteille","système d'arrosage de plante",8,4,3,2,2,2,55,78
41,"bouteille","moule à gâteaux",8,4,5,4,3,3,55,78
41,"couteau","décoration",8,4,3,3,2,2,55,78
41,"couteau","créer des bijoux",8,4,4,4,2,3,55,78
41,"couteau","tournevis",8,4,2,2,3,2,55,78
41,"couteau","ouvre boite",8,4,2,2,3,2,55,78
41,"couteau","antenne",8,4,5,4,2,4,55,78
41,"pneu","feu pour se réchauffer",8,4,2,2,3,3,55,78
41,"pneu","construction",8,4,4,3,3,3,55,78
41,"pneu","pour isoler une maison",8,4,4,4,4,4,55,78
41,"pneu","pour faire du chewing gum",8,4,4,1,4,3,55,78
41,"pneu","meuble",8,4,4,3,3,4,55,78
41,"pneu","siège/canapé",8,4,3,3,3,3,55,78
41,"pneu","bouée",8,4,2,2,3,2,55,78
42,"bouteille","recipient",8,4,1,2,2,2,77,107
42,"bouteille","jeu",8,4,3,3,2,2,77,107
42,"bouteille","arme",8,4,1,2,2,2,77,107
42,"bouteille","decoration",8,4,3,2,2,2,77,107
42,"bouteille","messager",8,4,2,2,2,1,77,107
42,"bouteille","instrument",8,4,3,2,2,3,77,107
42,"couteau","arme",8,4,1,1,2,1,77,107
42,"couteau","decoration",8,4,4,3,2,2,77,107
42,"couteau","bijou",8,4,4,4,2,4,77,107
42,"couteau","ustensile",8,4,2,1,1,1,77,107
42,"couteau","peigne",8,4,4,4,1,4,77,107
42,"couteau","hameçon",8,4,3,4,1,3,77,107
42,"pneu","siege",8,4,3,3,2,3,77,107
42,"pneu","toilettes",8,4,4,3,1,5,77,107
42,"pneu","oreiller",8,4,3,4,2,3,77,107
42,"pneu","berceau",8,4,4,4,3,4,77,107
42,"pneu","decoration",8,4,4,3,3,2,77,107
43,"bouteille","arme",8,4,2,2,2,2,56,52
43,"bouteille","pot",8,4,2,3,2,3,56,52
43,"bouteille","oreiller",8,4,2,4,2,3,56,52
43,"bouteille","quille",8,4,3,4,2,3,56,52
43,"bouteille","rouleau",8,4,4,5,3,2,56,52
43,"bouteille","boite",8,4,2,3,2,2,56,52
43,"bouteille","roller",8,4,2,3,2,4,56,52
43,"bouteille","maracas",8,4,4,3,2,3,56,52
43,"bouteille","ballon",8,4,3,4,2,3,56,52
43,"bouteille","pied",8,4,4,4,1,1,56,52
43,"bouteille","sonnette",8,4,4,5,3,3,56,52
43,"bouteille","arrosoir",8,4,2,2,2,2,56,52
43,"couteau","poignée",8,4,4,3,3,4,56,52
43,"couteau","stylo",8,4,3,2,2,3,56,52
43,"couteau","graveur",8,4,2,2,3,2,56,52
43,"couteau","marteau",8,4,4,3,1,3,56,52
43,"couteau","scie",8,4,2,2,2,2,56,52
43,"couteau","ciseau",8,4,2,2,2,2,56,52
43,"couteau","fourchette",8,4,2,2,2,2,56,52
43,"couteau","pinceau",8,4,4,4,4,4,56,52
43,"couteau","épée",8,4,3,2,2,2,56,52
43,"couteau","tige",8,4,3,2,2,4,56,52
43,"couteau","balais",8,4,4,3,2,4,56,52
43,"couteau","hache",8,4,3,2,2,2,56,52
43,"couteau","fourchette",8,4,2,2,2,2,56,52
43,"couteau","peine",8,4,1,1,1,1,56,52
43,"couteau","clé",8,4,4,2,3,3,56,52
43,"couteau","tournevis",8,4,3,2,3,3,56,52
43,"couteau","pince",8,4,3,4,2,3,56,52
43,"pneu","tiroir",8,4,4,3,2,5,56,52
43,"pneu","lit",8,4,4,4,2,3,56,52
