participant ID,object,use_number,use,rater_1,rater_2,rater_3,rater_4,rater_5,rater_6,rater_7,rater_8,rater_9,rater_10,rater_11,rater_12,rater_13,rater_14,rater_15,rater_16,rater_17,rater_18,rater_19,rater_20,rater_21,rater_22,rater_23,rater_24,rater_25,rater_26,rater_27,rater_28,rater_29,rater_30,rater_31,rater_32,rater_33,rater_34,rater_35,rater_36,rater_37,rater_38,rater_39,rater_40,rater_41,rater_42,rater_43,rater_44,rater_45
1292,סכין,2,משטח ציור,nan,nan,5.0,nan,nan,nan,5.0,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,3.0,nan,nan,nan,5.0,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan
1815,סכין,1,מברג,nan,nan,2.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,2.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan
1815,סכין,2,יתד,nan,nan,4.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,2.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1815,סכין,3,מראה,nan,nan,4.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,4.0,nan,nan,nan,5.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan
1815,סכין,4,מברשת שיניים,nan,nan,5.0,nan,nan,nan,5.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,3.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan
1106,סכין,1,להשתמש בו כמשקולת,nan,nan,4.0,nan,nan,nan,5.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,3.0,nan,nan,nan,5.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan
1106,סכין,2,כלי חריטה באבן,nan,nan,2.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan
1106,סכין,3,חרב,nan,nan,2.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan
1610,סכין,1,פריט עיצובי,nan,nan,3.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,2.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan
1610,סכין,2,מתלה לטבעות,nan,nan,5.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan
1610,סכין,3,טיפוס בעזרת סכינים,nan,nan,4.0,nan,nan,nan,5.0,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan
1647,סכין,1,לגלף צורות בפירות,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan
1647,סכין,2,לגלף עץ,nan,nan,1.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan
1647,סכין,3,לעשות קעקוע,nan,nan,4.0,nan,nan,nan,5.0,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,3.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan
1647,סכין,4,לפחלץ,nan,nan,2.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
765,סכין,1,פריט עיצובי,nan,nan,3.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,2.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan
1889,סכין,1,שיוף של חומרים מחוספסים,nan,nan,2.0,nan,nan,nan,5.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,3.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan
1889,סכין,2,כיסא עינויים,nan,nan,4.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,3.0,nan,nan,nan,5.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1889,סכין,3,מראה,nan,nan,4.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,4.0,nan,nan,nan,5.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan
1889,סכין,4,ניסור טלפונים,nan,nan,3.0,nan,nan,nan,5.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,3.0,nan,nan,nan,5.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1889,סכין,5,קיסם שיניים,nan,nan,3.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,3.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan
1892,סכין,1,כלי חריטה באבן,nan,nan,2.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan
1892,סכין,2,פריט עיצובי,nan,nan,3.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,2.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan
1892,סכין,3,שבירת גושי אדמה,nan,nan,4.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,4.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan
1892,סכין,4,שיוף של חומרים מחוספסים,nan,nan,2.0,nan,nan,nan,5.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,3.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan
1892,סכין,5,לוליאנות,nan,nan,1.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan
717,סכין,1,כלי חריטה באבן,nan,nan,2.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan
717,סכין,2,מתלה לבגדים על הקיר או ארון,nan,nan,5.0,nan,nan,nan,5.0,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,4.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan
717,סכין,3,כלי ג'אגלינג,nan,nan,1.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,2.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan
1631,סכין,1,לחתוך איתו,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan
1631,סכין,2,לדקור איתו,nan,nan,1.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan
1631,סכין,3,קליעה למטרה (לזרוק סכינים במקום חיצים),nan,nan,2.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,3.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan
1631,סכין,4,כלי חריטה באבן,nan,nan,2.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan
1631,סכין,5,פריט עיצובי,nan,nan,3.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,2.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan
1631,סכין,6,מברג,nan,nan,2.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,2.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan
1631,סכין,7,לפצח אגוזים,nan,nan,2.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,1.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan
1631,סכין,8,לשמש כמעמד לתכשיטים,nan,nan,5.0,nan,nan,nan,5.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,4.0,nan,nan,nan,5.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan
1904,סכין,1,מחורר דפים,nan,nan,3.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,2.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan
1904,סכין,2,לנעוץ בקיר ולהשתמש כמתלה מעילים,nan,nan,5.0,nan,nan,nan,5.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan
1904,סכין,3,פורץ מנעולים,nan,nan,3.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,4.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan
1902,סכין,1,לנקות מקומות צרים,nan,nan,4.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,2.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan
1902,סכין,2,מתלה לבגדים על הקיר או ארון,nan,nan,5.0,nan,nan,nan,5.0,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,4.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan
1902,סכין,3,חוצץ,nan,nan,4.0,nan,nan,nan,5.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,2.0,nan,nan,nan,5.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan
1902,סכין,4,סימניה בספר,nan,nan,5.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,3.0,nan,nan,nan,5.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan
1903,סכין,1,כלי חריטה באבן,nan,nan,2.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan
1903,סכין,2,שימוש בסכין במקום בבקבוק באמת או חובה,nan,nan,2.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,4.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan
1903,סכין,3,מברג,nan,nan,2.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,2.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan
1903,סכין,4,יצירת לוח משחק של איקס עיגול באמצעות הרבה סכינים,nan,nan,4.0,nan,nan,nan,5.0,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan
1905,סכין,1,מברג,nan,nan,2.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,2.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan
1905,סכין,2,קילוף מדבקה מהקיר,nan,nan,3.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,4.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan
1905,סכין,3,גירוד מסטיק מהרצפה,nan,nan,3.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan
1905,סכין,4,פתיחת קופסת שימורים,nan,nan,2.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan
1905,סכין,5,פורץ מנעולים,nan,nan,3.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,4.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan
1906,סכין,1,לפתוח מכתבים,nan,nan,3.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan
1906,סכין,2,לנקות מקומות צרים,nan,nan,4.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,2.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan
1906,סכין,3,גירוד מסטיק מהרצפה,nan,nan,3.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan
1598,סכין,1,לנקות מקומות צרים,nan,nan,4.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,2.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan
1816,סכין,1,מברג,nan,nan,2.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,2.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan
1816,סכין,2,מזלג,nan,nan,3.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,3.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan
1824,סכין,1,מברג,nan,nan,2.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,2.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan
1824,סכין,2,כלי חריטה באבן,nan,nan,2.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan
1824,סכין,3,לנקות מתחת לציפורניים,nan,nan,4.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,2.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan
1824,סכין,4,מסור,nan,nan,1.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan
1824,סכין,5,לחתוך איתו,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan
1824,סכין,6,לתלות רשימה על הדלת,nan,nan,4.0,nan,nan,nan,5.0,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan
1901,סכין,1,כלי נשק,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan
1901,סכין,2,חיבור וניתוק מעגלים חשמליים,nan,nan,3.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,5.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan
1901,סכין,3,פורץ מנעולים,nan,nan,3.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,4.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan
1901,סכין,5,פיסול,nan,nan,1.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,3.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan
1901,סכין,6,כלי תספורת,nan,nan,3.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,2.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan
1901,סכין,7,אזמל,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1901,סכין,8,כלי גילוח,nan,nan,3.0,nan,nan,nan,3.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,2.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan
250,סכין,1,לחתוך איתו,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan
